eng_TAMsimp,prophetic,prose,instruction,poetry,list
PRES PART,-0.3,0.33,0.02,-0.04,-0.01
IMPV ~ TO INF,0.02,0.23,-0.19,-0.04,-0.01
PAST ~ PRES PERF,0.17,-0.0,-0.27,0.12,-0.01
FUT ~ MOD let,0.3,0.02,-0.27,-0.04,-0.01
FUT ~ PRES PART,0.21,0.1,-0.27,-0.04,-0.01
MOD can ~ MOD may,-0.37,0.51,-0.08,-0.04,-0.01
FUT ~ MOD would,-0.19,0.42,-0.27,0.05,-0.01
MOD can ~ MOD shall,-0.37,0.39,0.04,-0.04,-0.01
MOD shall ~ PAST,0.19,-0.31,0.18,-0.04,-0.01
MOD let ~ MOD shall,-0.04,0.24,-0.15,-0.04,-0.01
MOD is to ~ PRES,-0.24,-0.06,0.36,-0.04,-0.01
MOD is to ~ MOD let,-0.37,-0.19,0.61,-0.04,-0.01
MOD let ~ MOD may,0.01,0.31,-0.27,-0.04,-0.01
FUT ~ PAST,-0.12,0.19,-0.14,0.09,-0.01
MOD is to ~ PAST,-0.23,-0.31,0.59,-0.04,-0.01
MOD lest ~ MOD may,-0.08,-0.17,-0.27,0.53,-0.01
PAST ~ TO INF,-0.08,-0.31,0.16,0.1,0.13
MOD lest ~ TO INF,-0.23,0.55,-0.27,-0.04,-0.01
PAST ~ PAST PROG,-0.08,0.4,-0.27,-0.04,-0.01
MOD shall ~ PRES PERF,0.13,-0.15,0.07,-0.04,-0.01
FUT ~ PRES PERF,0.3,0.02,-0.27,-0.04,-0.01
IMPV ~ MOD lest,0.03,0.09,-0.07,-0.04,-0.01
MOD shall ~ MOD would,-0.37,0.69,-0.27,-0.04,-0.01
MOD may ~ MOD must,-0.37,-0.11,0.54,-0.04,-0.01
MOD can,-0.17,0.09,-0.27,0.36,-0.01
MOD would ~ PRES,-0.37,0.09,-0.07,0.36,-0.01
IMPV ~ PAST,-0.37,0.49,-0.07,-0.04,-0.01
MOD should ~ PRES,-0.12,0.19,-0.02,-0.04,-0.01
HAB used to ~ PAST,-0.37,0.69,-0.27,-0.04,-0.01
IMPV ~ MOD may,-0.12,0.19,-0.02,-0.04,-0.01
IMPV ~ MOD must,-0.37,0.69,-0.27,-0.04,-0.01
PAST PERF,-0.37,0.44,-0.02,-0.04,-0.01
MOD shall ~ MOD should,-0.37,0.69,-0.27,-0.04,-0.01
FUT ~ MOD can,0.38,-0.06,-0.27,-0.04,-0.01
MOD let ~ TO INF,-0.37,0.69,-0.27,-0.04,-0.01
FUT ~ FUT PERF,-0.37,0.44,-0.27,0.21,-0.01
MOD should,-0.37,0.44,-0.27,0.21,-0.01
MOD could ~ MOD may,-0.37,0.69,-0.27,-0.04,-0.01
PAST ~ PAST PERF,-0.04,0.35,-0.27,-0.04,-0.01
MOD can ~ PRES,-0.37,0.02,0.07,0.29,-0.01
MOD should ~ TO INF,-0.04,-0.31,-0.27,0.63,-0.01
IMPV ~ MOD would,-0.37,0.69,-0.27,-0.04,-0.01
MOD VB ~ PRES,-0.04,-0.31,0.4,-0.04,-0.01
MOD is to ~ TO INF,-0.37,-0.31,0.74,-0.04,-0.01
HAB used to ~ MOD would,-0.37,0.69,-0.27,-0.04,-0.01
HAB used to,-0.37,0.35,-0.27,0.29,-0.01
MOD was to,-0.37,0.69,-0.27,-0.04,-0.01
FUT ~ FUT going-to,0.3,0.02,-0.27,-0.04,-0.01
IMPV ~ MOD is to,-0.37,0.69,-0.27,-0.04,-0.01
MOD that be ~ TO INF,-0.37,-0.31,0.74,-0.04,-0.01
MOD was to ~ PAST,-0.37,-0.31,-0.27,-0.04,0.99
PRES ~ PRES PROG,-0.37,0.69,-0.27,-0.04,-0.01
FUT ~ MOD must,-0.37,0.69,-0.27,-0.04,-0.01
IMPV ~ PRES PART,-0.37,0.69,-0.27,-0.04,-0.01
MOD would ~ PRES PART,-0.37,0.69,-0.27,-0.04,-0.01
FUT going-to ~ MOD shall,-0.37,0.69,-0.27,-0.04,-0.01
PRES PART ~ PRES PERF,0.63,-0.31,-0.27,-0.04,-0.01
MOD may ~ PRES PART,-0.37,0.19,-0.27,0.46,-0.01
MOD can ~ MOD let,-0.37,0.19,0.24,-0.04,-0.01
MOD lest ~ MOD might,-0.37,0.19,0.24,-0.04,-0.01
MOD may ~ MOD should,-0.37,-0.31,-0.27,0.96,-0.01
MOD let ~ PRES,-0.37,0.19,0.24,-0.04,-0.01
MOD must ~ PRES,-0.37,-0.31,0.24,0.46,-0.01
MOD let ~ MOD must,0.13,0.19,-0.27,-0.04,-0.01
MOD lest ~ PRES PART,-0.37,0.69,-0.27,-0.04,-0.01
MOD lest ~ MOD must,-0.37,0.69,-0.27,-0.04,-0.01
MOD must ~ PRES PART,-0.37,0.19,0.24,-0.04,-0.01
MOD is to ~ MOD may,-0.37,0.69,-0.27,-0.04,-0.01
MOD let ~ PRES PART,-0.37,0.69,-0.27,-0.04,-0.01
MOD should ~ MOD would,-0.37,0.69,-0.27,-0.04,-0.01
MOD let ~ MOD should,-0.37,0.69,-0.27,-0.04,-0.01
MOD let ~ MOD would,-0.37,-0.31,-0.27,-0.04,0.99
MOD can ~ TO INF,0.63,-0.31,-0.27,-0.04,-0.01
MOD would ~ PRES PROG,-0.37,0.69,-0.27,-0.04,-0.01
FUT ~ MOD is to,-0.37,0.69,-0.27,-0.04,-0.01
FUT ~ MOD VB,-0.37,0.69,-0.27,-0.04,-0.01
MOD ~ MOD would,-0.37,0.69,-0.27,-0.04,-0.01
MOD would ~ TO INF,-0.37,0.69,-0.27,-0.04,-0.01
MOD must,-0.37,-0.31,0.74,-0.04,-0.01
FUT ~ FUT PROG,-0.37,-0.31,0.74,-0.04,-0.01
MOD might ~ MOD would,-0.37,0.69,-0.27,-0.04,-0.01
PAST PROG ~ TO INF,-0.37,0.69,-0.27,-0.04,-0.01
FUT PROG,0.63,-0.31,-0.27,-0.04,-0.01
FUT ~ MOD should,-0.37,0.69,-0.27,-0.04,-0.01
FUT ~ MOD that be,-0.37,-0.31,0.74,-0.04,-0.01
PAST PERF ~ PRES PART,-0.37,0.69,-0.27,-0.04,-0.01
MOD could,-0.37,0.69,-0.27,-0.04,-0.01
PRES PERF ~ TO INF,-0.37,0.69,-0.27,-0.04,-0.01
MOD let ~ MOD might,-0.37,-0.31,-0.27,-0.04,0.99
MOD might,-0.37,0.69,-0.27,-0.04,-0.01
MOD quest must ~ MOD shall,-0.37,0.69,-0.27,-0.04,-0.01
PRES ~ VB,0.63,-0.31,-0.27,-0.04,-0.01
MOD could ~ MOD would,-0.37,0.69,-0.27,-0.04,-0.01
MOD lest ~ PRES,-0.37,-0.31,0.74,-0.04,-0.01
HAB used to ~ PAST PROG,-0.37,0.69,-0.27,-0.04,-0.01
HAB used to ~ PRES PART,-0.37,0.69,-0.27,-0.04,-0.01
MOD could ~ TO INF,-0.37,0.69,-0.27,-0.04,-0.01
IMPV ~ MOD VB,-0.37,0.69,-0.27,-0.04,-0.01
MOD is to ~ MOD lest,0.63,-0.31,-0.27,-0.04,-0.01
MOD is to ~ PRES PART,-0.37,-0.31,0.74,-0.04,-0.01
MOD VB ~ MOD can,-0.37,0.69,-0.27,-0.04,-0.01
