bhsa_node,mother_clause,mother_cl_atom,mother_clause_atom,mother_rela,mother_domain2,mother_verbtype,mother_type,mother_verb_ps,mother_verb_lex,mother_verbplain,mother_intertext,daught_clause,daught_cl_atom,daught_clause_atom,daught_rela,daught_domain2,daught_verbtype,daught_type,daught_verb_ps,daught_verb_lex,daught_verbplain,daught_intertext
232456,כִּֽי־רַבּ֤וּ פְשָׁעֵ֨ינוּ֙ נֶגְדֶּ֔ךָ ,562656,כִּֽי־רַבּ֤וּ פְשָׁעֵ֨ינוּ֙ נֶגְדֶּ֔ךָ ,SubAdv,Q,qtl,xQtX,p3,RBB[,רבו,כִּֽי־רַבּ֤וּ פְשָׁעֵ֨ינוּ֙ נֶגְדֶּ֔ךָ וְחַטֹּאותֵ֖ינוּ עָ֣נְתָה בָּ֑נוּ כִּֽי־פְשָׁעֵ֣ינוּ אִתָּ֔נוּ וַעֲוֹנֹתֵ֖ינוּ יְדַֽעֲנֽוּם׃ פָּשֹׁ֤עַ וְכַחֵשׁ֙ בַּֽיהוָ֔ה וְנָסֹ֖וג מֵאַחַ֣ר אֱלֹהֵ֑ינוּ דַּבֶּר־עֹ֣שֶׁק וְסָרָ֔ה הֹרֹ֧ו וְהֹגֹ֛ו מִלֵּ֖ב דִּבְרֵי־שָֽׁקֶר׃ ,וּצְדָקָ֖ה מֵרָחֹ֣וק תַּעֲמֹ֑ד ,562668,וּצְדָקָ֖ה מֵרָחֹ֣וק תַּעֲמֹ֑ד ,Main,Q,yqtl,WXYq,p3,<MD[,תעמד,וּצְדָקָ֖ה מֵרָחֹ֣וק תַּעֲמֹ֑ד 
232577,כְּעַ֤ל גְּמֻלֹות֙ כְּעַ֣ל יְשַׁלֵּ֔ם ,562690,כְּעַ֤ל גְּמֻלֹות֙ כְּעַ֣ל יְשַׁלֵּ֔ם ,Main,Q,yqtl,xYq0,p3,CLM[,ישׁלם,כְּעַ֤ל גְּמֻלֹות֙ כְּעַ֣ל יְשַׁלֵּ֔ם חֵמָ֣ה לְצָרָ֔יו גְּמ֖וּל לְאֹֽיְבָ֑יו לָאִיִּ֖ים גְּמ֥וּל יְשַׁלֵּֽם׃ וְיִֽירְא֤וּ מִֽמַּעֲרָב֙ אֶת־שֵׁ֣ם יְהוָ֔ה וּמִמִּזְרַח־שֶׁ֖מֶשׁ אֶת־כְּבֹודֹ֑ו כִּֽי־יָבֹ֤וא כַנָּהָר֙ צָ֔ר ר֥וּחַ יְהוָ֖ה נֹ֥סְסָה בֹֽו׃ ,וּלְשָׁבֵ֥י פֶ֖שַׁע בְּיַֽעֲקֹ֑ב ,562699,וּלְשָׁבֵ֥י פֶ֖שַׁע בְּיַֽעֲקֹ֑ב ,Main,Q,Ø,Ellp,,,,וּלְשָׁבֵ֥י פֶ֖שַׁע בְּיַֽעֲקֹ֑ב 
232653,וְעָלַ֨יִךְ֙ יִזְרַ֣ח יְהוָ֔ה ,562717,וְעָלַ֨יִךְ֙ יִזְרַ֣ח יְהוָ֔ה ,Main,Q,yqtl,WxYX,p3,ZRX[,יזרח,וְעָלַ֨יִךְ֙ יִזְרַ֣ח יְהוָ֔ה וּכְבֹודֹ֖ו עָלַ֥יִךְ יֵרָאֶֽה׃ ,וּמְלָכִ֖ים לְנֹ֥גַהּ זַרְחֵֽךְ׃ ,562720,וּמְלָכִ֖ים לְנֹ֥גַהּ זַרְחֵֽךְ׃ ,Main,Q,Ø,Ellp,,,,וּמְלָכִ֖ים לְנֹ֥גַהּ זַרְחֵֽךְ׃ 
232683,אָ֤ז תִּרְאִי֙ ,562727,אָ֤ז תִּרְאִי֙ ,Main,Q,yqtl,xYq0,p2,R>H[,תראי,אָ֤ז תִּרְאִי֙ ,וּפָחַ֥ד ,562729,וּפָחַ֥ד ,Main,Q,wqtl,WQt0,p3,PXD[,פחד,וּפָחַ֥ד 
232685,וְנָהַ֔רְתְּ ,562728,וְנָהַ֔רְתְּ ,Main,Q,wqtl,WQt0,p2,NHR=[,נהרת,וְנָהַ֔רְתְּ ,וְרָחַ֖ב לְבָבֵ֑ךְ ,562730,וְרָחַ֖ב לְבָבֵ֑ךְ ,Main,Q,wqtl,WQtX,p3,RXB[,רחב,וְרָחַ֖ב לְבָבֵ֑ךְ 
232687,וּפָחַ֥ד ,562729,וּפָחַ֥ד ,Main,Q,wqtl,WQt0,p3,PXD[,פחד,וּפָחַ֥ד ,,,,,,,,,,,
232775,כִּֽי־לִ֣י׀ אִיִּ֣ים יְקַוּ֗וּ ,562744,כִּֽי־לִ֣י׀ אִיִּ֣ים יְקַוּ֗וּ ,SubAdv,Q,yqtl,XYqt,p3,QWH[,יקוו,כִּֽי־לִ֣י׀ אִיִּ֣ים יְקַוּ֗וּ וָאֳנִיֹּ֤ות תַּרְשִׁישׁ֙ בָּרִ֣אשֹׁנָ֔ה לְהָבִ֤יא בָנַ֨יִךְ֙ מֵֽרָחֹ֔וק כַּסְפָּ֥ם וּזְהָבָ֖ם אִתָּ֑ם לְשֵׁם֙ יְהוָ֣ה אֱלֹהַ֔יִךְ וְלִקְדֹ֥ושׁ יִשְׂרָאֵ֖ל כִּ֥י פֵאֲרָֽךְ׃ ,וּמַלְכֵיהֶ֖ם יְשָׁרְת֑וּנֶךְ ,562750,וּמַלְכֵיהֶ֖ם יְשָׁרְת֑וּנֶךְ ,Main,Q,yqtl,WXYq,p3,CRT[,ישׁרתונך,וּמַלְכֵיהֶ֖ם יְשָׁרְת֑וּנֶךְ 
232791,וּבָנ֤וּ בְנֵֽי־נֵכָר֙ חֹמֹתַ֔יִךְ ,562749,וּבָנ֤וּ בְנֵֽי־נֵכָר֙ חֹמֹתַ֔יִךְ ,Main,Q,wqtl,WQtX,p3,BNH[,בנו,וּבָנ֤וּ בְנֵֽי־נֵכָר֙ חֹמֹתַ֔יִךְ וּמַלְכֵיהֶ֖ם יְשָׁרְת֑וּנֶךְ כִּ֤י בְקִצְפִּי֙ הִכִּיתִ֔יךְ וּבִרְצֹונִ֖י רִֽחַמְתִּֽיךְ׃ ,יֹומָ֥ם וָלַ֖יְלָה לֹ֣א יִסָּגֵ֑רוּ ,562754,יֹומָ֥ם וָלַ֖יְלָה לֹ֣א יִסָּגֵ֑רוּ ,Main,Q,yqtl,xYq0,p3,SGR[,יסגרו,יֹומָ֥ם וָלַ֖יְלָה לֹ֣א יִסָּגֵ֑רוּ 
232841,כְּבֹ֤וד הַלְּבָנֹון֙ אֵלַ֣יִךְ יָבֹ֔וא בְּרֹ֛ושׁ תִּדְהָ֥ר וּתְאַשּׁ֖וּר יַחְדָּ֑ו ,562761,כְּבֹ֤וד הַלְּבָנֹון֙ אֵלַ֣יִךְ יָבֹ֔וא בְּרֹ֛ושׁ תִּדְהָ֥ר וּתְאַשּׁ֖וּר יַחְדָּ֑ו ,Main,Q,yqtl,XYqt,p3,BW>[,יבוא,כְּבֹ֤וד הַלְּבָנֹון֙ אֵלַ֣יִךְ יָבֹ֔וא בְּרֹ֛ושׁ תִּדְהָ֥ר וּתְאַשּׁ֖וּר יַחְדָּ֑ו לְפָאֵר֙ מְקֹ֣ום מִקְדָּשִׁ֔י וּמְקֹ֥ום רַגְלַ֖י אֲכַבֵּֽד׃ ,שְׁחֹ֨וחַ֙ ,562765,שְׁחֹ֨וחַ֙ ,SubAdv,Q,infc,InfC,unknown,CXX[,שׁחוח,שְׁחֹ֨וחַ֙ 
232847,וְהָלְכ֨וּ אֵלַ֤יִךְ בְּנֵ֣י מְעַנַּ֔יִךְ ,562764,וְהָלְכ֨וּ אֵלַ֤יִךְ ,Main,Q,wqtl,WQt0,p3,HLK[,הלכו,וְהָלְכ֨וּ אֵלַ֤יִךְ שְׁחֹ֨וחַ֙ בְּנֵ֣י מְעַנַּ֔יִךְ ,וְקָ֤רְאוּ לָךְ֙ עִ֣יר יְהוָ֔ה צִיֹּ֖ון קְדֹ֥ושׁ יִשְׂרָאֵֽל׃ ,562768,וְקָ֤רְאוּ לָךְ֙ עִ֣יר יְהוָ֔ה צִיֹּ֖ון קְדֹ֥ושׁ יִשְׂרָאֵֽל׃ ,Main,Q,wqtl,WQt0,p3,QR>[,קראו,וְקָ֤רְאוּ לָךְ֙ עִ֣יר יְהוָ֔ה צִיֹּ֖ון קְדֹ֥ושׁ יִשְׂרָאֵֽל׃ 
