bhsa_node,ref,book,book_super,canon_part,period,genre,domain2,text_full,text_plain,lex,lex_etcbc,gloss,verb_form,stem,person,gender,number,valence,clause_atom,clause,sentence,txt_type,clause_type,cltype_simp,clause_rela,cl_args,is_question,prec_lexes,prec_pos,prec_part,ref_sbl,ref_abbr,has_objc,objc_pos,has_loca,loca_type,loca_heads,has_time
1617,Genesis 3:22,Genesis,Genesis,Law,SBH,prose,Q,אָכַ֖ל,אכל,אכל,>KL[,eat,wqtl,qal,p3,m,sg,--,וְאָכַ֖ל ,וְאָכַ֖ל ,וְאָכַ֖ל ,NQ,WQt0,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 3:22,Gen. 3:22,0,,0,,,0
1619,Genesis 3:22,Genesis,Genesis,Law,SBH,prose,Q,חַ֥י,חי,חיה,XJH[,be alive,wqtl,qal,p3,m,sg,--,וָחַ֥י לְעֹלָֽם׃ ,וָחַ֥י לְעֹלָֽם׃ ,וָחַ֥י לְעֹלָֽם׃ ,NQ,WQt0,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 3:22,Gen. 3:22,0,,0,,,1
1895,Genesis 4:14,Genesis,Genesis,Law,SBH,prose,Q,הָיִ֜יתִי,הייתי,היה,HJH[,be,wqtl,qal,p1,unknown,sg,-p,וְהָיִ֜יתִי נָ֤ע וָנָד֙ בָּאָ֔רֶץ ,וְהָיִ֜יתִי נָ֤ע וָנָד֙ בָּאָ֔רֶץ ,וְהָיִ֜יתִי נָ֤ע וָנָד֙ בָּאָ֔רֶץ ,NQ,WQt0,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 4:14,Gen. 4:14,0,,0,,,0
1903,Genesis 4:14,Genesis,Genesis,Law,SBH,prose,Q,הָיָ֥ה,היה,היה,HJH[,be,wqtl,qal,p3,m,sg,--,וְהָיָ֥ה ,וְהָיָ֥ה ,וְהָיָ֥ה ,NQ,MSyn,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 4:14,Gen. 4:14,0,,0,,,0
2654,Genesis 6:3,Genesis,Genesis,Law,SBH,prose,Q,הָי֣וּ,היו,היה,HJH[,be,wqtl,qal,p3,unknown,pl,--,וְהָי֣וּ יָמָ֔יו מֵאָ֥ה וְעֶשְׂרִ֖ים שָׁנָֽה׃ ,וְהָי֣וּ יָמָ֔יו מֵאָ֥ה וְעֶשְׂרִ֖ים שָׁנָֽה׃ ,וְהָי֣וּ יָמָ֔יו מֵאָ֥ה וְעֶשְׂרִ֖ים שָׁנָֽה׃ ,NQ,WQtX,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 6:3,Gen. 6:3,0,,0,,,0
2685,Genesis 6:4,Genesis,Genesis,Law,SBH,prose,D,יָלְד֖וּ,ילדו,ילד,JLD[,bear,wqtl,qal,p3,unknown,pl,-i,וְיָלְד֖וּ לָהֶ֑ם ,וְיָלְד֖וּ לָהֶ֑ם ,וְיָלְד֖וּ לָהֶ֑ם ,ND,WQt0,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 6:4,Gen. 6:4,0,,0,,,0
2861,Genesis 6:14,Genesis,Genesis,Law,SBH,prose,Q,כָֽפַרְתָּ֥,כפרת,כפר,KPR[,cover,wqtl,qal,p2,m,sg,dp,וְכָֽפַרְתָּ֥ אֹתָ֛הּ מִבַּ֥יִת וּמִח֖וּץ בַּכֹּֽפֶר׃ ,וְכָֽפַרְתָּ֥ אֹתָ֛הּ מִבַּ֥יִת וּמִח֖וּץ בַּכֹּֽפֶר׃ ,וְכָֽפַרְתָּ֥ אֹתָ֛הּ מִבַּ֥יִת וּמִח֖וּץ בַּכֹּֽפֶר׃ ,NQ,WQt0,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 6:14,Gen. 6:14,1,VO,1,PP,BJT/|XWY/,0
2943,Genesis 6:18,Genesis,Genesis,Law,SBH,prose,Q,הֲקִמֹתִ֥י,הקמתי,קום,QWM[,arise,wqtl,hif,p1,unknown,sg,,וַהֲקִמֹתִ֥י אֶת־בְּרִיתִ֖י אִתָּ֑ךְ ,וַהֲקִמֹתִ֥י אֶת־בְּרִיתִ֖י אִתָּ֑ךְ ,וַהֲקִמֹתִ֥י אֶת־בְּרִיתִ֖י אִתָּ֑ךְ ,NQ,WQt0,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 6:18,Gen. 6:18,1,VO,0,,,0
2948,Genesis 6:18,Genesis,Genesis,Law,SBH,prose,Q,בָאתָ֙,באת,בוא,BW>[,come,wqtl,qal,p2,m,sg,-c,וּבָאתָ֙ אֶל־הַתֵּבָ֔ה אַתָּ֕ה וּבָנֶ֛יךָ וְאִשְׁתְּךָ֥ וּנְשֵֽׁי־בָנֶ֖יךָ אִתָּֽךְ׃ ,וּבָאתָ֙ אֶל־הַתֵּבָ֔ה אַתָּ֕ה וּבָנֶ֛יךָ וְאִשְׁתְּךָ֥ וּנְשֵֽׁי־בָנֶ֖יךָ אִתָּֽךְ׃ ,וּבָאתָ֙ אֶל־הַתֵּבָ֔ה אַתָּ֕ה וּבָנֶ֛יךָ וְאִשְׁתְּךָ֥ וּנְשֵֽׁי־בָנֶ֖יךָ אִתָּֽךְ׃ ,NQ,WQtX,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 6:18,Gen. 6:18,0,,0,,,0
3018,Genesis 6:21,Genesis,Genesis,Law,SBH,prose,Q,אָסַפְתָּ֖,אספת,אסף,>SP[,gather,wqtl,qal,p2,m,sg,-i,וְאָסַפְתָּ֖ אֵלֶ֑יךָ ,וְאָסַפְתָּ֖ אֵלֶ֑יךָ ,וְאַתָּ֣ה קַח־לְךָ֗ מִכָּל־מַֽאֲכָל֙ אֲשֶׁ֣ר יֵֽאָכֵ֔ל וְאָסַפְתָּ֖ אֵלֶ֑יךָ ,NQ,WQt0,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 6:21,Gen. 6:21,0,,0,,,0
3021,Genesis 6:21,Genesis,Genesis,Law,SBH,prose,Q,הָיָ֥ה,היה,היה,HJH[,be,wqtl,qal,p3,m,sg,-i,וְהָיָ֥ה לְךָ֛ וְלָהֶ֖ם לְאָכְלָֽה׃ ,וְהָיָ֥ה לְךָ֛ וְלָהֶ֖ם לְאָכְלָֽה׃ ,וְהָיָ֥ה לְךָ֛ וְלָהֶ֖ם לְאָכְלָֽה׃ ,NQ,WQt0,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 6:21,Gen. 6:21,0,,0,,,0
3121,Genesis 7:4,Genesis,Genesis,Law,SBH,prose,Q,מָחִ֗יתִי,מחיתי,מחה,MXH[,wipe,wqtl,qal,p1,unknown,sg,dc,וּמָחִ֗יתִי אֶֽת־כָּל־הַיְקוּם֙ ,וּמָחִ֗יתִי אֶֽת־כָּל־הַיְקוּם֙ מֵעַ֖ל פְּנֵ֥י הָֽאֲדָמָֽה׃ ,וּמָחִ֗יתִי אֶֽת־כָּל־הַיְקוּם֙ אֲשֶׁ֣ר עָשִׂ֔יתִי מֵעַ֖ל פְּנֵ֥י הָֽאֲדָמָֽה׃ ,NQ,WQt0,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 7:4,Gen. 7:4,1,VO,0,,,0
3900,Genesis 8:17,Genesis,Genesis,Law,SBH,prose,Q,שָֽׁרְצ֣וּ,שׁרצו,שׁרץ,CRY[,swarm,wqtl,qal,p3,unknown,pl,-p,וְשָֽׁרְצ֣וּ בָאָ֔רֶץ ,וְשָֽׁרְצ֣וּ בָאָ֔רֶץ ,וְשָֽׁרְצ֣וּ בָאָ֔רֶץ ,NQ,WQt0,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 8:17,Gen. 8:17,0,,0,,,0
3905,Genesis 8:17,Genesis,Genesis,Law,SBH,prose,Q,פָר֥וּ,פרו,פרה,PRH[,be fertile,wqtl,qal,p3,unknown,pl,--,וּפָר֥וּ ,וּפָר֥וּ ,וּפָר֥וּ ,NQ,WQt0,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 8:17,Gen. 8:17,0,,0,,,0
3907,Genesis 8:17,Genesis,Genesis,Law,SBH,prose,Q,רָב֖וּ,רבו,רבה,RBH[,be many,wqtl,qal,p3,unknown,pl,-p,וְרָב֖וּ עַל־הָאָֽרֶץ׃ ,וְרָב֖וּ עַל־הָאָֽרֶץ׃ ,וְרָב֖וּ עַל־הָאָֽרֶץ׃ ,NQ,WQt0,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 8:17,Gen. 8:17,0,,1,PP,>RY/,0
4218,Genesis 9:11,Genesis,Genesis,Law,SBH,prose,Q,הֲקִמֹתִ֤י,הקמתי,קום,QWM[,arise,wqtl,hif,p1,unknown,sg,,וַהֲקִמֹתִ֤י אֶת־בְּרִיתִי֙ אִתְּכֶ֔ם ,וַהֲקִמֹתִ֤י אֶת־בְּרִיתִי֙ אִתְּכֶ֔ם ,וַהֲקִמֹתִ֤י אֶת־בְּרִיתִי֙ אִתְּכֶ֔ם ,NQ,WQt0,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 9:11,Gen. 9:11,1,VO,0,,,0
4271,Genesis 9:13,Genesis,Genesis,Law,SBH,prose,Q,הָֽיְתָה֙,היתה,היה,HJH[,be,wqtl,qal,p3,f,sg,-p,וְהָֽיְתָה֙ לְאֹ֣ות בְּרִ֔ית בֵּינִ֖י וּבֵ֥ין הָאָֽרֶץ׃ ,וְהָֽיְתָה֙ לְאֹ֣ות בְּרִ֔ית בֵּינִ֖י וּבֵ֥ין הָאָֽרֶץ׃ ,וְהָֽיְתָה֙ לְאֹ֣ות בְּרִ֔ית בֵּינִ֖י וּבֵ֥ין הָאָֽרֶץ׃ ,NQ,WQt0,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 9:13,Gen. 9:13,0,,0,,,0
4281,Genesis 9:14,Genesis,Genesis,Law,SBH,prose,Q,הָיָ֕ה,היה,היה,HJH[,be,wqtl,qal,p3,m,sg,--,וְהָיָ֕ה ,וְהָיָ֕ה ,וְהָיָ֕ה בְּעַֽנְנִ֥י עָנָ֖ן עַל־הָאָ֑רֶץ ,NQ,WQt0,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 9:14,Gen. 9:14,0,,0,,,0
4289,Genesis 9:14,Genesis,Genesis,Law,SBH,prose,Q,נִרְאֲתָ֥ה,נראתה,ראה,R>H[,see,wqtl,nif,p3,f,sg,,וְנִרְאֲתָ֥ה הַקֶּ֖שֶׁת בֶּעָנָֽן׃ ,וְנִרְאֲתָ֥ה הַקֶּ֖שֶׁת בֶּעָנָֽן׃ ,וְנִרְאֲתָ֥ה הַקֶּ֖שֶׁת בֶּעָנָֽן׃ ,NQ,WQtX,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 9:14,Gen. 9:14,0,,0,,,0
4296,Genesis 9:15,Genesis,Genesis,Law,SBH,prose,Q,זָכַרְתִּ֣י,זכרתי,זכר,ZKR[,remember,wqtl,qal,p1,unknown,sg,d-,וְזָכַרְתִּ֣י אֶת־בְּרִיתִ֗י ,וְזָכַרְתִּ֣י אֶת־בְּרִיתִ֗י ,וְזָכַרְתִּ֣י אֶת־בְּרִיתִ֗י אֲשֶׁ֤ר בֵּינִי֙ וּבֵ֣ינֵיכֶ֔ם וּבֵ֛ין כָּל־נֶ֥פֶשׁ חַיָּ֖ה בְּכָל־בָּשָׂ֑ר ,NQ,WQt0,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 9:15,Gen. 9:15,1,VO,0,,,0
4324,Genesis 9:16,Genesis,Genesis,Law,SBH,prose,Q,הָיְתָ֥ה,היתה,היה,HJH[,be,wqtl,qal,p3,f,sg,--,וְהָיְתָ֥ה הַקֶּ֖שֶׁת בֶּֽעָנָ֑ן ,וְהָיְתָ֥ה הַקֶּ֖שֶׁת בֶּֽעָנָ֑ן ,וְהָיְתָ֥ה הַקֶּ֖שֶׁת בֶּֽעָנָ֑ן ,NQ,WQtX,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 9:16,Gen. 9:16,0,,0,,,0
4331,Genesis 9:16,Genesis,Genesis,Law,SBH,prose,Q,רְאִיתִ֗יהָ,ראיתיה,ראה,R>H[,see,wqtl,qal,p1,unknown,sg,i.,וּרְאִיתִ֗יהָ ,וּרְאִיתִ֗יהָ ,וּרְאִיתִ֗יהָ לִזְכֹּר֙ בְּרִ֣ית עֹולָ֔ם בֵּ֣ין אֱלֹהִ֔ים וּבֵין֙ כָּל־נֶ֣פֶשׁ חַיָּ֔ה בְּכָל־בָּשָׂ֖ר אֲשֶׁ֥ר עַל־הָאָֽרֶץ׃ ,NQ,WQt0,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 9:16,Gen. 9:16,1,VO?,0,,,0
5525,Genesis 12:3,Genesis,Genesis,Law,SBH,prose,Q,נִבְרְכ֣וּ,נברכו,ברך,BRK[,bless,wqtl,nif,p3,unknown,pl,,וְנִבְרְכ֣וּ בְךָ֔ כֹּ֖ל מִשְׁפְּחֹ֥ת הָאֲדָמָֽה׃ ,וְנִבְרְכ֣וּ בְךָ֔ כֹּ֖ל מִשְׁפְּחֹ֥ת הָאֲדָמָֽה׃ ,וְנִבְרְכ֣וּ בְךָ֔ כֹּ֖ל מִשְׁפְּחֹ֥ת הָאֲדָמָֽה׃ ,NQ,WQtX,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 12:3,Gen. 12:3,0,,0,,,0
5715,Genesis 12:12,Genesis,Genesis,Law,SBH,prose,Q,הָיָ֗ה,היה,היה,HJH[,be,wqtl,qal,p3,m,sg,--,וְהָיָ֗ה ,וְהָיָ֗ה ,וְהָיָ֗ה כִּֽי־יִרְא֤וּ אֹתָךְ֙ הַמִּצְרִ֔ים ,NQ,WQt0,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 12:12,Gen. 12:12,0,,0,,,0
5722,Genesis 12:12,Genesis,Genesis,Law,SBH,prose,Q,אָמְר֖וּ,אמרו,אמר,>MR[,say,wqtl,qal,p3,unknown,pl,--,וְאָמְר֖וּ ,וְאָמְר֖וּ ,וְאָמְר֖וּ ,NQ,WQt0,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 12:12,Gen. 12:12,1,VO?,0,,,0
5726,Genesis 12:12,Genesis,Genesis,Law,SBH,prose,Q,הָרְג֥וּ,הרגו,הרג,HRG[,kill,wqtl,qal,p3,unknown,pl,d-,וְהָרְג֥וּ אֹתִ֖י ,וְהָרְג֥וּ אֹתִ֖י ,וְהָרְג֥וּ אֹתִ֖י ,NQ,WQt0,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 12:12,Gen. 12:12,1,VO,0,,,0
5741,Genesis 12:13,Genesis,Genesis,Law,SBH,prose,Q,חָיְתָ֥ה,חיתה,חיה,XJH[,be alive,wqtl,qal,p3,f,sg,--,וְחָיְתָ֥ה נַפְשִׁ֖י בִּגְלָלֵֽךְ׃ ,וְחָיְתָ֥ה נַפְשִׁ֖י בִּגְלָלֵֽךְ׃ ,וְחָיְתָ֥ה נַפְשִׁ֖י בִּגְלָלֵֽךְ׃ ,NQ,WQtX,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 12:13,Gen. 12:13,0,,0,,,0
6160,Genesis 13:16,Genesis,Genesis,Law,SBH,prose,Q,שַׂמְתִּ֥י,שׂמתי,שׂים,FJM[,put,wqtl,qal,p1,unknown,sg,k.,וְשַׂמְתִּ֥י אֶֽת־זַרְעֲךָ֖ כַּעֲפַ֣ר הָאָ֑רֶץ ,וְשַׂמְתִּ֥י אֶֽת־זַרְעֲךָ֖ כַּעֲפַ֣ר הָאָ֑רֶץ ,וְשַׂמְתִּ֥י אֶֽת־זַרְעֲךָ֖ כַּעֲפַ֣ר הָאָ֑רֶץ אֲשֶׁ֣ר׀ אִם־יוּכַ֣ל אִ֗ישׁ לִמְנֹות֙ אֶת־עֲפַ֣ר הָאָ֔רֶץ גַּֽם־זַרְעֲךָ֖ יִמָּנֶֽה׃ ,NQ,WQt0,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 13:16,Gen. 13:16,1,VO,0,,,0
6772,Genesis 15:6,Genesis,Genesis,Law,SBH,prose,N,הֶאֱמִ֖ן,האמן,אמן,>MN[,be firm,wqtl,hif,p3,m,sg,,וְהֶאֱמִ֖ן בַּֽיהוָ֑ה ,וְהֶאֱמִ֖ן בַּֽיהוָ֑ה ,וְהֶאֱמִ֖ן בַּֽיהוָ֑ה ,?N,WQt0,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 15:6,Gen. 15:6,0,,0,,,0
6894,Genesis 15:13,Genesis,Genesis,Law,SBH,prose,Q,עֲבָד֖וּם,עבדום,עבד,<BD[,"work, serve",wqtl,qal,p3,unknown,pl,d-,וַעֲבָד֖וּם ,וַעֲבָד֖וּם ,יָדֹ֨עַ תֵּדַ֜ע כִּי־גֵ֣ר׀ יִהְיֶ֣ה זַרְעֲךָ֗ בְּאֶ֨רֶץ֙ לֹ֣א לָהֶ֔ם וַעֲבָד֖וּם ,?NQ,WQt0,W,SubAdv,_W_V,0,_W_,_conj_,_W_,Gen 15:13,Gen. 15:13,1,VO?,0,,,0
6896,Genesis 15:13,Genesis,Genesis,Law,SBH,prose,Q,עִנּ֣וּ,ענו,ענה,<NH=[,be lowly,wqtl,piel,p3,unknown,pl,,וְעִנּ֣וּ אֹתָ֑ם אַרְבַּ֥ע מֵאֹ֖ות שָׁנָֽה׃ ,וְעִנּ֣וּ אֹתָ֑ם אַרְבַּ֥ע מֵאֹ֖ות שָׁנָֽה׃ ,וְעִנּ֣וּ אֹתָ֑ם אַרְבַּ֥ע מֵאֹ֖ות שָׁנָֽה׃ ,?NQ,WQt0,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 15:13,Gen. 15:13,1,VO,0,,,1
7235,Genesis 16:11,Genesis,Genesis,Law,SBH,prose,Q,קָרָ֤את,קראת,קרא,QR>[,call,wqtl,qal,p2,f,sg,n.,וְקָרָ֤את שְׁמֹו֙ יִשְׁמָעֵ֔אל ,וְקָרָ֤את שְׁמֹו֙ יִשְׁמָעֵ֔אל ,וְקָרָ֤את שְׁמֹו֙ יִשְׁמָעֵ֔אל ,?NQ,WQt0,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 16:11,Gen. 16:11,1,VOO,0,,,0
7378,Genesis 17:4,Genesis,Genesis,Law,SBH,prose,Q,הָיִ֕יתָ,היית,היה,HJH[,be,wqtl,qal,p2,m,sg,-i,וְהָיִ֕יתָ לְאַ֖ב הֲמֹ֥ון גֹּויִֽם׃ ,וְהָיִ֕יתָ לְאַ֖ב הֲמֹ֥ון גֹּויִֽם׃ ,אֲנִ֕י הִנֵּ֥ה בְרִיתִ֖י אִתָּ֑ךְ וְהָיִ֕יתָ לְאַ֖ב הֲמֹ֥ון גֹּויִֽם׃ ,NQ,WQt0,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 17:4,Gen. 17:4,0,,0,,,0
7391,Genesis 17:5,Genesis,Genesis,Law,SBH,prose,Q,הָיָ֤ה,היה,היה,HJH[,be,wqtl,qal,p3,m,sg,--,וְהָיָ֤ה שִׁמְךָ֙ אַבְרָהָ֔ם ,וְהָיָ֤ה שִׁמְךָ֙ אַבְרָהָ֔ם ,וְהָיָ֤ה שִׁמְךָ֙ אַבְרָהָ֔ם ,NQ,WQtX,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 17:5,Gen. 17:5,0,,0,,,0
7400,Genesis 17:6,Genesis,Genesis,Law,SBH,prose,Q,הִפְרֵתִ֤י,הפרתי,פרה,PRH[,be fertile,wqtl,hif,p1,unknown,sg,,וְהִפְרֵתִ֤י אֹֽתְךָ֙ בִּמְאֹ֣ד מְאֹ֔ד ,וְהִפְרֵתִ֤י אֹֽתְךָ֙ בִּמְאֹ֣ד מְאֹ֔ד ,וְהִפְרֵתִ֤י אֹֽתְךָ֙ בִּמְאֹ֣ד מְאֹ֔ד ,NQ,WQt0,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 17:6,Gen. 17:6,1,VO,0,,,0
7406,Genesis 17:6,Genesis,Genesis,Law,SBH,prose,Q,נְתַתִּ֖יךָ,נתתיך,נתן,NTN[,give,wqtl,qal,p1,unknown,sg,l.,וּנְתַתִּ֖יךָ לְגֹויִ֑ם ,וּנְתַתִּ֖יךָ לְגֹויִ֑ם ,וּנְתַתִּ֖יךָ לְגֹויִ֑ם ,NQ,WQt0,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 17:6,Gen. 17:6,1,VO?,0,,,0
