bhsa_node,esv_tags,esv_VBtags,esv_TAM,esv_TAMsimp,niv_tags,niv_VBtags,niv_TAM,niv_TAMsimp,eng_fullparse,eng_TAM,eng_TAMsimp,eng_agree,eng_simp_agree
63793,MD|VB|VBN|RP,VB|VBN,MOD shall,MOD shall,MD|VB|VBN|RP,VB|VBN,MOD must,MOD must,1,MOD must ~ MOD shall,MOD must ~ MOD shall,0,0
63802,VB,VB,IMPV,IMPV,VB,VB,IMPV,IMPV,1,IMPV,IMPV,1,1
63837,VB,VB,IMPV,IMPV,VB,VB,IMPV,IMPV,1,IMPV,IMPV,1,1
63923,MD|VB|VBN|RP,VB|VBN,MOD shall,MOD shall,MD|VB|VBN|RP,VB|VBN,MOD must,MOD must,1,MOD must ~ MOD shall,MOD must ~ MOD shall,0,0
63988,VB,VB,PRES,PRES,VB,VB,IMPV do not,IMPV,1,IMPV do not ~ PRES,IMPV ~ PRES,0,0
64019,PRP|MD|VB,VB,MOD shall,MOD shall,VB,VB,IMPV,IMPV,1,IMPV ~ MOD shall,IMPV ~ MOD shall,0,0
64079,PRP|MD|VB,VB,MOD shall,MOD shall,VB,VB,IMPV,IMPV,1,IMPV ~ MOD shall,IMPV ~ MOD shall,0,0
64134,PRP|MD|VB,VB,MOD shall,MOD shall,MD|VB,VB,MOD must,MOD must,1,MOD must ~ MOD shall,MOD must ~ MOD shall,0,0
64146,MD|VB|NN,VB,MOD shall,MOD shall,VBZ|TO|VB|JJ,VBZ|VB,MOD is to,MOD is to,1,MOD is to ~ MOD shall,MOD is to ~ MOD shall,0,0
64162,PRP|MD|VB|VBN,VB|VBN,MOD shall,MOD shall,MD|VB|VBN,VB|VBN,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,0
64175,NN,,,,NN,,,,0,,,0,0
64180,PRP|MD|VB|IN|VBN,VB|VBN,MOD shall,MOD shall,VB|IN|VBN,VB|VBN,IMPV,IMPV,1,IMPV ~ MOD shall,IMPV ~ MOD shall,0,0
64268,VBP|JJ,VBP,PRES,PRES,VB|VBN,VB|VBN,FUT,FUT,1,FUT ~ PRES,FUT ~ PRES,0,0
64302,VB,VB,MOD shall,MOD shall,VB|NN,VB,IMPV,IMPV,1,IMPV ~ MOD shall,IMPV ~ MOD shall,0,0
64306,PRP|MD|VB,VB,MOD shall,MOD shall,VB,VB,IMPV,IMPV,1,IMPV ~ MOD shall,IMPV ~ MOD shall,0,0
64332,PRP|MD|VB,VB,MOD shall,MOD shall,VB,VB,IMPV,IMPV,1,IMPV ~ MOD shall,IMPV ~ MOD shall,0,0
64381,PRP|MD|VB,VB,MOD shall,MOD shall,VB,VB,IMPV,IMPV,1,IMPV ~ MOD shall,IMPV ~ MOD shall,0,0
64390,VB,VB,MOD shall,MOD shall,VB,VB,IMPV,IMPV,1,IMPV ~ MOD shall,IMPV ~ MOD shall,0,0
64446,MD|VB|RP,VB,FUT,FUT,PRP|MD|VB|RP,VB,FUT,FUT,1,FUT,FUT,1,1
64494,MD|VB,VB,FUT,FUT,MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
64507,MD|VB|RP,VB,FUT,FUT,MD|VB|RP,VB,FUT,FUT,1,FUT,FUT,1,1
64539,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
64548,MD|VB|RP,VB,FUT,FUT,PRP|MD|VB|RP,VB,FUT,FUT,1,FUT,FUT,1,1
64554,VB|NNS,VB,IMPV,IMPV,VB|NNS,VB,IMPV,IMPV,1,IMPV,IMPV,1,1
64556,VB,VB,IMPV,IMPV,VB,VB,IMPV,IMPV,1,IMPV,IMPV,1,1
64563,VB,VB,IMPV,IMPV,VB,VB,IMPV,IMPV,1,IMPV,IMPV,1,1
64567,VB,VB,IMPV,IMPV,VB,VB,IMPV,IMPV,1,IMPV,IMPV,1,1
64701,PRP|MD|VB,VB,MOD shall,MOD shall,VB,VB,IMPV,IMPV,1,IMPV ~ MOD shall,IMPV ~ MOD shall,0,0
64725,VBZ,VBZ,PRES,PRES,PRP|VBP|JJ|NNS,VBP,PRES,PRES,1,PRES,PRES,1,1
64736,PRP|MD|VB|VBN|RP,VB|VBN,MOD shall,MOD shall,PRP|MD|VB|VBN|RP,VB|VBN,MOD must,MOD must,1,MOD must ~ MOD shall,MOD must ~ MOD shall,0,0
64754,VBZ,VBZ,PRES,PRES,VBZ|JJ|NNS|IN,VBZ,PRES,PRES,1,PRES,PRES,1,1
64767,MD|VB|VBN|RP,VB|VBN,MOD shall,MOD shall,MD|VB|VBN|RP,VB|VBN,MOD must,MOD must,1,MOD must ~ MOD shall,MOD must ~ MOD shall,0,0
64815,PRP|MD|VB,VB,MOD shall,MOD shall,VB,VB,IMPV,IMPV,1,IMPV ~ MOD shall,IMPV ~ MOD shall,0,0
64824,VB,VB,MOD shall,MOD shall,VB,VB,IMPV,IMPV,1,IMPV ~ MOD shall,IMPV ~ MOD shall,0,0
64889,PRP|MD|VB,VB,MOD shall,MOD shall,PRP|MD|VB|DT|NN,VB,MOD must,MOD must,1,MOD must ~ MOD shall,MOD must ~ MOD shall,0,0
64932,PRP|MD|VB,VB,MOD shall,MOD shall,PRP|VBP|TO|VB,VBP|VB,MOD is to,MOD is to,1,MOD is to ~ MOD shall,MOD is to ~ MOD shall,0,0
64979,VB,VB,IMPV,IMPV,VB,VB,IMPV,IMPV,1,IMPV,IMPV,1,1
65064,PRP|MD|VB,VB,MOD shall,MOD shall,PRP|VBP|TO|VB,VBP|VB,MOD is to,MOD is to,1,MOD is to ~ MOD shall,MOD is to ~ MOD shall,0,0
65085,PRP|MD|VB,VB,MOD shall,MOD shall,VB|IN|JJ,VB,IMPV,IMPV,1,IMPV ~ MOD shall,IMPV ~ MOD shall,0,0
65131,WP|VBZ|VBN|VBN,VBZ|VBN|VBN,PRES PERF,PRES PERF,VBZ|VBN|VBN,VBZ|VBN|VBN,PRES PERF,PRES PERF,1,PRES PERF,PRES PERF,1,1
65411,MD|VB|VBN|RP,VB|VBN,MOD shall,MOD shall,MD|VB|VBN|RP,VB|VBN,MOD must,MOD must,1,MOD must ~ MOD shall,MOD must ~ MOD shall,0,0
65477,MD|VB|JJ,VB,MOD shall,MOD shall,MD|VB|JJ,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,0
65495,VBZ|RP,VBZ,PRES,PRES,VBZ|RP,VBZ,PRES,PRES,1,PRES,PRES,1,1
65499,PRP|MD|VB|JJ,VB,MOD shall,MOD shall,PRP|MD|VB|JJ,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,0
65520,PRP|MD|VB,VB,MOD shall,MOD shall,DT|NNS|VBP|TO|VB,VBP|VB,MOD is to,MOD is to,1,MOD is to ~ MOD shall,MOD is to ~ MOD shall,0,0
65529,VB,VB,MOD lest,MOD lest,VB,VB,PRES do not,PRES,1,MOD lest ~ PRES do not,MOD lest ~ PRES,0,0
65594,NNS,,,,PRP|VBZ,VBZ,PRES,PRES,0,,,0,0
65618,PRP|MD|VB,VB,MOD shall,MOD shall,VB,VB,MOD must,MOD must,1,MOD must ~ MOD shall,MOD must ~ MOD shall,0,0
65622,VB,VB,MOD shall,MOD shall,PRP|MD|VB|NN,VB,MOD must,MOD must,1,MOD must ~ MOD shall,MOD must ~ MOD shall,0,0
65642,VB|TO|VB,VB|VB,PRES,PRES,VB,VB,PRES,PRES,1,PRES,PRES,1,1
65673,VB,VB,IMPV,IMPV,VB,VB,IMPV,IMPV,1,IMPV,IMPV,1,1
65852,PRP|MD|VB,VB,MOD shall,MOD shall,PRP|VBZ|TO|VB,VBZ|VB,MOD is to,MOD is to,1,MOD is to ~ MOD shall,MOD is to ~ MOD shall,0,0
65907,PRP|MD|VB,VB,MOD shall,MOD shall,VB,VB,IMPV,IMPV,1,IMPV ~ MOD shall,IMPV ~ MOD shall,0,0
65910,VB,VB,MOD shall,MOD shall,VB,VB,IMPV,IMPV,1,IMPV ~ MOD shall,IMPV ~ MOD shall,0,0
65921,PRP|MD|VB|VBN,VB|VBN,MOD may,MOD may,PRP|MD|VB|VBN|IN|JJ,VB|VBN,MOD must,MOD must,1,MOD may ~ MOD must,MOD may ~ MOD must,0,0
65954,VB,VB,IMPV,IMPV,VB,VB,IMPV,IMPV,1,IMPV,IMPV,1,1
66052,PRP|MD|VB,VB,MOD shall,MOD shall,VBP,VBP,IMPV,IMPV,1,IMPV ~ MOD shall,IMPV ~ MOD shall,0,0
66082,VB,VB,IMPV,IMPV,VB,VB,IMPV,IMPV,1,IMPV,IMPV,1,1
66094,VB,VB,PRES,PRES,PRP|VBP,VBP,PRES,PRES,1,PRES,PRES,1,1
66098,PRP|MD|VB,VB,MOD shall,MOD shall,VB,VB,IMPV,IMPV,1,IMPV ~ MOD shall,IMPV ~ MOD shall,0,0
66107,PRP|MD|VB,VB,MOD shall,MOD shall,PRP|VBZ|TO|VB,VBZ|VB,MOD is to,MOD is to,1,MOD is to ~ MOD shall,MOD is to ~ MOD shall,0,0
