bhsa_node,mother_clause,mother_cl_atom,mother_clause_atom,mother_rela,mother_domain2,mother_verbtype,mother_type,mother_verb_ps,mother_verb_lex,mother_verbplain,daught_clause,daught_cl_atom,daught_clause_atom,daught_rela,daught_domain2,daught_verbtype,daught_type,daught_verb_ps,daught_verb_lex,daught_verbplain
69107,וְהֶֽעֱמִידֹו֙ לִפְנֵ֣י הַכֹּהֵ֔ן ,529405,וְהֶֽעֱמִידֹו֙ לִפְנֵ֣י הַכֹּהֵ֔ן ,Main,Q,wqtl,WQt0,p3,<MD[,העמידו,עַל־פִּ֗י יַעֲרִיכֶ֖נּוּ הַכֹּהֵֽן׃ ס ,529407,עַל־פִּ֗י ,Main,Q,Ø,Defc,,,
69159,וְאִם־הָמֵ֨ר יָמִ֤יר בְּהֵמָה֙ בִּבְהֵמָ֔ה ,529419,וְאִם־הָמֵ֨ר יָמִ֤יר בְּהֵמָה֙ בִּבְהֵמָ֔ה ,SubAdv,Q,yqtl,WxY0,p3,MWR[,ימיר,ה֥וּא וּתְמוּרָתֹ֖ו יִֽהְיֶה־קֹּֽדֶשׁ׃ ,529421,ה֥וּא וּתְמוּרָתֹ֖ו יִֽהְיֶה־קֹּֽדֶשׁ׃ ,Main,Q,yqtl,XYqt,p3,HJH[,יהיה
69178,וְאִם֙ כָּל־בְּהֵמָ֣ה טְמֵאָ֔ה ,529422,וְאִם֙ כָּל־בְּהֵמָ֣ה טְמֵאָ֔ה ,SubAdv,Q,Ø,CPen,,,,וְהֶעֱרִ֤יךְ הַכֹּהֵן֙ אֹתָ֔הּ בֵּ֥ין טֹ֖וב וּבֵ֣ין רָ֑ע ,529425,וְהֶעֱרִ֤יךְ הַכֹּהֵן֙ אֹתָ֔הּ בֵּ֥ין טֹ֖וב וּבֵ֣ין רָ֑ע ,Main,Q,wqtl,WQtX,p3,<RK[,העריך
69187,וְהֶֽעֱמִ֥יד אֶת־הַבְּהֵמָ֖ה לִפְנֵ֥י הַכֹּהֵֽן׃ ,529424,וְהֶֽעֱמִ֥יד אֶת־הַבְּהֵמָ֖ה לִפְנֵ֥י הַכֹּהֵֽן׃ ,Main,Q,wqtl,WQt0,p3,<MD[,העמיד,כְּעֶרְכְּךָ֥ הַכֹּהֵ֖ן כֵּ֥ן יִהְיֶֽה׃ ,529426,כְּעֶרְכְּךָ֥ הַכֹּהֵ֖ן כֵּ֥ן יִהְיֶֽה׃ ,Main,Q,yqtl,xYq0,p3,HJH[,יהיה
69207,וְאִם־גָּאֹ֖ל יִגְאָלֶ֑נָּה ,529427,וְאִם־גָּאֹ֖ל יִגְאָלֶ֑נָּה ,SubAdv,Q,yqtl,WxY0,p3,G>L[,יגאלנה,,,,,,,,,,
69221,כִּֽי־יַקְדִּ֨שׁ אֶת־בֵּיתֹ֥ו קֹ֨דֶשׁ֙ לַֽיהוָ֔ה ,529430,כִּֽי־יַקְדִּ֨שׁ אֶת־בֵּיתֹ֥ו קֹ֨דֶשׁ֙ לַֽיהוָ֔ה ,SubAdv,Q,yqtl,xYq0,p3,QDC[,יקדשׁ,כֵּ֥ן יָקֽוּם׃ ,529433,כֵּ֥ן יָקֽוּם׃ ,Main,Q,yqtl,xYq0,p3,QWM[,יקום
69245,וְאִ֨ם־הַמַּקְדִּ֔ישׁ יִגְאַ֖ל אֶת־בֵּיתֹ֑ו ,529434,וְאִ֨ם־הַמַּקְדִּ֔ישׁ יִגְאַ֖ל אֶת־בֵּיתֹ֑ו ,SubAdv,Q,yqtl,WXYq,p3,G>L[,יגאל,וְהָ֥יָה לֹֽו׃ ,529436,וְהָ֥יָה לֹֽו׃ ,Main,Q,wqtl,WQt0,p3,HJH[,היה
69251,וְ֠יָסַף חֲמִישִׁ֧ית כֶּֽסֶף־עֶרְכְּךָ֛ עָלָ֖יו ,529435,וְ֠יָסַף חֲמִישִׁ֧ית כֶּֽסֶף־עֶרְכְּךָ֛ עָלָ֖יו ,Main,Q,wqtl,WQt0,p3,JSP[,יסף,,,,,,,,,,
69263,וְאִ֣ם׀ מִשְּׂדֵ֣ה אֲחֻזָּתֹ֗ו יַקְדִּ֥ישׁ אִישׁ֙ לַֽיהוָ֔ה ,529437,וְאִ֣ם׀ מִשְּׂדֵ֣ה אֲחֻזָּתֹ֗ו יַקְדִּ֥ישׁ אִישׁ֙ לַֽיהוָ֔ה ,SubAdv,Q,yqtl,WxYX,p3,QDC[,יקדישׁ,,,,,,,,,,
69293,וְאִם־אַחַ֣ר הַיֹּבֵל֮ יַקְדִּ֣ישׁ שָׂדֵהוּ֒ ,529441,וְאִם־אַחַ֣ר הַיֹּבֵל֮ יַקְדִּ֣ישׁ שָׂדֵהוּ֒ ,SubAdv,Q,yqtl,WxY0,p3,QDC[,יקדישׁ,הַנֹּ֣ותָרֹ֔ת עַ֖ד שְׁנַ֣ת הַיֹּבֵ֑ל ,529443,הַנֹּ֣ותָרֹ֔ת עַ֖ד שְׁנַ֣ת הַיֹּבֵ֑ל ,SubMod,Q,ptcp,Ptcp,unknown,JTR[,נותרת
