bhsa_node,french_tense
61396,
61403,
61438,
61455,
61460,
61524,
61579,
61584,
61602,
61607,
61621,
61626,
61639,
61642,
61647,
61681,
61686,
61705,
61708,
61713,
61742,
61749,
61752,
61758,
61774,
61783,
61788,
61799,
61816,
61824,
61840,
61845,
61858,
61863,
61914,
61919,
61936,
61941,
61977,
62048,
62051,
62056,
62066,
62088,
62098,
62111,
62122,
62277,
62284,
62303,
62312,
62318,
62324,
62333,
62350,
62363,
62391,
62400,
62406,
62414,
62435,
62442,
62453,
62468,
62474,
62496,
62506,
62516,
62527,
62538,
62582,
62593,
62602,
62605,
62616,
62623,
62633,
62635,
62641,
62656,
62663,
62675,
62690,
62697,
62705,
62716,
62724,
62730,
62743,
62746,
62756,
62760,
62762,
62771,
62796,
62836,
62855,
62869,
62925,
62931,
62947,
62956,
62982,
63027,
63086,
63109,
63120,
63127,
63140,
63202,
63228,
63239,
63316,
63320,
63367,
63370,
63375,
63380,
63390,
63404,
63449,
63461,
63721,
63793,
63802,
63837,
63923,
63988,
64019,
64079,
64134,
64146,
64162,
64175,
64180,
64268,
64302,
64306,
64332,
64381,
64390,
64446,
64494,
64507,
64539,
64548,
64554,
64556,
64563,
64567,
64701,
64725,
64736,
64754,
64767,
64815,
64824,
64889,
64932,
64979,
65064,
65085,
65131,
65411,
65477,
65495,
65499,
65520,
65529,
65594,
65618,
65622,
65642,imparfait
65673,
65852,
65907,
65910,
65921,
65954,
66052,
66082,
66094,
66098,
66107,
66124,
66186,
66214,
66235,
66266,
66281,
66304,
66392,
66423,
66427,
66467,
66485,
66510,
66586,
66682,
66702,
66710,
66838,
66841,
66854,
66870,
66877,
66906,
66913,
67008,
67017,
67035,
67177,
67189,
67205,
67248,
67287,
67297,
67309,
67333,
67340,
67353,
67464,
67472,
67480,
67483,
67490,
67495,
67499,
67522,
67532,
67541,
67548,
67594,
67598,
67604,
67616,
67619,
67624,
67629,
67640,
67652,
67664,
67669,
67681,
67700,
67766,
67802,
67806,
67812,
67822,
67826,
67868,
67888,
67896,
67923,
67965,
67970,
68004,
68008,
68044,
68046,
68058,
68094,
68122,
68189,
68192,
68197,
68208,
68219,
68224,
68230,
68236,
68241,
68254,
68258,
68265,
68275,
68283,
68286,
68289,
68292,
68297,
68307,
68317,
68321,
68393,
68409,
68415,
68418,
68422,passé_comp
68427,
68431,
68444,
68452,
68457,
68470,
68500,
68507,
68514,
68517,
68521,
68524,
68534,
68538,
68545,
68553,
68560,
68564,
68569,passé_comp
68579,
68587,
68593,
68605,
68610,
68616,
68624,
68632,
68636,
68640,
68647,
68651,
68656,
68666,
68672,
68685,
68689,
68715,
68736,
68744,
68750,
68754,
68759,
68779,
68784,
68806,
68832,
68849,
68922,
68978,
68990,
69004,
69018,
69034,
69057,
69083,
69101,
69107,
69159,
69178,
69187,
69207,
69221,
69245,
69251,
69263,
69293,
69311,
69325,
69331,
69353,
69387,
69400,
69470,
69474,
69482,
69589,
70377,
70407,
70650,
70997,
71005,
71008,
71028,
71046,
71071,
71107,
71571,
71659,
71686,
71703,
71829,
71838,
71844,
71851,
71857,
71865,
71876,
71901,
71907,
71914,
71918,
71922,
71946,
71957,
71970,
71977,
71981,
71994,
71999,
72006,
72011,passé_simp
72016,
72021,
72049,
72055,
72058,
72092,imparfait
72161,
72176,
72196,imparfait
72251,
72312,
72332,
72823,
72829,
72835,
72845,
72922,
72930,
72934,
72940,
72945,
72958,
72963,
72975,
72983,
72992,
73019,
73024,
73029,
73051,
73056,
73066,
73072,
73094,
73099,
73143,
73154,
73182,
73199,
73205,
73217,
73223,
73234,
73243,
73255,
73263,
73269,
73278,
73291,
73296,
73305,
73314,
73317,
73320,
73338,
73340,
73352,
73361,
73365,
73373,
73384,
73409,
73536,
73540,
73572,
73583,
73592,
73601,
73608,
73640,
73687,
73694,
73714,
73723,
73733,
73739,
73749,
73771,
73781,
73877,
73978,
73986,
75256,
75331,
75344,
75350,
75353,
75355,
75375,
75384,
75391,
75399,
75408,
75422,
75457,
75469,
75475,
75484,
75500,
75503,
75731,
75953,
76005,
76011,
76037,
76163,imparfait
76203,imparfait
76210,imparfait
76216,imparfait
76220,imparfait
76282,
76295,
76298,
76313,
76321,
76324,
76331,
76335,
76364,
76384,
76388,passé_comp
76394,passé_comp
76409,
76419,
76517,
76521,passé_simp
76531,
76562,passé_simp
76569,imparfait
76576,
76608,passé_simp
76677,
76713,
76718,
76723,
76733,
76926,
76928,imparfait
76938,imparfait
76943,imparfait
76947,
77128,
77134,
77138,
77140,
77144,
77151,
77154,
77175,
77193,
77198,
77227,
77270,
77280,
77291,
78027,
78032,
78099,
78101,
78333,
78555,
78563,
78666,passé_comp
78680,passé_comp
78723,
78733,
78898,
79029,
79032,
79058,
79092,
79216,
79262,
79331,
79343,
79373,
79454,
79546,
79606,
79619,
79687,
79697,
79726,
79735,
79756,
79785,
79792,
79811,
79855,
79985,
79988,
79997,
80005,
80010,
80013,
80019,
80036,
80041,
80159,
80190,
80253,
80381,
80385,
