genre,prose,prophetic,prose,poetry,instruction,prophetic,prophetic,list,poetry,prose,prose,list,instruction,prophetic,instruction,list,instruction,list
domain2,Q,Q,N,Q,Q,N,?,N,?,D,?,?,D,D,?,Q,N,D
eng_TAMsimp,,,,,,,,,,,,,,,,,,
PAST PERF PROG ~ PAST PROG,-0.3,-0.26,0.8,-0.09,-0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD must ~ PRES,0.71,-0.26,-0.21,-0.09,-0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT going-to ~ PRES PART,0.71,-0.26,-0.21,-0.09,-0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PART ~ PRES PERF PROG,0.71,-0.26,-0.21,-0.09,-0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ PAST PROG,-0.3,0.74,-0.21,-0.09,-0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can ~ PRES PART,0.71,-0.26,-0.21,-0.09,-0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD may,-0.3,-0.26,-0.21,0.91,-0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD was to ~ PAST PROG,-0.3,-0.26,0.8,-0.09,-0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST PERF ~ PRES PART,-0.3,-0.26,0.8,-0.09,-0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST PERF ~ PRES,-0.3,-0.26,0.3,-0.09,-0.04,0.47,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST PERF ~ PAST PERF PROG,-0.3,-0.26,0.8,-0.09,-0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD was to ~ TO INF,-0.3,-0.26,0.8,-0.09,-0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HAB used to ~ PAST PERF,-0.3,-0.26,0.8,-0.09,-0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
TO INF ~ VB,-0.3,-0.26,0.8,-0.09,-0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HAB used to ~ PAST,-0.3,-0.26,0.8,-0.09,-0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ VB,0.71,-0.26,-0.21,-0.09,-0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ PAST,0.71,-0.26,-0.21,-0.09,-0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD would,-0.3,-0.26,-0.21,0.91,-0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD can,-0.3,-0.26,-0.21,0.91,-0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ FUT PROG,0.71,-0.26,-0.21,-0.09,-0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ PAST,-0.3,-0.26,-0.21,-0.09,-0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD shall ~ PRES PART,-0.3,0.74,-0.21,-0.09,-0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ PRES PROG,0.71,-0.26,-0.21,-0.09,-0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD should ~ PRES PERF,-0.3,0.74,-0.21,-0.09,-0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
