genre,prophetic,prose,prose,poetry,instruction,poetry,prophetic,prophetic,prose,list,poetry,instruction,prose,list,instruction,prophetic,instruction,list,list,poetry
PAST ~ TO INF,-0.19,-0.1,0.56,-0.15,-0.05,-0.04,-0.02,-0.02,-0.01,0.05,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ TO INF,0.33,0.03,-0.19,-0.06,-0.05,-0.04,-0.02,0.07,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD may ~ PRES,-0.0,0.19,-0.19,0.11,0.03,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD could ~ PAST,-0.25,-0.22,0.18,-0.15,-0.05,-0.04,-0.02,-0.02,0.08,0.35,-0.01,-0.01,-0.01,0.18,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT going-to ~ PRES,0.02,0.32,-0.19,-0.15,0.13,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT going-to ~ PRES PROG,0.29,0.05,-0.19,-0.15,0.13,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES ~ TO INF,-0.05,-0.02,-0.09,-0.04,-0.05,0.37,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ PRES PART,0.41,-0.11,-0.19,0.08,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PART ~ TO INF,-0.03,-0.11,0.03,-0.03,0.06,-0.04,0.2,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD is to ~ PRES,-0.0,0.03,-0.19,-0.02,0.2,0.09,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ PRES,0.12,0.15,-0.19,-0.02,0.07,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD could,-0.25,0.21,0.24,-0.0,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can ~ PRES,-0.11,0.21,-0.19,-0.15,0.24,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,0.14,-0.0,-0.0
PRES PERF ~ PRES PROG,0.25,0.11,-0.19,-0.15,-0.05,-0.04,-0.02,0.15,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV,-0.05,0.18,0.01,-0.15,-0.05,0.16,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST PERF ~ PAST PROG,-0.25,-0.02,0.21,-0.15,-0.05,-0.04,0.38,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD shall ~ PRES,0.15,-0.02,-0.19,0.06,0.15,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD should,-0.05,0.38,0.01,-0.15,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can,0.55,-0.22,-0.19,-0.15,0.15,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT going-to ~ MOD shall,0.25,0.28,-0.19,-0.15,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD would ~ PRES,-0.25,0.78,-0.19,-0.15,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD would ~ PAST,-0.25,-0.22,0.81,-0.15,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PERF PROG ~ PRES PROG,-0.25,0.53,-0.19,0.11,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD would,-0.25,0.03,-0.19,0.11,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,0.24,0.24,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST PROG ~ PRES,-0.0,-0.22,-0.19,0.11,0.2,0.21,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD is to ~ MOD shall,-0.25,0.03,-0.19,-0.15,0.45,-0.04,-0.02,-0.02,-0.01,0.24,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST ~ PRES PROG,0.75,-0.22,-0.19,-0.15,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ MOD may,-0.25,0.78,-0.19,-0.15,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD must,-0.25,0.28,-0.19,0.36,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST ~ PAST PERF PROG,-0.25,-0.22,0.81,-0.15,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD shall ~ TO INF,0.41,-0.22,-0.19,-0.14,0.28,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PART ~ PRES PERF,0.08,0.44,-0.19,-0.14,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD should ~ TO INF,-0.25,0.78,-0.19,-0.14,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD should ~ MOD would,0.41,-0.22,0.15,-0.14,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD was to ~ PAST,-0.25,-0.22,0.48,-0.14,-0.05,-0.04,-0.02,-0.02,-0.01,0.32,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can ~ TO INF,0.41,-0.22,-0.19,0.19,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PERF PROG,0.08,0.44,-0.19,-0.14,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD let ~ PRES,0.08,0.11,-0.19,-0.14,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,0.33,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD is to ~ PRES PART,0.41,-0.22,-0.19,-0.14,0.28,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD is to,-0.25,0.78,-0.19,-0.14,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD is to,-0.25,-0.22,0.15,0.52,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD may,-0.25,0.11,-0.19,0.19,0.28,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can ~ MOD shall,0.41,0.11,-0.19,-0.14,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES ~ PRES PERF PROG,0.41,0.11,-0.19,-0.14,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST PERF ~ PRES,-0.25,-0.22,0.31,-0.14,-0.05,-0.04,0.48,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST PERF ~ PRES PART,-0.25,-0.22,0.81,-0.14,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD was to ~ TO INF,-0.25,-0.22,0.81,-0.14,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST PERF ~ PAST PERF PROG,-0.25,-0.22,0.81,-0.14,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST PERF PROG ~ PAST PROG,-0.25,-0.22,0.81,-0.14,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT PROG ~ PRES PART,-0.25,0.78,-0.19,-0.14,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD was to ~ PAST PROG,-0.25,-0.22,0.81,-0.14,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES ~ PRES PROG keep,0.75,-0.22,-0.19,-0.14,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD may ~ PAST,-0.25,0.28,-0.19,0.36,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD must ~ PRES,-0.25,0.78,-0.19,-0.14,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD must ~ MOD shall,-0.25,0.78,-0.19,-0.14,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD may ~ TO INF,-0.25,-0.22,-0.19,0.86,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD is to ~ TO INF,-0.25,-0.22,-0.19,-0.14,0.95,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can ~ PRES PART,-0.25,0.78,-0.19,-0.14,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PROG ~ TO INF,0.75,-0.22,-0.19,-0.14,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ PAST PROG,0.75,-0.22,-0.19,-0.14,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD may,-0.25,-0.22,-0.19,0.86,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD let,0.25,-0.22,-0.19,0.36,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST ~ VB,0.75,-0.22,-0.19,-0.14,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PART ~ PRES PERF PROG,-0.25,0.78,-0.19,-0.14,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST PROG ~ TO INF,-0.25,-0.22,0.81,-0.14,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PERF ~ PRES PERF PROG,-0.25,0.78,-0.19,-0.14,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PERF ~ TO INF,-0.25,0.78,-0.19,-0.14,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PROG ~ PRES PROG keep,0.75,-0.22,-0.19,-0.14,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD shall ~ PRES PERF,0.75,-0.22,-0.19,-0.14,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD would ~ PRES PROG,-0.25,0.78,-0.19,-0.14,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HAB used to ~ PAST,-0.25,-0.22,0.81,-0.14,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD is to ~ MOD would,-0.25,0.78,-0.19,-0.14,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD could ~ PRES PART,-0.25,-0.22,-0.19,-0.14,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can ~ MOD may,0.75,-0.22,-0.19,-0.14,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ PRES PROG,-0.25,0.78,-0.19,-0.14,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ PAST,-0.25,-0.22,-0.19,-0.14,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HAB used to ~ PAST PERF,-0.25,-0.22,0.81,-0.14,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ VB,-0.25,0.78,-0.19,-0.14,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD would ~ PRES PERF,0.75,-0.22,-0.19,-0.14,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ PAST,-0.25,0.78,-0.19,-0.14,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD would,-0.25,-0.22,-0.19,0.86,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD can,-0.25,-0.22,-0.19,0.86,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ FUT PROG,-0.25,0.78,-0.19,-0.14,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT going-to ~ PRES PART,-0.25,0.78,-0.19,-0.14,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT PROG ~ PRES PROG,-0.25,0.78,-0.19,-0.14,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD let ~ TO INF,-0.25,0.78,-0.19,-0.14,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD may ~ PRES PART,-0.25,-0.22,-0.19,0.86,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD might,-0.25,-0.22,0.81,-0.14,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD must,-0.25,0.78,-0.19,-0.14,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD must ~ PRES PROG,-0.25,0.78,-0.19,-0.14,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD need not ~ TO INF,0.75,-0.22,-0.19,-0.14,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD shall,-0.25,0.78,-0.19,-0.14,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD shall ~ PAST,-0.25,0.78,-0.19,-0.14,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD shall ~ PRES PART,0.75,-0.22,-0.19,-0.14,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT PROG ~ MOD is to,-0.25,0.78,-0.19,-0.14,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD should ~ MOD was to,-0.25,-0.22,0.81,-0.14,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD should ~ PAST,-0.25,-0.22,0.81,-0.14,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD should ~ PRES,0.75,-0.22,-0.19,-0.14,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD should ~ PRES PERF,0.75,-0.22,-0.19,-0.14,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD that VB ~ PRES PART,-0.25,-0.22,0.81,-0.14,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD was to,-0.25,-0.22,0.81,-0.14,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD was to ~ PRES PART,-0.25,-0.22,0.81,-0.14,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
