bhsa_node,mother_clause,mother_type,mother_verbtype,mother_rela,mother_domain2,daught_clause,daught_type,daught_verbtype,daught_rela,daught_domain2
324508,וַתְּמַלֵּא־אָֽרֶץ׃ ,Way0,wayq,Main,Q,וְאֶל־נָ֝הָ֗ר יֹֽונְקֹותֶֽיהָ׃ ,Ellp,Ø,Main,Q
324524,לָ֭מָּה פָּרַ֣צְתָּ גְדֵרֶ֑יהָ ,xQt0,qtl,Main,Q,וְזִ֖יז שָׂדַ֣י יִרְעֶֽנָּה׃ ,WXYq,yqtl,Main,Q
324531,יְכַרְסְמֶ֣נָּֽה חֲזִ֣יר מִיָּ֑עַר ,ZYqX,yqtl,Main,Q,,,,,
324563,כְּסוּחָ֑ה ,Ptcp,ptcp,Main,Q,,,,,
324564,הַבֵּ֣ט מִשָּׁמַ֣יִם ,ZIm0,impv,Main,Q,עַל־בֶּן־אָ֝דָ֗ם ,NmCl,Ø,Main,Q
324576,תְּֽהִי־יָ֭דְךָ עַל־אִ֣ישׁ יְמִינֶ֑ךָ ,ZYqX,yqtl,Main,Q,,,,,
324578,תְּֽהִי־יָ֭דְךָ עַל־אִ֣ישׁ יְמִינֶ֑ךָ ,ZYqX,yqtl,Main,Q,וּבְשִׁמְךָ֥ נִקְרָֽא׃ ,WxY0,yqtl,Main,Q
324582,תְּ֝חַיֵּ֗נוּ ,ZYq0,yqtl,Main,Q,,,,,
324590,הָאֵ֥ר פָּ֝נֶ֗יךָ ,ZIm0,impv,Main,Q,,,,,
324648,שְׂפַ֖ת ,Defc,Ø,Main,Q,,,,,
324656,הֲסִירֹ֣ותִי מִסֵּ֣בֶל שִׁכְמֹ֑ו ,ZQt0,qtl,Main,Q,,,,,
324663,וָאֲחַ֫לְּצֶ֥ךָּ ,Way0,wayq,Main,Q,אֶבְחָֽנְךָ֨ עַל־מֵ֖י מְרִיבָ֣ה ,ZYq0,yqtl,Main,Q
324667,אֶ֭עֶנְךָ בְּסֵ֣תֶר רַ֑עַם ,ZYq0,yqtl,Main,Q,סֶֽלָה׃ ,MSyn,Ø,Main,Q
