bhsa_node,mother_clause,mother_cl_atom,mother_clause_atom,mother_rela,mother_domain2,mother_verbtype,mother_type,mother_verb_ps,mother_verb_lex,mother_verbplain,daught_clause,daught_cl_atom,daught_clause_atom,daught_rela,daught_domain2,daught_verbtype,daught_type,daught_verb_ps,daught_verb_lex,daught_verbplain
1488,הַרְבָּ֤ה אַרְבֶּה֙ עִצְּבֹונֵ֣ךְ וְהֵֽרֹנֵ֔ךְ ,515972,הַרְבָּ֤ה אַרְבֶּה֙ עִצְּבֹונֵ֣ךְ וְהֵֽרֹנֵ֔ךְ ,Main,Q,yqtl,xYq0,p1,RBH[,ארבה,וְאֶל־אִישֵׁךְ֙ תְּשׁ֣וּקָתֵ֔ךְ ,515974,וְאֶל־אִישֵׁךְ֙ תְּשׁ֣וּקָתֵ֔ךְ ,Main,Q,Ø,NmCl,,,
1496,וְאֶל־אִישֵׁךְ֙ תְּשׁ֣וּקָתֵ֔ךְ ,515974,וְאֶל־אִישֵׁךְ֙ תְּשׁ֣וּקָתֵ֔ךְ ,Main,Q,Ø,NmCl,,,,,,,,,,,,,
1517,לֵאמֹ֔ר ,515980,לֵאמֹ֔ר ,SubAdv,Q,infc,InfC,unknown,>MR[,אמר,,,,,,,,,,
1526,אֲרוּרָ֤ה הָֽאֲדָמָה֙ בַּֽעֲבוּרֶ֔ךָ ,515982,אֲרוּרָ֤ה הָֽאֲדָמָה֙ בַּֽעֲבוּרֶ֔ךָ ,Main,Q,ptcp,Ptcp,unknown,>RR[,ארורה,וְקֹ֥וץ וְדַרְדַּ֖ר תַּצְמִ֣יחַֽ לָ֑ךְ ,515984,וְקֹ֥וץ וְדַרְדַּ֖ר תַּצְמִ֣יחַֽ לָ֑ךְ ,Main,Q,yqtl,WxY0,p3,YMX[,תצמיח
1534,בְּעִצָּבֹון֙ תֹּֽאכֲלֶ֔נָּה כֹּ֖ל יְמֵ֥י חַיֶּֽיךָ׃ ,515983,בְּעִצָּבֹון֙ תֹּֽאכֲלֶ֔נָּה כֹּ֖ל יְמֵ֥י חַיֶּֽיךָ׃ ,Main,Q,yqtl,xYq0,p2,>KL[,תאכלנה,,,,,,,,,,
1545,בְּעִצָּבֹון֙ תֹּֽאכֲלֶ֔נָּה כֹּ֖ל יְמֵ֥י חַיֶּֽיךָ׃ ,515983,בְּעִצָּבֹון֙ תֹּֽאכֲלֶ֔נָּה כֹּ֖ל יְמֵ֥י חַיֶּֽיךָ׃ ,Main,Q,yqtl,xYq0,p2,>KL[,תאכלנה,עַ֤ד שֽׁוּבְךָ֙ אֶל־הָ֣אֲדָמָ֔ה ,515987,עַ֤ד שֽׁוּבְךָ֙ אֶל־הָ֣אֲדָמָ֔ה ,SubAdv,Q,infc,InfC,unknown,CWB[,שׁובך
1561,כִּֽי־עָפָ֣ר אַ֔תָּה ,515989,כִּֽי־עָפָ֣ר אַ֔תָּה ,SubAdv,Q,Ø,NmCl,,,,,,,,,,,,,
1607,וְעַתָּ֣ה׀ ,515998,וְעַתָּ֣ה׀ ,Main,Q,Ø,MSyn,,,,וְלָקַח֙ גַּ֚ם מֵעֵ֣ץ הַֽחַיִּ֔ים ,516000,וְלָקַח֙ גַּ֚ם מֵעֵ֣ץ הַֽחַיִּ֔ים ,Main,Q,wqtl,WQt0,p3,LQX[,לקח
1769,הֲלֹ֤וא שְׂאֵ֔ת ,516031,שְׂאֵ֔ת ,Main,Q,Ø,NmCl,,,,,,,,,,,,,
1774,הֲלֹ֤וא שְׂאֵ֔ת ,516029,הֲלֹ֤וא ,Main,Q,Ø,Defc,,,,לַפֶּ֖תַח חַטָּ֣את רֹבֵ֑ץ ,516033,לַפֶּ֖תַח חַטָּ֣את רֹבֵ֑ץ ,Main,Q,ptcp,Ptcp,unknown,RBY[,רבץ
1785,וְאֵלֶ֨יךָ֙ תְּשׁ֣וּקָתֹ֔ו ,516034,וְאֵלֶ֨יךָ֙ תְּשׁ֣וּקָתֹ֔ו ,Main,Q,Ø,NmCl,,,,,,,,,,,,,
1855,אָר֣וּר אָ֑תָּה מִן־הָֽאֲדָמָה֙ ,516050,אָר֣וּר אָ֑תָּה מִן־הָֽאֲדָמָה֙ ,Main,Q,ptcp,Ptcp,unknown,>RR[,ארור,לֹֽא־תֹסֵ֥ף ,516054,לֹֽא־תֹסֵ֥ף ,Main,Q,yqtl,xYq0,p3,JSP[,תסף
1860,כִּ֤י תַֽעֲבֹד֙ אֶת־הָ֣אֲדָמָ֔ה ,516053,כִּ֤י תַֽעֲבֹד֙ אֶת־הָ֣אֲדָמָ֔ה ,SubAdv,Q,yqtl,xYq0,p2,<BD[,תעבד,תֵּת־כֹּחָ֖הּ לָ֑ךְ ,516055,תֵּת־כֹּחָ֖הּ לָ֑ךְ ,SubArg,Q,infc,InfC,unknown,NTN[,תת
1867,אָר֣וּר אָ֑תָּה מִן־הָֽאֲדָמָה֙ ,516050,אָר֣וּר אָ֑תָּה מִן־הָֽאֲדָמָה֙ ,Main,Q,ptcp,Ptcp,unknown,>RR[,ארור,,,,,,,,,,
1893,הֵן֩ גֵּרַ֨שְׁתָּ אֹתִ֜י הַיֹּ֗ום מֵעַל֙ פְּנֵ֣י הָֽאֲדָמָ֔ה ,516060,הֵן֩ גֵּרַ֨שְׁתָּ אֹתִ֜י הַיֹּ֗ום מֵעַל֙ פְּנֵ֣י הָֽאֲדָמָ֔ה ,Main,Q,qtl,xQt0,p2,GRC[,גרשׁת,וְהָיִ֜יתִי נָ֤ע וָנָד֙ בָּאָ֔רֶץ ,516062,וְהָיִ֜יתִי נָ֤ע וָנָד֙ בָּאָ֔רֶץ ,Main,Q,wqtl,WQt0,p1,HJH[,הייתי
1906,כָל־יַֽהַרְגֵֽנִי׃ ,516064,כָל־,Main,Q,Ø,Defc,,,,,,,,,,,,,
1916,לָכֵן֙ כָּל־שִׁבְעָתַ֖יִם יֻקָּ֑ם ,516068,לָכֵן֙ כָּל־,Main,Q,Ø,Defc,,,,,,,,,,,,,
2069,כִּ֣י אִ֤ישׁ הָרַ֨גְתִּי֙ לְפִצְעִ֔י ,516099,כִּ֣י אִ֤ישׁ הָרַ֨גְתִּי֙ לְפִצְעִ֔י ,SubAdv,Q,qtl,xQt0,p1,HRG[,הרגתי,וְלֶ֖מֶךְ שִׁבְעִ֥ים וְשִׁבְעָֽה׃ ,516102,וְלֶ֖מֶךְ שִׁבְעִ֥ים וְשִׁבְעָֽה׃ ,SubAdv,Q,Ø,Ellp,,,
2536,לֵאמֹ֑ר ,516192,לֵאמֹ֑ר ,SubAdv,N,infc,InfC,unknown,>MR[,אמר,אֲשֶׁ֥ר אֵֽרְרָ֖הּ יְהוָֽה׃ ,516194,אֲשֶׁ֥ר אֵֽרְרָ֖הּ יְהוָֽה׃ ,SubMod,Q,qtl,xQtX,p3,>RR[,אררה
2641,וַיֹּ֣אמֶר יְהוָ֗ה ,516211,וַיֹּ֣אמֶר יְהוָ֗ה ,Main,N,wayq,WayX,p3,>MR[,יאמר,בְּשַׁגַּ֖ם ה֣וּא בָשָׂ֑ר ,516213,בְּשַׁגַּ֖ם ה֣וּא בָשָׂ֑ר ,SubAdv,Q,Ø,NmCl,,,
2676,הַנְּפִלִ֞ים הָי֣וּ בָאָרֶץ֮ בַּיָּמִ֣ים הָהֵם֒ ,516215,הַנְּפִלִ֞ים הָי֣וּ בָאָרֶץ֮ בַּיָּמִ֣ים הָהֵם֒ ,Main,N,qtl,XQtl,p3,HJH[,היו,וְיָלְד֖וּ לָהֶ֑ם ,516218,וְיָלְד֖וּ לָהֶ֑ם ,Main,D,wqtl,WQt0,p3,JLD[,ילדו
2735,וַיֹּ֣אמֶר יְהוָ֗ה ,516228,וַיֹּ֣אמֶר יְהוָ֗ה ,Main,N,wayq,WayX,p3,>MR[,יאמר,אֲשֶׁר־בָּרָ֨אתִי֙ ,516230,אֲשֶׁר־בָּרָ֨אתִי֙ ,SubMod,Q,qtl,xQt0,p1,BR>[,בראתי
2856,עֲשֵׂ֤ה לְךָ֙ תֵּבַ֣ת עֲצֵי־גֹ֔פֶר ,516248,עֲשֵׂ֤ה לְךָ֙ תֵּבַ֣ת עֲצֵי־גֹ֔פֶר ,Main,Q,impv,ZIm0,p2,<FH[,עשׂה,וְכָֽפַרְתָּ֥ אֹתָ֛הּ מִבַּ֥יִת וּמִח֖וּץ בַּכֹּֽפֶר׃ ,516250,וְכָֽפַרְתָּ֥ אֹתָ֛הּ מִבַּ֥יִת וּמִח֖וּץ בַּכֹּֽפֶר׃ ,Main,Q,wqtl,WQt0,p2,KPR[,כפרת
2874,וְזֶ֕ה ,516251,וְזֶ֕ה ,Main,Q,Ø,NmCl,,,,,,,,,,,,,
2890,קִנִּ֖ים תַּֽעֲשֶׂ֣ה אֶת־הַתֵּבָ֑ה ,516249,קִנִּ֖ים תַּֽעֲשֶׂ֣ה אֶת־הַתֵּבָ֑ה ,Main,Q,yqtl,xYq0,p2,<FH[,תעשׂה,וְאֶל־אַמָּה֙ תְּכַלֶ֣נָּה מִלְמַ֔עְלָה ,516257,וְאֶל־אַמָּה֙ תְּכַלֶ֣נָּה מִלְמַ֔עְלָה ,Main,Q,yqtl,WxY0,p2,KLH[,תכלנה
2897,צֹ֣הַר׀ תַּֽעֲשֶׂ֣ה לַתֵּבָ֗ה ,516256,צֹ֣הַר׀ תַּֽעֲשֶׂ֣ה לַתֵּבָ֗ה ,Main,Q,yqtl,xYq0,p2,<FH[,תעשׂה,,,,,,,,,,
2907,צֹ֣הַר׀ תַּֽעֲשֶׂ֣ה לַתֵּבָ֗ה ,516256,צֹ֣הַר׀ תַּֽעֲשֶׂ֣ה לַתֵּבָ֗ה ,Main,Q,yqtl,xYq0,p2,<FH[,תעשׂה,,,,,,,,,,
2912,צֹ֣הַר׀ תַּֽעֲשֶׂ֣ה לַתֵּבָ֗ה ,516256,צֹ֣הַר׀ תַּֽעֲשֶׂ֣ה לַתֵּבָ֗ה ,Main,Q,yqtl,xYq0,p2,<FH[,תעשׂה,,,,,,,,,,
2941,כֹּ֥ל יִגְוָֽע׃ ,516265,כֹּ֥ל ,Main,Q,Ø,Defc,,,,,,,,,,,,,
2972,וּמִכָּל־הָ֠חַי מִֽכָּל־בָּשָׂ֞ר ,516270,וּמִכָּל־הָ֠חַי מִֽכָּל־בָּשָׂ֞ר ,Main,Q,Ø,CPen,,,,לְהַחֲיֹ֣ת אִתָּ֑ךְ ,516272,לְהַחֲיֹ֣ת אִתָּ֑ךְ ,SubAdv,Q,infc,InfC,unknown,XJH[,החית
2982,שְׁנַ֧יִם מִכֹּ֛ל תָּבִ֥יא אֶל־הַתֵּבָ֖ה ,516271,שְׁנַ֧יִם מִכֹּ֛ל תָּבִ֥יא אֶל־הַתֵּבָ֖ה ,Main,Q,yqtl,xYq0,p2,BW>[,תביא,,,,,,,,,,
3004,מֵהָעֹ֣וף לְמִינֵ֗הוּ וּמִן־הַבְּהֵמָה֙ לְמִינָ֔הּ מִכֹּ֛ל רֶ֥מֶשׂ הָֽאֲדָמָ֖ה לְמִינֵ֑הוּ ,516274,מֵהָעֹ֣וף לְמִינֵ֗הוּ וּמִן־הַבְּהֵמָה֙ לְמִינָ֔הּ מִכֹּ֛ל רֶ֥מֶשׂ הָֽאֲדָמָ֖ה לְמִינֵ֑הוּ ,Main,Q,Ø,CPen,,,,לְהַֽחֲיֹֽות׃ ,516276,לְהַֽחֲיֹֽות׃ ,SubAdv,Q,infc,InfC,unknown,XJH[,החיות
3016,וְאַתָּ֣ה קַח־לְךָ֗ מִכָּל־מַֽאֲכָל֙ ,516277,וְאַתָּ֣ה קַח־לְךָ֗ מִכָּל־מַֽאֲכָל֙ ,Main,Q,impv,WXIm,p2,LQX[,קח,,,,,,,,,,
