eng_TAMsimp,qal,hif,piel,nif,hit,pual,hof,hsht,nit,htpo
MOD was to,-0.32,0.5,-0.1,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ FUT going-to,0.01,0.17,-0.1,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ MOD is to,-0.15,-0.16,-0.1,-0.06,-0.01,-0.0,-0.0,0.5,-0.0,-0.0
MOD that be ~ TO INF,0.35,-0.16,-0.1,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD was to ~ PAST,-0.15,0.34,-0.1,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
PRES ~ PRES PROG,-0.15,0.34,-0.1,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD must,-0.65,0.34,-0.1,0.44,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ PRES PART,0.35,-0.16,-0.1,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD would ~ PRES PART,-0.15,0.34,-0.1,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
FUT going-to ~ MOD shall,0.35,-0.16,-0.1,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PART ~ PRES PERF,-0.15,0.34,-0.1,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD may ~ PRES PART,0.35,-0.16,-0.1,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can ~ MOD let,0.35,-0.16,-0.1,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD lest ~ MOD might,-0.15,0.34,-0.1,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD may ~ MOD should,0.35,-0.16,-0.1,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD let ~ PRES,-0.15,-0.16,-0.1,-0.06,0.49,-0.0,-0.0,-0.0,-0.0,-0.0
MOD must ~ PRES,-0.15,-0.16,-0.1,-0.06,0.49,-0.0,-0.0,-0.0,-0.0,-0.0
MOD let ~ MOD must,-0.15,-0.16,0.4,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD lest ~ PRES PART,-0.15,-0.16,-0.1,-0.06,-0.01,-0.0,-0.0,0.5,-0.0,-0.0
MOD lest ~ MOD must,0.35,-0.16,-0.1,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD must ~ PRES PART,0.35,-0.16,-0.1,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD is to ~ MOD may,-0.65,0.84,-0.1,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD let ~ PRES PART,0.35,-0.16,-0.1,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD should ~ MOD would,-0.65,-0.16,-0.1,0.94,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD let ~ MOD should,0.35,-0.16,-0.1,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD let ~ MOD would,0.35,-0.16,-0.1,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can ~ TO INF,-0.65,-0.16,-0.1,0.94,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD would ~ PRES PROG,-0.65,-0.16,0.9,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD is to,0.35,-0.16,-0.1,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
