,xYq0,WxY0,WXYq,XYqt,ZYq0,xYqX,WYq0,ZYqX,WxYX,WYqX,CPen
IMPV ~ MOD may,-0.67,0.5,-0.45,0.0,-0.14,0.82,1.37,0.5,0.0,0.0,0.0
PRES PERF,-0.28,0.21,-0.45,-0.45,0.56,2.54,0.0,-0.2,0.29,0.0,0.0
MOD may ~ TO INF,-2.91,-1.14,-0.96,-0.96,-0.78,-0.58,22.58,-0.2,0.0,1.25,0.0
PAST ~ PRES PERF,-0.54,-0.52,-0.97,-0.45,2.37,0.36,0.37,1.7,0.3,0.0,0.0
MOD would ~ PAST,-0.18,2.14,0.46,-0.29,-0.14,0.0,-0.38,0.0,0.31,0.0,0.0
FUT ~ MOD lest,-3.39,5.89,-0.29,-0.99,-0.59,0.0,-0.39,-0.2,5.69,0.0,0.0
FUT ~ TO INF,-0.97,-0.0,-0.3,0.14,0.98,0.65,1.2,0.0,0.0,0.0,0.0
MOD let ~ PRES,-1.46,-0.11,-0.79,0.14,1.51,0.0,0.18,2.79,0.0,0.57,0.0
MOD shall ~ MOD should,1.52,0.4,-0.8,0.0,-0.38,0.7,-0.4,0.0,0.0,0.0,0.0
FUT ~ IMPV,-0.66,0.83,-0.14,0.33,1.11,-0.4,0.19,0.0,0.0,0.6,0.0
FUT ~ MOD let,-0.66,-0.25,-0.15,-0.59,1.77,0.0,0.0,1.4,0.0,2.64,0.0
MOD could,0.89,0.12,-0.15,-0.15,-0.4,0.19,-0.19,0.0,1.05,0.0,0.0
PRES ~ TO INF,-0.52,0.0,-0.15,-0.6,1.87,-0.19,2.99,0.0,0.0,0.0,0.0
MOD let ~ TO INF,-2.26,-1.25,0.0,-0.61,0.19,-0.2,11.79,0.3,0.0,0.0,0.0
MOD shall ~ PRES PART,0.53,0.0,0.38,-0.61,-0.41,0.44,0.0,0.0,0.43,0.0,0.0
PAST ~ PRES PART,-0.37,0.74,0.0,0.0,0.0,0.47,1.01,0.0,0.0,0.0,0.0
MOD would ~ PRES,1.01,-0.12,0.0,0.16,0.0,-0.2,0.0,0.31,0.0,0.0,0.0
MOD let ~ MOD shall,0.0,-0.31,0.17,0.0,0.45,0.0,0.0,0.91,0.48,0.0,0.0
FUT ~ PAST,-0.24,0.49,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0
FUT ~ PRES PART,0.42,0.14,0.0,-0.41,0.49,0.0,-0.21,0.0,0.0,0.74,0.0
IMPV ~ MOD must,1.16,0.0,0.0,0.0,-0.21,-0.0,0.0,0.38,0.0,0.0,0.0
IMPV ~ MOD can,-0.28,5.19,-0.21,-0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ MOD must,0.49,0.37,0.47,-0.21,0.0,0.0,0.26,0.0,0.0,0.0,0.0
MOD shall ~ PAST,0.13,-0.64,0.96,0.0,0.0,0.71,0.0,0.0,0.59,0.0,0.0
MOD must ~ PRES,0.13,0.37,-0.21,0.47,0.0,0.0,0.0,0.0,1.48,0.0,0.0
HAB used to ~ PAST,0.0,0.18,-0.21,-0.0,0.0,1.61,0.0,0.0,0.67,0.0,0.0
MOD should ~ MOD would,0.0,-0.42,-0.21,1.2,0.27,0.0,0.32,0.51,0.67,0.0,0.0
PAST ~ TO INF,0.14,0.0,-0.0,-0.21,0.77,0.3,0.32,0.0,0.0,0.0,0.0
MOD is to ~ MOD let,-1.18,0.0,-0.0,1.2,0.0,0.85,0.32,0.51,0.0,0.0,0.0
FUT ~ MOD should,0.86,0.0,0.59,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD must,0.14,0.69,-0.0,-0.21,0.0,0.0,0.32,0.0,0.67,0.0,0.0
MOD let ~ MOD should,-0.35,-0.44,0.0,0.22,0.0,2.78,0.36,0.55,0.0,0.0,0.0
PRES ~ PRES PROG,0.15,-0.44,0.67,0.22,0.0,0.34,0.0,0.55,0.0,0.0,0.0
MOD let ~ PAST,-0.35,0.0,0.0,0.0,0.3,0.34,0.36,2.49,0.0,0.0,0.0
IMPV ~ TO INF,0.0,2.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ PRES PART,0.37,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PAST PERF,0.37,0.0,0.76,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ PAST,-0.17,0.96,0.26,0.0,0.0,0.38,0.4,0.0,0.0,0.0,0.0
FUT ~ MOD must,-0.17,0.0,0.76,0.77,0.34,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD should,0.37,0.96,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0
MOD was to ~ PAST,0.43,-0.22,0.0,0.0,0.0,1.17,0.45,0.0,0.0,0.0,0.0
MOD can ~ TO INF,-0.0,0.54,0.0,0.31,0.0,0.0,0.45,0.0,0.0,0.0,0.0
?VB ~ MOD let,-0.0,-0.22,0.0,0.31,0.0,2.16,0.0,0.0,0.0,0.0,0.0
MOD let ~ PRES PART,0.0,-0.0,1.02,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ MOD would,1.53,-0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0
FUT going-to ~ MOD shall,1.53,-0.23,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0
FUT ~ FUT going-to,0.2,-0.23,0.0,0.36,0.0,0.49,0.52,0.0,0.0,0.0,0.0
MOD is to,0.0,-0.23,0.0,1.98,0.0,0.49,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD let,0.2,-0.0,0.36,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ PAST,0.0,0.67,0.36,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0
MOD could ~ MOD would,0.2,-0.0,0.0,0.36,0.45,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PAST PROG,0.2,-0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ PRES PART,0.0,0.0,1.21,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0
MOD lest ~ MOD may,-0.49,0.27,2.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ PAST,-0.49,0.27,0.43,0.44,0.0,0.58,0.0,0.0,0.0,0.0,0.0
MOD could ~ MOD might,-0.49,0.0,0.0,0.0,0.53,0.58,0.6,0.0,0.99,0.0,0.0
PRES PART ~ TO INF,-0.49,1.72,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0
PAST PERF,-0.49,0.0,1.21,0.0,0.53,0.0,0.0,0.0,0.99,0.0,0.0
PRES PERF ~ TO INF,-0.49,0.27,0.0,0.0,0.0,0.0,2.89,0.0,0.0,0.0,0.0
MOD was to,-0.49,0.27,1.21,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?VB ~ PAST,0.23,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ PRES PART,-0.49,0.83,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0
MOD might ~ MOD should,0.0,0.0,0.0,0.0,0.53,0.58,0.0,0.0,0.99,0.0,0.0
MOD might ~ MOD would,0.0,0.27,0.43,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0
MOD might ~ PAST,-0.49,0.0,0.0,0.0,0.0,0.0,2.89,0.82,0.0,0.0,0.0
MOD lest ~ PRES,-0.25,1.08,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.0,0.0
?VB,-0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0
MOD should ~ TO INF,0.67,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0
PAST PERF ~ PRES,-0.0,0.0,0.0,0.0,0.64,0.0,0.71,0.0,0.0,0.0,0.0
MOD could ~ MOD must,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ PRES PERF,-0.0,0.35,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD need not ~ MOD shall,-0.25,1.08,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD that be,-0.25,0.35,0.0,0.0,0.0,0.0,0.0,0.0,2.68,0.0,0.0
FUT ~ PRES PERF,-0.25,0.0,0.0,0.54,1.71,0.0,0.0,0.0,0.0,0.0,0.0
MOD VB ~ MOD may,-0.25,0.35,0.53,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0
MOD might,-0.25,0.0,0.0,0.54,0.0,1.8,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES PROG,-0.0,0.0,0.0,0.0,0.64,0.0,0.71,0.0,0.0,0.0,0.0
HAB used to,-0.0,0.0,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PART ~ PRES PERF,0.67,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD would,-0.25,0.0,0.53,0.0,0.0,0.0,0.0,2.32,0.0,0.0,0.0
IMPV ~ MOD is to,0.67,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD may,0.67,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD could,0.0,0.49,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD lest,0.0,0.49,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?VB ~ MOD must,0.0,0.0,0.69,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.0
?VB ~ MOD shall,0.0,0.49,0.0,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.0
??VB ~ MOD let,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD that be,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.0,1.28,0.0,0.0
MOD would ~ TO INF,0.0,0.0,0.69,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest,0.0,0.0,0.0,0.0,0.0,0.0,2.31,0.0,0.0,0.0,0.0
MOD is to ~ PRES PART,0.0,0.0,0.0,0.0,2.16,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ PAST,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.0,1.55,0.0
MOD is to ~ MOD must,0.3,0.0,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ PRES PERF,0.0,0.0,0.0,0.0,0.8,0.0,0.0,1.1,0.0,0.0,0.0
MOD that be,0.0,0.0,0.69,0.0,0.0,0.0,0.87,0.0,0.0,0.0,0.0
MOD should ~ MOD was to,0.3,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD might ~ TO INF,0.0,0.0,0.0,0.69,0.0,0.0,0.87,0.0,0.0,0.0,0.0
MOD could ~ TO INF,0.0,0.49,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ MOD should,0.0,0.49,0.0,0.0,0.0,0.0,0.87,0.0,0.0,0.0,0.0
MOD can ~ MOD should,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ MOD might,0.3,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.0
PAST PROG,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ PAST,0.0,0.0,0.0,0.0,0.0,1.13,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD must,0.0,0.0,0.0,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD is to,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD quest must ~ MOD shall,0.0,0.0,0.0,0.0,0.0,1.13,0.0,0.0,0.0,0.0,0.0
MOD quest must,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD need not ~ PRES,0.0,0.0,0.0,0.0,0.0,1.13,0.0,0.0,0.0,0.0,0.0
PAST PROG ~ PRES PART,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT PROG ~ PRES,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ FUT PROG,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ PRES PART,0.0,0.0,0.0,0.0,0.0,0.0,1.15,0.0,0.0,0.0,0.0
FUT going-to ~ MOD lest,0.0,0.0,0.0,0.0,0.0,1.13,0.0,0.0,0.0,0.0,0.0
MOD must ~ PRES shall,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT PROG ~ MOD shall,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT PERF,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES do,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ PRES PERF,0.0,0.0,0.0,0.0,0.0,0.0,1.15,0.0,0.0,0.0,0.0
MOD was to ~ PRES,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PAST PERF,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?VB ~ IMPV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.58,0.0,0.0
MOD would ~ PRES PART,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PROG,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ PRES PERF,0.0,0.0,0.0,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ PRES PROG,0.0,0.0,0.0,0.0,0.0,0.0,1.15,0.0,0.0,0.0,0.0
MOD lest ~ MOD shall,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ MOD shall,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ PRES PERF,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD VB ~ MOD shall,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD lest,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD VB ~ MOD can,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JJ ~ PRES,0.0,0.0,0.0,0.0,0.0,0.0,1.15,0.0,0.0,0.0,0.0
IMPV ~ PRES PERF,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ PRES,0.0,0.0,0.0,0.0,0.0,0.0,1.15,0.0,0.0,0.0,0.0
IMPV ~ MOD need not,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ MOD must,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ MOD would,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ PRES PART,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD might,0.0,0.0,0.0,0.0,0.0,0.0,1.15,0.0,0.0,0.0,0.0
IMPV ~ MOD,0.0,0.0,0.0,0.0,0.0,0.0,1.15,0.0,0.0,0.0,0.0
MOD let ~ VB,0.0,0.0,0.0,0.0,0.0,0.0,1.15,0.0,0.0,0.0,0.0
HAB used to ~ PRES,0.0,0.0,0.0,0.0,0.0,1.13,0.0,0.0,0.0,0.0,0.0
MOD may ~ MOD might,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ MOD would,0.0,0.0,0.0,0.0,0.0,1.13,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES shall,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD might,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD might ~ PRES PERF,0.0,0.0,0.0,0.0,0.0,0.0,1.15,0.0,0.0,0.0,0.0
MOD must ~ MOD quest must,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD ~ PRES,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
