eng_TAMsimp,xYq0,WxY0,WXYq,XYqt,ZYq0,xYqX,WYq0,ZYqX,WxYX,WYqX,CPen
MOD should ~ PRES,0.04,0.02,-0.01,-0.01,-0.08,0.09,0.03,-0.04,-0.03,-0.01,-0.0
MOD shall ~ TO INF,0.04,0.06,-0.04,0.09,-0.08,-0.07,0.03,-0.04,0.01,0.02,-0.0
IMPV ~ MOD may,-0.12,0.07,-0.07,-0.0,-0.05,0.07,0.11,0.03,-0.03,-0.01,-0.0
PRES PERF,-0.08,0.05,-0.07,-0.07,0.07,0.19,-0.03,-0.04,0.01,-0.01,-0.0
MOD may ~ TO INF,-0.26,-0.14,-0.11,-0.11,-0.08,-0.07,0.78,-0.04,-0.03,0.06,-0.0
PAST ~ PRES PERF,-0.11,-0.1,-0.11,-0.07,0.19,0.04,0.05,0.11,0.01,-0.01,-0.0
MOD would ~ PAST,-0.06,0.22,0.05,-0.07,-0.04,-0.03,-0.07,-0.0,0.01,-0.01,-0.0
FUT ~ MOD lest,-0.3,0.45,-0.07,-0.11,-0.08,-0.03,-0.07,-0.04,0.27,-0.01,-0.0
FUT ~ TO INF,-0.16,0.0,-0.06,0.03,0.1,0.06,0.11,-0.04,-0.03,-0.01,-0.0
MOD let ~ PRES,-0.21,-0.04,-0.11,0.03,0.14,-0.03,0.02,0.19,-0.03,0.03,-0.0
MOD shall ~ MOD should,0.23,0.06,-0.11,-0.01,-0.08,0.07,-0.07,-0.04,-0.03,-0.01,-0.0
FUT ~ IMPV,-0.15,0.12,-0.06,0.04,0.12,-0.07,0.03,-0.04,-0.03,0.04,-0.0
FUT ~ MOD let,-0.14,-0.07,-0.06,-0.11,0.18,-0.02,-0.02,0.12,-0.03,0.14,-0.0
MOD could,0.18,0.03,-0.06,-0.06,-0.08,0.03,-0.07,-0.04,0.08,-0.01,-0.0
PRES ~ TO INF,-0.13,-0.01,-0.05,-0.11,0.2,-0.07,0.26,-0.04,-0.03,-0.01,-0.0
MOD let ~ TO INF,-0.3,-0.18,-0.05,-0.11,0.03,-0.07,0.7,0.02,-0.03,-0.01,-0.0
MOD shall ~ PRES PART,0.11,-0.0,0.07,-0.11,-0.08,0.04,-0.01,-0.04,0.03,-0.01,-0.0
PAST ~ PRES PART,-0.11,0.14,-0.05,-0.05,-0.02,0.05,0.12,-0.04,-0.03,-0.01,-0.0
MOD would ~ PRES,0.2,-0.05,-0.05,0.02,-0.02,-0.07,-0.01,0.02,-0.03,-0.01,-0.0
MOD let ~ MOD shall,-0.03,-0.11,0.02,-0.04,0.05,-0.01,-0.0,0.09,0.04,-0.01,-0.0
FUT ~ PAST,-0.1,0.09,0.09,-0.04,-0.02,-0.01,-0.0,-0.04,-0.03,0.05,-0.0
FUT ~ PRES PART,0.13,0.04,-0.04,-0.11,0.06,-0.0,-0.07,-0.04,-0.03,0.06,-0.0
IMPV ~ MOD must,0.24,-0.02,-0.03,-0.03,-0.08,0.0,-0.07,0.04,-0.03,-0.01,-0.0
IMPV ~ MOD can,-0.12,0.64,-0.11,-0.11,-0.08,-0.07,-0.07,-0.04,-0.03,-0.01,-0.0
MOD may ~ MOD must,0.16,0.1,0.07,-0.11,-0.08,-0.07,0.02,-0.04,-0.03,-0.01,-0.0
MOD shall ~ PAST,0.07,-0.18,0.16,-0.02,-0.08,0.11,-0.07,-0.04,0.06,-0.01,-0.0
MOD must ~ PRES,0.07,0.1,-0.11,0.07,-0.08,-0.07,-0.07,-0.04,0.16,-0.01,-0.0
HAB used to ~ PAST,-0.08,0.05,-0.11,0.0,-0.08,0.26,-0.07,-0.04,0.08,-0.01,-0.0
MOD should ~ MOD would,-0.08,-0.18,-0.11,0.23,0.03,-0.07,0.04,0.07,0.08,-0.01,-0.0
PAST ~ TO INF,0.04,-0.07,0.0,-0.11,0.14,0.04,0.04,-0.04,-0.03,-0.01,-0.0
MOD is to ~ MOD let,-0.3,-0.07,0.0,0.23,-0.08,0.15,0.04,0.07,-0.03,-0.01,-0.0
FUT ~ MOD should,0.26,-0.07,0.11,0.0,-0.08,-0.07,-0.07,-0.04,-0.03,-0.01,-0.0
MOD let ~ MOD must,0.04,0.16,0.0,-0.11,-0.08,-0.07,0.04,-0.04,0.08,-0.01,-0.0
MOD let ~ MOD should,-0.17,-0.18,-0.11,0.02,-0.08,0.43,0.06,0.08,-0.03,-0.01,-0.0
PRES ~ PRES PROG,0.08,-0.18,0.14,0.02,-0.08,0.05,-0.07,0.08,-0.03,-0.01,-0.0
MOD let ~ PAST,-0.17,-0.05,-0.11,-0.11,0.04,0.05,0.06,0.33,-0.03,-0.01,-0.0
IMPV ~ TO INF,-0.01,0.54,-0.11,-0.11,-0.08,-0.07,-0.07,-0.04,-0.03,-0.01,-0.0
IMPV ~ PRES PART,0.13,0.39,-0.11,-0.11,-0.08,-0.07,-0.07,-0.04,-0.03,-0.01,-0.0
PAST ~ PAST PERF,0.13,-0.03,0.18,0.04,-0.08,-0.07,-0.07,-0.04,-0.03,-0.01,-0.0
IMPV ~ PAST,-0.15,0.25,0.03,-0.11,-0.08,0.07,0.07,-0.04,-0.03,-0.01,-0.0
FUT ~ MOD must,-0.15,-0.03,0.18,0.18,0.06,-0.07,-0.07,-0.04,-0.03,-0.01,-0.0
IMPV ~ MOD should,0.13,0.25,-0.11,-0.11,-0.08,0.07,-0.07,-0.04,-0.03,-0.01,-0.0
MOD was to ~ PAST,0.2,-0.18,-0.11,-0.11,-0.08,0.26,0.1,-0.04,-0.03,-0.01,-0.0
MOD can ~ TO INF,0.04,0.16,-0.11,0.06,-0.08,-0.07,0.1,-0.04,-0.03,-0.01,-0.0
?VB ~ MOD let,0.04,-0.18,-0.11,0.06,-0.08,0.43,-0.07,-0.04,-0.03,-0.01,-0.0
MOD let ~ PRES PART,-0.1,0.02,0.29,0.09,-0.08,-0.07,-0.07,-0.04,-0.03,-0.01,-0.0
MOD shall ~ MOD would,0.5,-0.18,-0.11,-0.11,-0.08,-0.07,-0.07,-0.04,0.17,-0.01,-0.0
FUT going-to ~ MOD shall,0.5,-0.18,-0.11,-0.11,-0.08,-0.07,0.13,-0.04,-0.03,-0.01,-0.0
FUT ~ FUT going-to,0.1,-0.18,-0.11,0.09,-0.08,0.13,0.13,-0.04,-0.03,-0.01,-0.0
MOD is to,-0.1,-0.18,-0.11,0.49,-0.08,0.13,-0.07,-0.04,-0.03,-0.01,-0.0
MOD can ~ MOD let,0.1,0.02,0.09,0.09,-0.08,-0.07,-0.07,-0.04,-0.03,-0.01,-0.0
MOD could ~ PAST,-0.1,0.22,0.09,-0.11,-0.08,0.13,-0.07,-0.04,-0.03,-0.01,-0.0
MOD could ~ MOD would,0.1,0.02,-0.11,0.09,0.12,-0.07,-0.07,-0.04,-0.03,-0.01,-0.0
PAST ~ PAST PROG,0.1,0.02,0.29,-0.11,-0.08,-0.07,-0.07,-0.04,-0.03,-0.01,-0.0
MOD can ~ PRES PART,-0.05,-0.18,0.39,-0.11,-0.08,-0.07,-0.07,-0.04,0.22,-0.01,-0.0
MOD lest ~ MOD may,-0.3,0.07,0.64,-0.11,-0.08,-0.07,-0.07,-0.04,-0.03,-0.01,-0.0
MOD can ~ PAST,-0.3,0.07,0.14,0.14,-0.08,0.18,-0.07,-0.04,-0.03,-0.01,-0.0
MOD could ~ MOD might,-0.3,-0.18,-0.11,-0.11,0.17,0.18,0.18,-0.04,0.22,-0.01,-0.0
PRES PART ~ TO INF,-0.3,0.57,-0.11,-0.11,0.17,-0.07,-0.07,-0.04,-0.03,-0.01,-0.0
PAST PERF,-0.3,-0.18,0.39,-0.11,0.17,-0.07,-0.07,-0.04,0.22,-0.01,-0.0
PRES PERF ~ TO INF,-0.3,0.07,-0.11,-0.11,-0.08,-0.07,0.68,-0.04,-0.03,-0.01,-0.0
MOD was to,-0.3,0.07,0.39,0.14,-0.08,-0.07,-0.07,-0.04,-0.03,-0.01,-0.0
?VB ~ PAST,0.2,0.32,-0.11,-0.11,-0.08,-0.07,-0.07,-0.04,-0.03,-0.01,-0.0
MOD may ~ PRES PART,-0.3,0.32,-0.11,-0.11,-0.08,-0.07,0.43,-0.04,-0.03,-0.01,-0.0
MOD might ~ MOD should,-0.05,-0.18,-0.11,-0.11,0.17,0.18,-0.07,-0.04,0.22,-0.01,-0.0
MOD might ~ MOD would,-0.05,0.07,0.14,-0.11,-0.08,-0.07,0.18,-0.04,-0.03,-0.01,-0.0
MOD might ~ PAST,-0.3,-0.18,-0.11,-0.11,-0.08,-0.07,0.68,0.21,-0.03,-0.01,-0.0
MOD lest ~ PRES,-0.3,0.49,-0.11,-0.11,-0.08,-0.07,-0.07,-0.04,0.31,-0.01,-0.0
?VB,0.04,-0.18,-0.11,-0.11,-0.08,0.59,-0.07,-0.04,-0.03,-0.01,-0.0
MOD should ~ TO INF,0.37,-0.18,-0.11,-0.11,-0.08,-0.07,0.26,-0.04,-0.03,-0.01,-0.0
PAST PERF ~ PRES,0.04,-0.18,-0.11,-0.11,0.25,-0.07,0.26,-0.04,-0.03,-0.01,-0.0
MOD could ~ MOD must,0.7,-0.18,-0.11,-0.11,-0.08,-0.07,-0.07,-0.04,-0.03,-0.01,-0.0
MOD shall ~ PRES PERF,0.04,0.16,0.22,-0.11,-0.08,-0.07,-0.07,-0.04,-0.03,-0.01,-0.0
MOD need not ~ MOD shall,-0.3,0.49,-0.11,-0.11,-0.08,0.26,-0.07,-0.04,-0.03,-0.01,-0.0
FUT ~ MOD that be,-0.3,0.16,-0.11,-0.11,-0.08,-0.07,-0.07,-0.04,0.64,-0.01,-0.0
FUT ~ PRES PERF,-0.3,-0.18,-0.11,0.23,0.58,-0.07,-0.07,-0.04,-0.03,-0.01,-0.0
MOD VB ~ MOD may,-0.3,0.16,0.22,-0.11,-0.08,-0.07,-0.07,0.29,-0.03,-0.01,-0.0
MOD might,-0.3,-0.18,-0.11,0.23,-0.08,0.59,-0.07,-0.04,-0.03,-0.01,-0.0
FUT ~ PRES PROG,0.04,-0.18,-0.11,-0.11,0.25,-0.07,0.26,-0.04,-0.03,-0.01,-0.0
HAB used to,0.04,-0.18,0.56,-0.11,-0.08,-0.07,-0.07,-0.04,-0.03,-0.01,-0.0
PRES PART ~ PRES PERF,0.37,0.16,-0.11,-0.11,-0.08,-0.07,-0.07,-0.04,-0.03,-0.01,-0.0
MOD let ~ MOD would,-0.3,-0.18,0.22,-0.11,-0.08,-0.07,-0.07,0.63,-0.03,-0.01,-0.0
IMPV ~ MOD is to,0.37,-0.18,0.22,-0.11,-0.08,-0.07,-0.07,-0.04,-0.03,-0.01,-0.0
MOD is to ~ MOD may,0.37,-0.18,0.22,-0.11,-0.08,-0.07,-0.07,-0.04,-0.03,-0.01,-0.0
MOD can ~ MOD could,-0.3,0.32,0.39,-0.11,-0.08,-0.07,-0.07,-0.04,-0.03,-0.01,-0.0
IMPV ~ MOD lest,-0.3,0.32,0.39,-0.11,-0.08,-0.07,-0.07,-0.04,-0.03,-0.01,-0.0
?VB ~ MOD must,-0.3,-0.18,0.39,-0.11,-0.08,0.43,-0.07,-0.04,-0.03,-0.01,-0.0
?VB ~ MOD shall,-0.3,0.32,-0.11,-0.11,-0.08,0.43,-0.07,-0.04,-0.03,-0.01,-0.0
??VB ~ MOD let,-0.3,0.82,-0.11,-0.11,-0.08,-0.07,-0.07,-0.04,-0.03,-0.01,-0.0
MOD let ~ MOD that be,-0.3,-0.18,-0.11,-0.11,-0.08,0.43,-0.07,-0.04,0.47,-0.01,-0.0
MOD would ~ TO INF,-0.3,-0.18,0.39,0.39,-0.08,-0.07,-0.07,-0.04,-0.03,-0.01,-0.0
MOD lest,-0.3,-0.18,-0.11,-0.11,-0.08,-0.07,0.93,-0.04,-0.03,-0.01,-0.0
MOD is to ~ PRES PART,-0.3,-0.18,-0.11,-0.11,0.92,-0.07,-0.07,-0.04,-0.03,-0.01,-0.0
MOD may ~ PAST,-0.3,-0.18,-0.11,-0.11,-0.08,0.43,-0.07,-0.04,-0.03,0.49,-0.0
MOD is to ~ MOD must,0.2,-0.18,-0.11,0.39,-0.08,-0.07,-0.07,-0.04,-0.03,-0.01,-0.0
MOD let ~ PRES PERF,-0.3,-0.18,-0.11,-0.11,0.42,-0.07,-0.07,0.46,-0.03,-0.01,-0.0
MOD that be,-0.3,-0.18,0.39,-0.11,-0.08,-0.07,0.43,-0.04,-0.03,-0.01,-0.0
MOD should ~ MOD was to,0.2,-0.18,0.39,-0.11,-0.08,-0.07,-0.07,-0.04,-0.03,-0.01,-0.0
MOD might ~ TO INF,-0.3,-0.18,-0.11,0.39,-0.08,-0.07,0.43,-0.04,-0.03,-0.01,-0.0
MOD could ~ TO INF,-0.3,0.32,0.39,-0.11,-0.08,-0.07,-0.07,-0.04,-0.03,-0.01,-0.0
MOD must ~ MOD should,-0.3,0.32,-0.11,-0.11,-0.08,-0.07,0.43,-0.04,-0.03,-0.01,-0.0
MOD can ~ MOD should,0.7,-0.18,-0.11,-0.11,-0.08,-0.07,-0.07,-0.04,-0.03,-0.01,-0.0
MOD lest ~ MOD might,0.2,-0.18,-0.11,-0.11,-0.08,0.43,-0.07,-0.04,-0.03,-0.01,-0.0
PAST PROG,-0.3,-0.18,0.89,-0.11,-0.08,-0.07,-0.07,-0.04,-0.03,-0.01,-0.0
FUT ~ MOD,-0.3,-0.18,-0.11,0.89,-0.08,-0.07,-0.07,-0.04,-0.03,-0.01,-0.0
MOD should ~ PAST,-0.3,-0.18,-0.11,-0.11,-0.08,0.93,-0.07,-0.04,-0.03,-0.01,-0.0
MOD can ~ MOD must,-0.3,-0.18,-0.11,-0.11,0.92,-0.07,-0.07,-0.04,-0.03,-0.01,-0.0
FUT ~ MOD is to,-0.3,-0.18,-0.11,0.89,-0.08,-0.07,-0.07,-0.04,-0.03,-0.01,-0.0
MOD quest must ~ MOD shall,-0.3,-0.18,-0.11,-0.11,-0.08,0.93,-0.07,-0.04,-0.03,-0.01,-0.0
MOD quest must,-0.3,0.82,-0.11,-0.11,-0.08,-0.07,-0.07,-0.04,-0.03,-0.01,-0.0
MOD need not ~ PRES,-0.3,-0.18,-0.11,-0.11,-0.08,0.93,-0.07,-0.04,-0.03,-0.01,-0.0
PAST PROG ~ PRES PART,-0.3,-0.18,0.89,-0.11,-0.08,-0.07,-0.07,-0.04,-0.03,-0.01,-0.0
FUT PROG ~ PRES,-0.3,-0.18,0.89,-0.11,-0.08,-0.07,-0.07,-0.04,-0.03,-0.01,-0.0
FUT ~ FUT PROG,-0.3,-0.18,0.89,-0.11,-0.08,-0.07,-0.07,-0.04,-0.03,-0.01,-0.0
MOD should ~ PRES PART,-0.3,-0.18,-0.11,-0.11,-0.08,-0.07,0.93,-0.04,-0.03,-0.01,-0.0
FUT going-to ~ MOD lest,-0.3,-0.18,-0.11,-0.11,-0.08,0.93,-0.07,-0.04,-0.03,-0.01,-0.0
MOD must ~ PRES shall,-0.3,0.82,-0.11,-0.11,-0.08,-0.07,-0.07,-0.04,-0.03,-0.01,-0.0
FUT PROG ~ MOD shall,-0.3,-0.18,-0.11,0.89,-0.08,-0.07,-0.07,-0.04,-0.03,-0.01,-0.0
FUT PERF,-0.3,0.82,-0.11,-0.11,-0.08,-0.07,-0.07,-0.04,-0.03,-0.01,-0.0
PRES ~ PRES do,-0.3,-0.18,0.89,-0.11,-0.08,-0.07,-0.07,-0.04,-0.03,-0.01,-0.0
MOD should ~ PRES PERF,-0.3,-0.18,-0.11,-0.11,-0.08,-0.07,0.93,-0.04,-0.03,-0.01,-0.0
MOD was to ~ PRES,0.7,-0.18,-0.11,-0.11,-0.08,-0.07,-0.07,-0.04,-0.03,-0.01,-0.0
MOD would ~ PAST PERF,-0.3,-0.18,0.89,-0.11,-0.08,-0.07,-0.07,-0.04,-0.03,-0.01,-0.0
?VB ~ IMPV,-0.3,-0.18,-0.11,-0.11,-0.08,-0.07,-0.07,-0.04,0.97,-0.01,-0.0
MOD would ~ PRES PART,0.7,-0.18,-0.11,-0.11,-0.08,-0.07,-0.07,-0.04,-0.03,-0.01,-0.0
PRES PROG,-0.3,-0.18,0.89,-0.11,-0.08,-0.07,-0.07,-0.04,-0.03,-0.01,-0.0
MOD may ~ PRES PERF,-0.3,-0.18,-0.11,-0.11,0.92,-0.07,-0.07,-0.04,-0.03,-0.01,-0.0
MOD must ~ PRES PROG,-0.3,-0.18,-0.11,-0.11,-0.08,-0.07,0.93,-0.04,-0.03,-0.01,-0.0
MOD lest ~ MOD shall,-0.3,0.82,-0.11,-0.11,-0.08,-0.07,-0.07,-0.04,-0.03,-0.01,-0.0
MOD could ~ MOD shall,-0.3,-0.18,0.89,-0.11,-0.08,-0.07,-0.07,-0.04,-0.03,-0.01,-0.0
MOD could ~ PRES PERF,-0.3,-0.18,0.89,-0.11,-0.08,-0.07,-0.07,-0.04,-0.03,-0.01,-0.0
MOD VB ~ MOD shall,-0.3,-0.18,0.89,-0.11,-0.08,-0.07,-0.07,-0.04,-0.03,-0.01,-0.0
MOD is to ~ MOD lest,0.7,-0.18,-0.11,-0.11,-0.08,-0.07,-0.07,-0.04,-0.03,-0.01,-0.0
MOD VB ~ MOD can,0.7,-0.18,-0.11,-0.11,-0.08,-0.07,-0.07,-0.04,-0.03,-0.01,-0.0
JJ ~ PRES,-0.3,-0.18,-0.11,-0.11,-0.08,-0.07,0.93,-0.04,-0.03,-0.01,-0.0
IMPV ~ PRES PERF,0.7,-0.18,-0.11,-0.11,-0.08,-0.07,-0.07,-0.04,-0.03,-0.01,-0.0
MOD is to ~ PRES,-0.3,-0.18,-0.11,-0.11,-0.08,-0.07,0.93,-0.04,-0.03,-0.01,-0.0
IMPV ~ MOD need not,0.7,-0.18,-0.11,-0.11,-0.08,-0.07,-0.07,-0.04,-0.03,-0.01,-0.0
MOD lest ~ MOD must,-0.3,0.82,-0.11,-0.11,-0.08,-0.07,-0.07,-0.04,-0.03,-0.01,-0.0
MOD lest ~ MOD would,-0.3,0.82,-0.11,-0.11,-0.08,-0.07,-0.07,-0.04,-0.03,-0.01,-0.0
MOD must ~ PRES PART,-0.3,-0.18,0.89,-0.11,-0.08,-0.07,-0.07,-0.04,-0.03,-0.01,-0.0
MOD let ~ MOD might,-0.3,-0.18,-0.11,-0.11,-0.08,-0.07,0.93,-0.04,-0.03,-0.01,-0.0
IMPV ~ MOD,-0.3,-0.18,-0.11,-0.11,-0.08,-0.07,0.93,-0.04,-0.03,-0.01,-0.0
MOD let ~ VB,-0.3,-0.18,-0.11,-0.11,-0.08,-0.07,0.93,-0.04,-0.03,-0.01,-0.0
HAB used to ~ PRES,-0.3,-0.18,-0.11,-0.11,-0.08,0.93,-0.07,-0.04,-0.03,-0.01,-0.0
MOD may ~ MOD might,-0.3,-0.18,-0.11,0.89,-0.08,-0.07,-0.07,-0.04,-0.03,-0.01,-0.0
MOD may ~ MOD would,-0.3,-0.18,-0.11,-0.11,-0.08,0.93,-0.07,-0.04,-0.03,-0.01,-0.0
FUT ~ PRES shall,-0.3,0.82,-0.11,-0.11,-0.08,-0.07,-0.07,-0.04,-0.03,-0.01,-0.0
MOD can ~ MOD might,-0.3,0.82,-0.11,-0.11,-0.08,-0.07,-0.07,-0.04,-0.03,-0.01,-0.0
MOD might ~ PRES PERF,-0.3,-0.18,-0.11,-0.11,-0.08,-0.07,0.93,-0.04,-0.03,-0.01,-0.0
MOD must ~ MOD quest must,-0.3,-0.18,0.89,-0.11,-0.08,-0.07,-0.07,-0.04,-0.03,-0.01,-0.0
MOD ~ PRES,0.7,-0.18,-0.11,-0.11,-0.08,-0.07,-0.07,-0.04,-0.03,-0.01,-0.0
