,Main,Main,Main,SubAdv,Main,SubMod,SubAdv,SubArg,SubAdv,SubMod,SubAdv,SubArg,SubMod
FUT question,12.15,-5.78,0.19,-1.38,-2.19,-0.88,0.0,-0.39,0.0,0.0,0.0,0.0,0.0
PRES wh-question,7.74,-0.49,0.0,-3.55,-0.68,-1.3,-0.57,-0.2,0.0,0.0,0.0,0.0,0.0
MOD must,1.27,-0.18,-0.32,0.07,-0.9,0.6,-0.38,0.0,0.0,0.5,0.0,0.0,0.0
PRES question,6.28,-0.88,-0.43,-0.36,-0.91,-1.12,-0.38,-0.2,0.51,0.0,0.0,0.0,0.0
MOD quest shall,11.52,-2.8,-1.11,-0.69,-0.63,-0.94,-0.19,0.0,0.0,0.0,0.0,0.0,0.0
MOD quest can,4.66,-1.04,-0.97,0.74,-1.67,-0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could,-0.42,0.13,-1.39,-0.18,-0.9,5.49,0.0,1.33,0.0,0.0,2.43,0.0,0.0
MOD might,-1.58,-1.35,-1.78,1.51,2.92,-0.56,1.58,0.8,0.65,1.59,1.11,1.28,0.0
PAST did not,-0.37,5.03,-1.58,-0.44,-0.77,0.42,0.29,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to,-0.08,-2.31,0.12,-0.29,-0.58,3.16,0.0,5.8,0.0,0.0,0.0,0.0,0.0
MOD quest should,2.58,-1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT wh-question,1.31,0.8,-0.3,-0.8,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAB used to,-0.0,0.41,-0.81,-0.15,-0.41,1.36,0.0,0.62,0.0,1.05,0.0,0.0,0.0
PAST PERF,-0.62,0.3,0.0,0.0,-0.21,0.91,0.55,1.76,0.0,0.0,0.0,0.0,0.0
MOD was to,0.0,0.14,-0.4,-0.42,0.0,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES do-support,-0.54,-0.16,0.0,1.14,0.0,0.0,2.92,0.0,0.0,0.0,0.0,0.0,0.0
MOD that be,-0.55,1.13,-0.21,0.65,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD VB,-0.55,0.0,0.0,1.28,0.0,0.0,0.73,0.92,0.0,0.0,0.0,0.0,0.0
PRES PROG,-0.14,0.0,0.0,0.65,0.29,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PROG,-0.99,0.91,0.0,0.0,0.0,0.6,0.0,1.04,0.0,0.0,0.0,0.0,2.92
MOD quest would,2.35,-0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?VB,0.22,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD,0.22,-0.23,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PERF question,1.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES shall,-0.26,0.92,0.0,0.0,0.0,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT PROG,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST question,0.57,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PERF wh-question,1.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT PERF,-0.26,0.41,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES do,-0.26,0.41,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0
MOD need not,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD quest could,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST wh-question,-0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV not,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES can,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JJ,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PROG keep,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD that,0.0,0.0,0.0,0.0,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD quest must,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
