eng_TAMsimp,instruction,prophetic,prose,list,poetry
HAB used to ~ PAST,-0.36,-0.31,0.73,-0.03,-0.03
MOD shall ~ MOD should,-0.36,-0.31,0.73,-0.03,-0.03
IMPV ~ MOD may,-0.11,-0.06,0.23,-0.03,-0.03
MOD should ~ PRES,-0.11,-0.06,0.23,-0.03,-0.03
MOD let ~ TO INF,-0.36,-0.31,0.73,-0.03,-0.03
IMPV ~ MOD must,-0.36,-0.31,0.73,-0.03,-0.03
MOD VB ~ PRES,0.3,0.02,-0.27,-0.03,-0.03
MOD is to ~ TO INF,0.64,-0.31,-0.27,-0.03,-0.03
MOD could ~ MOD may,-0.36,-0.31,0.73,-0.03,-0.03
IMPV ~ MOD would,-0.36,-0.31,0.73,-0.03,-0.03
HAB used to ~ MOD would,-0.36,-0.31,0.73,-0.03,-0.03
MOD can ~ PRES,-0.03,-0.31,0.06,-0.03,0.31
MOD should ~ TO INF,-0.36,0.02,-0.27,-0.03,0.64
PAST ~ PAST PERF,-0.36,0.02,0.4,-0.03,-0.03
FUT ~ FUT going-to,-0.36,0.35,0.06,-0.03,-0.03
IMPV ~ PRES PART,-0.36,-0.31,0.73,-0.03,-0.03
IMPV ~ MOD is to,-0.36,-0.31,0.73,-0.03,-0.03
FUT ~ MOD must,-0.36,-0.31,0.73,-0.03,-0.03
MOD can ~ MOD let,0.14,-0.31,0.23,-0.03,-0.03
MOD lest ~ MOD might,0.14,-0.31,0.23,-0.03,-0.03
FUT going-to ~ MOD shall,-0.36,-0.31,0.73,-0.03,-0.03
MOD was to ~ PAST,-0.36,-0.31,-0.27,0.97,-0.03
MOD may ~ MOD should,-0.36,-0.31,-0.27,-0.03,0.98
PRES ~ PRES PROG,-0.36,-0.31,0.73,-0.03,-0.03
MOD must ~ PRES PART,0.14,-0.31,0.23,-0.03,-0.03
MOD must ~ PRES,0.14,-0.31,-0.27,-0.03,0.48
PRES PART ~ PRES PERF,-0.36,0.69,-0.27,-0.03,-0.03
MOD lest ~ MOD must,-0.36,-0.31,0.73,-0.03,-0.03
MOD may ~ PRES PART,-0.36,-0.31,0.23,-0.03,0.48
MOD lest ~ PRES PART,-0.36,-0.31,0.73,-0.03,-0.03
MOD let ~ MOD must,-0.36,0.19,0.23,-0.03,-0.03
MOD that be ~ TO INF,0.64,-0.31,-0.27,-0.03,-0.03
MOD would ~ PRES PART,-0.36,-0.31,0.73,-0.03,-0.03
MOD let ~ PRES,0.14,-0.31,0.23,-0.03,-0.03
FUT ~ MOD that be,0.64,-0.31,-0.27,-0.03,-0.03
FUT ~ MOD should,-0.36,-0.31,0.73,-0.03,-0.03
MOD would ~ PRES PROG,-0.36,-0.31,0.73,-0.03,-0.03
MOD can ~ TO INF,-0.36,0.69,-0.27,-0.03,-0.03
MOD would ~ TO INF,-0.36,-0.31,0.73,-0.03,-0.03
MOD ~ MOD would,-0.36,-0.31,0.73,-0.03,-0.03
FUT ~ MOD is to,-0.36,-0.31,0.73,-0.03,-0.03
PAST PROG ~ TO INF,-0.36,-0.31,0.73,-0.03,-0.03
FUT ~ MOD VB,-0.36,-0.31,0.73,-0.03,-0.03
PRES PERF ~ TO INF,-0.36,-0.31,0.73,-0.03,-0.03
FUT ~ FUT PROG,0.64,-0.31,-0.27,-0.03,-0.03
PAST PERF ~ PRES PART,-0.36,-0.31,0.73,-0.03,-0.03
MOD might ~ MOD would,-0.36,-0.31,0.73,-0.03,-0.03
MOD should ~ MOD would,-0.36,-0.31,0.73,-0.03,-0.03
MOD let ~ MOD might,-0.36,-0.31,-0.27,0.97,-0.03
MOD could ~ TO INF,-0.36,-0.31,0.73,-0.03,-0.03
MOD is to ~ MOD lest,-0.36,0.69,-0.27,-0.03,-0.03
MOD is to ~ MOD may,-0.36,-0.31,0.73,-0.03,-0.03
MOD VB ~ MOD can,-0.36,-0.31,0.73,-0.03,-0.03
MOD is to ~ PRES PART,0.64,-0.31,-0.27,-0.03,-0.03
MOD lest ~ PRES,0.64,-0.31,-0.27,-0.03,-0.03
MOD let ~ MOD should,-0.36,-0.31,0.73,-0.03,-0.03
MOD quest must ~ MOD shall,-0.36,-0.31,0.73,-0.03,-0.03
MOD let ~ MOD would,-0.36,-0.31,-0.27,0.97,-0.03
MOD let ~ PRES PART,-0.36,-0.31,0.73,-0.03,-0.03
IMPV ~ MOD VB,-0.36,-0.31,0.73,-0.03,-0.03
HAB used to ~ PRES PART,-0.36,-0.31,0.73,-0.03,-0.03
HAB used to ~ PAST PROG,-0.36,-0.31,0.73,-0.03,-0.03
MOD could ~ MOD would,-0.36,-0.31,0.73,-0.03,-0.03
PRES ~ VB,-0.36,0.69,-0.27,-0.03,-0.03
