clause_rela,Main,Main,Main,SubAdv,Main,SubMod,SubAdv,SubArg,SubAdv,SubMod,SubAdv,SubArg,SubMod
MOD lest,-0.34,-0.22,-0.14,0.71,0.1,-0.05,-0.03,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0
PAST PROG,-0.23,0.12,-0.14,0.11,-0.09,0.07,0.09,-0.02,-0.01,-0.01,-0.0,-0.0,0.11
HAB used to,-0.01,0.12,-0.14,-0.11,-0.09,0.07,-0.03,0.21,-0.01,-0.01,-0.0,-0.0,-0.0
MOD VB,-0.34,0.28,-0.14,0.39,-0.09,-0.04,-0.03,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0
PRES do-support,-0.17,-0.22,0.02,0.05,-0.09,-0.04,0.47,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0
PRES PERF wh-question,0.66,-0.22,-0.14,-0.11,-0.09,-0.04,-0.03,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0
PAST wh-question,-0.01,0.28,-0.14,-0.11,0.08,-0.04,-0.03,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0
PRES PERF question,0.06,0.18,0.06,-0.11,-0.09,-0.04,-0.03,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0
MOD need not,0.06,0.18,-0.14,-0.11,-0.09,-0.04,-0.03,-0.02,-0.01,0.19,-0.0,-0.0,-0.0
MOD quest must,-0.09,0.28,0.11,-0.11,-0.09,-0.04,-0.03,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0
MOD that be,-0.34,0.45,-0.14,-0.11,0.25,-0.04,-0.03,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0
PAST question,0.33,0.12,-0.14,-0.11,-0.09,-0.04,-0.03,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0
MOD quest could,-0.01,0.12,-0.14,-0.11,-0.09,-0.04,-0.03,-0.02,0.33,-0.01,-0.0,-0.0,-0.0
FUT PROG,-0.34,-0.22,0.19,0.55,-0.09,-0.04,-0.03,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0
FUT PERF,-0.34,0.28,0.36,-0.11,-0.09,-0.04,-0.03,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0
JJ,-0.34,-0.22,-0.14,-0.11,0.91,-0.04,-0.03,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0
PAST do-support,-0.34,-0.22,-0.14,-0.11,-0.09,-0.04,0.97,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0
VB,-0.34,-0.22,-0.14,-0.11,0.91,-0.04,-0.03,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0
