genre,domain2,person,TOTAL,PRES,PAST,PRES PART,PRES ~ PRES PART,FUT,PAST PROG,PRES PROG,PAST ~ PAST PROG,PAST ~ PRES PART,PRES ~ PRES PROG,PAST ~ PRES,FUT ~ PRES,FUT ~ MOD shall,PRES ~ PRES PERF,PRES PERF,TO INF,PAST PERF,PAST PROG ~ PRES PART,FUT ~ FUT going-to,PAST ~ PRES PERF,PAST ~ PAST PERF,PRES PART ~ PRES PROG,FUT ~ PRES PROG,FUT ~ PRES PART,PAST ~ TO INF,FUT ~ TO INF,MOD may ~ PRES,FUT going-to ~ PRES,MOD could ~ PAST,PRES PART ~ TO INF,FUT going-to ~ PRES PROG,PRES ~ TO INF,IMPV ~ PRES,MOD is to ~ PRES,MOD can ~ PRES,MOD could,PRES PART ~ PRES PERF,MOD shall ~ PRES,MOD should,IMPV,MOD can,PAST PERF ~ PAST PROG,IMPV ~ MOD may,FUT going-to ~ MOD shall,MOD would ~ PRES,MOD would ~ PAST,MOD would,FUT ~ MOD must,MOD is to ~ MOD shall,PAST PROG ~ PRES,PAST ~ PRES PROG,PAST ~ PAST PERF PROG,MOD shall ~ TO INF,PRES PERF PROG,MOD is to ~ PRES PART,PRES PERF ~ PRES PROG,MOD may,MOD let ~ PRES,MOD is to,MOD should ~ MOD would,PRES PERF PROG ~ PRES PROG,FUT PROG ~ PRES PART,MOD should ~ TO INF,MOD can ~ TO INF,FUT ~ MOD is to,MOD was to ~ PAST,PRES ~ PRES PERF PROG,MOD can ~ MOD shall,MOD can ~ PRES PART,MOD is to ~ TO INF,MOD let,PRES ~ PRES PROG keep,MOD may ~ PAST,PAST PERF PROG ~ PAST PROG,MOD was to ~ TO INF,FUT ~ MOD may,MOD must ~ MOD shall,MOD must ~ PRES,PAST PERF ~ PAST PERF PROG,PRES PART ~ PRES PERF PROG,FUT going-to ~ PRES PART,FUT ~ PAST PROG,PAST PERF ~ PRES PART,MOD may ~ TO INF,MOD was to ~ PAST PROG,PAST PERF ~ PRES,FUT ~ FUT PROG,IMPV ~ PRES PROG,FUT ~ MOD can,HAB used to ~ PAST PERF,FUT PROG ~ MOD is to,IMPV ~ PAST,FUT ~ MOD would,FUT ~ VB,HAB used to ~ PAST,FUT ~ PAST,TO INF ~ VB,MOD can ~ MOD may,MOD could ~ PRES PART,PRES PROG ~ TO INF,PRES PROG ~ PRES PROG keep,PRES PERF ~ TO INF,PRES PERF ~ PRES PERF PROG,PAST ~ VB,PAST PROG ~ TO INF,MOD would ~ PRES PROG,MOD would ~ PRES PERF,MOD was to ~ PRES PART,MOD was to,MOD that VB ~ PRES PART,MOD should ~ PRES PERF,MOD should ~ PRES,MOD should ~ PAST,MOD should ~ MOD was to,MOD shall ~ PRES PART,MOD shall ~ PAST,MOD shall,MOD need not ~ TO INF,MOD must ~ PRES PART,MOD must,MOD might,MOD may ~ PRES PART,MOD let ~ TO INF,MOD is to ~ MOD would,MOD shall ~ PRES PERF
poetry,D,unknown,34,31,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
instruction,D,unknown,28,11,1,9,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prose,D,unknown,23,3,7,5,1,0,0,0,1,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
list,?,unknown,21,0,14,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
instruction,N,unknown,20,0,10,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prophetic,D,unknown,16,8,4,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
instruction,?,unknown,11,8,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
list,Q,unknown,9,4,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
poetry,N,unknown,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
list,D,unknown,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
