period,genre,domain2,TOTAL,PRES,FUT,FUT ~ MOD shall,IMPV ~ MOD shall,MOD must ~ MOD shall,IMPV,MOD is to ~ MOD shall,MOD may,PAST,MOD shall,MOD let,FUT ~ PRES,MOD shall ~ PRES,MOD can,FUT ~ MOD may,IMPV ~ MOD let,MOD should,FUT ~ MOD lest,MOD would,PRES ~ PRES PERF,MOD may ~ MOD shall,MOD can ~ MOD may,TO INF,PRES ~ PRES PART,MOD may ~ PRES,MOD may ~ TO INF,PAST ~ PRES,MOD shall ~ TO INF,MOD let ~ MOD may,PRES ~ TO INF,IMPV ~ MOD may,MOD could,MOD must,MOD should ~ PRES,MOD can ~ MOD shall,PRES PERF,MOD can ~ PRES,FUT ~ MOD can,MOD would ~ PAST,MOD shall ~ MOD should,PRES PART,FUT ~ TO INF,IMPV ~ PRES,FUT ~ MOD would,MOD let ~ TO INF,MOD lest ~ PRES,PRES ~ PRES PROG,PAST ~ PRES PERF,IMPV ~ MOD must,MOD may ~ MOD must,MOD must ~ PRES,MOD should ~ TO INF,MOD lest ~ MOD may,MOD let ~ MOD shall,MOD is to ~ MOD let,MOD shall ~ PRES PART,HAB used to ~ PAST,PAST ~ PRES PART,MOD let ~ MOD must,FUT ~ IMPV,FUT ~ MOD let,MOD is to,MOD should ~ MOD was to,MOD shall ~ PAST,PAST ~ TO INF,PAST ~ PAST PERF,MOD is to ~ MOD may,PAST PERF,MOD let ~ MOD should,FUT ~ FUT going-to,MOD would ~ PRES,FUT ~ PAST,FUT ~ PRES PART,MOD lest ~ TO INF,FUT going-to ~ MOD shall,MOD lest ~ MOD might,MOD could ~ MOD might,MOD was to ~ PAST,MOD should ~ MOD would,IMPV ~ PRES PART,MOD was to,HAB used to,PRES PART ~ TO INF,MOD might,MOD is to ~ MOD must,MOD can ~ MOD let,IMPV ~ TO INF,FUT ~ PRES PROG,FUT ~ PRES PERF,MOD shall ~ MOD would,MOD lest ~ MOD would,FUT ~ MOD is to,IMPV ~ MOD is to,PAST PROG,MOD let ~ PRES,MOD can ~ MOD should,MOD can ~ MOD could,FUT ~ MOD that be,FUT ~ MOD should,MOD can ~ MOD might,MOD could ~ PAST,MOD may ~ PRES PART,MOD might ~ MOD should,MOD shall ~ PRES PERF,PAST ~ PAST PROG,MOD could ~ MOD would,MOD could ~ MOD should,MOD can ~ TO INF,IMPV ~ MOD can,?VB ~ PAST,MOD let ~ PAST,FUT ~ MOD must,MOD should ~ PRES PERF,?VB ~ MOD shall,MOD is to ~ PRES PART,MOD lest ~ MOD should,?VB ~ MOD must,MOD let ~ MOD would,MOD let ~ PRES PART,MOD let ~ PRES PERF,MOD is to ~ PRES,FUT PROG ~ PRES,PAST PERF ~ PRES,FUT PERF ~ PRES,FUT PROG ~ MOD shall,?VB,HAB used to ~ PRES,FUT going-to ~ MOD lest,?VB ~ IMPV,FUT ~ MOD,?VB ~ MOD let,FUT ~ PRES shall,IMPV ~ MOD,IMPV ~ MOD need not,MOD lest ~ MOD that be,IMPV ~ MOD should,MOD might ~ MOD would,MOD must ~ MOD should,MOD must ~ PRES PART,MOD must ~ PRES shall,MOD must ~ TO INF,MOD need not ~ MOD shall,MOD need not ~ PRES,MOD quest must ~ MOD shall,MOD should ~ PAST,MOD should ~ PRES PART,MOD that be,MOD that be ~ TO INF,MOD was to ~ PRES,MOD would ~ PRES PART,MOD would ~ TO INF,MOD ~ PRES,PRES PART ~ PRES PERF,PRES PART ~ PRES PROG,PRES ~ PRES can,PRES ~ PRES shall,MOD might ~ TO INF,MOD may ~ PRES PERF,IMPV ~ PAST,MOD may ~ PAST,MOD VB ~ MOD may,MOD can ~ MOD lest,MOD can ~ MOD must,MOD can ~ PAST,MOD can ~ PRES PART,MOD could ~ MOD shall,MOD could ~ PAST PERF,MOD could ~ PRES PERF,MOD could ~ TO INF,MOD is to ~ MOD should,MOD is to ~ PRES PROG,MOD is to ~ TO INF,MOD lest ~ MOD let,MOD lest ~ MOD must,MOD lest ~ MOD shall,MOD let ~ MOD that be,MOD let ~ VB,MOD may ~ MOD might,MOD may ~ MOD would,??VB ~ MOD let
SBH,prose,N,20,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBH,list,D,7,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBH,prose,N,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBH,list,D,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBH,list,?,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBH,prose,?,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBH,prophetic,Q,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBH,prose,?,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBH,list,Q,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBH,list,N,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBH,instruction,N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBH,list,?,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
