genre,prophetic,prose,poetry,prose,instruction,prophetic,instruction,list,poetry,list
PRES.. ~ PRES..IND,0.06,-0.17,0.23,-0.17,0.03,-0.01,-0.01,-0.0,0.06,-0.0
PRES..MOD ~ PRES.PERF.IND,-0.05,0.13,0.16,-0.17,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0
FUT..IND ~ PAST..IND,0.28,-0.23,0.09,-0.17,-0.04,0.09,-0.01,-0.0,-0.0,-0.0
.. ~ PRES.PERF.IND,-0.1,0.32,-0.1,-0.17,0.08,-0.01,-0.01,-0.0,-0.0,-0.0
.. ~ PRES..IND,-0.07,-0.11,0.42,-0.17,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0
PAST.PERF.IND ~ PAST.PROG.IND,-0.32,-0.23,-0.21,0.83,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0
PRES.PERF.IND ~ PRES.PERF_PROG.IND,0.08,0.17,-0.01,-0.17,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0
PAST..IND ~ PRES.PROG.IND,0.28,-0.03,-0.01,-0.17,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0
PAST..SUBJ ~ PRES.PERF.IND,0.43,-0.23,-0.21,0.08,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0
PAST..SUBJ ~ PRES..MOD,-0.07,0.52,-0.21,-0.17,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0
PAST.PERF.IND ~ past.PERF_PROG.IND,-0.32,-0.23,-0.21,0.83,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0
PAST.PROG.IND ~ PRES.PERF.IND,-0.32,0.52,0.04,-0.17,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0
.. ~ PAST..SUBJ,-0.32,-0.23,0.04,0.33,0.22,-0.01,-0.01,-0.0,-0.0,-0.0
PAST.PERF.IND ~ PRES..IND,-0.32,0.1,0.46,-0.17,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0
PAST.PERF.IND ~ PRES..MOD,-0.32,0.1,0.13,0.16,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0
PAST.PROG.IND ~ PRES..,-0.32,-0.23,-0.21,0.49,-0.04,0.32,-0.01,-0.0,-0.0,-0.0
.. ~ PAST.PERF.IND,0.01,-0.23,-0.21,0.49,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0
PRES.. ~ PRES..MOD,0.35,-0.23,0.13,-0.17,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0
FUT..IND ~ PRES..,0.01,-0.23,0.46,-0.17,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0
.. ~ PRES..MOD,-0.32,-0.23,-0.21,0.83,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0
PAST..SUBJ ~ PAST.PERF.IND,-0.32,0.27,-0.21,0.33,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0
.. ~ PRES..,0.18,-0.23,0.29,-0.17,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0
PAST.PERF.IND ~ PRES..,-0.32,-0.23,-0.21,0.83,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0
FUT..IND ~ FUT..MOD,0.68,-0.23,-0.21,-0.17,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0
FUT..IND ~ FUT.PERF.IND,0.18,-0.23,0.29,-0.17,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0
PRES.PERF_PROG.IND ~ PRES.PROG.IND,-0.32,-0.23,0.79,-0.17,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0
FUT..IND ~ PAST..SUBJ,0.68,-0.23,-0.21,-0.17,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0
FUT..IND ~ PRES.PROG.IND,0.68,-0.23,-0.21,-0.17,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0
FUT..MOD ~ PRES.PERF.IND,-0.32,0.77,-0.21,-0.17,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0
FUT.PERF.IND ~ PRES.PERF.IND,-0.32,0.77,-0.21,-0.17,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0
PAST..IND ~ past.PERF_PROG.IND,-0.32,-0.23,-0.21,0.83,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0
PAST..SUBJ ~ PRES..,-0.32,-0.23,-0.21,0.83,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0
PAST..SUBJ ~ PRES..IND,-0.32,-0.23,0.79,-0.17,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0
PAST.PROG.IND ~ PRES..IND,-0.32,-0.23,0.79,-0.17,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0
PAST.PROG.IND ~ past.PERF_PROG.IND,-0.32,-0.23,-0.21,0.83,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0
PRES.. ~ PRES.PROG.IND,-0.32,0.77,-0.21,-0.17,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0
.. ~ FUT..IND,0.68,-0.23,-0.21,-0.17,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0
