eng_TAMsimp,poetry,prophetic,prose,instruction,list
MOD may ~ TO INF,-0.26,-0.2,0.51,-0.05,-0.0
MOD shall ~ MOD should,-0.23,0.13,0.21,-0.11,-0.0
IMPV ~ MOD may,-0.06,-0.25,0.36,-0.04,-0.0
FUT ~ TO INF,0.02,-0.08,0.2,-0.14,-0.0
MOD would ~ PAST,-0.19,-0.05,0.27,-0.07,0.03
MOD would ~ PRES,0.41,-0.24,-0.06,-0.1,-0.0
FUT ~ IMPV,0.06,0.02,0.03,-0.1,-0.0
MOD let ~ PRES,0.25,-0.01,-0.1,-0.14,-0.0
PAST ~ PRES PART,0.04,0.05,-0.04,-0.09,0.04
FUT ~ MOD let,0.14,-0.05,0.05,-0.14,-0.0
MOD shall ~ PRES PART,-0.29,0.11,-0.18,0.36,-0.0
MOD should ~ TO INF,-0.03,-0.13,0.25,-0.14,0.05
MOD must ~ PRES,0.04,-0.18,-0.0,0.14,-0.0
FUT ~ PRES PART,-0.17,0.3,0.02,-0.14,-0.0
MOD let ~ TO INF,-0.06,-0.23,0.43,-0.14,-0.0
MOD lest ~ MOD may,-0.04,-0.16,-0.09,0.3,-0.0
PRES ~ PRES PROG,-0.17,-0.16,0.16,0.17,-0.0
MOD let ~ MOD shall,-0.29,0.11,-0.08,0.26,-0.0
FUT ~ PAST,-0.16,0.25,0.05,-0.14,-0.0
IMPV ~ MOD must,-0.29,-0.14,0.51,-0.07,-0.0
MOD lest ~ PRES,-0.15,-0.22,0.44,-0.07,-0.0
MOD shall ~ PAST,-0.29,0.21,0.08,0.0,-0.0
MOD should ~ MOD would,0.21,-0.14,0.01,-0.07,-0.0
PAST ~ TO INF,-0.06,-0.06,0.03,-0.06,0.15
FUT ~ MOD should,0.13,0.05,-0.11,-0.06,-0.0
HAB used to ~ PAST,-0.21,-0.12,0.47,-0.14,-0.0
MOD might,0.25,-0.2,0.09,-0.14,-0.0
MOD may ~ MOD must,-0.2,-0.29,0.18,0.31,-0.0
IMPV ~ MOD can,0.53,-0.29,-0.1,-0.14,-0.0
MOD is to,-0.09,-0.19,0.22,0.06,-0.0
PAST ~ PAST PERF,0.11,-0.19,0.22,-0.14,-0.0
MOD let ~ MOD must,-0.29,-0.18,0.39,0.08,-0.0
MOD was to ~ PAST,-0.18,-0.06,0.05,0.19,-0.0
MOD is to ~ MOD let,-0.29,-0.29,0.28,0.3,-0.0
MOD can ~ MOD should,-0.17,0.09,0.22,-0.14,-0.0
MOD let ~ PAST,0.33,-0.16,-0.15,-0.02,-0.0
MOD let ~ MOD should,-0.17,-0.16,0.47,-0.14,-0.0
MOD can ~ MOD could,0.21,-0.16,0.1,-0.14,-0.0
IMPV ~ PAST,-0.15,0.29,0.01,-0.14,-0.0
MOD could ~ MOD would,-0.15,0.29,0.01,-0.14,-0.0
IMPV ~ MOD should,-0.29,0.57,-0.14,-0.14,-0.0
FUT ~ MOD must,0.14,-0.0,0.01,-0.14,-0.0
MOD lest,0.57,-0.14,-0.28,-0.14,-0.0
MOD should ~ MOD was to,-0.01,-0.29,0.44,-0.14,-0.0
PAST PERF,-0.15,-0.29,0.58,-0.14,-0.0
IMPV ~ PRES PART,-0.29,0.14,0.15,0.0,-0.0
MOD might ~ MOD would,0.14,0.14,-0.28,0.0,-0.0
IMPV ~ TO INF,-0.15,-0.0,0.01,0.15,-0.0
FUT ~ FUT going-to,-0.29,-0.29,0.72,-0.14,-0.0
PRES PART ~ TO INF,0.04,-0.12,-0.28,0.36,-0.0
MOD lest ~ MOD might,-0.29,-0.12,0.39,0.03,-0.0
MOD could ~ PAST,0.38,-0.29,0.05,-0.14,-0.0
FUT ~ PRES PERF,-0.12,0.05,0.22,-0.14,-0.0
MOD can ~ TO INF,0.21,-0.12,0.05,-0.14,-0.0
MOD is to ~ MOD may,-0.29,-0.29,0.05,0.53,-0.0
MOD may ~ PRES PART,-0.29,0.21,0.22,-0.14,-0.0
MOD could ~ MOD might,-0.12,-0.12,0.39,-0.14,-0.0
FUT going-to ~ MOD shall,-0.29,-0.12,0.55,-0.14,-0.0
MOD shall ~ MOD would,0.21,-0.29,0.05,0.03,-0.0
?VB ~ MOD let,0.54,-0.29,-0.11,-0.14,-0.0
PAST ~ PAST PROG,-0.12,0.05,0.22,-0.14,-0.0
MOD can ~ PRES PART,0.31,-0.09,-0.08,-0.14,-0.0
MOD VB ~ MOD may,0.11,0.11,-0.28,0.06,-0.0
MOD is to ~ MOD must,-0.29,-0.09,0.52,-0.14,-0.0
MOD might ~ TO INF,0.11,0.11,-0.08,-0.14,-0.0
MOD can ~ MOD let,-0.29,-0.09,0.52,-0.14,-0.0
MOD lest ~ TO INF,-0.29,-0.29,0.52,0.06,-0.0
MOD would ~ TO INF,0.31,-0.09,-0.08,-0.14,-0.0
MOD let ~ PRES PART,0.11,-0.09,0.12,-0.14,-0.0
MOD might ~ PAST,0.11,0.31,-0.28,-0.14,-0.0
MOD was to,-0.09,-0.29,0.32,-0.14,0.2
MOD might ~ MOD should,0.11,-0.29,0.32,-0.14,-0.0
MOD should ~ PAST,0.21,-0.04,-0.03,-0.14,-0.0
MOD VB ~ PRES,0.71,-0.29,-0.28,-0.14,-0.0
FUT ~ PRES PROG,-0.29,-0.04,0.47,-0.14,-0.0
IMPV ~ MOD lest,-0.04,0.21,-0.03,-0.14,-0.0
HAB used to,-0.29,-0.29,0.72,-0.14,-0.0
PAST PERF ~ PRES,-0.04,-0.04,0.22,-0.14,-0.0
MOD can ~ PAST,-0.29,0.46,-0.03,-0.14,-0.0
FUT ~ MOD is to,-0.29,-0.04,0.47,-0.14,-0.0
?VB ~ PAST,0.21,-0.29,0.22,-0.14,-0.0
PRES PERF ~ TO INF,-0.29,0.71,-0.28,-0.14,-0.0
MOD could ~ MOD should,-0.29,0.05,0.39,-0.14,-0.0
?VB,-0.29,0.05,0.39,-0.14,-0.0
PAST PROG,-0.29,-0.29,0.72,-0.14,-0.0
MOD shall ~ PRES PERF,-0.29,-0.29,0.72,-0.14,-0.0
MOD can ~ MOD might,-0.29,-0.29,0.72,-0.14,-0.0
MOD could ~ MOD must,0.71,-0.29,-0.28,-0.14,-0.0
FUT PROG ~ PRES,0.04,-0.29,-0.28,0.53,-0.0
MOD lest ~ MOD would,-0.29,-0.29,0.39,0.19,-0.0
FUT ~ MOD that be,-0.29,-0.29,0.39,0.19,-0.0
MOD need not ~ MOD shall,0.38,-0.29,0.05,-0.14,-0.0
MOD may ~ PRES PERF,0.04,-0.29,0.05,0.19,-0.0
MOD may ~ PAST,0.38,-0.29,0.05,-0.14,-0.0
MOD may ~ MOD might,0.04,0.05,0.05,-0.14,-0.0
PRES PART ~ PRES PERF,0.38,0.05,-0.28,-0.14,-0.0
MOD is to ~ PRES PART,0.04,-0.29,0.39,-0.14,-0.0
MOD let ~ PRES PERF,0.04,-0.29,0.39,-0.14,-0.0
MOD let ~ MOD would,0.04,-0.29,0.39,-0.14,-0.0
IMPV ~ MOD is to,-0.29,-0.29,0.72,-0.14,-0.0
MOD would ~ PRES PART,0.04,0.05,0.05,-0.14,-0.0
?VB ~ MOD must,-0.29,-0.29,0.72,-0.14,-0.0
?VB ~ MOD shall,-0.29,-0.29,0.22,0.36,-0.0
??VB ~ MOD let,-0.29,-0.29,0.72,-0.14,-0.0
MOD must ~ MOD should,0.21,-0.29,0.22,-0.14,-0.0
MOD is to ~ PRES,-0.29,-0.29,0.72,-0.14,-0.0
MOD can ~ MOD must,0.21,-0.29,0.22,-0.14,-0.0
MOD should ~ PRES PERF,-0.29,0.21,0.22,-0.14,-0.0
MOD that be,-0.29,0.21,0.22,-0.14,-0.0
MOD let ~ MOD that be,0.21,-0.29,0.22,-0.14,-0.0
PAST PROG ~ PRES,0.21,0.21,-0.28,-0.14,-0.0
MOD lest ~ MOD should,0.71,-0.29,-0.28,-0.14,-0.0
MOD lest ~ MOD shall,-0.29,0.21,0.22,-0.14,-0.0
MOD is to ~ TO INF,0.21,-0.29,0.22,-0.14,-0.0
MOD need not ~ PRES,-0.29,0.21,-0.28,0.36,-0.0
MOD could ~ TO INF,0.21,-0.29,0.22,-0.14,-0.0
PRES PROG,-0.29,0.21,0.22,-0.14,-0.0
PRES ~ PRES do,0.71,-0.29,-0.28,-0.14,-0.0
FUT PERF,-0.29,0.71,-0.28,-0.14,-0.0
FUT ~ MOD,-0.29,-0.29,0.72,-0.14,-0.0
MOD quest must,-0.29,0.71,-0.28,-0.14,-0.0
MOD quest must ~ MOD shall,-0.29,-0.29,0.72,-0.14,-0.0
PRES ~ PRES shall,-0.29,-0.29,-0.28,0.86,-0.0
MOD should ~ PRES PART,-0.29,-0.29,0.72,-0.14,-0.0
?VB ~ IMPV,-0.29,-0.29,0.72,-0.14,-0.0
?VB ~ MOD lest,0.71,-0.29,-0.28,-0.14,-0.0
MOD that be ~ TO INF,-0.29,-0.29,-0.28,0.86,-0.0
MOD was to ~ PRES,-0.29,-0.29,0.72,-0.14,-0.0
MOD would ~ PAST PERF,-0.29,0.71,-0.28,-0.14,-0.0
MOD ~ PRES,-0.29,-0.29,0.72,-0.14,-0.0
MOD would ~ PAST PROG,0.71,-0.29,-0.28,-0.14,-0.0
FUT PERF ~ PRES,-0.29,-0.29,0.72,-0.14,-0.0
FUT ~ FUT PROG,0.71,-0.29,-0.28,-0.14,-0.0
PRES ~ PRES can,-0.29,-0.29,0.72,-0.14,-0.0
PRES PERF ~ PRES PROG,0.71,-0.29,-0.28,-0.14,-0.0
MOD must ~ TO INF,-0.29,-0.29,0.72,-0.14,-0.0
FUT going-to ~ MOD is to,-0.29,0.71,-0.28,-0.14,-0.0
PAST PROG ~ PRES PART,-0.29,0.71,-0.28,-0.14,-0.0
FUT PROG ~ MOD shall,-0.29,-0.29,-0.28,0.86,-0.0
PRES PART ~ PRES PROG,-0.29,-0.29,0.72,-0.14,-0.0
FUT going-to ~ MOD lest,-0.29,-0.29,0.72,-0.14,-0.0
MOD can ~ MOD lest,-0.29,-0.29,0.72,-0.14,-0.0
MOD must ~ PRES shall,-0.29,-0.29,-0.28,0.86,-0.0
MOD lest ~ MOD let,-0.29,-0.29,0.72,-0.14,-0.0
MOD could ~ MOD shall,-0.29,-0.29,0.72,-0.14,-0.0
MOD VB ~ TO INF,0.71,-0.29,-0.28,-0.14,-0.0
MOD could ~ PAST PERF,-0.29,-0.29,0.72,-0.14,-0.0
MOD VB ~ MOD shall,-0.29,0.71,-0.28,-0.14,-0.0
MOD could ~ PRES PERF,0.71,-0.29,-0.28,-0.14,-0.0
MOD VB ~ MOD can,0.71,-0.29,-0.28,-0.14,-0.0
JJ ~ PRES,0.71,-0.29,-0.28,-0.14,-0.0
IMPV ~ PRES PERF,-0.29,0.71,-0.28,-0.14,-0.0
MOD is to ~ MOD lest,-0.29,0.71,-0.28,-0.14,-0.0
MOD is to ~ MOD should,-0.29,-0.29,0.72,-0.14,-0.0
MOD is to ~ PRES PROG,-0.29,-0.29,0.72,-0.14,-0.0
IMPV ~ MOD need not,-0.29,-0.29,-0.28,0.86,-0.0
MOD lest ~ MOD must,-0.29,-0.29,-0.28,0.86,-0.0
MOD must ~ PRES PROG,0.71,-0.29,-0.28,-0.14,-0.0
MOD let ~ MOD might,-0.29,0.71,-0.28,-0.14,-0.0
IMPV ~ MOD,-0.29,-0.29,0.72,-0.14,-0.0
MOD let ~ VB,-0.29,-0.29,0.72,-0.14,-0.0
HAB used to ~ PRES PERF,0.71,-0.29,-0.28,-0.14,-0.0
HAB used to ~ PRES,-0.29,-0.29,0.72,-0.14,-0.0
MOD may ~ MOD should,0.71,-0.29,-0.28,-0.14,-0.0
HAB used to ~ MOD would,0.71,-0.29,-0.28,-0.14,-0.0
MOD may ~ MOD would,-0.29,-0.29,0.72,-0.14,-0.0
MOD might ~ PRES PERF,-0.29,0.71,-0.28,-0.14,-0.0
FUT ~ PRES shall,-0.29,-0.29,-0.28,0.86,-0.0
MOD must ~ MOD quest must,-0.29,0.71,-0.28,-0.14,-0.0
MOD must ~ PRES PART,-0.29,-0.29,0.72,-0.14,-0.0
MOD lest ~ MOD that be,-0.29,-0.29,-0.28,0.86,-0.0
