genre,instruction,prophetic,prose,poetry,list,prophetic,instruction,instruction,prose,prophetic,prose,list,prophetic,instruction,poetry,list
domain2,Q,Q,Q,Q,N,?,?,D,N,D,D,Q,N,N,?,?
eng_TAMsimp,,,,,,,,,,,,,,,,
MOD lest ~ MOD must,-0.34,-0.29,0.75,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
MOD may ~ PRES PART,-0.34,-0.29,0.25,0.48,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
MOD lest ~ PRES PART,-0.34,-0.29,0.75,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
MOD let ~ MOD must,-0.34,0.21,0.25,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
MOD that be ~ TO INF,0.66,-0.29,-0.25,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
MOD would ~ PRES PART,-0.34,-0.29,-0.25,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,0.99,-0.01,-0.0,-0.0,-0.0,-0.0
MOD let ~ PRES,0.16,-0.29,0.25,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD that be,0.66,-0.29,-0.25,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD should,-0.34,-0.29,0.75,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
MOD would ~ PRES PROG,-0.34,-0.29,0.75,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
MOD can ~ TO INF,-0.34,0.71,-0.25,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
MOD would ~ TO INF,-0.34,-0.29,0.75,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
MOD ~ MOD would,-0.34,-0.29,-0.25,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,0.99,-0.01,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD is to,-0.34,-0.29,0.75,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
PAST PROG ~ TO INF,-0.34,-0.29,-0.25,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,0.99,-0.01,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD VB,-0.34,-0.29,0.75,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
PRES PERF ~ TO INF,-0.34,-0.29,0.75,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
FUT ~ FUT PROG,0.66,-0.29,-0.25,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
PAST PERF ~ PRES PART,-0.34,-0.29,-0.25,-0.02,-0.02,-0.02,-0.01,-0.01,0.99,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
MOD might ~ MOD would,-0.34,-0.29,0.75,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
MOD should ~ MOD would,-0.34,-0.29,0.75,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
MOD let ~ MOD might,-0.34,-0.29,-0.25,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,0.99,-0.0,-0.0,-0.0,-0.0
MOD could ~ TO INF,-0.34,-0.29,0.75,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
MOD is to ~ MOD lest,-0.34,0.71,-0.25,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
MOD is to ~ MOD may,-0.34,-0.29,0.75,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
MOD VB ~ MOD can,-0.34,-0.29,0.75,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
MOD is to ~ PRES PART,0.66,-0.29,-0.25,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
MOD lest ~ PRES,0.66,-0.29,-0.25,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
MOD let ~ MOD should,-0.34,-0.29,0.75,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
MOD quest must ~ MOD shall,-0.34,-0.29,0.75,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
MOD let ~ MOD would,-0.34,-0.29,-0.25,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,0.99,-0.0,-0.0,-0.0,-0.0
MOD let ~ PRES PART,-0.34,-0.29,0.75,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
IMPV ~ MOD VB,-0.34,-0.29,0.75,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
HAB used to ~ PRES PART,-0.34,-0.29,-0.25,-0.02,-0.02,-0.02,-0.01,-0.01,0.99,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
HAB used to ~ PAST PROG,-0.34,-0.29,-0.25,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,0.99,-0.01,-0.0,-0.0,-0.0,-0.0
MOD could ~ MOD would,-0.34,-0.29,0.75,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
PRES ~ VB,-0.34,0.71,-0.25,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
