bhsa_node,ref,book,book_super,canon_part,period,genre,domain2,text_full,text_plain,lex,lex_etcbc,gloss,verb_form,stem,person,gender,number,valence,clause_atom,clause,sentence,txt_type,clause_type,cltype_simp,clause_rela,is_question,prec_lexes,prec_pos,prec_part,ref_sbl,ref_abbr,has_objc,objc_pos,has_loca,loca_type,loca_heads,has_time
616,Genesis 1:29,Genesis,Genesis,Law,SBH,prose,Q,זֹרֵ֣עַ,זרע,זרע,ZR<[,sow,ptcp,qal,unknown,m,sg,d-,זֹרֵ֣עַ זָ֑רַע ,זֹרֵ֣עַ זָ֑רַע ,הִנֵּה֩ נָתַ֨תִּי לָכֶ֜ם אֶת־כָּל־עֵ֣שֶׂב׀ זֹרֵ֣עַ זֶ֗רַע אֲשֶׁר֙ עַל־פְּנֵ֣י כָל־הָאָ֔רֶץ וְאֶת־כָּל־הָעֵ֛ץ אֲשֶׁר־בֹּ֥ו פְרִי־עֵ֖ץ זֹרֵ֣עַ זָ֑רַע וּֽלְכָל־חַיַּ֣ת הָ֠אָרֶץ וּלְכָל־עֹ֨וף הַשָּׁמַ֜יִם וּלְכֹ֣ל׀ רֹומֵ֣שׂ עַל־הָאָ֗רֶץ אֲשֶׁר־בֹּו֙ נֶ֣פֶשׁ חַיָּ֔ה אֶת־כָּל־יֶ֥רֶק עֵ֖שֶׂב לְאָכְלָ֑ה ,?NQ,Ptcp,Ø,SubMod,0,Ø,Ø,Ø,Gen 1:29,Gen. 1:29,1,VO,0,,,0
841,Genesis 2:9,Genesis,Genesis,Law,SBH,prose,N,נֶחְמָ֥ד,נחמד,חמד,XMD[,desire,ptcp,nif,unknown,m,sg,,נֶחְמָ֥ד לְמַרְאֶ֖ה ,נֶחְמָ֥ד לְמַרְאֶ֖ה ,וַיַּצְמַ֞ח יְהוָ֤ה אֱלֹהִים֙ מִן־הָ֣אֲדָמָ֔ה כָּל־עֵ֛ץ נֶחְמָ֥ד לְמַרְאֶ֖ה וְטֹ֣וב לְמַאֲכָ֑ל וְעֵ֤ץ הַֽחַיִּים֙ בְּתֹ֣וךְ הַגָּ֔ן וְעֵ֕ץ הַדַּ֖עַת טֹ֥וב וָרָֽע׃ ,N,Ptcp,Ø,SubMod,0,Ø,Ø,Ø,Gen 2:9,Gen. 2:9,0,,0,,,0
865,Genesis 2:10,Genesis,Genesis,Law,SBH,prose,N,יֹצֵ֣א,יצא,יצא,JY>[,go out,ptcp,qal,unknown,m,sg,-c,וְנָהָר֙ יֹצֵ֣א מֵעֵ֔דֶן ,וְנָהָר֙ יֹצֵ֣א מֵעֵ֔דֶן ,וְנָהָר֙ יֹצֵ֣א מֵעֵ֔דֶן לְהַשְׁקֹ֖ות אֶת־הַגָּ֑ן ,N,Ptcp,Wx,Main,0,_W_NHR/_,_conj_subs_,_W_,Gen 2:10,Gen. 2:10,0,,0,,,0
888,Genesis 2:11,Genesis,Genesis,Law,SBH,prose,D,סֹּבֵ֗ב,סבב,סבב,SBB[,turn,ptcp,qal,unknown,m,sg,d-,הַסֹּבֵ֗ב אֵ֚ת כָּל־אֶ֣רֶץ הַֽחֲוִילָ֔ה ,הַסֹּבֵ֗ב אֵ֚ת כָּל־אֶ֣רֶץ הַֽחֲוִילָ֔ה ,ה֣וּא הַסֹּבֵ֗ב אֵ֚ת כָּל־אֶ֣רֶץ הַֽחֲוִילָ֔ה אֲשֶׁר־שָׁ֖ם הַזָּהָֽב׃ ,ND,Ptcp,Ø,SubArg,0,_H_,_conj_,_H_,Gen 2:11,Gen. 2:11,1,VO,0,,,0
921,Genesis 2:13,Genesis,Genesis,Law,SBH,prose,D,סֹּובֵ֔ב,סובב,סבב,SBB[,turn,ptcp,qal,unknown,m,sg,d-,הַסֹּובֵ֔ב אֵ֖ת כָּל־אֶ֥רֶץ כּֽוּשׁ׃ ,הַסֹּובֵ֔ב אֵ֖ת כָּל־אֶ֥רֶץ כּֽוּשׁ׃ ,ה֣וּא הַסֹּובֵ֔ב אֵ֖ת כָּל־אֶ֥רֶץ כּֽוּשׁ׃ ,ND,Ptcp,Ø,SubArg,0,_H_,_conj_,_H_,Gen 2:13,Gen. 2:13,1,VO,0,,,0
935,Genesis 2:14,Genesis,Genesis,Law,SBH,prose,D,הֹלֵ֖ךְ,הלך,הלך,HLK[,walk,ptcp,qal,unknown,m,sg,-c,הַֽהֹלֵ֖ךְ קִדְמַ֣ת אַשּׁ֑וּר ,הַֽהֹלֵ֖ךְ קִדְמַ֣ת אַשּׁ֑וּר ,ה֥וּא הַֽהֹלֵ֖ךְ קִדְמַ֣ת אַשּׁ֑וּר ,ND,Ptcp,Ø,SubArg,0,_H_,_conj_,_H_,Gen 2:14,Gen. 2:14,0,,0,,,0
1243,Genesis 3:5,Genesis,Genesis,Law,SBH,prose,Q,יֹדֵ֣עַ,ידע,ידע,JD<[,know,ptcp,qal,unknown,m,sg,d-,כִּ֚י יֹדֵ֣עַ אֱלֹהִ֔ים ,כִּ֚י יֹדֵ֣עַ אֱלֹהִ֔ים ,כִּ֚י יֹדֵ֣עַ אֱלֹהִ֔ים כִּ֗י בְּיֹום֙ אֲכָלְכֶ֣ם מִמֶּ֔נּוּ וְנִפְקְח֖וּ עֵֽינֵיכֶ֑ם וִהְיִיתֶם֙ כֵּֽאלֹהִ֔ים יֹדְעֵ֖י טֹ֥וב וָרָֽע׃ ,NQ,Ptcp,Ø,SubAdv,0,_KJ_,_conj_,_KJ_,Gen 3:5,Gen. 3:5,0,,0,,,0
1279,Genesis 3:6,Genesis,Genesis,Law,SBH,prose,N,נֶחְמָ֤ד,נחמד,חמד,XMD[,desire,ptcp,nif,unknown,m,sg,,וְנֶחְמָ֤ד הָעֵץ֙ ,וְנֶחְמָ֤ד הָעֵץ֙ ,וַתֵּ֣רֶא הָֽאִשָּׁ֡ה כִּ֣י טֹוב֩ הָעֵ֨ץ לְמַאֲכָ֜ל וְכִ֧י תַֽאֲוָה־ה֣וּא לָעֵינַ֗יִם וְנֶחְמָ֤ד הָעֵץ֙ לְהַשְׂכִּ֔יל ,N,Ptcp,W,SubAdv,0,_W_,_conj_,_W_,Gen 3:6,Gen. 3:6,0,,0,,,0
1321,Genesis 3:8,Genesis,Genesis,Law,SBH,prose,N,מִתְהַלֵּ֥ךְ,מתהלך,הלך,HLK[,walk,ptcp,hit,unknown,m,sg,,מִתְהַלֵּ֥ךְ בַּגָּ֖ן לְר֣וּחַ הַיֹּ֑ום ,מִתְהַלֵּ֥ךְ בַּגָּ֖ן לְר֣וּחַ הַיֹּ֑ום ,וַֽיִּשְׁמְע֞וּ אֶת־קֹ֨ול יְהוָ֧ה אֱלֹהִ֛ים מִתְהַלֵּ֥ךְ בַּגָּ֖ן לְר֣וּחַ הַיֹּ֑ום ,N,Ptcp,Ø,SubMod,0,Ø,Ø,Ø,Gen 3:8,Gen. 3:8,0,,0,,,1
1435,Genesis 3:14,Genesis,Genesis,Law,SBH,prose,Q,אָר֤וּר,ארור,ארר,>RR[,curse,ptcp,qal,unknown,m,sg,--,אָר֤וּר אַתָּה֙ מִכָּל־הַבְּהֵמָ֔ה וּמִכֹּ֖ל חַיַּ֣ת הַשָּׂדֶ֑ה ,אָר֤וּר אַתָּה֙ מִכָּל־הַבְּהֵמָ֔ה וּמִכֹּ֖ל חַיַּ֣ת הַשָּׂדֶ֑ה ,אָר֤וּר אַתָּה֙ מִכָּל־הַבְּהֵמָ֔ה וּמִכֹּ֖ל חַיַּ֣ת הַשָּׂדֶ֑ה ,NQ,Ptcp,Ø,Main,0,Ø,Ø,Ø,Gen 3:14,Gen. 3:14,0,,0,,,0
1519,Genesis 3:17,Genesis,Genesis,Law,SBH,prose,Q,אֲרוּרָ֤ה,ארורה,ארר,>RR[,curse,ptcp,qal,unknown,f,sg,--,אֲרוּרָ֤ה הָֽאֲדָמָה֙ בַּֽעֲבוּרֶ֔ךָ ,אֲרוּרָ֤ה הָֽאֲדָמָה֙ בַּֽעֲבוּרֶ֔ךָ ,אֲרוּרָ֤ה הָֽאֲדָמָה֙ בַּֽעֲבוּרֶ֔ךָ ,NQ,Ptcp,Ø,Main,0,Ø,Ø,Ø,Gen 3:17,Gen. 3:17,0,,0,,,0
1659,Genesis 3:24,Genesis,Genesis,Law,SBH,prose,N,מִּתְהַפֶּ֔כֶת,מתהפכת,הפך,HPK[,turn,ptcp,hit,unknown,f,sg,,הַמִּתְהַפֶּ֔כֶת ,הַמִּתְהַפֶּ֔כֶת ,וַיַּשְׁכֵּן֩ מִקֶּ֨דֶם לְגַן־עֵ֜דֶן אֶת־הַכְּרֻבִ֗ים וְאֵ֨ת לַ֤הַט הַחֶ֨רֶב֙ הַמִּתְהַפֶּ֔כֶת לִשְׁמֹ֕ר אֶת־דֶּ֖רֶךְ עֵ֥ץ הַֽחַיִּֽים׃ ס ,N,Ptcp,Ø,SubMod,0,_H_,_conj_,_H_,Gen 3:24,Gen. 3:24,0,,0,,,0
1779,Genesis 4:7,Genesis,Genesis,Law,SBH,prose,Q,רֹבֵ֑ץ,רבץ,רבץ,RBY[,lie down,ptcp,qal,unknown,m,sg,--,לַפֶּ֖תַח חַטָּ֣את רֹבֵ֑ץ ,לַפֶּ֖תַח חַטָּ֣את רֹבֵ֑ץ ,לַפֶּ֖תַח חַטָּ֣את רֹבֵ֑ץ ,NQ,Ptcp,Ø,Main,0,_L_H_PTX/_XV>T/_,_prep_art_subs_subs_,_L_,Gen 4:7,Gen. 4:7,0,,0,,,0
1821,Genesis 4:9,Genesis,Genesis,Law,SBH,prose,Q,שֹׁמֵ֥ר,שׁמר,שׁמר,CMR[,keep,ptcp,qal,unknown,m,sg,d-,הֲשֹׁמֵ֥ר אָחִ֖י אָנֹֽכִי׃ ,הֲשֹׁמֵ֥ר אָחִ֖י אָנֹֽכִי׃ ,הֲשֹׁמֵ֥ר אָחִ֖י אָנֹֽכִי׃ ,NQ,Ptcp,Ø,Main,1,_H=_,_inrg_,_H=_,Gen 4:9,Gen. 4:9,1,VO,0,,,0
1831,Genesis 4:10,Genesis,Genesis,Law,SBH,prose,Q,צֹעֲקִ֥ים,צעקים,צעק,Y<Q[,cry,ptcp,qal,unknown,m,pl,-i,קֹ֚ול דְּמֵ֣י אָחִ֔יךָ צֹעֲקִ֥ים אֵלַ֖י מִן־הָֽאֲדָמָֽה׃ ,קֹ֚ול דְּמֵ֣י אָחִ֔יךָ צֹעֲקִ֥ים אֵלַ֖י מִן־הָֽאֲדָמָֽה׃ ,קֹ֚ול דְּמֵ֣י אָחִ֔יךָ צֹעֲקִ֥ים אֵלַ֖י מִן־הָֽאֲדָמָֽה׃ ,NQ,Ptcp,Ø,Main,0,_QWL/_DM/_>X/_,_subs_subs_subs_,Ø,Gen 4:10,Gen. 4:10,0,,1,PP,>DMH/,0
1838,Genesis 4:11,Genesis,Genesis,Law,SBH,prose,Q,אָר֣וּר,ארור,ארר,>RR[,curse,ptcp,qal,unknown,m,sg,-c,אָר֣וּר אָ֑תָּה מִן־הָֽאֲדָמָה֙ ,אָר֣וּר אָ֑תָּה מִן־הָֽאֲדָמָה֙ ,אָר֣וּר אָ֑תָּה מִן־הָֽאֲדָמָה֙ אֲשֶׁ֣ר פָּצְתָ֣ה אֶת־פִּ֔יהָ לָקַ֛חַת אֶת־דְּמֵ֥י אָחִ֖יךָ מִיָּדֶֽךָ׃ ,NQ,Ptcp,Ø,Main,0,Ø,Ø,Ø,Gen 4:11,Gen. 4:11,0,,0,,,0
1905,Genesis 4:14,Genesis,Genesis,Law,SBH,prose,Q,מֹצְאִ֖י,מצאי,מצא,MY>[,find,ptcp,qal,unknown,m,sg,d-,מֹצְאִ֖י ,מֹצְאִ֖י ,כָל־מֹצְאִ֖י יַֽהַרְגֵֽנִי׃ ,NQ,Ptcp,Ø,SubMod,0,Ø,Ø,Ø,Gen 4:14,Gen. 4:14,1,VO?,0,,,0
1913,Genesis 4:15,Genesis,Genesis,Law,SBH,prose,Q,הֹרֵ֣ג,הרג,הרג,HRG[,kill,ptcp,qal,unknown,m,sg,d-,הֹרֵ֣ג קַ֔יִן ,הֹרֵ֣ג קַ֔יִן ,לָכֵן֙ כָּל־הֹרֵ֣ג קַ֔יִן שִׁבְעָתַ֖יִם יֻקָּ֑ם ,NQ,Ptcp,Ø,SubMod,0,Ø,Ø,Ø,Gen 4:15,Gen. 4:15,1,VO,0,,,0
1956,Genesis 4:17,Genesis,Genesis,Law,SBH,list,N,בֹּ֣נֶה,בנה,בנה,BNH[,build,ptcp,qal,unknown,m,sg,d-,בֹּ֣נֶה עִ֔יר ,בֹּ֣נֶה עִ֔יר ,וַֽיְהִי֙ בֹּ֣נֶה עִ֔יר ,N,Ptcp,Ø,SubArg,0,Ø,Ø,Ø,Gen 4:17,Gen. 4:17,1,VO,0,,,0
2846,Genesis 6:13,Genesis,Genesis,Law,SBH,prose,Q,מַשְׁחִיתָ֖ם,משׁחיתם,שׁחת,CXT[,destroy,ptcp,hif,unknown,m,sg,,וְהִנְנִ֥י מַשְׁחִיתָ֖ם אֶת־הָאָֽרֶץ׃ ,וְהִנְנִ֥י מַשְׁחִיתָ֖ם אֶת־הָאָֽרֶץ׃ ,וְהִנְנִ֥י מַשְׁחִיתָ֖ם אֶת־הָאָֽרֶץ׃ ,NQ,Ptcp,Wx,Main,0,_W_HNH_,_conj_intj_,_W_HNH_,Gen 6:13,Gen. 6:13,1,VO?,0,,,0
2916,Genesis 6:17,Genesis,Genesis,Law,SBH,prose,Q,מֵבִ֨יא,מביא,בוא,BW>[,come,ptcp,hif,unknown,m,sg,,הִנְנִי֩ מֵבִ֨יא אֶת־הַמַּבּ֥וּל מַ֨יִם֙ עַל־הָאָ֔רֶץ ,הִנְנִי֩ מֵבִ֨יא אֶת־הַמַּבּ֥וּל מַ֨יִם֙ עַל־הָאָ֔רֶץ ,וַאֲנִ֗י הִנְנִי֩ מֵבִ֨יא אֶת־הַמַּבּ֥וּל מַ֨יִם֙ עַל־הָאָ֔רֶץ לְשַׁחֵ֣ת כָּל־בָּשָׂ֗ר אֲשֶׁר־בֹּו֙ ר֣וּחַ חַיִּ֔ים מִתַּ֖חַת הַשָּׁמָ֑יִם ,NQ,Ptcp,Ø,Main,0,_HNH_,_intj_,_HNH_,Gen 6:17,Gen. 6:17,1,VO,0,,,0
3111,Genesis 7:4,Genesis,Genesis,Law,SBH,prose,Q,מַמְטִ֣יר,ממטיר,מטר,MVR[,rain,ptcp,hif,unknown,m,sg,,כִּי֩ לְיָמִ֨ים עֹ֜וד שִׁבְעָ֗ה אָֽנֹכִי֙ מַמְטִ֣יר עַל־הָאָ֔רֶץ אַרְבָּעִ֣ים יֹ֔ום וְאַרְבָּעִ֖ים לָ֑יְלָה ,כִּי֩ לְיָמִ֨ים עֹ֜וד שִׁבְעָ֗ה אָֽנֹכִי֙ מַמְטִ֣יר עַל־הָאָ֔רֶץ אַרְבָּעִ֣ים יֹ֔ום וְאַרְבָּעִ֖ים לָ֑יְלָה ,כִּי֩ לְיָמִ֨ים עֹ֜וד שִׁבְעָ֗ה אָֽנֹכִי֙ מַמְטִ֣יר עַל־הָאָ֔רֶץ אַרְבָּעִ֣ים יֹ֔ום וְאַרְבָּעִ֖ים לָ֑יְלָה ,NQ,Ptcp,Ø,SubAdv,0,_KJ_L_JWM/_<WD/_CB</_>NKJ_,_conj_prep_subs_advb_subs_prps_,_KJ_L_<WD/_,Gen 7:4,Gen. 7:4,0,,0,,,1
3193,Genesis 7:8,Genesis,Genesis,Law,SBH,prose,N,רֹמֵ֖שׂ,רמשׂ,רמשׂ,RMF[,creep,ptcp,qal,unknown,m,sg,-c,אֲשֶׁר־רֹמֵ֖שׂ עַל־הָֽאֲדָמָֽה׃ ,אֲשֶׁר־רֹמֵ֖שׂ עַל־הָֽאֲדָמָֽה׃ ,מִן־הַבְּהֵמָה֙ הַטְּהֹורָ֔ה וּמִן־הַ֨בְּהֵמָ֔ה אֲשֶׁ֥ר אֵינֶ֖נָּה טְהֹרָ֑ה וּמִ֨ן־הָעֹ֔וף וְכֹ֥ל אֲשֶׁר־רֹמֵ֖שׂ עַל־הָֽאֲדָמָֽה׃ שְׁנַ֨יִם שְׁנַ֜יִם בָּ֧אוּ אֶל־נֹ֛חַ אֶל־הַתֵּבָ֖ה זָכָ֣ר וּנְקֵבָ֑ה כַּֽאֲשֶׁ֛ר צִוָּ֥ה אֱלֹהִ֖ים אֶת־נֹֽחַ׃ ,N,Ptcp,Ø,SubMod,0,_>CR_,_conj_,_>CR_,Gen 7:8,Gen. 7:8,0,,0,,,0
3320,Genesis 7:14,Genesis,Genesis,Law,SBH,prose,N,רֹמֵ֥שׂ,רמשׂ,רמשׂ,RMF[,creep,ptcp,qal,unknown,m,sg,-p,הָרֹמֵ֥שׂ עַל־הָאָ֖רֶץ ,הָרֹמֵ֥שׂ עַל־הָאָ֖רֶץ ,בְּעֶ֨צֶם הַיֹּ֤ום הַזֶּה֙ בָּ֣א נֹ֔חַ וְשֵׁם־וְחָ֥ם וָיֶ֖פֶת בְּנֵי־נֹ֑חַ וְאֵ֣שֶׁת נֹ֗חַ וּשְׁלֹ֧שֶׁת נְשֵֽׁי־בָנָ֛יו אִתָּ֖ם אֶל־הַתֵּבָֽה׃ הֵ֜מָּה וְכָל־הַֽחַיָּ֣ה לְמִינָ֗הּ וְכָל־הַבְּהֵמָה֙ לְמִינָ֔הּ וְכָל־הָרֶ֛מֶשׂ הָרֹמֵ֥שׂ עַל־הָאָ֖רֶץ לְמִינֵ֑הוּ וְכָל־הָעֹ֣וף לְמִינֵ֔הוּ כֹּ֖ל צִפֹּ֥ור כָּל־כָּנָֽף׃ ,N,Ptcp,Ø,SubMod,0,_H_,_conj_,_H_,Gen 7:14,Gen. 7:14,0,,0,,,0
3355,Genesis 7:16,Genesis,Genesis,Law,SBH,prose,N,בָּאִ֗ים,באים,בוא,BW>[,come,ptcp,qal,unknown,m,pl,--,הַבָּאִ֗ים ,הַבָּאִ֗ים ,וְהַבָּאִ֗ים זָכָ֨ר וּנְקֵבָ֤ה מִכָּל־בָּשָׂר֙ בָּ֔אוּ כַּֽאֲשֶׁ֛ר צִוָּ֥ה אֹתֹ֖ו אֱלֹהִ֑ים ,N,Ptcp,Ø,SubArg,0,_H_,_conj_,_H_,Gen 7:16,Gen. 7:16,0,,0,,,0
3453,Genesis 7:21,Genesis,Genesis,Law,SBH,prose,N,רֹמֵ֣שׂ,רמשׂ,רמשׂ,RMF[,creep,ptcp,qal,unknown,m,sg,-p,הָרֹמֵ֣שׂ עַל־הָאָ֗רֶץ ,הָרֹמֵ֣שׂ עַל־הָאָ֗רֶץ ,וַיִּגְוַ֞ע כָּל־בָּשָׂ֣ר׀ הָרֹמֵ֣שׂ עַל־הָאָ֗רֶץ בָּעֹ֤וף וּבַבְּהֵמָה֙ וּבַ֣חַיָּ֔ה וּבְכָל־הַשֶּׁ֖רֶץ הַשֹּׁרֵ֣ץ עַל־הָאָ֑רֶץ וְכֹ֖ל הָאָדָֽם׃ ,N,Ptcp,Ø,SubMod,0,_H_,_conj_,_H_,Gen 7:21,Gen. 7:21,0,,0,,,0
