bhsa_node,mother_clause,mother_cl_atom,mother_clause_atom,mother_rela,mother_domain2,mother_verbtype,mother_type,mother_verb_ps,mother_verb_lex,mother_verbplain,mother_intertext,daught_clause,daught_cl_atom,daught_clause_atom,daught_rela,daught_domain2,daught_verbtype,daught_type,daught_verb_ps,daught_verb_lex,daught_verbplain,daught_intertext
616,אֲשֶׁר־בֹּ֥ו פְרִי־עֵ֖ץ ,515795,אֲשֶׁר־בֹּ֥ו פְרִי־עֵ֖ץ ,SubMod,Q,Ø,NmCl,,,,אֲשֶׁר־בֹּ֥ו פְרִי־עֵ֖ץ ,,,,,,,,,,,
841,וַיַּצְמַ֞ח יְהוָ֤ה אֱלֹהִים֙ מִן־הָ֣אֲדָמָ֔ה כָּל־עֵ֛ץ ,515835,וַיַּצְמַ֞ח יְהוָ֤ה אֱלֹהִים֙ מִן־הָ֣אֲדָמָ֔ה כָּל־עֵ֛ץ ,Main,N,wayq,WayX,p3,YMX[,יצמח,וַיַּצְמַ֞ח יְהוָ֤ה אֱלֹהִים֙ מִן־הָ֣אֲדָמָ֔ה כָּל־עֵ֛ץ ,וְטֹ֣וב לְמַאֲכָ֑ל ,515837,וְטֹ֣וב לְמַאֲכָ֑ל ,Main,N,Ø,AjCl,,,,וְטֹ֣וב לְמַאֲכָ֑ל 
865,וַיַּצְמַ֞ח יְהוָ֤ה אֱלֹהִים֙ מִן־הָ֣אֲדָמָ֔ה כָּל־עֵ֛ץ ,515835,וַיַּצְמַ֞ח יְהוָ֤ה אֱלֹהִים֙ מִן־הָ֣אֲדָמָ֔ה כָּל־עֵ֛ץ ,Main,N,wayq,WayX,p3,YMX[,יצמח,וַיַּצְמַ֞ח יְהוָ֤ה אֱלֹהִים֙ מִן־הָ֣אֲדָמָ֔ה כָּל־עֵ֛ץ נֶחְמָ֥ד לְמַרְאֶ֖ה וְטֹ֣וב לְמַאֲכָ֑ל וְעֵ֤ץ הַֽחַיִּים֙ בְּתֹ֣וךְ הַגָּ֔ן וְעֵ֕ץ הַדַּ֖עַת טֹ֥וב וָרָֽע׃ ,לְהַשְׁקֹ֖ות אֶת־הַגָּ֑ן ,515841,לְהַשְׁקֹ֖ות אֶת־הַגָּ֑ן ,SubAdv,N,infc,InfC,unknown,CQH[,השׁקות,לְהַשְׁקֹ֖ות אֶת־הַגָּ֑ן 
888,ה֣וּא ,515845,ה֣וּא ,Main,D,Ø,NmCl,,,,ה֣וּא ,אֲשֶׁר־שָׁ֖ם הַזָּהָֽב׃ ,515847,אֲשֶׁר־שָׁ֖ם הַזָּהָֽב׃ ,SubMod,D,Ø,NmCl,,,,אֲשֶׁר־שָׁ֖ם הַזָּהָֽב׃ 
921,ה֣וּא ,515851,ה֣וּא ,Main,D,Ø,NmCl,,,,ה֣וּא ,,,,,,,,,,,
935,ה֥וּא ,515854,ה֥וּא ,Main,D,Ø,NmCl,,,,ה֥וּא ,,,,,,,,,,,
1243,לֹֽא־מֹ֖ות תְּמֻתֽוּן׃ ,515914,לֹֽא־מֹ֖ות תְּמֻתֽוּן׃ ,Main,Q,yqtl,xYq0,p2,MWT[,תמתון,לֹֽא־מֹ֖ות תְּמֻתֽוּן׃ ,כִּ֗י בְּיֹום֙ ,515916,כִּ֗י בְּיֹום֙ ,SubArg,Q,Ø,CPen,,,,כִּ֗י בְּיֹום֙ 
1279,כִּ֣י טֹוב֩ הָעֵ֨ץ לְמַאֲכָ֜ל ,515922,כִּ֣י טֹוב֩ הָעֵ֨ץ לְמַאֲכָ֜ל ,SubArg,N,Ø,AjCl,,,,כִּ֣י טֹוב֩ הָעֵ֨ץ לְמַאֲכָ֜ל וְכִ֧י תַֽאֲוָה־ה֣וּא לָעֵינַ֗יִם ,לְהַשְׂכִּ֔יל ,515925,לְהַשְׂכִּ֔יל ,SubAdv,N,infc,InfC,unknown,FKL[,השׂכיל,לְהַשְׂכִּ֔יל 
1321,וַֽיִּשְׁמְע֞וּ אֶת־קֹ֨ול יְהוָ֧ה אֱלֹהִ֛ים ,515935,וַֽיִּשְׁמְע֞וּ אֶת־קֹ֨ול יְהוָ֧ה אֱלֹהִ֛ים ,Main,N,wayq,Way0,p3,CM<[,ישׁמעו,וַֽיִּשְׁמְע֞וּ אֶת־קֹ֨ול יְהוָ֧ה אֱלֹהִ֛ים ,,,,,,,,,,,
1435,כִּ֣י עָשִׂ֣יתָ זֹּאת֒ ,515964,כִּ֣י עָשִׂ֣יתָ זֹּאת֒ ,Main,Q,qtl,xQt0,p2,<FH[,עשׂית,כִּ֣י עָשִׂ֣יתָ זֹּאת֒ ,עַל־גְּחֹנְךָ֣ תֵלֵ֔ךְ ,515966,עַל־גְּחֹנְךָ֣ תֵלֵ֔ךְ ,Main,Q,yqtl,xYq0,p2,HLK[,תלך,עַל־גְּחֹנְךָ֣ תֵלֵ֔ךְ 
1519,כִּ֥י־שָׁמַעְתָּ֮ לְקֹ֣ול אִשְׁתֶּךָ֒ ,515977,כִּ֥י־שָׁמַעְתָּ֮ לְקֹ֣ול אִשְׁתֶּךָ֒ ,Main,Q,qtl,xQt0,p2,CM<[,שׁמעת,כִּ֥י־שָׁמַעְתָּ֮ לְקֹ֣ול אִשְׁתֶּךָ֒ וַתֹּ֨אכַל֙ מִן־הָעֵ֔ץ אֲשֶׁ֤ר צִוִּיתִ֨יךָ֙ לֵאמֹ֔ר לֹ֥א תֹאכַ֖ל מִמֶּ֑נּוּ ,בְּעִצָּבֹון֙ תֹּֽאכֲלֶ֔נָּה כֹּ֖ל יְמֵ֥י חַיֶּֽיךָ׃ ,515983,בְּעִצָּבֹון֙ תֹּֽאכֲלֶ֔נָּה כֹּ֖ל יְמֵ֥י חַיֶּֽיךָ׃ ,Main,Q,yqtl,xYq0,p2,>KL[,תאכלנה,בְּעִצָּבֹון֙ תֹּֽאכֲלֶ֔נָּה כֹּ֖ל יְמֵ֥י חַיֶּֽיךָ׃ 
1659,וַיַּשְׁכֵּן֩ מִקֶּ֨דֶם לְגַן־עֵ֜דֶן אֶת־הַכְּרֻבִ֗ים וְאֵ֨ת לַ֤הַט הַחֶ֨רֶב֙ ,516007,וַיַּשְׁכֵּן֩ מִקֶּ֨דֶם לְגַן־עֵ֜דֶן אֶת־הַכְּרֻבִ֗ים וְאֵ֨ת לַ֤הַט הַחֶ֨רֶב֙ ,Main,N,wayq,Way0,p3,CKN[,ישׁכן,וַיַּשְׁכֵּן֩ מִקֶּ֨דֶם לְגַן־עֵ֜דֶן אֶת־הַכְּרֻבִ֗ים וְאֵ֨ת לַ֤הַט הַחֶ֨רֶב֙ ,,,,,,,,,,,
1779,וְאִם֙ לֹ֣א תֵיטִ֔יב ,516032,וְאִם֙ לֹ֣א תֵיטִ֔יב ,SubAdv,Q,yqtl,WxY0,p2,JVB[,תיטיב,וְאִם֙ לֹ֣א תֵיטִ֔יב ,וְאֵלֶ֨יךָ֙ תְּשׁ֣וּקָתֹ֔ו ,516034,וְאֵלֶ֨יךָ֙ תְּשׁ֣וּקָתֹ֔ו ,Main,Q,Ø,NmCl,,,,וְאֵלֶ֨יךָ֙ תְּשׁ֣וּקָתֹ֔ו 
1821,לֹ֣א יָדַ֔עְתִּי ,516044,לֹ֣א יָדַ֔עְתִּי ,Main,Q,qtl,xQt0,p1,JD<[,ידעתי,לֹ֣א יָדַ֔עְתִּי ,,,,,,,,,,,
1831,מֶ֣ה עָשִׂ֑יתָ ,516047,מֶ֣ה עָשִׂ֑יתָ ,Main,Q,qtl,xQt0,p2,<FH[,עשׂית,מֶ֣ה עָשִׂ֑יתָ ,,,,,,,,,,,
1838,וְעַתָּ֖ה ,516049,וְעַתָּ֖ה ,Main,Q,Ø,MSyn,,,,וְעַתָּ֖ה ,אֲשֶׁ֣ר פָּצְתָ֣ה אֶת־פִּ֔יהָ ,516051,אֲשֶׁ֣ר פָּצְתָ֣ה אֶת־פִּ֔יהָ ,SubMod,Q,qtl,xQt0,p3,PYH[,פצתה,אֲשֶׁ֣ר פָּצְתָ֣ה אֶת־פִּ֔יהָ 
1905,כָל־יַֽהַרְגֵֽנִי׃ ,516064,כָל־,Main,Q,Ø,Defc,,,,כָל־,,,,,,,,,,,
1913,לָכֵן֙ כָּל־שִׁבְעָתַ֖יִם יֻקָּ֑ם ,516068,לָכֵן֙ כָּל־,Main,Q,Ø,Defc,,,,לָכֵן֙ כָּל־,,,,,,,,,,,
1956,וַֽיְהִי֙ ,516078,וַֽיְהִי֙ ,Main,N,wayq,Way0,p3,HJH[,יהי,וַֽיְהִי֙ ,,,,,,,,,,,
2846,קֵ֤ץ כָּל־בָּשָׂר֙ בָּ֣א לְפָנַ֔י ,516245,קֵ֤ץ כָּל־בָּשָׂר֙ בָּ֣א לְפָנַ֔י ,Main,Q,qtl,XQtl,p3,BW>[,בא,קֵ֤ץ כָּל־בָּשָׂר֙ בָּ֣א לְפָנַ֔י כִּֽי־מָלְאָ֥ה הָאָ֛רֶץ חָמָ֖ס מִפְּנֵיהֶ֑ם ,,,,,,,,,,,
2916,וַאֲנִ֗י ,516260,וַאֲנִ֗י ,Main,Q,Ø,CPen,,,,וַאֲנִ֗י ,לְשַׁחֵ֣ת כָּל־בָּשָׂ֗ר מִתַּ֖חַת הַשָּׁמָ֑יִם ,516262,לְשַׁחֵ֣ת כָּל־בָּשָׂ֗ר ,SubAdv,Q,infc,InfC,unknown,CXT[,שׁחת,לְשַׁחֵ֣ת כָּל־בָּשָׂ֗ר 
3111,מִכֹּ֣ל׀ הַבְּהֵמָ֣ה הַטְּהֹורָ֗ה תִּֽקַּח־לְךָ֛ שִׁבְעָ֥ה שִׁבְעָ֖ה אִ֣ישׁ וְאִשְׁתֹּ֑ו ,516287,מִכֹּ֣ל׀ הַבְּהֵמָ֣ה הַטְּהֹורָ֗ה תִּֽקַּח־לְךָ֛ שִׁבְעָ֥ה שִׁבְעָ֖ה אִ֣ישׁ וְאִשְׁתֹּ֑ו ,Main,Q,yqtl,xYq0,p2,LQX[,תקח,מִכֹּ֣ל׀ הַבְּהֵמָ֣ה הַטְּהֹורָ֗ה תִּֽקַּח־לְךָ֛ שִׁבְעָ֥ה שִׁבְעָ֖ה אִ֣ישׁ וְאִשְׁתֹּ֑ו וּמִן־הַבְּהֵמָ֡ה אֲ֠שֶׁר לֹ֣א טְהֹרָ֥ה הִ֛וא שְׁנַ֖יִם אִ֥ישׁ וְאִשְׁתֹּֽו׃ גַּ֣ם מֵעֹ֧וף הַשָּׁמַ֛יִם שִׁבְעָ֥ה שִׁבְעָ֖ה זָכָ֣ר וּנְקֵבָ֑ה לְחַיֹּ֥ות זֶ֖רַע עַל־פְּנֵ֥י כָל־הָאָֽרֶץ׃ ,וּמָחִ֗יתִי אֶֽת־כָּל־הַיְקוּם֙ מֵעַ֖ל פְּנֵ֥י הָֽאֲדָמָֽה׃ ,516294,וּמָחִ֗יתִי אֶֽת־כָּל־הַיְקוּם֙ ,Main,Q,wqtl,WQt0,p1,MXH[,מחיתי,וּמָחִ֗יתִי אֶֽת־כָּל־הַיְקוּם֙ 
3193,מִן־הַבְּהֵמָה֙ הַטְּהֹורָ֔ה וּמִן־הַ֨בְּהֵמָ֔ה וּמִ֨ן־הָעֹ֔וף וְכֹ֥ל שְׁנַ֨יִם שְׁנַ֜יִם בָּ֧אוּ אֶל־נֹ֛חַ אֶל־הַתֵּבָ֖ה זָכָ֣ר וּנְקֵבָ֑ה ,516305,וּמִ֨ן־הָעֹ֔וף וְכֹ֥ל ,Main,N,Ø,Defc,,,,וּמִ֨ן־הָעֹ֔וף וְכֹ֥ל ,,,,,,,,,,,
3320,הֵ֜מָּה וְכָל־הַֽחַיָּ֣ה לְמִינָ֗הּ וְכָל־הַבְּהֵמָה֙ לְמִינָ֔הּ וְכָל־הָרֶ֛מֶשׂ לְמִינֵ֑הוּ וְכָל־הָעֹ֣וף לְמִינֵ֔הוּ כֹּ֖ל צִפֹּ֥ור כָּל־כָּנָֽף׃ ,516315,הֵ֜מָּה וְכָל־הַֽחַיָּ֣ה לְמִינָ֗הּ וְכָל־הַבְּהֵמָה֙ לְמִינָ֔הּ וְכָל־הָרֶ֛מֶשׂ ,Main,N,Ø,Ellp,,,,הֵ֜מָּה וְכָל־הַֽחַיָּ֣ה לְמִינָ֗הּ וְכָל־הַבְּהֵמָה֙ לְמִינָ֔הּ וְכָל־הָרֶ֛מֶשׂ ,,,,,,,,,,,
3355,וְזָכָ֨ר וּנְקֵבָ֤ה מִכָּל־בָּשָׂר֙ בָּ֔אוּ ,516322,זָכָ֨ר וּנְקֵבָ֤ה מִכָּל־בָּשָׂר֙ בָּ֔אוּ ,Main,N,qtl,xQt0,p3,BW>[,באו,זָכָ֨ר וּנְקֵבָ֤ה מִכָּל־בָּשָׂר֙ בָּ֔אוּ ,,,,,,,,,,,
3453,וַיִּגְוַ֞ע כָּל־בָּשָׂ֣ר׀ בָּעֹ֤וף וּבַבְּהֵמָה֙ וּבַ֣חַיָּ֔ה וּבְכָל־הַשֶּׁ֖רֶץ וְכֹ֖ל הָאָדָֽם׃ ,516337,וַיִּגְוַ֞ע כָּל־בָּשָׂ֣ר׀ ,Main,N,wayq,WayX,p3,GW<[,יגוע,וַיִּגְוַ֞ע כָּל־בָּשָׂ֣ר׀ ,,,,,,,,,,,
3474,וַיִּגְוַ֞ע כָּל־בָּשָׂ֣ר׀ בָּעֹ֤וף וּבַבְּהֵמָה֙ וּבַ֣חַיָּ֔ה וּבְכָל־הַשֶּׁ֖רֶץ וְכֹ֖ל הָאָדָֽם׃ ,516339,בָּעֹ֤וף וּבַבְּהֵמָה֙ וּבַ֣חַיָּ֔ה וּבְכָל־הַשֶּׁ֖רֶץ ,Main,N,Ø,Defc,,,,בָּעֹ֤וף וּבַבְּהֵמָה֙ וּבַ֣חַיָּ֔ה וּבְכָל־הַשֶּׁ֖רֶץ ,,,,,,,,,,,
3893,כָּל־הַחַיָּ֨ה מִכָּל־בָּשָׂ֗ר בָּעֹ֧וף וּבַבְּהֵמָ֛ה וּבְכָל־הָרֶ֛מֶשׂ הַיְצֵ֣א אִתָּ֑ךְ ,516402,מִכָּל־בָּשָׂ֗ר בָּעֹ֧וף וּבַבְּהֵמָ֛ה וּבְכָל־הָרֶ֛מֶשׂ ,Main,Q,Ø,Defc,,,,מִכָּל־בָּשָׂ֗ר בָּעֹ֧וף וּבַבְּהֵמָ֛ה וּבְכָל־הָרֶ֛מֶשׂ ,,,,,,,,,,,
3933,כָּל־הַֽחַיָּ֗ה כָּל־הָרֶ֨מֶשׂ֙ וְכָל־הָעֹ֔וף כֹּ֖ל לְמִשְׁפְּחֹ֣תֵיהֶ֔ם יָצְא֖וּ מִן־הַתֵּבָֽה׃ ,516409,כָּל־הַֽחַיָּ֗ה כָּל־הָרֶ֨מֶשׂ֙ וְכָל־הָעֹ֔וף כֹּ֖ל ,Main,N,Ø,Defc,,,,כָּל־הַֽחַיָּ֗ה כָּל־הָרֶ֨מֶשׂ֙ וְכָל־הָעֹ֔וף כֹּ֖ל ,,,,,,,,,,,
4178,וַאֲנִ֕י ,516451,וַאֲנִ֕י ,Main,Q,Ø,CPen,,,,וַאֲנִ֕י ,וְאֵ֨ת כָּל־נֶ֤פֶשׁ הַֽחַיָּה֙ בָּעֹ֧וף בַּבְּהֵמָ֛ה וּֽבְכָל־חַיַּ֥ת הָאָ֖רֶץ אִתְּכֶ֑ם ,516453,וְאֵ֨ת כָּל־נֶ֤פֶשׁ הַֽחַיָּה֙ ,Main,Q,Ø,Ellp,,,,וְאֵ֨ת כָּל־נֶ֤פֶשׁ הַֽחַיָּה֙ 
4209,מִכֹּל֙ לְכֹ֖ל חַיַּ֥ת הָאָֽרֶץ׃ ,516456,מִכֹּל֙ ,Main,Q,Ø,Ellp,,,,מִכֹּל֙ ,,,,,,,,,,,
4250,זֹ֤את אֹֽות־הַבְּרִית֙ לְדֹרֹ֖ת עֹולָֽם׃ ,516464,זֹ֤את אֹֽות־הַבְּרִית֙ ,Main,Q,Ø,NmCl,,,,זֹ֤את אֹֽות־הַבְּרִית֙ ,אֲשֶׁ֣ר אִתְּכֶ֑ם ,516466,אֲשֶׁ֣ר אִתְּכֶ֑ם ,SubMod,Q,Ø,NmCl,,,,אֲשֶׁ֣ר אִתְּכֶ֑ם 
4375,וַיִּֽהְי֣וּ בְנֵי־נֹ֗חַ שֵׁ֖ם וְחָ֣ם וָיָ֑פֶת ,516485,וַיִּֽהְי֣וּ בְנֵי־נֹ֗חַ ,Main,N,wayq,WayX,p3,HJH[,יהיו,וַיִּֽהְי֣וּ בְנֵי־נֹ֗חַ ,,,,,,,,,,,
4482,וַיֹּ֖אמֶר ,516509,וַיֹּ֖אמֶר ,Main,N,wayq,Way0,p3,>MR[,יאמר,וַיֹּ֖אמֶר ,עֶ֥בֶד עֲבָדִ֖ים יִֽהְיֶ֥ה לְאֶחָֽיו׃ ,516511,עֶ֥בֶד עֲבָדִ֖ים יִֽהְיֶ֥ה לְאֶחָֽיו׃ ,Main,Q,yqtl,xYq0,p3,HJH[,יהיה,עֶ֥בֶד עֲבָדִ֖ים יִֽהְיֶ֥ה לְאֶחָֽיו׃ 
4491,וַיֹּ֕אמֶר ,516512,וַיֹּ֕אמֶר ,Main,N,wayq,Way0,p3,>MR[,יאמר,וַיֹּ֕אמֶר ,וִיהִ֥י כְנַ֖עַן עֶ֥בֶד לָֽמֹו׃ ,516514,וִיהִ֥י כְנַ֖עַן עֶ֥בֶד לָֽמֹו׃ ,Main,Q,jussF,WYqX,p3,HJH[,יהי,וִיהִ֥י כְנַ֖עַן עֶ֥בֶד לָֽמֹו׃ 
5631,וַיִּ֤בֶן שָׁם֙ מִזְבֵּ֔חַ לַיהוָ֖ה ,516713,וַיִּ֤בֶן שָׁם֙ מִזְבֵּ֔חַ לַיהוָ֖ה ,Main,N,wayq,Way0,p3,BNH[,יבן,וַיִּ֤בֶן שָׁם֙ מִזְבֵּ֔חַ לַיהוָ֖ה ,,,,,,,,,,,
5944,וְגַם־לְלֹ֔וט הָיָ֥ה צֹאן־וּבָקָ֖ר וְאֹהָלִֽים׃ ,516778,וְגַם־לְלֹ֔וט ,Main,N,Ø,Defc,,,,וְגַם־לְלֹ֔וט ,,,,,,,,,,,
5991,וַֽיְהִי־רִ֗יב בֵּ֚ין רֹעֵ֣י מִקְנֵֽה־אַבְרָ֔ם וּבֵ֖ין רֹעֵ֣י מִקְנֵה־לֹ֑וט ,516786,וַֽיְהִי־רִ֗יב בֵּ֚ין רֹעֵ֣י מִקְנֵֽה־אַבְרָ֔ם וּבֵ֖ין רֹעֵ֣י מִקְנֵה־לֹ֑וט ,Main,N,wayq,WayX,p3,HJH[,יהי,וַֽיְהִי־רִ֗יב בֵּ֚ין רֹעֵ֣י מִקְנֵֽה־אַבְרָ֔ם וּבֵ֖ין רֹעֵ֣י מִקְנֵה־לֹ֑וט ,,,,,,,,,,,
6151,כִּ֧י אֶת־כָּל־הָאָ֛רֶץ ,516817,כִּ֧י אֶת־כָּל־הָאָ֛רֶץ ,SubAdv,Q,Ø,CPen,,,,כִּ֧י אֶת־כָּל־הָאָ֛רֶץ ,,,,,,,,,,,
6339,וַיַּכּ֕וּ אֶֽת־כָּל־שְׂדֵ֖ה הָעֲמָלֵקִ֑י וְגַם֙ אֶת־הָ֣אֱמֹרִ֔י ,516851,וַיַּכּ֕וּ אֶֽת־כָּל־שְׂדֵ֖ה הָעֲמָלֵקִ֑י וְגַם֙ אֶת־הָ֣אֱמֹרִ֔י ,Main,N,wayq,Way0,p3,NKH[,יכו,וַיַּכּ֕וּ אֶֽת־כָּל־שְׂדֵ֖ה הָעֲמָלֵקִ֑י וְגַם֙ אֶת־הָ֣אֱמֹרִ֔י ,,,,,,,,,,,
6438,וַיֵּלֵ֑כוּ ,516865,וַיֵּלֵ֑כוּ ,Main,N,wayq,Way0,p3,HLK[,ילכו,וַיֵּלֵ֑כוּ ,,,,,,,,,,,
6453,וַיַּגֵּ֖ד לְאַבְרָ֣ם הָעִבְרִ֑י ,516868,וַיַּגֵּ֖ד לְאַבְרָ֣ם הָעִבְרִ֑י ,Main,N,wayq,Way0,p3,NGD[,יגד,וַיַּגֵּ֖ד לְאַבְרָ֣ם הָעִבְרִ֑י ,וְהֵ֖ם בַּעֲלֵ֥י בְרִית־אַבְרָֽם׃ ,516870,וְהֵ֖ם בַּעֲלֵ֥י בְרִית־אַבְרָֽם׃ ,Main,N,Ø,NmCl,,,,וְהֵ֖ם בַּעֲלֵ֥י בְרִית־אַבְרָֽם׃ 
6574,וַיֹּאמַ֑ר ,516891,וַיֹּאמַ֑ר ,Main,N,wayq,Way0,p3,>MR[,יאמר,וַיֹּאמַ֑ר ,וּבָרוּךְ֙ אֵ֣ל עֶלְיֹ֔ון ,516893,וּבָרוּךְ֙ אֵ֣ל עֶלְיֹ֔ון ,Main,Q,ptcp,Ptcp,unknown,BRK[,ברוך,וּבָרוּךְ֙ אֵ֣ל עֶלְיֹ֔ון 
6584,בָּר֤וּךְ אַבְרָם֙ לְאֵ֣ל עֶלְיֹ֔ון קֹנֵ֖ה שָׁמַ֥יִם וָאָֽרֶץ׃ ,516892,בָּר֤וּךְ אַבְרָם֙ לְאֵ֣ל עֶלְיֹ֔ון קֹנֵ֖ה שָׁמַ֥יִם וָאָֽרֶץ׃ ,Main,Q,ptcp,Ptcp,unknown,BRK[,ברוך,בָּר֤וּךְ אַבְרָם֙ לְאֵ֣ל עֶלְיֹ֔ון קֹנֵ֖ה שָׁמַ֥יִם וָאָֽרֶץ׃ ,אֲשֶׁר־מִגֵּ֥ן צָרֶ֖יךָ בְּיָדֶ֑ךָ ,516894,אֲשֶׁר־מִגֵּ֥ן צָרֶ֖יךָ בְּיָדֶ֑ךָ ,SubMod,Q,qtl,xQt0,p3,MGN[,מגן,אֲשֶׁר־מִגֵּ֥ן צָרֶ֖יךָ בְּיָדֶ֑ךָ 
6704,מַה־תִּתֶּן־לִ֔י ,516921,מַה־תִּתֶּן־לִ֔י ,Main,Q,yqtl,xYq0,p2,NTN[,תתן,מַה־תִּתֶּן־לִ֔י ,וּבֶן־מֶ֣שֶׁק בֵּיתִ֔י ,516923,וּבֶן־מֶ֣שֶׁק בֵּיתִ֔י ,Main,Q,Ø,CPen,,,,וּבֶן־מֶ֣שֶׁק בֵּיתִ֔י 
