prec_part,PAST..IND,PRES.PERF.IND,PRES..IND,PAST.PERF.IND,FUT..IND,PAST..SUBJ,PRES..MOD,PRES..,PRES.PROG.IND,PAST.PROG.IND,..,past.PERF_PROG.IND,FUT.PERF.IND,PRES.PERF_PROG.IND
_W_HNH_,-0.0,0.08,-0.11,-0.01,0.06,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_>CR_,0.28,-0.04,-0.17,-0.04,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_C_,-0.16,-0.02,0.01,0.1,-0.01,-0.01,-0.01,0.09,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_HN_,-0.11,-0.04,0.26,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_<L_>CR_,0.1,0.02,-0.22,0.08,-0.01,-0.01,0.05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_J<N/_>CR_,-0.11,0.44,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_KJ_L_,-0.1,0.2,-0.05,-0.03,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_>M_,-0.37,-0.01,0.43,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_KJ_,-0.08,-0.01,-0.22,0.27,-0.01,-0.01,-0.01,0.06,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_>XR/_,0.45,-0.13,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_>XR/_,0.2,-0.18,-0.09,0.11,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_CM_,0.32,-0.12,-0.09,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_B_L_,0.57,-0.25,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_J<N/_,-0.0,0.25,-0.22,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_KJ_MN_,-0.0,-0.03,0.07,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_>LH_,0.36,-0.1,-0.22,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_>L_,0.07,-0.1,0.14,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_<D_,0.07,-0.1,-0.0,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,0.07,-0.0,-0.0,-0.0,-0.0
_MDW<_,-0.28,0.14,0.02,0.15,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_>T_W_>T_,0.49,-0.25,-0.22,-0.0,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_H_,-0.18,0.09,-0.22,0.34,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_<TH_,-0.43,0.34,0.2,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_KJ_>T_,-0.26,0.42,-0.22,0.09,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_RQ_,0.48,-0.25,-0.12,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_>W_,-0.34,-0.16,0.51,0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_B_HJ>_,0.57,-0.25,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_>P_,-0.07,-0.06,0.15,-0.08,0.08,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_ZH_,0.21,0.03,-0.12,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_KJ_>M_,-0.23,-0.15,0.08,-0.08,0.29,-0.01,-0.01,0.1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_B_W_L_,0.57,-0.25,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_KJ_<TH_,-0.43,0.25,-0.12,-0.08,-0.01,0.29,0.09,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_TXT/_>CR_,0.07,0.15,-0.22,-0.08,-0.01,-0.01,-0.01,0.1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_HNH_N>_,-0.43,0.25,0.28,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_B_L_,0.57,-0.25,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_>JK_,-0.21,0.31,0.01,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_>L_,0.13,-0.25,0.23,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_<TH_,-0.43,0.09,0.45,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_MH_Z>T_,-0.43,0.75,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_GM_>T_,0.2,0.13,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_B_HW>_,0.45,-0.25,-0.22,-0.08,-0.01,-0.01,0.12,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_>K_,0.32,-0.12,-0.09,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_B_B_,0.45,-0.25,-0.09,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_>XR/_KN_,0.57,-0.25,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_>M_N>_,-0.43,0.75,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_KJ_<L_,-0.06,0.0,0.16,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_K_,-0.06,0.13,0.03,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_CM_,0.57,-0.25,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_MH_,-0.14,0.18,-0.22,0.2,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_L_>CR_,-0.14,0.04,0.21,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_W_W_,0.14,0.04,-0.07,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_LKN_,-0.14,-0.1,0.36,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_B_B_,0.28,-0.1,-0.07,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_J<N/_KJ_,-0.43,0.47,0.07,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_KN_,0.43,-0.25,-0.22,-0.08,0.14,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_<D_>CR_,0.28,-0.1,-0.22,0.06,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_>T_>CR_,-0.26,-0.08,-0.22,0.59,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_K_>CR_,-0.26,0.09,-0.22,0.42,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_B_HM_,0.57,-0.25,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_LW_,-0.26,-0.25,-0.22,0.59,-0.01,0.16,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_KJ_CM_,0.57,-0.25,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_KJ_<L_KN_,-0.43,0.42,0.12,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_ZW_,-0.26,0.42,-0.05,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_<WD/_,0.24,-0.25,-0.22,0.25,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_>LH_,0.57,-0.25,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_>T_W_>T_W_>T_,0.57,-0.25,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_KJ_KN_,-0.03,-0.05,-0.02,0.12,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_>XR/_>CR_,-0.43,0.55,-0.22,0.12,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_TXT/_,0.17,-0.25,0.18,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_B_W_B_,0.17,0.15,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_B_W_,0.17,-0.05,-0.02,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_B_MH_,-0.43,0.75,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_KJ_MN_>T==_,-0.23,-0.05,0.18,0.12,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_GM_B_,0.17,-0.25,0.18,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_>T_MJ_,-0.43,0.75,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_GM_>T_,0.32,0.0,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_RB/_,-0.43,0.75,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_>T_C_,-0.43,-0.25,0.78,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_B_B_L_,0.57,-0.25,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_B_ZH_,0.57,-0.25,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_MN_W_,-0.18,0.0,0.03,-0.08,-0.01,-0.01,-0.01,-0.0,0.25,-0.0,-0.0,-0.0,-0.0,-0.0
_KJ_HNH_,-0.18,-0.25,0.28,-0.08,0.24,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_MN_CM_,0.32,-0.25,0.03,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_LWL>_,-0.18,-0.25,0.03,0.42,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_LMH_,-0.18,0.25,-0.22,0.17,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_MN_>Z_,0.57,-0.25,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_GM_B_,0.57,-0.25,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_>JKH_,-0.43,0.0,0.28,-0.08,-0.01,-0.01,0.24,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_>KN_,0.07,0.0,0.03,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_GM_W_,0.32,-0.25,0.03,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_Z>T_,0.07,0.0,0.03,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_<D_KJ_,0.57,-0.25,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_ZH_,-0.1,0.42,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_JXDW_,-0.1,0.42,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_MDW<_,-0.1,-0.25,-0.22,0.59,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_<D_C_,0.24,-0.25,-0.22,0.25,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_B_>CR_,-0.1,0.09,0.12,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_<L_MJ_,-0.43,0.42,0.12,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_K_W_K_,0.24,-0.25,-0.22,-0.08,0.33,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_<D_>CR_>M_,-0.43,0.42,0.12,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_<QB/_>CR_,0.24,0.09,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_C>L[_,0.57,-0.25,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_GM_L_,-0.1,0.42,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_RQ_B_,0.57,-0.25,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_MJ_,0.24,0.09,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_L_L_,0.24,0.09,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_>N_,-0.1,-0.25,-0.22,0.59,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_KJ_>L_,-0.43,0.42,0.12,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_<L_MH_,-0.1,0.42,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_<D_>M_,-0.43,0.42,0.12,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_>XR/_>LH_,0.57,-0.25,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_KJ_K_,-0.43,0.09,0.45,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_>T==_,0.24,-0.25,0.12,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_KJ_MH_,-0.43,0.75,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_KH_,0.57,-0.25,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_>T_>LH_,0.24,0.09,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_>ZJ_,-0.43,-0.25,-0.22,-0.08,-0.01,0.99,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_MN_>CR_,-0.1,-0.25,0.12,0.25,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_MN_<L_,-0.1,0.42,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_B_Z>T_,-0.1,0.09,0.12,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_>BL_,-0.1,-0.25,0.12,0.25,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_>JPH_,-0.1,0.09,-0.22,0.25,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_<D_>N_,-0.43,-0.25,-0.22,-0.08,0.49,-0.01,0.49,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_MH_ZH_,-0.43,0.25,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,0.5,-0.0,-0.0,-0.0,-0.0,-0.0
_<WD/_,0.07,-0.25,0.28,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_B_B_L_,0.57,-0.25,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_M>D/_,-0.43,-0.25,0.78,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_>W_MJ_,0.57,-0.25,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_L_W_,-0.43,0.25,-0.22,-0.08,0.49,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_H=_MN_,-0.43,0.75,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_L_MN_,-0.43,0.75,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_BJN/_,0.57,-0.25,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_KJ_LWL>_,-0.43,-0.25,-0.22,0.92,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_B_W_K_,-0.43,0.75,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_KJ_MJ_,-0.43,0.25,-0.22,-0.08,-0.01,-0.01,0.49,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_B_MN_,0.57,-0.25,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_GM_B_Z>T_,0.57,-0.25,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_B_L_B_B_L_,0.57,-0.25,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_<L_B_,0.57,-0.25,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_B_W_L_B_L_,0.57,-0.25,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_B_W_W_W_W_,0.57,-0.25,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_KJ_GM_,-0.43,0.25,0.28,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_KJ_XNM_,0.07,0.25,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_MN_>Z_,0.57,-0.25,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_CM<[_,-0.43,0.75,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_LW_,-0.43,-0.25,-0.22,0.92,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_B_B_B_L_,0.57,-0.25,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_K_L_,0.07,-0.25,0.28,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_>T_>LH_W_>T_,0.57,-0.25,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
