eng_TAMsimp,Main,SubAdv,SubMod,SubArg
FUT ~ PRES PROG,-0.02,0.1,-0.05,-0.02
IMPV ~ MOD lest,-0.27,0.35,-0.05,-0.02
HAB used to,-0.02,-0.15,-0.05,0.23
PAST PERF ~ PRES,-0.02,-0.15,0.2,-0.02
MOD can ~ PAST,0.23,-0.15,-0.05,-0.02
FUT ~ MOD is to,-0.52,-0.15,0.2,0.48
?VB ~ PAST,0.23,-0.15,-0.05,-0.02
PRES PERF ~ TO INF,0.23,-0.15,-0.05,-0.02
MOD could ~ MOD should,-0.77,0.85,-0.05,-0.02
?VB,0.23,-0.15,-0.05,-0.02
PAST PROG,-0.44,-0.15,0.61,-0.02
MOD shall ~ PRES PERF,0.23,-0.15,-0.05,-0.02
MOD can ~ MOD might,-0.44,-0.15,-0.05,0.65
MOD could ~ MOD must,0.23,-0.15,-0.05,-0.02
FUT PROG ~ PRES,-0.44,0.51,-0.05,-0.02
MOD lest ~ MOD would,-0.44,0.51,-0.05,-0.02
FUT ~ MOD that be,0.23,-0.15,-0.05,-0.02
MOD need not ~ MOD shall,0.23,-0.15,-0.05,-0.02
MOD may ~ PRES PERF,-0.44,0.18,0.28,-0.02
MOD may ~ PAST,-0.11,-0.15,0.28,-0.02
MOD may ~ MOD might,-0.44,0.51,-0.05,-0.02
PRES PART ~ PRES PERF,0.23,-0.15,-0.05,-0.02
MOD is to ~ PRES PART,-0.11,-0.15,0.28,-0.02
MOD let ~ PRES PERF,-0.11,0.18,-0.05,-0.02
MOD let ~ MOD would,0.23,-0.15,-0.05,-0.02
IMPV ~ MOD is to,0.23,-0.15,-0.05,-0.02
MOD would ~ PRES PART,-0.44,0.51,-0.05,-0.02
?VB ~ MOD must,0.23,-0.15,-0.05,-0.02
?VB ~ MOD shall,0.23,-0.15,-0.05,-0.02
??VB ~ MOD let,0.23,-0.15,-0.05,-0.02
MOD must ~ MOD should,0.23,-0.15,-0.05,-0.02
MOD is to ~ PRES,-0.27,-0.15,0.45,-0.02
MOD can ~ MOD must,-0.27,-0.15,0.45,-0.02
MOD should ~ PRES PERF,-0.27,-0.15,-0.05,0.48
MOD that be,0.23,-0.15,-0.05,-0.02
MOD let ~ MOD that be,0.23,-0.15,-0.05,-0.02
PAST PROG ~ PRES,-0.77,0.85,-0.05,-0.02
MOD lest ~ MOD should,-0.77,0.85,-0.05,-0.02
MOD lest ~ MOD shall,-0.27,0.35,-0.05,-0.02
MOD is to ~ TO INF,-0.77,-0.15,0.45,0.48
MOD need not ~ PRES,-0.27,-0.15,0.45,-0.02
MOD could ~ TO INF,0.23,-0.15,-0.05,-0.02
PRES PROG,-0.27,-0.15,0.45,-0.02
PRES ~ PRES do,-0.27,0.35,-0.05,-0.02
FUT PERF,0.23,-0.15,-0.05,-0.02
FUT ~ MOD,0.23,-0.15,-0.05,-0.02
MOD quest must,0.23,-0.15,-0.05,-0.02
MOD quest must ~ MOD shall,0.23,-0.15,-0.05,-0.02
PRES ~ PRES shall,-0.77,-0.15,0.95,-0.02
MOD should ~ PRES PART,0.23,-0.15,-0.05,-0.02
?VB ~ IMPV,0.23,-0.15,-0.05,-0.02
?VB ~ MOD lest,-0.77,0.85,-0.05,-0.02
MOD that be ~ TO INF,-0.77,0.85,-0.05,-0.02
MOD was to ~ PRES,0.23,-0.15,-0.05,-0.02
MOD would ~ PAST PERF,0.23,-0.15,-0.05,-0.02
MOD ~ PRES,0.23,-0.15,-0.05,-0.02
MOD would ~ PAST PROG,-0.77,-0.15,-0.05,0.98
FUT PERF ~ PRES,-0.77,0.85,-0.05,-0.02
FUT ~ FUT PROG,0.23,-0.15,-0.05,-0.02
PRES ~ PRES can,-0.77,0.85,-0.05,-0.02
PRES PERF ~ PRES PROG,-0.77,0.85,-0.05,-0.02
MOD must ~ TO INF,-0.77,-0.15,0.95,-0.02
FUT going-to ~ MOD is to,-0.77,-0.15,-0.05,0.98
PAST PROG ~ PRES PART,0.23,-0.15,-0.05,-0.02
FUT PROG ~ MOD shall,0.23,-0.15,-0.05,-0.02
PRES PART ~ PRES PROG,-0.77,0.85,-0.05,-0.02
FUT going-to ~ MOD lest,0.23,-0.15,-0.05,-0.02
MOD can ~ MOD lest,-0.77,0.85,-0.05,-0.02
MOD must ~ PRES shall,0.23,-0.15,-0.05,-0.02
MOD lest ~ MOD let,-0.77,0.85,-0.05,-0.02
MOD could ~ MOD shall,0.23,-0.15,-0.05,-0.02
MOD VB ~ TO INF,-0.77,-0.15,-0.05,0.98
MOD could ~ PAST PERF,-0.77,-0.15,-0.05,0.98
MOD VB ~ MOD shall,0.23,-0.15,-0.05,-0.02
MOD could ~ PRES PERF,0.23,-0.15,-0.05,-0.02
MOD VB ~ MOD can,0.23,-0.15,-0.05,-0.02
JJ ~ PRES,0.23,-0.15,-0.05,-0.02
IMPV ~ PRES PERF,0.23,-0.15,-0.05,-0.02
MOD is to ~ MOD lest,0.23,-0.15,-0.05,-0.02
MOD is to ~ MOD should,-0.77,0.85,-0.05,-0.02
MOD is to ~ PRES PROG,-0.77,-0.15,0.95,-0.02
IMPV ~ MOD need not,0.23,-0.15,-0.05,-0.02
MOD lest ~ MOD must,0.23,-0.15,-0.05,-0.02
MOD must ~ PRES PROG,0.23,-0.15,-0.05,-0.02
MOD let ~ MOD might,0.23,-0.15,-0.05,-0.02
IMPV ~ MOD,0.23,-0.15,-0.05,-0.02
MOD let ~ VB,0.23,-0.15,-0.05,-0.02
HAB used to ~ PRES PERF,-0.77,-0.15,0.95,-0.02
HAB used to ~ PRES,0.23,-0.15,-0.05,-0.02
MOD may ~ MOD should,-0.77,-0.15,0.95,-0.02
HAB used to ~ MOD would,-0.77,-0.15,-0.05,0.98
MOD may ~ MOD would,0.23,-0.15,-0.05,-0.02
MOD might ~ PRES PERF,0.23,-0.15,-0.05,-0.02
FUT ~ PRES shall,0.23,-0.15,-0.05,-0.02
MOD must ~ MOD quest must,0.23,-0.15,-0.05,-0.02
MOD must ~ PRES PART,0.23,-0.15,-0.05,-0.02
MOD lest ~ MOD that be,-0.77,0.85,-0.05,-0.02
