eng_TAMsimp,person,xYq0,WxY0,xYqX,XYqt,WXYq,ZYq0,WYq0,ZYqX,WxYX,WYqX,CPen
MOD can ~ MOD shall,p1,0.44,-0.1,-0.1,-0.09,-0.08,-0.08,0.06,-0.04,0.02,-0.01,-0.0
PAST ~ PRES,p2,0.2,-0.06,-0.1,-0.09,-0.08,0.28,-0.07,-0.04,-0.03,-0.01,-0.0
MOD shall ~ PRES,p1,0.15,0.03,-0.1,-0.0,0.01,0.05,-0.07,-0.04,-0.03,-0.01,-0.0
MOD may ~ TO INF,p1,-0.3,-0.15,-0.1,-0.09,-0.08,-0.08,0.83,-0.04,-0.03,0.03,-0.0
PAST ~ PRES,p1,0.03,-0.01,-0.1,-0.09,-0.08,0.11,0.21,-0.04,-0.03,-0.01,-0.0
MOD may ~ TO INF,p3,-0.3,-0.1,-0.05,-0.09,-0.08,-0.08,0.74,-0.04,-0.03,0.03,-0.0
MOD should ~ PRES,p3,-0.11,-0.01,0.24,0.1,0.01,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
TO INF,p2,0.18,0.09,-0.1,-0.09,-0.04,0.11,-0.07,-0.04,-0.03,-0.01,-0.0
FUT ~ MOD let,p1,-0.25,-0.05,-0.1,-0.09,-0.04,0.25,0.26,0.01,-0.03,0.03,-0.0
MOD would,p2,0.35,-0.1,-0.1,-0.09,0.02,0.02,-0.02,-0.04,-0.03,-0.01,-0.0
FUT ~ MOD may,p2,0.55,-0.15,-0.1,-0.09,-0.08,-0.08,-0.02,-0.04,0.02,-0.01,-0.0
IMPV ~ MOD may,p3,-0.35,-0.1,0.1,0.06,0.02,-0.03,0.13,0.21,-0.03,-0.01,-0.0
MOD let ~ PRES,p3,-0.29,-0.1,-0.04,0.07,-0.08,0.13,-0.02,0.33,-0.03,0.04,-0.0
MOD shall ~ PRES PART,p3,0.02,0.01,0.06,-0.09,0.07,-0.08,-0.02,-0.04,0.08,-0.01,-0.0
MOD shall ~ TO INF,p3,-0.18,0.13,-0.1,0.13,0.03,-0.08,0.04,-0.04,0.03,0.04,-0.0
FUT ~ MOD would,p1,0.04,0.02,-0.1,-0.04,-0.03,0.03,0.15,-0.04,-0.03,-0.01,-0.0
PAST ~ PRES PART,p3,-0.07,0.13,0.01,-0.04,-0.03,-0.03,0.09,-0.04,-0.03,-0.01,-0.0
FUT ~ MOD lest,p2,0.18,0.26,-0.04,-0.09,-0.08,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
MOD can ~ PRES,p2,0.42,0.03,-0.1,-0.09,-0.08,-0.02,-0.07,-0.04,-0.03,-0.01,-0.0
MOD should ~ PRES,p2,0.24,0.09,-0.04,-0.09,-0.02,-0.08,-0.01,-0.04,-0.03,-0.01,-0.0
MOD can ~ MOD shall,p3,-0.05,-0.15,0.08,0.14,0.09,-0.08,-0.07,-0.04,0.09,-0.01,-0.0
FUT ~ TO INF,p3,-0.23,0.09,0.08,0.08,-0.08,0.04,0.1,-0.04,-0.03,-0.01,-0.0
MOD let ~ MOD shall,p3,-0.11,-0.03,0.02,-0.03,0.03,0.04,-0.01,0.08,0.03,-0.01,-0.0
MOD shall ~ MOD should,p1,0.6,-0.09,-0.1,-0.09,-0.08,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
MOD let ~ TO INF,p3,-0.35,-0.15,-0.1,-0.09,0.04,-0.02,0.68,0.03,-0.03,-0.01,-0.0
FUT ~ MOD would,p3,0.09,-0.15,0.03,0.1,0.04,-0.08,-0.07,-0.04,0.1,-0.01,-0.0
FUT ~ IMPV,p2,-0.1,0.16,-0.03,-0.03,-0.02,0.11,-0.01,-0.04,-0.03,-0.01,-0.0
MOD must,p3,-0.01,0.05,-0.03,0.04,-0.02,-0.02,-0.01,0.03,-0.03,-0.01,-0.0
PRES ~ PRES PART,p2,0.45,0.05,-0.1,-0.09,-0.08,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
MOD may ~ MOD shall,p2,0.25,0.12,-0.1,-0.09,-0.02,-0.08,-0.07,-0.04,0.04,-0.01,-0.0
MOD shall ~ TO INF,p2,0.22,0.07,-0.1,0.12,-0.08,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
PAST ~ PRES PERF,p3,-0.06,-0.15,0.19,-0.02,-0.08,-0.08,-0.07,0.25,0.05,-0.01,-0.0
PRES PERF,p2,0.3,0.07,-0.1,-0.09,-0.08,0.06,-0.07,-0.04,-0.03,-0.01,-0.0
IMPV ~ MOD let,p2,0.22,0.28,-0.1,-0.09,-0.08,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
FUT ~ MOD let,p3,-0.12,-0.15,-0.02,-0.09,-0.08,0.07,0.08,0.12,-0.03,0.22,-0.0
MOD must,p1,0.42,-0.15,-0.1,-0.09,-0.08,0.07,0.0,-0.04,-0.03,-0.01,-0.0
IMPV ~ MOD may,p2,0.19,0.24,-0.1,-0.09,-0.08,-0.08,0.0,-0.04,-0.03,-0.01,-0.0
PRES PERF,p1,0.42,-0.07,-0.1,-0.09,-0.08,-0.01,0.0,-0.04,-0.03,-0.01,-0.0
PRES PART,p2,0.24,0.1,-0.1,-0.09,-0.08,0.08,-0.07,-0.04,-0.03,-0.01,-0.0
MOD shall ~ MOD should,p3,-0.26,0.02,0.4,0.08,-0.08,-0.08,-0.07,-0.04,0.06,-0.01,-0.0
MOD must,p2,0.15,0.1,-0.1,0.08,0.0,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
FUT ~ MOD would,p2,0.4,-0.06,-0.1,-0.09,-0.08,0.08,-0.07,-0.04,-0.03,-0.01,-0.0
IMPV ~ MOD must,p2,0.32,0.02,-0.1,-0.09,0.0,-0.08,-0.07,0.05,-0.03,-0.01,-0.0
MOD should ~ MOD would,p3,-0.18,0.1,-0.1,0.16,-0.08,-0.08,0.09,0.05,0.06,-0.01,-0.0
PAST ~ PRES PERF,p2,-0.07,-0.06,-0.1,-0.09,-0.08,0.55,-0.07,-0.04,-0.03,-0.01,-0.0
MOD shall ~ PAST,p3,0.02,-0.15,0.08,0.09,0.1,-0.08,-0.07,-0.04,0.07,-0.01,-0.0
TO INF,p1,-0.17,-0.06,-0.1,-0.09,-0.08,0.01,0.56,-0.04,-0.03,-0.01,-0.0
HAB used to ~ PAST,p3,-0.07,0.03,0.27,-0.0,-0.08,-0.08,-0.07,-0.04,0.07,-0.01,-0.0
MOD would ~ PRES,p2,0.2,-0.06,-0.1,-0.0,-0.08,0.01,0.02,0.05,-0.03,-0.01,-0.0
FUT ~ PRES PART,p3,0.11,0.03,-0.01,-0.0,-0.08,-0.08,0.02,-0.04,-0.03,0.08,-0.0
MOD could,p1,0.02,0.03,-0.1,-0.0,-0.08,0.01,0.2,-0.04,-0.03,-0.01,-0.0
MOD lest ~ MOD may,p3,0.2,-0.06,-0.01,-0.09,0.19,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
FUT ~ MOD can,p1,0.02,0.12,-0.1,-0.09,0.01,-0.08,0.2,-0.04,-0.03,-0.01,-0.0
FUT ~ MOD lest,p1,0.55,-0.05,-0.1,-0.09,-0.08,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
MOD is to ~ MOD let,p3,-0.25,-0.05,0.1,0.21,0.02,-0.08,0.03,0.06,-0.03,-0.01,-0.0
MOD can ~ PRES,p1,0.15,0.15,0.0,-0.09,-0.08,-0.08,0.03,-0.04,-0.03,-0.01,-0.0
PAST ~ TO INF,p3,0.25,-0.15,0.1,-0.09,0.02,-0.08,0.03,-0.04,-0.03,-0.01,-0.0
FUT ~ TO INF,p1,-0.35,0.25,-0.1,-0.09,0.02,0.12,0.23,-0.04,-0.03,-0.01,-0.0
PRES ~ PRES PROG,p3,-0.05,-0.15,0.2,0.01,0.02,-0.08,-0.07,0.06,0.07,-0.01,-0.0
IMPV ~ MOD can,p3,-0.35,0.75,-0.1,0.01,-0.08,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
FUT ~ MOD can,p2,0.25,0.15,-0.1,-0.09,-0.08,-0.08,0.03,-0.04,-0.03,-0.01,-0.0
MOD is to,p3,0.1,-0.15,0.13,0.24,-0.08,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
MOD may ~ PRES,p2,0.32,0.19,-0.1,-0.09,-0.08,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
FUT ~ PAST,p3,-0.12,-0.04,0.01,0.02,0.25,-0.08,-0.07,-0.04,-0.03,0.1,-0.0
IMPV ~ TO INF,p2,-0.12,0.63,-0.1,-0.09,-0.08,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
IMPV ~ MOD let,p1,-0.12,-0.04,-0.1,-0.09,-0.08,0.47,0.04,-0.04,-0.03,-0.01,-0.0
IMPV ~ MOD should,p2,-0.12,0.52,0.01,-0.09,-0.08,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
MOD let ~ MOD must,p3,-0.01,0.19,0.01,-0.09,0.03,-0.08,-0.07,-0.04,0.09,-0.01,-0.0
PAST ~ PRES PERF,p1,-0.12,0.07,-0.1,-0.09,-0.08,0.03,0.37,-0.04,-0.03,-0.01,-0.0
PRES ~ TO INF,p2,0.43,-0.15,-0.1,-0.09,-0.08,0.14,-0.07,-0.04,-0.03,-0.01,-0.0
MOD should ~ TO INF,p3,0.21,-0.15,0.24,0.02,-0.08,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
MOD would ~ PRES,p3,0.32,-0.15,-0.1,0.02,0.03,-0.08,0.04,-0.04,-0.03,-0.01,-0.0
MOD was to ~ PAST,p3,0.21,-0.15,0.24,-0.09,-0.08,-0.08,0.04,-0.04,-0.03,-0.01,-0.0
IMPV ~ PRES PART,p2,0.15,0.35,-0.1,-0.09,-0.08,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
MOD can ~ MOD may,p2,0.28,0.1,-0.1,-0.09,0.04,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
MOD lest ~ PRES,p2,0.53,-0.02,-0.1,-0.09,-0.08,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
PRES ~ PRES PERF,p1,0.15,-0.15,-0.1,0.03,-0.08,0.17,0.05,-0.04,-0.03,-0.01,-0.0
FUT ~ MOD should,p3,0.03,-0.15,0.03,0.16,0.17,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
MOD must ~ PRES,p2,0.4,0.1,-0.1,-0.09,-0.08,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
MOD let ~ PRES,p1,-0.2,-0.01,-0.1,-0.09,-0.08,0.35,0.21,-0.04,-0.03,-0.01,-0.0
MOD should ~ PRES,p1,0.08,-0.01,-0.1,-0.09,0.06,-0.08,0.21,-0.04,-0.03,-0.01,-0.0
MOD let ~ MOD should,p3,-0.35,-0.15,0.47,0.05,-0.08,-0.08,0.07,0.11,-0.03,-0.01,-0.0
MOD must ~ PRES,p3,-0.2,-0.01,-0.1,0.19,-0.08,-0.08,-0.07,-0.04,0.4,-0.01,-0.0
MOD let,p2,0.37,-0.01,-0.1,-0.09,-0.08,0.06,-0.07,-0.04,-0.03,-0.01,-0.0
MOD may ~ MOD must,p3,0.08,-0.15,-0.1,-0.09,0.2,-0.08,0.21,-0.04,-0.03,-0.01,-0.0
MOD should,p2,0.22,0.14,-0.1,-0.09,-0.08,0.06,-0.07,-0.04,-0.03,-0.01,-0.0
FUT ~ IMPV,p3,-0.35,-0.15,0.05,0.34,-0.08,0.06,0.07,-0.04,-0.03,0.13,-0.0
MOD let ~ MOD may,p1,-0.35,-0.15,-0.1,-0.09,-0.08,0.06,0.64,0.11,-0.03,-0.01,-0.0
MOD might,p3,-0.06,-0.01,0.19,0.05,-0.08,-0.08,-0.07,0.11,-0.03,-0.01,-0.0
PAST ~ PAST PERF,p3,0.08,-0.01,0.05,-0.09,0.2,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
MOD let ~ PAST,p3,-0.2,-0.15,0.19,-0.09,-0.08,-0.08,0.07,0.39,-0.03,-0.01,-0.0
FUT ~ PAST,p1,-0.18,0.19,-0.1,-0.09,-0.08,0.25,0.09,-0.04,-0.03,-0.01,-0.0
MOD let ~ TO INF,p1,-0.35,-0.15,-0.1,-0.09,-0.08,0.42,0.43,-0.04,-0.03,-0.01,-0.0
MOD shall ~ TO INF,p1,0.49,-0.15,-0.1,-0.09,-0.08,-0.08,0.09,-0.04,-0.03,-0.01,-0.0
MOD may ~ PRES,p1,-0.01,0.02,-0.1,-0.09,-0.08,-0.08,0.43,-0.04,-0.03,-0.01,-0.0
MOD let ~ PRES PART,p3,-0.01,0.02,-0.1,0.08,0.25,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
MOD might,p1,0.15,-0.15,-0.1,-0.09,-0.08,0.08,0.26,-0.04,-0.03,-0.01,-0.0
MOD can ~ MOD shall,p2,0.15,0.19,-0.1,-0.09,0.08,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
PAST PERF,p3,-0.35,-0.15,0.24,-0.09,0.25,-0.08,-0.07,-0.04,0.31,-0.01,-0.0
PRES PART ~ TO INF,p3,-0.01,0.19,-0.1,-0.09,-0.08,0.08,0.09,-0.04,-0.03,-0.01,-0.0
PAST ~ PAST PROG,p3,0.05,0.05,-0.1,-0.09,0.32,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
MOD can ~ MOD could,p3,-0.15,-0.15,0.1,0.11,0.12,-0.08,-0.07,-0.04,0.17,-0.01,-0.0
PRES ~ PRES PROG,p2,0.25,-0.15,-0.1,0.11,0.12,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
IMPV ~ PAST,p2,-0.15,0.45,-0.1,-0.09,-0.08,-0.08,0.13,-0.04,-0.03,-0.01,-0.0
MOD should ~ TO INF,p2,0.45,0.05,-0.1,-0.09,-0.08,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
MOD should ~ TO INF,p1,0.25,0.05,-0.1,-0.09,-0.08,-0.08,0.13,-0.04,-0.03,-0.01,-0.0
MOD could ~ PAST,p3,-0.15,0.25,0.1,-0.09,0.12,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
MOD lest,p3,0.05,-0.15,0.1,-0.09,-0.08,-0.08,0.33,-0.04,-0.03,-0.01,-0.0
MOD VB ~ MOD may,p3,-0.35,0.05,0.1,0.11,0.12,-0.08,-0.07,0.16,-0.03,-0.01,-0.0
MOD should ~ MOD was to,p3,0.25,-0.15,0.1,-0.09,0.12,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
MOD was to,p3,-0.15,0.05,-0.1,0.11,0.32,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
MOD can ~ TO INF,p3,-0.15,0.05,-0.1,0.11,-0.08,-0.08,0.33,-0.04,-0.03,-0.01,-0.0
MOD may ~ MOD must,p2,0.05,0.45,-0.1,-0.09,-0.08,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
MOD is to ~ MOD may,p3,0.25,-0.15,0.1,-0.09,0.12,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
MOD can ~ MOD should,p3,0.05,-0.15,0.5,-0.09,-0.08,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
FUT going-to ~ MOD shall,p2,0.65,-0.15,-0.1,-0.09,-0.08,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
MOD lest ~ PRES,p3,0.05,0.25,-0.1,-0.09,-0.08,-0.08,-0.07,-0.04,0.17,-0.01,-0.0
MOD may ~ PRES PART,p3,-0.35,0.25,-0.1,-0.09,-0.08,-0.08,0.53,-0.04,-0.03,-0.01,-0.0
MOD might ~ MOD would,p3,0.05,-0.15,0.1,-0.09,0.12,-0.08,0.13,-0.04,-0.03,-0.01,-0.0
FUT ~ PRES PART,p1,-0.15,0.05,-0.1,-0.09,-0.08,0.52,-0.07,-0.04,-0.03,-0.01,-0.0
FUT ~ PRES PROG,p1,0.15,-0.15,-0.1,-0.09,-0.08,0.17,0.18,-0.04,-0.03,-0.01,-0.0
FUT ~ MOD must,p3,-0.35,-0.15,-0.1,0.16,0.42,0.17,-0.07,-0.04,-0.03,-0.01,-0.0
FUT ~ MOD should,p2,0.4,0.1,-0.1,-0.09,-0.08,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
MOD may ~ TO INF,p2,0.65,-0.15,-0.1,-0.09,-0.08,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
MOD let ~ MOD should,p1,-0.1,-0.15,0.15,-0.09,-0.08,0.17,0.18,-0.04,-0.03,-0.01,-0.0
MOD let ~ PAST,p1,0.15,-0.15,-0.1,-0.09,-0.08,0.42,-0.07,-0.04,-0.03,-0.01,-0.0
MOD let ~ MOD must,p1,-0.35,-0.15,-0.1,-0.09,-0.08,0.17,0.68,-0.04,-0.03,-0.01,-0.0
MOD must ~ PRES,p1,0.65,-0.15,-0.1,-0.09,-0.08,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
MOD could ~ MOD would,p3,0.15,0.1,-0.1,0.16,-0.08,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
MOD can ~ MOD let,p1,0.15,0.1,-0.1,-0.09,-0.08,-0.08,0.18,-0.04,-0.03,-0.01,-0.0
MOD must ~ MOD shall,p1,0.15,0.1,-0.1,-0.09,-0.08,0.17,-0.07,-0.04,-0.03,-0.01,-0.0
MOD VB ~ PRES,p3,0.15,-0.15,0.15,-0.09,0.17,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
HAB used to,p3,0.15,-0.15,-0.1,-0.09,0.42,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
FUT ~ TO INF,p2,0.4,-0.15,-0.1,0.16,-0.08,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
MOD could ~ MOD might,p3,-0.1,0.1,0.15,-0.09,-0.08,-0.08,-0.07,-0.04,0.22,-0.01,-0.0
MOD shall ~ MOD would,p3,0.15,-0.15,-0.1,0.16,-0.08,-0.08,-0.07,-0.04,0.22,-0.01,-0.0
MOD might ~ TO INF,p3,-0.1,-0.15,-0.1,0.16,0.17,0.17,-0.07,-0.04,-0.03,-0.01,-0.0
MOD can ~ PAST,p3,-0.35,0.1,0.15,0.16,0.17,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
PRES ~ PRES PART,p1,0.4,0.1,-0.1,-0.09,-0.08,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
MOD would ~ PRES,p1,0.4,0.1,-0.1,-0.09,-0.08,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
MOD lest ~ MOD may,p1,0.32,0.19,-0.1,-0.09,-0.08,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
FUT ~ MOD must,p1,-0.01,0.19,-0.1,0.24,-0.08,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
IMPV ~ MOD lest,p3,-0.35,0.19,0.24,-0.09,0.25,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
MOD can ~ PRES PART,p3,-0.35,-0.15,-0.1,-0.09,0.58,-0.08,-0.07,-0.04,0.31,-0.01,-0.0
FUT ~ MOD that be,p3,-0.35,0.19,-0.1,-0.09,-0.08,-0.08,-0.07,-0.04,0.64,-0.01,-0.0
PRES PART,p1,-0.01,0.19,-0.1,-0.09,-0.08,-0.08,-0.07,0.3,-0.03,-0.01,-0.0
MOD could ~ MOD would,p1,-0.01,0.19,-0.1,-0.09,-0.08,0.25,-0.07,-0.04,-0.03,-0.01,-0.0
MOD could ~ MOD must,p1,0.65,-0.15,-0.1,-0.09,-0.08,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
MOD could ~ MOD might,p1,-0.35,-0.15,-0.1,-0.09,-0.08,0.25,0.59,-0.04,-0.03,-0.01,-0.0
