eng_TAMsimp,person,TOTAL,xYq0,WxY0,xYqX,XYqt,WXYq,ZYq0,WYq0,ZYqX,WxYX,WYqX,CPen
MOD would ~ PRES,p2,11,6,1,0,1,0,1,1,1,0,0,0
FUT ~ PRES PART,p3,11,5,2,1,1,0,0,1,0,0,1,0
MOD could,p1,11,4,2,0,1,0,1,3,0,0,0,0
MOD lest ~ MOD may,p3,11,6,1,1,0,3,0,0,0,0,0,0
FUT ~ MOD can,p1,11,4,3,0,0,1,0,3,0,0,0,0
FUT ~ MOD lest,p1,10,9,1,0,0,0,0,0,0,0,0,0
MOD is to ~ MOD let,p3,10,1,1,2,3,1,0,1,1,0,0,0
MOD can ~ PRES,p1,10,5,3,1,0,0,0,1,0,0,0,0
PAST ~ TO INF,p3,10,6,0,2,0,1,0,1,0,0,0,0
FUT ~ TO INF,p1,10,0,4,0,0,1,2,3,0,0,0,0
PRES ~ PRES PROG,p3,10,3,0,3,1,1,0,0,1,1,0,0
IMPV ~ MOD can,p3,10,0,9,0,1,0,0,0,0,0,0,0
FUT ~ MOD can,p2,10,6,3,0,0,0,0,1,0,0,0,0
MOD is to,p3,9,4,0,2,3,0,0,0,0,0,0,0
MOD may ~ PRES,p2,9,6,3,0,0,0,0,0,0,0,0,0
FUT ~ PAST,p3,9,2,1,1,1,3,0,0,0,0,1,0
IMPV ~ TO INF,p2,9,2,7,0,0,0,0,0,0,0,0,0
IMPV ~ MOD let,p1,9,2,1,0,0,0,5,1,0,0,0,0
IMPV ~ MOD should,p2,9,2,6,1,0,0,0,0,0,0,0,0
MOD let ~ MOD must,p3,9,3,3,1,0,1,0,0,0,1,0,0
PAST ~ PRES PERF,p1,9,2,2,0,0,0,1,4,0,0,0,0
PRES ~ TO INF,p2,9,7,0,0,0,0,2,0,0,0,0,0
MOD should ~ TO INF,p3,9,5,0,3,1,0,0,0,0,0,0,0
MOD would ~ PRES,p3,9,6,0,0,1,1,0,1,0,0,0,0
MOD was to ~ PAST,p3,9,5,0,3,0,0,0,1,0,0,0,0
IMPV ~ PRES PART,p2,8,4,4,0,0,0,0,0,0,0,0,0
MOD can ~ MOD may,p2,8,5,2,0,0,1,0,0,0,0,0,0
MOD lest ~ PRES,p2,8,7,1,0,0,0,0,0,0,0,0,0
PRES ~ PRES PERF,p1,8,4,0,0,1,0,2,1,0,0,0,0
FUT ~ MOD should,p3,8,3,0,1,2,2,0,0,0,0,0,0
MOD must ~ PRES,p2,8,6,2,0,0,0,0,0,0,0,0,0
MOD let ~ PRES,p1,7,1,1,0,0,0,3,2,0,0,0,0
MOD should ~ PRES,p1,7,3,1,0,0,1,0,2,0,0,0,0
MOD let ~ MOD should,p3,7,0,0,4,1,0,0,1,1,0,0,0
MOD must ~ PRES,p3,7,1,1,0,2,0,0,0,0,3,0,0
MOD let,p2,7,5,1,0,0,0,1,0,0,0,0,0
MOD may ~ MOD must,p3,7,3,0,0,0,2,0,2,0,0,0,0
MOD should,p2,7,4,2,0,0,0,1,0,0,0,0,0
FUT ~ IMPV,p3,7,0,0,1,3,0,1,1,0,0,1,0
MOD let ~ MOD may,p1,7,0,0,0,0,0,1,5,1,0,0,0
MOD might,p3,7,2,1,2,1,0,0,0,1,0,0,0
