eng_TAMsimp,person,xYq0,WxY0,xYqX,XYqt,WXYq,ZYq0,WYq0,WxYX,ZYqX,WYqX,CPen
MOD may ~ PRES,p3,3.78,8.5,3.78,4.86,inf,17.0,17.0,34.0,inf,inf,inf
PRES PERF,p3,4.86,17.0,2.12,17.0,34.0,17.0,34.0,17.0,inf,inf,34.0
MOD should,p1,1.19,16.0,32.0,32.0,inf,inf,inf,32.0,inf,inf,inf
PRES ~ TO INF,p3,2.38,4.43,15.5,inf,31.0,7.75,15.5,31.0,inf,inf,31.0
MOD could,p3,1.67,10.0,6.0,30.0,30.0,inf,inf,15.0,inf,inf,inf
IMPV ~ PRES,p2,2.64,2.42,inf,9.67,29.0,29.0,29.0,inf,inf,inf,inf
PRES ~ PRES PERF,p2,1.38,5.8,inf,inf,inf,9.67,inf,inf,inf,inf,inf
MOD shall ~ PRES,p2,1.35,5.4,inf,27.0,inf,27.0,inf,inf,inf,inf,inf
MOD would ~ PAST,p3,3.25,2.89,26.0,13.0,6.5,inf,inf,26.0,26.0,inf,inf
MOD let,p3,6.5,3.25,13.0,26.0,inf,8.67,8.67,26.0,13.0,13.0,inf
MOD would,p1,2.27,3.57,inf,25.0,inf,5.0,25.0,inf,inf,inf,inf
TO INF,p3,2.88,3.83,inf,11.5,inf,5.75,11.5,23.0,inf,inf,inf
PAST ~ PRES,p2,1.83,11.0,inf,inf,inf,2.75,inf,inf,inf,inf,inf
MOD shall ~ PRES,p1,1.91,5.25,inf,10.5,10.5,10.5,inf,inf,inf,inf,inf
MOD can ~ MOD shall,p1,1.24,21.0,inf,inf,inf,inf,10.5,21.0,inf,inf,inf
TO INF,p2,2.0,4.0,inf,inf,20.0,5.0,inf,inf,inf,inf,inf
MOD should ~ PRES,p3,4.0,6.67,2.86,5.0,20.0,inf,inf,inf,inf,inf,inf
MOD can ~ MOD may,p3,3.33,4.0,4.0,10.0,10.0,inf,inf,inf,inf,inf,inf
MOD would,p2,1.43,20.0,inf,inf,10.0,10.0,20.0,inf,inf,inf,inf
FUT ~ MOD may,p2,1.06,inf,inf,inf,inf,inf,inf,19.0,inf,inf,inf
PAST ~ PRES PART,p3,3.6,3.6,9.0,18.0,18.0,18.0,6.0,inf,inf,inf,inf
MOD shall ~ PRES PART,p3,2.57,6.0,9.0,inf,6.0,inf,18.0,9.0,inf,inf,inf
MOD can ~ MOD shall,p3,3.4,inf,5.67,4.25,5.67,inf,inf,8.5,inf,inf,inf
MOD can ~ PRES,p2,1.31,5.67,inf,inf,inf,17.0,inf,inf,inf,inf,inf
IMPV ~ PRES,p3,17.0,3.4,8.5,5.67,8.5,17.0,inf,8.5,inf,inf,17.0
MOD shall ~ TO INF,p3,5.67,3.4,inf,4.25,8.5,inf,17.0,17.0,inf,17.0,inf
MOD should ~ PRES,p2,1.7,4.25,17.0,inf,17.0,inf,17.0,inf,inf,inf,inf
MOD shall ~ MOD should,p1,1.06,17.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PRES,p1,2.12,5.67,inf,inf,inf,8.5,4.25,inf,inf,inf,inf
FUT ~ MOD lest,p2,1.89,2.43,17.0,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD would,p3,2.29,inf,8.0,5.33,8.0,inf,inf,8.0,inf,inf,inf
FUT ~ IMPV,p2,4.0,3.2,16.0,16.0,16.0,5.33,16.0,inf,inf,inf,inf
FUT ~ TO INF,p3,8.0,4.0,5.33,5.33,inf,8.0,8.0,inf,inf,inf,inf
MOD must,p3,3.0,5.0,15.0,7.5,15.0,15.0,15.0,inf,15.0,inf,inf
MOD may ~ MOD shall,p2,1.67,3.75,inf,inf,15.0,inf,inf,15.0,inf,inf,inf
PRES ~ PRES PART,p2,1.25,5.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PERF,p2,1.56,4.67,inf,inf,inf,7.0,inf,inf,inf,inf,inf
MOD shall ~ TO INF,p2,1.75,4.67,inf,4.67,inf,inf,inf,inf,inf,inf,inf
PAST ~ PRES PERF,p3,3.5,inf,3.5,14.0,inf,inf,inf,14.0,3.5,inf,inf
MOD let ~ MOD shall,p3,4.33,6.5,6.5,13.0,6.5,13.0,inf,13.0,13.0,inf,inf
PRES PERF,p1,1.3,13.0,inf,inf,inf,13.0,13.0,inf,inf,inf,inf
IMPV ~ MOD may,p2,1.86,2.6,inf,inf,inf,inf,13.0,inf,inf,inf,inf
MOD should ~ MOD would,p3,6.0,4.0,inf,4.0,inf,inf,6.0,12.0,12.0,inf,inf
MOD must,p2,2.0,4.0,inf,6.0,12.0,inf,inf,inf,inf,inf,inf
MOD shall ~ MOD should,p3,12.0,6.0,2.0,6.0,inf,inf,inf,12.0,inf,inf,inf
FUT ~ MOD would,p1,2.0,4.0,inf,12.0,12.0,inf,12.0,inf,inf,inf,inf
FUT ~ MOD may,p1,12.0,4.0,inf,inf,12.0,4.0,4.0,inf,inf,12.0,inf
FUT ~ MOD would,p2,1.33,12.0,inf,inf,inf,6.0,inf,inf,inf,inf,inf
PRES PART,p2,1.71,4.0,inf,inf,inf,6.0,inf,inf,inf,inf,inf
PAST ~ PRES PERF,p2,3.67,11.0,inf,inf,inf,1.57,inf,inf,inf,inf,inf
IMPV ~ MOD must,p2,1.57,5.5,inf,inf,11.0,inf,inf,inf,11.0,inf,inf
MOD shall ~ PAST,p3,2.75,inf,5.5,5.5,5.5,inf,inf,11.0,inf,inf,inf
HAB used to ~ PAST,p3,3.67,5.5,2.75,11.0,inf,inf,inf,11.0,inf,inf,inf
MOD let ~ PRES,p3,11.0,11.0,11.0,11.0,inf,3.67,11.0,inf,5.5,11.0,inf
MOD lest ~ MOD may,p3,1.83,11.0,11.0,inf,3.67,inf,inf,inf,inf,inf,inf
MOD would ~ PRES,p2,1.83,11.0,inf,11.0,inf,11.0,11.0,inf,11.0,inf,inf
MOD may,p1,2.75,3.67,inf,inf,inf,inf,3.67,11.0,inf,inf,inf
FUT ~ PRES PART,p3,2.0,5.0,10.0,10.0,inf,inf,inf,inf,inf,10.0,inf
PRES ~ PRES PROG,p3,3.33,inf,3.33,10.0,10.0,inf,inf,10.0,10.0,inf,inf
FUT ~ MOD lest,p1,1.11,10.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD can,p2,1.67,3.33,inf,inf,inf,inf,10.0,inf,inf,inf,inf
MOD must,p1,1.12,inf,inf,inf,inf,inf,9.0,inf,inf,inf,inf
MOD may ~ PRES,p2,1.5,3.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ TO INF,p3,1.8,inf,3.0,9.0,inf,inf,inf,inf,inf,inf,inf
PRES ~ TO INF,p2,1.29,inf,inf,inf,inf,4.5,inf,inf,inf,inf,inf
IMPV ~ MOD can,p3,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to,p3,2.25,inf,4.5,3.0,inf,inf,inf,inf,inf,inf,inf
MOD can ~ PRES,p1,1.8,3.0,9.0,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ PAST,p3,4.5,9.0,9.0,9.0,3.0,inf,inf,inf,inf,9.0,inf
MOD was to ~ PAST,p3,1.8,inf,3.0,inf,inf,inf,9.0,inf,inf,inf,inf
FUT ~ MOD should,p3,2.67,inf,8.0,4.0,4.0,inf,inf,inf,inf,inf,inf
PRES ~ PRES PERF,p1,2.0,inf,inf,8.0,inf,4.0,8.0,inf,inf,inf,inf
MOD must ~ PRES,p2,1.33,4.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ TO INF,p3,1.6,inf,4.0,inf,8.0,inf,inf,inf,inf,inf,inf
PAST ~ PRES PERF,p1,4.0,4.0,inf,inf,inf,8.0,2.67,inf,inf,inf,inf
FUT ~ MOD can,p1,2.0,2.67,inf,inf,8.0,inf,inf,inf,inf,inf,inf
MOD would ~ PRES,p3,1.33,inf,inf,8.0,8.0,inf,inf,inf,inf,inf,inf
IMPV ~ MOD let,p3,4.0,inf,inf,4.0,8.0,8.0,inf,8.0,8.0,inf,inf
MOD lest ~ PRES,p2,1.14,8.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD may,p2,1.6,4.0,inf,inf,8.0,inf,inf,inf,inf,inf,inf
MOD could,p1,2.0,4.0,inf,inf,inf,inf,4.0,inf,inf,inf,inf
MOD should,p2,1.75,3.5,inf,inf,inf,7.0,inf,inf,inf,inf,inf
MOD should ~ PRES,p1,2.33,7.0,inf,inf,7.0,inf,3.5,inf,inf,inf,inf
MOD might,p3,3.5,7.0,3.5,7.0,inf,inf,inf,inf,7.0,inf,inf
PAST ~ PAST PERF,p3,2.33,7.0,7.0,inf,3.5,inf,inf,inf,inf,inf,inf
FUT ~ MOD let,p3,2.33,inf,inf,inf,inf,7.0,inf,inf,3.5,7.0,inf
FUT ~ TO INF,p1,inf,1.75,inf,inf,7.0,3.5,inf,inf,inf,inf,inf
FUT ~ MOD let,p1,3.5,3.5,inf,inf,7.0,7.0,inf,inf,7.0,inf,inf
MOD may ~ TO INF,p3,6.0,6.0,6.0,inf,inf,inf,2.0,inf,inf,inf,inf
MOD must ~ PRES,p3,6.0,6.0,inf,3.0,inf,inf,inf,3.0,inf,inf,inf
PAST PERF,p3,inf,inf,3.0,inf,3.0,inf,inf,3.0,inf,inf,inf
MOD can ~ MOD may,p1,2.0,6.0,inf,inf,inf,inf,3.0,inf,inf,inf,inf
MOD shall ~ TO INF,p1,1.2,inf,inf,inf,inf,inf,6.0,inf,inf,inf,inf
MOD can ~ MOD shall,p2,2.0,3.0,inf,inf,6.0,inf,inf,inf,inf,inf,inf
MOD could ~ PAST,p3,5.0,2.5,5.0,inf,5.0,inf,inf,inf,inf,inf,inf
MOD should ~ MOD was to,p3,1.67,inf,5.0,inf,5.0,inf,inf,inf,inf,inf,inf
MOD lest,p3,2.5,inf,5.0,inf,inf,inf,2.5,inf,inf,inf,inf
MOD can ~ MOD could,p3,5.0,inf,5.0,5.0,5.0,inf,inf,5.0,inf,inf,inf
MOD should ~ TO INF,p2,1.25,5.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD might ~ MOD would,p3,2.5,inf,5.0,inf,5.0,inf,5.0,inf,inf,inf,inf
MOD may ~ MOD must,p3,1.67,inf,inf,inf,2.5,inf,inf,inf,inf,inf,inf
MOD may ~ MOD must,p2,2.5,1.67,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PART ~ TO INF,p3,2.5,2.5,inf,inf,inf,5.0,inf,inf,inf,inf,inf
FUT going-to ~ MOD shall,p2,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ PRES PART,p2,1.67,2.5,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD may,p3,1.67,inf,5.0,inf,5.0,inf,inf,inf,inf,inf,inf
MOD let,p1,5.0,1.67,inf,5.0,inf,inf,inf,inf,inf,inf,inf
MOD let ~ MOD must,p3,2.5,5.0,inf,inf,5.0,inf,inf,5.0,inf,inf,inf
MOD VB ~ MOD may,p3,inf,5.0,5.0,5.0,5.0,inf,inf,inf,5.0,inf,inf
MOD lest ~ PRES,p3,2.5,2.5,inf,inf,inf,inf,inf,5.0,inf,inf,inf
MOD can ~ MOD should,p3,2.5,inf,1.67,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES PROG,p2,1.67,inf,inf,5.0,5.0,inf,inf,inf,inf,inf,inf
MOD was to,p3,5.0,5.0,inf,5.0,2.5,inf,inf,inf,inf,inf,inf
PAST ~ PAST PROG,p3,2.5,5.0,inf,inf,2.5,inf,inf,inf,inf,inf,inf
MOD could ~ MOD might,p3,4.0,4.0,4.0,inf,inf,inf,inf,4.0,inf,inf,inf
IMPV,p3,2.0,4.0,inf,4.0,inf,inf,inf,inf,inf,inf,inf
FUT ~ TO INF,p2,1.33,inf,inf,4.0,inf,inf,inf,inf,inf,inf,inf
HAB used to,p3,2.0,inf,inf,inf,2.0,inf,inf,inf,inf,inf,inf
MOD let ~ MOD may,p3,4.0,inf,inf,4.0,4.0,inf,inf,inf,4.0,inf,inf
MOD let,p2,2.0,4.0,inf,inf,inf,4.0,inf,inf,inf,inf,inf
MOD could ~ MOD would,p3,2.0,4.0,inf,4.0,inf,inf,inf,inf,inf,inf,inf
IMPV ~ TO INF,p2,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ TO INF,p1,1.33,4.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD should,p2,1.33,4.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must ~ MOD shall,p1,2.0,4.0,inf,inf,inf,4.0,inf,inf,inf,inf,inf
MOD can ~ PAST,p3,inf,4.0,4.0,4.0,4.0,inf,inf,inf,inf,inf,inf
FUT ~ MOD must,p3,inf,inf,inf,4.0,2.0,4.0,inf,inf,inf,inf,inf
MOD must ~ PRES,p1,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
TO INF,p1,2.0,4.0,inf,inf,inf,inf,4.0,inf,inf,inf,inf
FUT ~ PAST,p1,4.0,2.0,inf,inf,inf,inf,4.0,inf,inf,inf,inf
MOD would ~ PRES,p1,1.33,4.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD VB ~ PRES,p3,2.0,inf,4.0,inf,4.0,inf,inf,inf,inf,inf,inf
FUT ~ IMPV,p3,inf,inf,inf,1.33,inf,4.0,inf,inf,inf,inf,inf
MOD might,p1,1.33,inf,inf,inf,inf,4.0,inf,inf,inf,inf,inf
MOD shall ~ MOD would,p3,2.0,inf,inf,4.0,inf,inf,inf,4.0,inf,inf,inf
MOD may ~ TO INF,p2,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD would ~ PAST,p1,3.0,3.0,inf,inf,inf,3.0,inf,inf,inf,inf,inf
MOD lest ~ TO INF,p2,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ PAST,p3,3.0,inf,1.5,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ PRES PART,p3,inf,1.5,inf,inf,inf,inf,3.0,inf,inf,inf,inf
?VB ~ PAST,p3,3.0,1.5,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD is to,p3,1.5,inf,inf,3.0,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD let,p2,1.5,3.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD lest,p3,inf,3.0,3.0,inf,3.0,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD might,p3,3.0,inf,1.5,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD might,p1,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PAST PERF,p1,1.5,inf,inf,3.0,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD may,p1,1.5,3.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES PART,p1,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST PROG,p3,inf,inf,3.0,inf,1.5,inf,inf,inf,inf,inf,inf
FUT ~ MOD must,p1,3.0,3.0,inf,3.0,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD might,p2,1.5,3.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ MOD must,p1,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ PRES PART,p2,3.0,inf,inf,3.0,3.0,inf,inf,inf,inf,inf,inf
MOD might ~ PAST,p1,3.0,inf,inf,inf,inf,inf,1.5,inf,inf,inf,inf
MOD can ~ PRES PART,p3,inf,inf,inf,inf,1.5,inf,inf,3.0,inf,inf,inf
MOD might ~ MOD should,p3,3.0,inf,3.0,inf,inf,inf,inf,3.0,inf,inf,inf
MOD shall ~ PRES PERF,p2,3.0,3.0,inf,inf,3.0,inf,inf,inf,inf,inf,inf
FUT ~ PRES PERF,p3,inf,inf,inf,1.5,inf,3.0,inf,inf,inf,inf,inf
PRES PERF ~ TO INF,p1,inf,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf
MOD might ~ TO INF,p3,3.0,inf,inf,3.0,3.0,inf,inf,inf,inf,inf,inf
FUT ~ PRES PROG,p1,1.5,inf,inf,inf,inf,3.0,inf,inf,inf,inf,inf
MOD may ~ PRES,p1,1.5,3.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD that be,p3,inf,3.0,inf,inf,inf,inf,inf,1.5,inf,inf,inf
IMPV ~ PAST,p2,3.0,3.0,inf,inf,inf,inf,3.0,inf,inf,inf,inf
MOD can ~ TO INF,p3,3.0,3.0,inf,3.0,inf,inf,inf,inf,inf,inf,inf
FUT ~ PRES PERF,p1,1.5,inf,inf,inf,inf,3.0,inf,inf,inf,inf,inf
MOD is to ~ MOD must,p3,2.0,inf,inf,2.0,inf,inf,inf,inf,inf,inf,inf
MOD can ~ TO INF,p1,2.0,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD is to,p2,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD let,p1,2.0,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ PRES PART,p2,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD must,p1,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ MOD should,p3,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ MOD would,p1,2.0,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD could,p1,2.0,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD should,p2,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ PRES PART,p2,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf
MOD may ~ PAST,p3,2.0,inf,2.0,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD can,p2,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ MOD might,p3,inf,2.0,inf,2.0,inf,inf,inf,inf,inf,inf,inf
MOD may ~ PRES PERF,p3,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ TO INF,p1,2.0,inf,inf,inf,inf,inf,2.0,inf,inf,inf,inf
MOD might ~ MOD should,p1,2.0,inf,inf,inf,inf,2.0,inf,inf,inf,inf,inf
FUT ~ PRES PART,p1,2.0,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PROG,p3,2.0,inf,inf,inf,2.0,inf,inf,inf,inf,inf,inf
MOD might ~ TO INF,p1,2.0,inf,inf,inf,inf,inf,2.0,inf,inf,inf,inf
FUT ~ PAST,p2,inf,2.0,inf,inf,inf,2.0,inf,inf,inf,inf,inf
MOD need not ~ PRES,p3,inf,inf,2.0,inf,inf,2.0,inf,inf,inf,inf,inf
MOD shall ~ MOD should,p2,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ MOD would,p1,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PART,p1,2.0,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ PAST,p2,2.0,inf,inf,inf,2.0,inf,inf,inf,inf,inf,inf
MOD shall ~ PRES PART,p2,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ TO INF,p1,inf,2.0,inf,inf,inf,2.0,inf,inf,inf,inf,inf
MOD should ~ PRES PERF,p2,2.0,inf,inf,inf,inf,inf,2.0,inf,inf,inf,inf
FUT ~ FUT going-to,p1,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PRES PART,p1,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD would ~ TO INF,p1,inf,inf,inf,2.0,2.0,inf,inf,inf,inf,inf,inf
MOD would ~ TO INF,p3,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ FUT going-to,p2,2.0,inf,inf,2.0,inf,inf,inf,inf,inf,inf,inf
PAST PERF ~ PRES,p3,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ PRES PART,p1,2.0,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD might ~ PAST,p3,inf,inf,inf,inf,inf,inf,2.0,inf,2.0,inf,inf
MOD lest ~ MOD would,p3,inf,2.0,2.0,inf,inf,inf,inf,inf,inf,inf,inf
FUT PROG ~ PRES,p2,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ TO INF,p3,inf,inf,inf,inf,2.0,inf,2.0,inf,inf,inf,inf
MOD lest ~ MOD should,p3,2.0,inf,2.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ PRES,p2,2.0,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ PRES,p1,inf,2.0,inf,inf,inf,2.0,inf,inf,inf,inf,inf
MOD lest ~ TO INF,p3,2.0,inf,2.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest,p2,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD may,p2,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD shall,p1,inf,2.0,2.0,inf,inf,inf,inf,inf,inf,inf,inf
HAB used to ~ PRES,p3,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ PRES,p1,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT PERF,p3,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ IMPV,p1,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD lest,p2,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD is to,p2,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
HAB used to ~ PAST,p1,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD,p3,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf
IMPV ~ PRES PERF,p3,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD is to,p3,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf
HAB used to ~ PRES PERF,p3,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf
IMPV ~ PAST,p3,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf
FUT ~ FUT PROG,p3,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf
HAB used to ~ MOD would,p1,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD should,p2,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT PROG ~ MOD shall,p3,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf
FUT going-to ~ MOD shall,p3,inf,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf
IMPV ~ MOD must,p3,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf
