,,xYq0,WxY0,xYqX,XYqt,WXYq,ZYq0,WYq0,WxYX,ZYqX,WYqX,CPen
MOD lest,p3,-0.0,0.0,0.36,0.0,0.0,0.0,1.98,0.0,0.0,0.0,0.0
MOD can ~ MOD could,p3,-0.18,0.0,0.36,0.38,0.41,0.0,0.0,0.86,0.0,0.0,0.0
MOD should ~ TO INF,p2,1.16,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD might ~ MOD would,p3,-0.0,0.0,0.36,0.0,0.41,0.0,0.81,0.0,0.0,0.0,0.0
MOD may ~ MOD must,p3,0.43,0.0,0.0,0.0,1.13,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ MOD must,p2,-0.0,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PART ~ TO INF,p3,-0.0,0.73,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0
FUT going-to ~ MOD shall,p2,2.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ PRES PART,p2,0.43,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD may,p3,0.43,0.0,0.36,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0
MOD let,p1,-0.18,1.48,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD must,p3,-0.0,0.23,0.0,0.0,0.41,0.0,0.0,0.86,0.0,0.0,0.0
MOD VB ~ MOD may,p3,-0.78,0.23,0.36,0.38,0.41,0.0,0.0,0.0,1.0,0.0,0.0
MOD lest ~ PRES,p3,-0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.86,0.0,0.0,0.0
MOD can ~ MOD should,p3,-0.0,0.0,1.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PROG,p2,0.43,0.0,0.0,0.38,0.41,0.0,0.0,0.0,0.0,0.0,0.0
MOD was to,p3,-0.18,0.23,0.0,0.38,1.13,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PAST PROG,p3,-0.0,0.23,0.0,0.0,1.13,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ MOD might,p3,0.0,0.29,0.44,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0
IMPV,p3,0.2,0.29,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ TO INF,p2,0.82,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
