eng_TAMsimp,person,xYq0,WxY0,xYqX,XYqt,WXYq,ZYq0,WYq0,ZYqX,WxYX,WYqX,CPen
FUT ~ MOD would,p1,1.33,3.67,inf,13.0,13.0,13.0,6.0,inf,inf,inf,inf
PRES PERF,p1,0.3,12.0,inf,inf,inf,12.0,12.0,inf,inf,inf,inf
IMPV ~ MOD may,p2,0.86,1.6,inf,inf,inf,inf,12.0,inf,inf,inf,inf
PRES PART,p2,0.71,3.0,inf,inf,inf,5.0,inf,inf,inf,inf,inf
IMPV ~ MOD must,p2,0.5,5.0,inf,inf,11.0,inf,inf,11.0,inf,inf,inf
MOD shall ~ MOD should,p3,11.0,5.0,1.0,5.0,inf,inf,inf,inf,11.0,inf,inf
MOD let ~ TO INF,p3,inf,inf,inf,inf,11.0,inf,0.2,11.0,inf,inf,inf
FUT ~ MOD let,p3,3.0,inf,11.0,inf,inf,5.0,11.0,5.0,inf,3.0,inf
IMPV ~ MOD let,p2,1.0,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must,p2,1.0,3.0,inf,5.0,11.0,inf,inf,inf,inf,inf,inf
FUT ~ MOD would,p2,0.33,11.0,inf,inf,inf,5.0,inf,inf,inf,inf,inf
MOD should ~ MOD would,p3,5.0,3.0,inf,3.0,inf,inf,5.0,11.0,11.0,inf,inf
MOD shall ~ PAST,p3,1.75,inf,4.5,4.5,4.5,inf,inf,inf,10.0,inf,inf
MOD must,p1,0.22,inf,inf,inf,inf,10.0,10.0,inf,inf,inf,inf
MOD lest ~ MOD may,p3,0.83,10.0,10.0,inf,2.67,inf,inf,inf,inf,inf,inf
MOD would ~ PRES,p2,0.83,10.0,inf,10.0,inf,10.0,10.0,10.0,inf,inf,inf
PAST ~ PRES PERF,p2,2.67,10.0,inf,inf,inf,0.57,inf,inf,inf,inf,inf
HAB used to ~ PAST,p3,2.67,4.5,1.75,10.0,inf,inf,inf,inf,10.0,inf,inf
