,,xYq0,WxY0,xYqX,XYqt,WXYq,ZYq0,WYq0,WxYX,ZYqX,WYqX,CPen
PAST ~ PRES PERF,p2,0.62,0.52,0.0,0.0,0.0,24.95,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD must,p2,2.91,1.15,0.0,0.0,0.96,0.0,0.0,0.0,4.77,0.0,0.0
MOD shall ~ PAST,p3,0.95,0.0,1.84,1.93,2.13,0.0,0.0,3.34,0.0,0.0,0.0
HAB used to ~ PAST,p3,0.62,1.15,4.73,0.87,0.0,0.0,0.0,3.34,0.0,0.0,0.0
MOD let ~ PRES,p3,0.17,0.52,0.83,0.87,0.0,5.32,2.9,0.0,10.64,16.54,0.0
MOD lest ~ MOD may,p3,2.0,0.52,0.83,0.0,3.59,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PRES,p2,2.0,0.52,0.0,0.87,0.0,1.41,2.9,0.0,4.77,0.0,0.0
MOD may,p1,0.95,1.94,0.0,0.0,0.0,0.0,10.94,3.34,0.0,0.0,0.0
FUT ~ PRES PART,p3,1.66,1.29,0.92,0.97,0.0,0.0,0.0,0.0,0.0,18.38,0.0
PRES ~ PRES PROG,p3,0.71,0.0,3.55,0.97,1.06,0.0,0.0,3.71,5.3,0.0,0.0
FUT ~ MOD lest,p1,15.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD can,p2,2.5,2.22,0.0,0.0,0.0,0.0,3.22,0.0,0.0,0.0,0.0
MOD must,p1,13.33,0.0,0.0,0.0,0.0,0.0,3.63,0.0,0.0,0.0,0.0
MOD may ~ PRES,p2,3.33,2.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ TO INF,p3,2.08,0.0,4.14,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ TO INF,p2,5.83,0.0,0.0,0.0,0.0,4.05,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD can,p3,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to,p3,1.33,0.0,2.36,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ PRES,p1,2.08,2.59,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PAST,p3,0.48,0.65,1.03,1.09,4.79,0.0,0.0,0.0,0.0,20.67,0.0
MOD was to ~ PAST,p3,2.08,0.0,4.14,0.0,0.0,0.0,3.63,0.0,0.0,0.0,0.0
FUT ~ MOD should,p3,1.0,0.0,1.18,2.9,3.19,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PERF,p1,1.66,0.0,0.0,1.24,0.0,4.72,4.15,0.0,0.0,0.0,0.0
MOD must ~ PRES,p2,5.0,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ TO INF,p3,2.77,0.0,2.76,0.0,1.37,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PRES PERF,p1,0.55,1.72,0.0,0.0,0.0,2.02,17.51,0.0,0.0,0.0,0.0
FUT ~ MOD can,p1,1.66,3.1,0.0,0.0,1.37,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PRES,p3,5.0,0.0,0.0,1.24,1.37,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD let,p3,0.55,0.0,0.0,2.9,1.37,2.02,0.0,4.78,6.81,0.0,0.0
MOD lest ~ PRES,p2,11.66,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD may,p2,2.77,1.72,0.0,0.0,1.37,0.0,0.0,0.0,0.0,0.0,0.0
MOD could,p1,1.66,1.72,0.0,0.0,0.0,0.0,9.7,0.0,0.0,0.0,0.0
MOD should,p2,2.22,2.07,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0
MOD should ~ PRES,p1,1.25,0.86,0.0,0.0,1.59,0.0,11.64,0.0,0.0,0.0,0.0
MOD might,p3,0.67,0.86,3.31,1.45,0.0,0.0,0.0,0.0,7.95,0.0,0.0
PAST ~ PAST PERF,p3,1.25,0.86,1.38,0.0,3.83,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD let,p3,1.25,0.0,0.0,0.0,0.0,2.36,0.0,0.0,19.16,27.57,0.0
FUT ~ TO INF,p1,0.0,6.9,0.0,0.0,1.59,5.67,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD let,p1,0.67,2.07,0.0,0.0,1.59,2.36,0.0,0.0,7.95,0.0,0.0
MOD may ~ TO INF,p3,0.33,1.03,1.65,0.0,0.0,0.0,29.18,0.0,0.0,0.0,0.0
MOD must ~ PRES,p3,0.33,1.03,0.0,4.35,0.0,0.0,0.0,16.77,0.0,0.0,0.0
PAST PERF,p3,0.0,0.0,4.13,0.0,4.79,0.0,0.0,16.77,0.0,0.0,0.0
MOD can ~ MOD may,p1,1.66,1.03,0.0,0.0,0.0,0.0,14.55,0.0,0.0,0.0,0.0
MOD shall ~ TO INF,p1,8.33,0.0,0.0,0.0,0.0,0.0,5.81,0.0,0.0,0.0,0.0
MOD can ~ MOD shall,p2,1.66,2.59,0.0,0.0,1.91,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ PAST,p3,0.42,3.45,2.07,0.0,2.39,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ MOD was to,p3,2.5,0.0,2.07,0.0,2.39,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest,p3,1.11,0.0,2.07,0.0,0.0,0.0,19.41,0.0,0.0,0.0,0.0
MOD can ~ MOD could,p3,0.42,0.0,2.07,2.17,2.39,0.0,0.0,8.36,0.0,0.0,0.0
MOD should ~ TO INF,p2,6.66,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD might ~ MOD would,p3,1.11,0.0,2.07,0.0,2.39,0.0,7.26,0.0,0.0,0.0,0.0
MOD may ~ MOD must,p3,2.5,0.0,0.0,0.0,6.38,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ MOD must,p2,1.11,7.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PART ~ TO INF,p3,1.11,3.45,0.0,0.0,0.0,3.54,0.0,0.0,0.0,0.0,0.0
FUT going-to ~ MOD shall,p2,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ PRES PART,p2,2.5,3.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD may,p3,2.5,0.0,2.07,0.0,2.39,0.0,0.0,0.0,0.0,0.0,0.0
MOD let,p1,0.42,7.76,0.0,2.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD must,p3,1.11,1.29,0.0,0.0,2.39,0.0,0.0,8.36,0.0,0.0,0.0
MOD VB ~ MOD may,p3,0.0,1.29,2.07,2.17,2.39,0.0,0.0,0.0,11.93,0.0,0.0
MOD lest ~ PRES,p3,1.11,3.45,0.0,0.0,0.0,0.0,0.0,8.36,0.0,0.0,0.0
MOD can ~ MOD should,p3,1.11,0.0,12.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PROG,p2,2.5,0.0,0.0,2.17,2.39,0.0,0.0,0.0,0.0,0.0,0.0
MOD was to,p3,0.42,1.29,0.0,2.17,6.38,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PAST PROG,p3,1.11,1.29,0.0,0.0,6.38,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ MOD might,p3,0.55,1.72,2.75,0.0,0.0,0.0,0.0,11.15,0.0,0.0,0.0
IMPV,p3,1.66,1.72,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ TO INF,p2,4.99,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAB used to,p3,1.66,0.0,0.0,0.0,9.58,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD may,p3,0.55,0.0,0.0,2.9,3.19,0.0,0.0,0.0,15.91,0.0,0.0
MOD let,p2,1.66,1.72,0.0,0.0,0.0,4.72,0.0,0.0,0.0,0.0,0.0
MOD could ~ MOD would,p3,1.66,1.72,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ TO INF,p2,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ TO INF,p1,4.99,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD should,p2,4.99,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ MOD shall,p1,1.66,1.72,0.0,0.0,0.0,4.72,0.0,0.0,0.0,0.0,0.0
MOD can ~ PAST,p3,0.0,1.72,2.75,2.9,3.19,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD must,p3,0.0,0.0,0.0,2.9,9.58,4.72,0.0,0.0,0.0,0.0,0.0
MOD must ~ PRES,p1,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO INF,p1,1.66,1.72,0.0,0.0,0.0,0.0,9.68,0.0,0.0,0.0,0.0
FUT ~ PAST,p1,0.55,5.17,0.0,0.0,0.0,0.0,9.68,0.0,0.0,0.0,0.0
MOD would ~ PRES,p1,4.99,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD VB ~ PRES,p3,1.66,0.0,2.75,0.0,3.19,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ IMPV,p3,0.0,0.0,0.0,26.14,0.0,4.72,0.0,0.0,0.0,0.0,0.0
MOD might,p1,4.99,0.0,0.0,0.0,0.0,4.72,0.0,0.0,0.0,0.0,0.0
MOD shall ~ MOD would,p3,1.66,0.0,0.0,2.9,0.0,0.0,0.0,11.15,0.0,0.0,0.0
MOD may ~ TO INF,p2,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PAST,p1,0.83,2.58,0.0,0.0,0.0,7.08,0.0,0.0,0.0,0.0,0.0
MOD lest ~ TO INF,p2,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ PAST,p3,0.83,0.0,16.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ PRES PART,p3,0.0,10.34,0.0,0.0,0.0,0.0,14.52,0.0,0.0,0.0,0.0
?VB ~ PAST,p3,0.83,10.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD is to,p3,3.33,0.0,0.0,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD let,p2,3.33,2.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD lest,p3,0.0,2.58,4.13,0.0,4.78,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ MOD might,p3,0.83,0.0,16.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ MOD might,p1,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PAST PERF,p1,3.33,0.0,0.0,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ MOD may,p1,3.33,2.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PART,p1,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PROG,p3,0.0,0.0,4.13,0.0,19.16,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD must,p1,0.83,2.58,0.0,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD might,p2,3.33,2.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ MOD must,p1,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES PART,p2,0.83,0.0,0.0,4.35,4.78,0.0,0.0,0.0,0.0,0.0,0.0
MOD might ~ PAST,p1,0.83,0.0,0.0,0.0,0.0,0.0,58.23,0.0,0.0,0.0,0.0
MOD can ~ PRES PART,p3,0.0,0.0,0.0,0.0,19.16,0.0,0.0,16.72,0.0,0.0,0.0
MOD might ~ MOD should,p3,0.83,0.0,4.13,0.0,0.0,0.0,0.0,16.72,0.0,0.0,0.0
MOD shall ~ PRES PERF,p2,0.83,2.58,0.0,0.0,4.78,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES PERF,p3,0.0,0.0,0.0,17.41,0.0,7.08,0.0,0.0,0.0,0.0,0.0
PRES PERF ~ TO INF,p1,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
MOD might ~ TO INF,p3,0.83,0.0,0.0,4.35,4.78,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES PROG,p1,3.33,0.0,0.0,0.0,0.0,7.08,0.0,0.0,0.0,0.0,0.0
