eng_TAMsimp,SBH,LBH
MOD shall ~ MOD would,0.09,-0.09
MOD shall ~ PRES PERF,0.09,-0.09
IMPV ~ MOD is to,-0.24,0.24
MOD can ~ MOD might,0.09,-0.09
FUT ~ MOD should,0.09,-0.09
MOD might ~ MOD should,-0.24,0.24
FUT ~ MOD is to,-0.24,0.24
PAST ~ PAST PROG,0.09,-0.09
PAST PROG,-0.24,0.24
FUT ~ MOD that be,0.09,-0.09
MOD could ~ PAST,0.09,-0.09
FUT ~ PRES PART,-0.24,0.24
MOD lest ~ MOD would,0.09,-0.09
FUT ~ PRES PERF,0.09,-0.09
MOD should ~ PRES PERF,0.09,-0.09
FUT ~ PRES PROG,0.09,-0.09
IMPV ~ TO INF,0.09,-0.09
FUT ~ MOD must,0.09,-0.09
PAST PERF ~ PRES,0.09,-0.09
IMPV ~ MOD can,0.09,-0.09
FUT PROG ~ PRES,0.09,-0.09
MOD could ~ MOD should,-0.41,0.41
?VB ~ PAST,0.09,-0.09
MOD could ~ MOD would,0.09,-0.09
MOD may ~ PRES PART,-0.41,0.41
MOD lest ~ MOD should,0.09,-0.09
MOD let ~ TO INF,0.09,-0.09
MOD is to ~ PRES PART,-0.41,0.41
MOD let ~ MOD may,0.09,-0.09
MOD let ~ PRES,-0.41,0.41
MOD lest ~ MOD shall,0.09,-0.09
FUT ~ PRES shall,0.09,-0.09
MOD lest ~ MOD that be,0.09,-0.09
MOD might ~ MOD would,0.09,-0.09
MOD was to ~ PRES,0.09,-0.09
MOD would ~ PRES PART,0.09,-0.09
MOD would ~ TO INF,-0.91,0.91
MOD may ~ PRES PERF,0.09,-0.09
MOD ~ PRES,0.09,-0.09
MOD let ~ MOD should,0.09,-0.09
MOD might ~ TO INF,-0.91,0.91
MOD let ~ PAST,0.09,-0.09
MOD let ~ PRES PART,0.09,-0.09
PRES PART ~ PRES PERF,0.09,-0.09
FUT ~ MOD,0.09,-0.09
PRES PART ~ PRES PROG,0.09,-0.09
PRES ~ PRES can,0.09,-0.09
FUT going-to ~ MOD lest,0.09,-0.09
MOD may ~ PAST,0.09,-0.09
FUT PROG ~ MOD shall,0.09,-0.09
FUT PERF ~ PRES,-0.91,0.91
PRES ~ PRES shall,0.09,-0.09
MOD lest ~ MOD must,0.09,-0.09
HAB used to ~ PRES,0.09,-0.09
MOD could ~ MOD shall,0.09,-0.09
MOD that be ~ TO INF,0.09,-0.09
MOD could ~ PAST PERF,0.09,-0.09
MOD must ~ TO INF,0.09,-0.09
MOD can ~ TO INF,0.09,-0.09
MOD can ~ PRES PART,0.09,-0.09
MOD need not ~ MOD shall,0.09,-0.09
MOD can ~ PAST,0.09,-0.09
MOD could ~ PRES PERF,0.09,-0.09
MOD need not ~ PRES,0.09,-0.09
MOD can ~ MOD must,0.09,-0.09
MOD may ~ MOD might,0.09,-0.09
MOD quest must ~ MOD shall,0.09,-0.09
MOD could ~ TO INF,0.09,-0.09
MOD can ~ MOD lest,0.09,-0.09
MOD must ~ PRES shall,0.09,-0.09
MOD must ~ PRES PART,0.09,-0.09
MOD VB ~ MOD may,0.09,-0.09
MOD must ~ MOD should,0.09,-0.09
MOD is to ~ MOD should,0.09,-0.09
MOD is to ~ PRES,0.09,-0.09
IMPV ~ MOD need not,0.09,-0.09
MOD should ~ PAST,0.09,-0.09
MOD should ~ PRES PART,-0.91,0.91
MOD is to ~ PRES PROG,0.09,-0.09
MOD is to ~ TO INF,0.09,-0.09
MOD lest ~ MOD let,0.09,-0.09
MOD may ~ MOD would,0.09,-0.09
