bhsa_node,lxx,lxx_tense,lxx_voice,lxx_mood,lxx_person,lxx_number,lxx_verse,lxx_tm
134889,παρελεύσομαι,future,middle,indc,1,sg,JDG_A 11:19,future indc
135304,πορεύσομαι,future,middle,indc,1,sg,JDG_A 11:37,future indc
135511,διαβῶμεν,aorist,active,subj,1,pl,JDG_A 12:5,aorist subj
136029,βιασώμεθα,aorist,middle,indc,1,pl,JDG_A 13:15,aorist indc
136488,προβαλῶ,future,active,indc,1,sg,JDG_A 14:12,future indc
136756,εἰσελεύσομαι,future,middle,indc,1,sg,JDG_A 15:1,future indc
137900,ἐκδικήσω,future,active,indc,1,sg,JDG_A 16:28,future indc
138431,γνωσόμεθα,future,middle,indc,1,pl,JDG_A 18:5,future indc
139367,ἐκκλίνωμεν,present,active,subj,1,pl,JDG_A 19:11,present subj
139402,εἰσέλθωμεν,aorist,active,subj,1,pl,JDG_A 19:13,aorist subj
139690,ἐξάξω,future,active,indc,1,sg,JDG_A 19:24,future indc
139809,ἀπέλθωμεν,aorist,active,subj,1,pl,JDG_A 19:28,aorist subj
140155,ἐξαροῦμεν,future,active,indc,1,pl,JDG_A 20:13,future indc
140622,φύγωμεν,aorist,active,subj,1,pl,JDG_A 20:32,aorist subj
143345,λάβωμεν,aorist,active,subj,1,pl,1SA 4:3,aorist subj
145604,ἀναστρέψωμεν,aorist,active,subj,1,pl,1SA 9:5,aorist subj
145636,πορευθῶμεν,aorist,passsive,subj,1,pl,1SA 9:6,aorist subj
145720,πορευθῶμεν,aorist,passsive,subj,1,pl,1SA 9:9,aorist subj
145743,πορευθῶμεν,aorist,passsive,subj,1,pl,1SA 9:10,aorist subj
146896,ἀποστελοῦμεν,future,active,indc,1,pl,1SA 11:3,future indc
147168,πορευθῶμεν,present,active,subj,1,pl,1SA 11:14,present subj
147358,δικάσω,future,active,indc,1,sg,1SA 12:7,future indc
148325,διαβῶμεν,aorist,active,subj,1,pl,1SA 14:1,aorist subj
148450,διαβῶμεν,aorist,active,subj,1,pl,1SA 14:6,aorist subj
148568,γνωριοῦμεν,future,active,indc,1,pl,1SA 14:12,future indc
149153,καταβῶμεν,aorist,active,subj,1,pl,1SA 14:36,aorist subj
