bhsa_node,ref,book,book_super,canon_part,period,genre,domain2,text_full,text_plain,lex,lex_etcbc,gloss,verb_form,stem,person,gender,number,valence,clause_atom,clause,verse,sentence,txt_type,clause_type,cltype_simp,clause_rela,cl_args,is_question,prec_lexes,prec_pos,prec_part,ref_sbl,ref_abbr,has_objc,objc_pos,has_loca,loca_type,loca_heads,has_time
8162,Genesis 18:21,Genesis,Genesis,Law,SBH,prose,Q,אֵֽרֲדָה,ארדה,ירד,JRD[,descend,cohoF,qal,p1,unknown,sg,--,אֵֽרֲדָה־נָּ֣א ,אֵֽרֲדָה־נָּ֣א ,אֵֽרֲדָה־נָּ֣א וְאֶרְאֶ֔ה הַכְּצַעֲקָתָ֛הּ הַבָּ֥אָה אֵלַ֖י עָשׂ֣וּ׀ כָּלָ֑ה וְאִם־לֹ֖א אֵדָֽעָה׃ ,אֵֽרֲדָה־נָּ֣א ,NQ,ZYq0,Ø,Main,V,0,Ø,Ø,Ø,Gen 18:21,Gen. 18:21,0,,0,,,0
8177,Genesis 18:21,Genesis,Genesis,Law,SBH,prose,Q,אֵדָֽעָה,אדעה,ידע,JD<[,know,cohoF,qal,p1,unknown,sg,--,אֵדָֽעָה׃ ,אֵדָֽעָה׃ ,אֵֽרֲדָה־נָּ֣א וְאֶרְאֶ֔ה הַכְּצַעֲקָתָ֛הּ הַבָּ֥אָה אֵלַ֖י עָשׂ֣וּ׀ כָּלָ֑ה וְאִם־לֹ֖א אֵדָֽעָה׃ ,אֵדָֽעָה׃ ,NQ,ZYq0,Ø,Main,V,0,Ø,Ø,Ø,Gen 18:21,Gen. 18:21,0,,0,,,0
8351,Genesis 18:30,Genesis,Genesis,Law,SBH,prose,Q,אֲדַבֵּ֔רָה,אדברה,דבר,DBR[,speak,cohoF,piel,p1,unknown,sg,,וַאֲדַבֵּ֔רָה ,וַאֲדַבֵּ֔רָה ,וַ֠יֹּאמֶר אַל־נָ֞א יִ֤חַר לַֽאדֹנָי֙ וַאֲדַבֵּ֔רָה אוּלַ֛י יִמָּצְא֥וּן שָׁ֖ם שְׁלֹשִׁ֑ים וַיֹּ֨אמֶר֙ לֹ֣א אֶֽעֱשֶׂ֔ה אִם־אֶמְצָ֥א שָׁ֖ם שְׁלֹשִֽׁים׃ ,וַאֲדַבֵּ֔רָה ,NQ,WYq0,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 18:30,Gen. 18:30,0,,0,,,0
8393,Genesis 18:32,Genesis,Genesis,Law,SBH,prose,Q,אֲדַבְּרָ֣ה,אדברה,דבר,DBR[,speak,cohoF,piel,p1,unknown,sg,,וַאֲדַבְּרָ֣ה אַךְ־הַפַּ֔עַם ,וַאֲדַבְּרָ֣ה אַךְ־הַפַּ֔עַם ,וַ֠יֹּאמֶר אַל־נָ֞א יִ֤חַר לַֽאדֹנָי֙ וַאֲדַבְּרָ֣ה אַךְ־הַפַּ֔עַם אוּלַ֛י יִמָּצְא֥וּן שָׁ֖ם עֲשָׂרָ֑ה וַיֹּ֨אמֶר֙ לֹ֣א אַשְׁחִ֔ית בַּעֲב֖וּר הָעֲשָׂרָֽה׃ ,וַאֲדַבְּרָ֣ה אַךְ־הַפַּ֔עַם ,NQ,WYq0,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 18:32,Gen. 18:32,0,,0,,,0
8539,Genesis 19:5,Genesis,Genesis,Law,SBH,prose,Q,נֵדְעָ֖ה,נדעה,ידע,JD<[,know,cohoF,qal,p1,unknown,pl,d-,וְנֵדְעָ֖ה אֹתָֽם׃ ,וְנֵדְעָ֖ה אֹתָֽם׃ ,וַיִּקְרְא֤וּ אֶל־לֹוט֙ וַיֹּ֣אמְרוּ לֹ֔ו אַיֵּ֧ה הָאֲנָשִׁ֛ים אֲשֶׁר־בָּ֥אוּ אֵלֶ֖יךָ הַלָּ֑יְלָה הֹוצִיאֵ֣ם אֵלֵ֔ינוּ וְנֵדְעָ֖ה אֹתָֽם׃ ,וְנֵדְעָ֖ה אֹתָֽם׃ ,NDNQ,WYq0,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 19:5,Gen. 19:5,1,VO,0,,,0
8567,Genesis 19:8,Genesis,Genesis,Law,SBH,prose,Q,אֹוצִֽיאָה,אוציאה,יצא,JY>[,go out,cohoF,hif,p1,unknown,sg,,אֹוצִֽיאָה־נָּ֤א אֶתְהֶן֙ אֲלֵיכֶ֔ם ,אֹוצִֽיאָה־נָּ֤א אֶתְהֶן֙ אֲלֵיכֶ֔ם ,הִנֵּה־נָ֨א לִ֜י שְׁתֵּ֣י בָנֹ֗ות אֲשֶׁ֤ר לֹֽא־יָדְעוּ֙ אִ֔ישׁ אֹוצִֽיאָה־נָּ֤א אֶתְהֶן֙ אֲלֵיכֶ֔ם וַעֲשׂ֣וּ לָהֶ֔ן כַּטֹּ֖וב בְּעֵינֵיכֶ֑ם רַ֠ק לָֽאֲנָשִׁ֤ים הָאֵל֙ אַל־תַּעֲשׂ֣וּ דָבָ֔ר כִּֽי־עַל־כֵּ֥ן בָּ֖אוּ בְּצֵ֥ל קֹרָתִֽי׃ ,אֹוצִֽיאָה־נָּ֤א אֶתְהֶן֙ אֲלֵיכֶ֔ם ,NDNQ,ZYq0,Ø,Main,V,0,Ø,Ø,Ø,Gen 19:8,Gen. 19:8,1,VO,0,,,0
8881,Genesis 19:20,Genesis,Genesis,Law,SBH,prose,Q,אִמָּלְטָ֨ה,אמלטה,מלט,MLV[,escape,cohoF,nif,p1,unknown,sg,,אִמָּלְטָ֨ה נָּ֜א שָׁ֗מָּה ,אִמָּלְטָ֨ה נָּ֜א שָׁ֗מָּה ,הִנֵּה־נָ֠א הָעִ֨יר הַזֹּ֧את קְרֹבָ֛ה לָנ֥וּס שָׁ֖מָּה וְהִ֣יא מִצְעָ֑ר אִמָּלְטָ֨ה נָּ֜א שָׁ֗מָּה הֲלֹ֥א מִצְעָ֛ר הִ֖וא וּתְחִ֥י נַפְשִֽׁי׃ ,אִמָּלְטָ֨ה נָּ֜א שָׁ֗מָּה ,NQ,ZYq0,Ø,Main,V,0,Ø,Ø,Ø,Gen 19:20,Gen. 19:20,0,,0,,,0
9118,Genesis 19:32,Genesis,Genesis,Law,SBH,prose,Q,נִשְׁכְּבָ֣ה,נשׁכבה,שׁכב,CKB[,lie down,cohoF,qal,p1,unknown,pl,-c,וְנִשְׁכְּבָ֣ה עִמֹּ֑ו ,וְנִשְׁכְּבָ֣ה עִמֹּ֑ו ,לְכָ֨ה נַשְׁקֶ֧ה אֶת־אָבִ֛ינוּ יַ֖יִן וְנִשְׁכְּבָ֣ה עִמֹּ֑ו וּנְחַיֶּ֥ה מֵאָבִ֖ינוּ זָֽרַע׃ ,וְנִשְׁכְּבָ֣ה עִמֹּ֑ו ,NQ,WYq0,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 19:32,Gen. 19:32,0,,0,,,0
10795,Genesis 23:4,Genesis,Genesis,Law,SBH,prose,Q,אֶקְבְּרָ֥ה,אקברה,קבר,QBR[,bury,cohoF,qal,p1,unknown,sg,dc,וְאֶקְבְּרָ֥ה מֵתִ֖י מִלְּפָנָֽי׃ ,וְאֶקְבְּרָ֥ה מֵתִ֖י מִלְּפָנָֽי׃ ,גֵּר־וְתֹושָׁ֥ב אָנֹכִ֖י עִמָּכֶ֑ם תְּנ֨וּ לִ֤י אֲחֻזַּת־קֶ֨בֶר֙ עִמָּכֶ֔ם וְאֶקְבְּרָ֥ה מֵתִ֖י מִלְּפָנָֽי׃ ,וְאֶקְבְּרָ֥ה מֵתִ֖י מִלְּפָנָֽי׃ ,NQ,WYq0,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 23:4,Gen. 23:4,1,VO,0,,,0
10969,Genesis 23:13,Genesis,Genesis,Law,SBH,prose,Q,אֶקְבְּרָ֥ה,אקברה,קבר,QBR[,bury,cohoF,qal,p1,unknown,sg,dp,וְאֶקְבְּרָ֥ה אֶת־מֵתִ֖י שָֽׁמָּה׃ ,וְאֶקְבְּרָ֥ה אֶת־מֵתִ֖י שָֽׁמָּה׃ ,וַיְדַבֵּ֨ר אֶל־עֶפְרֹ֜ון בְּאָזְנֵ֤י עַם־הָאָ֨רֶץ֙ לֵאמֹ֔ר אַ֛ךְ אִם־אַתָּ֥ה ל֖וּ שְׁמָעֵ֑נִי נָתַ֜תִּי כֶּ֤סֶף הַשָּׂדֶה֙ קַ֣ח מִמֶּ֔נִּי וְאֶקְבְּרָ֥ה אֶת־מֵתִ֖י שָֽׁמָּה׃ ,וְאֶקְבְּרָ֥ה אֶת־מֵתִ֖י שָֽׁמָּה׃ ,NQ,WYq0,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 23:13,Gen. 23:13,1,VO,0,,,0
12225,Genesis 24:56,Genesis,Genesis,Law,SBH,prose,Q,אֵלְכָ֖ה,אלכה,הלך,HLK[,walk,cohoF,qal,p1,unknown,sg,--,וְאֵלְכָ֖ה לַֽאדֹנִֽי׃ ,וְאֵלְכָ֖ה לַֽאדֹנִֽי׃ ,וַיֹּ֤אמֶר אֲלֵהֶם֙ אַל־תְּאַחֲר֣וּ אֹתִ֔י וַֽיהוָ֖ה הִצְלִ֣יחַ דַּרְכִּ֑י שַׁלְּח֕וּנִי וְאֵלְכָ֖ה לַֽאדֹנִֽי׃ ,וְאֵלְכָ֖ה לַֽאדֹנִֽי׃ ,?NQ,WYq0,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 24:56,Gen. 24:56,0,,0,,,0
12235,Genesis 24:57,Genesis,Genesis,Law,SBH,prose,Q,נִשְׁאֲלָ֖ה,נשׁאלה,שׁאל,C>L[,ask,cohoF,qal,p1,unknown,pl,d-,וְנִשְׁאֲלָ֖ה אֶת־פִּֽיהָ׃ ,וְנִשְׁאֲלָ֖ה אֶת־פִּֽיהָ׃ ,וַיֹּאמְר֖וּ נִקְרָ֣א לַֽנַּעֲרָ֑ וְנִשְׁאֲלָ֖ה אֶת־פִּֽיהָ׃ ,וְנִשְׁאֲלָ֖ה אֶת־פִּֽיהָ׃ ,?NQ,WYq0,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 24:57,Gen. 24:57,1,VO,0,,,0
13510,Genesis 26:28,Genesis,Genesis,Law,SBH,prose,Q,נִכְרְתָ֥ה,נכרתה,כרת,KRT[,cut,cohoF,qal,p1,unknown,pl,dc,וְנִכְרְתָ֥ה בְרִ֖ית עִמָּֽךְ׃ ,וְנִכְרְתָ֥ה בְרִ֖ית עִמָּֽךְ׃ ,וַיֹּאמְר֗וּ רָאֹ֣ו רָאִינוּ֮ כִּֽי־הָיָ֣ה יְהוָ֣ה׀ עִמָּךְ֒ וַנֹּ֗אמֶר תְּהִ֨י נָ֥א אָלָ֛ה בֵּינֹותֵ֖ינוּ בֵּינֵ֣ינוּ וּבֵינֶ֑ךָ וְנִכְרְתָ֥ה בְרִ֖ית עִמָּֽךְ׃ ,וְנִכְרְתָ֥ה בְרִ֖ית עִמָּֽךְ׃ ,NQNQ,WYq0,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 26:28,Gen. 26:28,1,VO,0,,,0
13696,Genesis 27:4,Genesis,Genesis,Law,SBH,prose,Q,אֹכֵ֑לָה,אכלה,אכל,>KL[,eat,cohoF,qal,p1,unknown,sg,--,וְאֹכֵ֑לָה ,וְאֹכֵ֑לָה ,וַעֲשֵׂה־לִ֨י מַטְעַמִּ֜ים כַּאֲשֶׁ֥ר אָהַ֛בְתִּי וְהָבִ֥יאָה לִּ֖י וְאֹכֵ֑לָה בַּעֲב֛וּר תְּבָרֶכְךָ֥ נַפְשִׁ֖י בְּטֶ֥רֶם אָמֽוּת׃ ,וְאֹכֵ֑לָה ,NQ,WYq0,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 27:4,Gen. 27:4,0,,0,,,0
13749,Genesis 27:7,Genesis,Genesis,Law,SBH,prose,Q,אֹכֵ֑לָה,אכלה,אכל,>KL[,eat,cohoF,qal,p1,unknown,sg,--,וְאֹכֵ֑לָה ,וְאֹכֵ֑לָה ,הָבִ֨יאָה לִּ֥י צַ֛יִד וַעֲשֵׂה־לִ֥י מַטְעַמִּ֖ים וְאֹכֵ֑לָה וַאֲבָרֶכְכָ֛ה לִפְנֵ֥י יְהוָ֖ה לִפְנֵ֥י מֹותִֽי׃ ,וְאֹכֵ֑לָה ,NQQ,WYq0,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 27:7,Gen. 27:7,0,,0,,,0
14037,Genesis 27:25,Genesis,Genesis,Law,SBH,prose,Q,אֹֽכְלָה֙,אכלה,אכל,>KL[,eat,cohoF,qal,p1,unknown,sg,-c,וְאֹֽכְלָה֙ מִצֵּ֣יד בְּנִ֔י ,וְאֹֽכְלָה֙ מִצֵּ֣יד בְּנִ֔י ,וַיֹּ֗אמֶר הַגִּ֤שָׁה לִּי֙ וְאֹֽכְלָה֙ מִצֵּ֣יד בְּנִ֔י לְמַ֥עַן תְּבָֽרֶכְךָ֖ נַפְשִׁ֑י וַיַּגֶּשׁ־לֹו֙ וַיֹּאכַ֔ל וַיָּ֧בֵא לֹ֦ו יַ֖יִן וַיֵּֽשְׁתְּ׃ ,וְאֹֽכְלָה֙ מִצֵּ֣יד בְּנִ֔י ,NQ,WYq0,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 27:25,Gen. 27:25,0,,0,,,0
14391,Genesis 27:41,Genesis,Genesis,Law,SBH,prose,Q,אַֽהַרְגָ֖ה,אהרגה,הרג,HRG[,kill,cohoF,qal,p1,unknown,sg,d-,וְאַֽהַרְגָ֖ה אֶת־יַעֲקֹ֥ב אָחִֽי׃ ,וְאַֽהַרְגָ֖ה אֶת־יַעֲקֹ֥ב אָחִֽי׃ ,וַיִּשְׂטֹ֤ם עֵשָׂו֙ אֶֽת־יַעֲקֹ֔ב עַל־הַ֨בְּרָכָ֔ה אֲשֶׁ֥ר בֵּרֲכֹ֖ו אָבִ֑יו וַיֹּ֨אמֶר עֵשָׂ֜ו בְּלִבֹּ֗ו יִקְרְבוּ֙ יְמֵי֙ אֵ֣בֶל אָבִ֔י וְאַֽהַרְגָ֖ה אֶת־יַעֲקֹ֥ב אָחִֽי׃ ,וְאַֽהַרְגָ֖ה אֶת־יַעֲקֹ֥ב אָחִֽי׃ ,NQ,WYq0,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 27:41,Gen. 27:41,1,VO,0,,,0
15340,Genesis 29:21,Genesis,Genesis,Law,SBH,prose,Q,אָבֹ֖ואָה,אבואה,בוא,BW>[,come,cohoF,qal,p1,unknown,sg,-i,וְאָבֹ֖ואָה אֵלֶֽיהָ׃ ,וְאָבֹ֖ואָה אֵלֶֽיהָ׃ ,וַיֹּ֨אמֶר יַעֲקֹ֤ב אֶל־לָבָן֙ הָבָ֣ה אֶת־אִשְׁתִּ֔י כִּ֥י מָלְא֖וּ יָמָ֑י וְאָבֹ֖ואָה אֵלֶֽיהָ׃ ,וְאָבֹ֖ואָה אֵלֶֽיהָ׃ ,NQ,WYq0,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 29:21,Gen. 29:21,0,,0,,,0
15427,Genesis 29:27,Genesis,Genesis,Law,SBH,prose,Q,נִתְּנָ֨ה,נתנה,נתן,NTN[,give,cohoF,qal,p1,unknown,pl,di,וְנִתְּנָ֨ה לְךָ֜ גַּם־אֶת־זֹ֗את בַּעֲבֹדָה֙ ,וְנִתְּנָ֨ה לְךָ֜ גַּם־אֶת־זֹ֗את בַּעֲבֹדָה֙ ,מַלֵּ֖א שְׁבֻ֣עַ זֹ֑את וְנִתְּנָ֨ה לְךָ֜ גַּם־אֶת־זֹ֗את בַּעֲבֹדָה֙ אֲשֶׁ֣ר תַּעֲבֹ֣ד עִמָּדִ֔י עֹ֖וד שֶֽׁבַע־שָׁנִ֥ים אֲחֵרֹֽות׃ ,וְנִתְּנָ֨ה לְךָ֜ גַּם־אֶת־זֹ֗את בַּעֲבֹדָה֙ אֲשֶׁ֣ר תַּעֲבֹ֣ד עִמָּדִ֔י עֹ֖וד שֶֽׁבַע־שָׁנִ֥ים אֲחֵרֹֽות׃ ,NQ,WYq0,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 29:27,Gen. 29:27,1,VO,0,,,0
15982,Genesis 30:25,Genesis,Genesis,Law,SBH,prose,Q,אֵ֣לְכָ֔ה,אלכה,הלך,HLK[,walk,cohoF,qal,p1,unknown,sg,-p,וְאֵ֣לְכָ֔ה אֶל־מְקֹומִ֖י וּלְאַרְצִֽי׃ ,וְאֵ֣לְכָ֔ה אֶל־מְקֹומִ֖י וּלְאַרְצִֽי׃ ,וַיְהִ֕י כַּאֲשֶׁ֛ר יָלְדָ֥ה רָחֵ֖ל אֶת־יֹוסֵ֑ף וַיֹּ֤אמֶר יַעֲקֹב֙ אֶל־לָבָ֔ן שַׁלְּחֵ֨נִי֙ וְאֵ֣לְכָ֔ה אֶל־מְקֹומִ֖י וּלְאַרְצִֽי׃ ,וְאֵ֣לְכָ֔ה אֶל־מְקֹומִ֖י וּלְאַרְצִֽי׃ ,NQ,WYq0,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 30:25,Gen. 30:25,0,,0,,,0
15999,Genesis 30:26,Genesis,Genesis,Law,SBH,prose,Q,אֵלֵ֑כָה,אלכה,הלך,HLK[,walk,cohoF,qal,p1,unknown,sg,--,וְאֵלֵ֑כָה ,וְאֵלֵ֑כָה ,תְּנָ֞ה אֶת־נָשַׁ֣י וְאֶת־יְלָדַ֗י אֲשֶׁ֨ר עָבַ֧דְתִּי אֹֽתְךָ֛ בָּהֵ֖ן וְאֵלֵ֑כָה כִּ֚י אַתָּ֣ה יָדַ֔עְתָּ אֶת־עֲבֹדָתִ֖י אֲשֶׁ֥ר עֲבַדְתִּֽיךָ׃ ,וְאֵלֵ֑כָה ,NQ,WYq0,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 30:26,Gen. 30:26,0,,0,,,0
16029,Genesis 30:28,Genesis,Genesis,Law,SBH,prose,Q,אֶתֵּֽנָה,אתנה,נתן,NTN[,give,cohoF,qal,p1,unknown,sg,--,וְאֶתֵּֽנָה׃ ,וְאֶתֵּֽנָה׃ ,וַיֹּאמַ֑ר נָקְבָ֧ה שְׂכָרְךָ֛ עָלַ֖י וְאֶתֵּֽנָה׃ ,וְאֶתֵּֽנָה׃ ,NQ,WYq0,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 30:28,Gen. 30:28,0,,0,,,0
16088,Genesis 30:31,Genesis,Genesis,Law,SBH,prose,Q,אָשׁ֛וּבָה,אשׁובה,שׁוב,CWB[,return,cohoF,qal,p1,unknown,sg,--,אָשׁ֛וּבָה ,אָשׁ֛וּבָה ,וַיֹּ֖אמֶר מָ֣ה אֶתֶּן־לָ֑ךְ וַיֹּ֤אמֶר יַעֲקֹב֙ לֹא־תִתֶּן־לִ֣י מְא֔וּמָה אִם־תַּֽעֲשֶׂה־לִּי֙ הַדָּבָ֣ר הַזֶּ֔ה אָשׁ֛וּבָה אֶרְעֶ֥ה צֹֽאנְךָ֖ אֶשְׁמֹֽר׃ ,אָשׁ֛וּבָה ,NQ,ZYq0,Ø,Main,V,0,Ø,Ø,Ø,Gen 30:31,Gen. 30:31,0,,0,,,0
