bhsa_node,esv_tags,esv_VBtags,esv_TAM,esv_TAMsimp,niv_tags,niv_VBtags,niv_TAM,niv_TAMsimp,eng_fullparse,eng_TAM,eng_TAMsimp,eng_agree,eng_simp_agree,is_progressive
8539,PRP|MD|VB,VB,MOD may,MOD may,PRP|MD|VB|NN|IN,VB,MOD can,MOD can,1,MOD can ~ MOD may,MOD can ~ MOD may,0,0,0
8567,VB|PRP|VB|RP,VB|VB,MOD let,MOD let,VB|PRP|VB|RP,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
8881,VB|PRP|VB,VB|VB,MOD let,MOD let,VB|PRP|VB,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
9118,PRP|MD|VB,VB,FUT,FUT,VB,VB,TO INF,TO INF,1,FUT ~ TO INF,FUT ~ TO INF,0,0,0
10795,PRP|MD|VB,VB,MOD may,MOD may,PRP|MD|VB,VB,MOD can,MOD can,1,MOD can ~ MOD may,MOD can ~ MOD may,0,0,0
10969,PRP|MD|VB,VB,MOD may,MOD may,PRP|MD|VB,VB,MOD can,MOD can,1,MOD can ~ MOD may,MOD can ~ MOD may,0,0,0
12225,PRP|MD|VB,VB,MOD may,MOD may,PRP|MD|VB,VB,MOD may,MOD may,1,MOD may,MOD may,1,1,0
12235,VB,VB,MOD let,MOD let,VB,VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
13510,VB|PRP|VB,VB|VB,MOD let,MOD let,VB|PRP|VB,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
13696,PRP|MD|VB,VB,MOD may,MOD may,VB,VB,TO INF,TO INF,1,MOD may ~ TO INF,MOD may ~ TO INF,0,0,0
13749,PRP|MD|VB,VB,MOD may,MOD may,VB,VB,TO INF,TO INF,1,MOD may ~ TO INF,MOD may ~ TO INF,0,0,0
14037,PRP|MD|VB,VB,MOD may,MOD may,VB,VB,TO INF,TO INF,1,MOD may ~ TO INF,MOD may ~ TO INF,0,0,0
14391,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1,0
15340,PRP|MD|VB|RB,VB,MOD may,MOD may,PRP|VBP|TO|VB,VBP|VB,PRES,PRES,1,MOD may ~ PRES,MOD may ~ PRES,0,0,0
15427,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1,0
15982,PRP|MD|VB,VB,MOD may,MOD may,PRP|MD|VB|RB,VB,MOD can,MOD can,1,MOD can ~ MOD may,MOD can ~ MOD may,0,0,0
15999,PRP|MD|VB,VB,MOD may,MOD may,PRP|MD|VB|IN|PRP$|NN,VB,FUT,FUT,1,FUT ~ MOD may,FUT ~ MOD may,0,0,0
16029,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1,0
16088,RB,,FUT,FUT,PRP|MD|VB|RP,VB,FUT,FUT,1,FUT,FUT,1,1,0
17235,VB|PRP|VB,VB|VB,MOD let,MOD let,VB|PRP|VB|DT|NN,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
17630,PRP|MD|VB|JJ,VB,MOD may,MOD may,PRP|MD|VB|VB,VB|VB,FUT,FUT,1,FUT ~ MOD may,FUT ~ MOD may,0,0,0
17852,PRP|MD|VB,VB,MOD may,MOD may,PRP|MD|VB,VB,FUT,FUT,1,FUT ~ MOD may,FUT ~ MOD may,0,0,0
18288,VB|PRP|VB|IN|PRP$|NN,VB|VB,MOD let,MOD let,VB|PRP|VB|IN|PRP$|NN,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
18290,,,,,,,,,0,,,0,0,0
18292,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1,0
18329,MD|VB,VB,FUT,FUT,VBP|RB,VBP,PRES,PRES,1,FUT ~ PRES,FUT ~ PRES,0,0,0
18353,VB|PRP|VB,VB|VB,MOD let,MOD let,VB|PRP|VB,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
18650,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1,0
18868,VB|PRP|VB,VB|VB,MOD let,MOD let,VB|PRP|VB|PRP$|NN,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
19096,VB|PRP|VB,VB|VB,MOD let,MOD let,VB,VB,IMPV,IMPV,1,IMPV ~ MOD let,IMPV ~ MOD let,0,0,0
20481,VB|PRP|VB,VB|VB,MOD let,MOD let,VB|PRP|VB,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
24028,PRP|MD|VB,VB,MOD shall,MOD shall,PRP|MD|VB,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,0,0
24194,PRP|MD|VB|RP,VB,FUT,FUT,PRP|MD|VB|RP,VB,FUT,FUT,1,FUT,FUT,1,1,0
24196,VB,VB,FUT,FUT,VB,VB,FUT,FUT,1,FUT,FUT,1,1,0
24279,PRP|MD|VB,VB,FUT,FUT,,,,,0,,,0,0,0
24281,VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1,0
25225,PRP|MD|VB,VB,MOD may,MOD may,PRP|MD|VB,VB,MOD can,MOD can,1,MOD can ~ MOD may,MOD can ~ MOD may,0,0,0
25793,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1,0
25987,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1,0
26464,VB|PRP|VB,VB|VB,MOD let,MOD let,PRP|VBP|JJ|TO|VB,VBP|VB,PRES,PRES,1,MOD let ~ PRES,MOD let ~ PRES,0,0,0
26485,VB,VB,FUT,FUT,VB,VB,FUT,FUT,1,FUT,FUT,1,1,0
26489,MD|VB,VB,FUT,FUT,MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1,0
26894,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1,0
27786,PRP|MD|VB,VB,MOD may,MOD may,PRP|MD|VB,VB,MOD can,MOD can,1,MOD can ~ MOD may,MOD can ~ MOD may,0,0,0
28353,VB,VB,MOD let,MOD let,VB,VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
28357,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1,0
28861,VB|PRP|VB|RB,VB|VB,MOD let,MOD let,PRP|MD|VB|RB,VB,MOD must,MOD must,1,MOD let ~ MOD must,MOD let ~ MOD must,0,0,0
29679,PRP|MD|VB|RB,VB,FUT,FUT,PRP|MD|VB|RP,VB,FUT,FUT,1,FUT,FUT,1,1,0
30074,VB|PRP|VB,VB|VB,MOD let,MOD let,VB|PRP|VB,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
30083,PRP|MD|VB,VB,MOD may,MOD may,VB|NNS,VB,TO INF,TO INF,1,MOD may ~ TO INF,MOD may ~ TO INF,0,0,0
30541,VB|PRP|VB,VB|VB,MOD let,MOD let,VB|PRP|VB,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
30544,RB,,,,RB,,,,0,,,0,0,0
30861,VB|PRP|VB,VB|VB,MOD let,MOD let,VB|PRP|VB,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
30870,PRP|MD|VB,VB,MOD may,MOD may,VB|NNS,VB,TO INF,TO INF,1,MOD may ~ TO INF,MOD may ~ TO INF,0,0,0
30979,VB|PRP|VB,VB|VB,MOD let,MOD let,VB|PRP|VB,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
30980,VB|NN,VB,MOD let,MOD let,VB,VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
31133,VB|PRP|VB,VB|VB,MOD let,MOD let,VB|PRP|VB,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
31134,VB,VB,MOD let,MOD let,VB,VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
32474,PRP|MD|VB|VB,VB|VB,MOD let,MOD let,PRP|MD|VB|VB,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
33643,PRP|MD|VB|VB,VB|VB,MOD let,MOD let,PRP|MD|VB|VB,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
36462,PRP|MD|VB,VB,MOD may,MOD may,VB|PRP|VB,VB|VB,MOD let,MOD let,1,MOD let ~ MOD may,MOD let ~ MOD may,0,0,0
36752,VB|PRP|VB,VB|VB,MOD let,MOD let,VB|PRP|VB|RB,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
36931,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1,0
39878,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1,0
41845,PRP|MD|VB,VB,MOD may,MOD may,PRP|MD|VB,VB,FUT,FUT,1,FUT ~ MOD may,FUT ~ MOD may,0,0,0
47180,PRP|MD|VB|NN,VB,MOD can,MOD can,PRP|MD|VB|NN,VB,MOD can,MOD can,1,MOD can,MOD can,1,1,0
47393,PRP|MD|VB,VB,MOD may,MOD may,PRP|MD|VB,VB,FUT,FUT,1,FUT ~ MOD may,FUT ~ MOD may,0,0,0
75919,PRP|MD|VB,VB,MOD may,MOD may,PRP|VBP|RP,VBP,PRES,PRES,1,MOD may ~ PRES,MOD may ~ PRES,0,0,0
77070,PRP|MD|VB,VB,MOD may,MOD may,VB,VB,TO INF,TO INF,1,MOD may ~ TO INF,MOD may ~ TO INF,0,0,0
78493,VB|PRP|VB,VB|VB,MOD let,MOD let,PRP|MD|VB,VB,MOD should,MOD should,1,MOD let ~ MOD should,MOD let ~ MOD should,0,0,0
78496,VB|RB,VB,MOD let,MOD let,VB|RB,VB,MOD should,MOD should,1,MOD let ~ MOD should,MOD let ~ MOD should,0,0,0
82878,VB|PRP|VB,VB|VB,MOD let,MOD let,VB|PRP|VB,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
82945,VB|PRP|VB|RP,VB|VB,MOD let,MOD let,PRP|VBP|TO|VB|RP,VBP|VB,PRES,PRES,1,MOD let ~ PRES,MOD let ~ PRES,0,0,0
83459,PRP|MD|VB,VB,MOD may,MOD may,PRP|MD|VB,VB,FUT,FUT,1,FUT ~ MOD may,FUT ~ MOD may,0,0,0
83526,VB|PRP|VB,VB|VB,MOD let,MOD let,VB|PRP|VB,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
84190,PRP|MD|VB,VB,MOD may,MOD may,PRP|MD|VB|RP,VB,FUT,FUT,1,FUT ~ MOD may,FUT ~ MOD may,0,0,0
84547,PRP|MD|VB|RB,VB,FUT,FUT,PRP|MD|VB|RB,VB,FUT,FUT,1,FUT,FUT,1,1,0
84734,PRP|MD|VB,VB,FUT,FUT,PRP|VBP,VBP,PRES,PRES,1,FUT ~ PRES,FUT ~ PRES,0,0,0
93257,VB|PRP|VB,VB|VB,MOD let,MOD let,VB|PRP|VB,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
94254,VB|PRP|VB,VB|VB,MOD let,MOD let,VB|PRP|VB,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
94286,VB|PRP|VB|RP,VB|VB,MOD let,MOD let,VB|PRP|VB|RP,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
95050,VB|PRP|VB|RP,VB|VB,MOD let,MOD let,VB|PRP|VB|RP,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
96900,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,MOD may,MOD may,1,FUT ~ MOD may,FUT ~ MOD may,0,0,0
100750,PRP|MD|VB,VB,FUT,FUT,,,,,0,,,0,0,0
101062,VB|PRP|VB,VB|VB,MOD let,MOD let,VB|PRP|VB,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
101197,VB|PRP|VB,VB|VB,MOD let,MOD let,VB|PRP|VB,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
101199,VB,VB,MOD let,MOD let,VB,VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
101339,VB|PRP|VB,VB|VB,MOD let,MOD let,VB|PRP|VB,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
101341,VB,VB,MOD let,MOD let,VB,VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
103286,PRP|MD|VB,VB,FUT,FUT,VB|PRP|VB,VB|VB,MOD let,MOD let,1,FUT ~ MOD let,FUT ~ MOD let,0,0,0
103732,VB|PRP|RB,VB,MOD let,MOD let,,,,,0,,,0,0,0
111372,PRP|MD|VB,VB,MOD may,MOD may,PRP|MD|VB,VB,MOD can,MOD can,1,MOD can ~ MOD may,MOD can ~ MOD may,0,0,0
111381,VB|TO|NN,VB,MOD may,MOD may,VB|TO|VB,VB|VB,MOD can,MOD can,1,MOD can ~ MOD may,MOD can ~ MOD may,0,0,0
111447,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1,0
111698,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1,0
111790,PRP|MD|VB,VB,FUT,FUT,VB|RP,VB,MOD would,MOD would,1,FUT ~ MOD would,FUT ~ MOD would,0,0,0
127500,PRP|MD|VB,VB,MOD may,MOD may,VB,VB,TO INF,TO INF,1,MOD may ~ TO INF,MOD may ~ TO INF,0,0,0
129989,MD|VB,VB,FUT,FUT,MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1,0
131347,VB|PRP|VB,VB|VB,MOD let,MOD let,VB|PRP|VB|NN,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
132640,VB|PRP|VB|DT|NN,VB|VB,MOD let,MOD let,PRP|VBP|VB|CD|NN,VBP|VB,PRES do-support,PRES,1,MOD let ~ PRES do-support,MOD let ~ PRES,0,0,0
133489,PRP|MD|VB,VB,MOD would,MOD would,PRP|MD|VB|VBN|IN,VB|VBN,MOD would,MOD would,1,MOD would,MOD would,1,1,0
134579,PRP|MD|VB,VB,MOD may,MOD may,PRP|MD|VB,VB,MOD can,MOD can,1,MOD can ~ MOD may,MOD can ~ MOD may,0,0,0
134814,VB|PRP|VB,VB|VB,MOD let,MOD let,VB|PRP|NN|TO|VB,VB|VB,IMPV,IMPV,1,IMPV ~ MOD let,IMPV ~ MOD let,0,0,0
134889,VB|PRP|VB,VB|VB,MOD let,MOD let,VB|PRP|VB,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
135304,PRP|MD|VB|RB,VB,MOD may,MOD may,VB,VB,TO INF,TO INF,1,MOD may ~ TO INF,MOD may ~ TO INF,0,0,0
135511,VB|PRP|VB|RP,VB|VB,MOD let,MOD let,VB|PRP|VB|RP,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
136029,VB|PRP|VB,VB|VB,MOD let,MOD let,PRP|MD|VB|TO|VB,VB|VB,MOD would,MOD would,1,MOD let ~ MOD would,MOD let ~ MOD would,0,0,0
136488,VB|PRP|VB,VB|VB,MOD let,MOD let,VB|PRP|VB,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
136756,PRP|MD|VB|RB,VB,FUT,FUT,PRP|VBP|VBG,VBP|VBG,PRES PART,PRES PART,1,FUT ~ PRES PART,FUT ~ PRES PART,0,0,0
137900,PRP|MD|VB|VBN,VB|VBN,MOD may,MOD may,VB|PRP|VBP|NN,VB|VBP,MOD let,MOD let,1,MOD let ~ MOD may,MOD let ~ MOD may,0,0,0
138431,PRP|MD|VB,VB,MOD may,MOD may,VB,VB,TO INF,TO INF,1,MOD may ~ TO INF,MOD may ~ TO INF,0,0,0
139367,VB|PRP|VB|RB,VB|VB,MOD let,MOD let,VB|PRP|VB,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
139402,VB|PRP|VB|RB,VB|VB,MOD let,MOD let,VB|PRP|VB|TO|VB,VB|VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
139690,VB|PRP|VB|RP,VB|VB,MOD let,MOD let,PRP|MD|VB|RP,VB,FUT,FUT,1,FUT ~ MOD let,FUT ~ MOD let,0,0,0
139809,VB|PRP|VB|VBG,VB|VB|VBG,MOD let,MOD let,VB|PRP|VB,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
140155,NN,,,,VB,VB,MOD may,MOD may,0,,,0,0,0
140622,VB|PRP|VB,VB|VB,MOD let,MOD let,VB|PRP|VB,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
143345,VB|PRP|VB,VB|VB,MOD let,MOD let,VB|PRP|VB,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
145604,VB|PRP|VB|RB,VB|VB,MOD let,MOD let,VB|PRP|VB|RB,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
145636,VB|PRP|VB,VB|VB,MOD let,MOD let,VB|PRP|VB,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
145720,VB|PRP|VB,VB|VB,MOD let,MOD let,VB|PRP|VB,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
145743,VB|PRP|VB,VB|VB,MOD let,MOD let,VB|PRP|VB,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
146896,PRP|MD|VB,VB,MOD may,MOD may,PRP|MD|VB,VB,MOD can,MOD can,1,MOD can ~ MOD may,MOD can ~ MOD may,0,0,0
147168,VB|PRP|VB,VB|VB,MOD let,MOD let,VB|PRP|VB,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
147358,PRP|MD|VB,VB,MOD may,MOD may,PRP|VBP|VBG|TO|VB|IN|NN,VBP|VBG|VB,FUT going-to,FUT going-to,1,FUT going-to ~ MOD may,FUT going-to ~ MOD may,0,0,0
148325,VB|PRP|VB|RP,VB|VB,MOD let,MOD let,VB|PRP|VB|RP,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
148450,VB|PRP|VB|RP,VB|VB,MOD let,MOD let,VB|PRP|VB|RP,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
148568,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1,0
149153,VB|PRP|VB|RP,VB|VB,MOD let,MOD let,VB|PRP|VB|RP,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
149158,VB,VB,MOD let,MOD let,VB,VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
149181,VB|PRP|VB|RB,VB|VB,MOD let,MOD let,VB|PRP|VB,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
149883,PRP|MD|VB,VB,FUT,FUT,VB|PRP|VB,VB|VB,MOD let,MOD let,1,FUT ~ MOD let,FUT ~ MOD let,0,0,0
150986,PRP|MD|VB,VB,MOD may,MOD may,VB|PRP|VB,VB|VB,MOD let,MOD let,1,MOD let ~ MOD may,MOD let ~ MOD may,0,0,0
151786,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1,0
154043,VB|PRP|VB|RP,VB|VB,MOD let,MOD let,VB|PRP|VB,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
157829,VB|PRP|VB,VB|VB,MOD let,MOD let,VB|PRP|VB,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
158317,PRP|MD|VB,VB,MOD may,MOD may,PRP|MD|VB,VB,MOD may,MOD may,1,MOD may,MOD may,1,1,0
158649,PRP|MD|VB,VB,MOD may,MOD may,PRP|MD|VB,VB,MOD may,MOD may,1,MOD may,MOD may,1,1,0
158652,RB,,,,VB,VB,MOD may,MOD may,0,,,0,0,0
159040,VB|PRP|VB,VB|VB,MOD let,MOD let,VB|PRP|VB,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
162125,PRP|MD|VB,VB,FUT,FUT,RB|RB,,,,0,,,0,0,0
162127,VB,VB,FUT,FUT,VB|PRP|VB,VB|VB,MOD let,MOD let,1,FUT ~ MOD let,FUT ~ MOD let,0,0,0
162129,MD|VB,VB,FUT,FUT,VB,VB,MOD let,MOD let,1,FUT ~ MOD let,FUT ~ MOD let,0,0,0
163940,PRP|MD|VB|VBN|IN|NN,VB|VBN,MOD shall,MOD shall,PRP|MD|VB|VBN|IN|NN,VB|VBN,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,0,0
166558,PRP|MD|VB,VB,MOD would,MOD would,PRP|MD|VB|VBN|RB|RBR,VB|VBN,MOD would,MOD would,1,MOD would,MOD would,1,1,0
168168,MD|VB,VB,MOD would,MOD would,PRP|MD|VB|VBN|IN,VB|VBN,FUT,FUT,1,FUT ~ MOD would,FUT ~ MOD would,0,0,0
168371,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1,0
168814,PRP|MD|VB,VB,MOD may,MOD may,PRP|MD|VB,VB,MOD can,MOD can,1,MOD can ~ MOD may,MOD can ~ MOD may,0,0,0
169035,VB|PRP|VB,VB|VB,MOD let,MOD let,VB|PRP|VB,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
169178,VB|PRP|VB,VB|VB,MOD let,MOD let,PRP|MD|VB,VB,MOD must,MOD must,1,MOD let ~ MOD must,MOD let ~ MOD must,0,0,0
169982,VB|PRP|VB|RP,VB|VB,MOD let,MOD let,VB|PRP|VB|RP,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
169985,VB|RP,VB,MOD let,MOD let,VB|RP,VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
170295,VB|PRP|VB,VB|VB,MOD let,MOD let,PRP|MD|VB,VB,MOD would,MOD would,1,MOD let ~ MOD would,MOD let ~ MOD would,0,0,0
170302,PRP|MD|VB,VB,FUT,FUT,VBD|RP,VBD,,,0,,,0,0,0
170304,VB,VB,FUT,FUT,IN|NN|IN,,,,0,,,0,0,0
170336,PRP|MD|VB|RB,VB,FUT,FUT,VB|RB,VB,MOD would,MOD would,1,FUT ~ MOD would,FUT ~ MOD would,0,0,0
170379,VB|PRP|VB,VB|VB,MOD let,MOD let,PRP|MD|VB,VB,MOD can,MOD can,1,MOD can ~ MOD let,MOD can ~ MOD let,0,0,0
171433,,,,,PRP|VBP|VBG|TO|VB,VBP|VBG|VB,FUT going-to,FUT going-to,0,,,0,0,0
171561,VB|PRP|VB,VB|VB,MOD let,MOD let,VB|PRP|VB,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
171564,VB|NN,VB,MOD let,MOD let,VB|DT|NN,VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
171638,VB|VB,VB|VB,MOD let,MOD let,VB|PRP|VB,VB|VB,MOD may,MOD may,1,MOD let ~ MOD may,MOD let ~ MOD may,0,0,0
172632,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB|VBN,VB|VBN,FUT PERF,FUT PERF,1,FUT ~ FUT PERF,FUT ~ FUT PERF,0,0,0
173505,PRP|MD|VB,VB,MOD may,MOD may,PRP|MD|VB,VB,MOD can,MOD can,1,MOD can ~ MOD may,MOD can ~ MOD may,0,0,0
173603,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1,0
174661,PRP|VBD,VBD,PAST,PAST,PRP|VBD,VBD,PAST,PAST,1,PAST,PAST,1,1,0
175763,VB|PRP|VB,VB|VB,MOD let,MOD let,VB|PRP|VB,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
175776,VB|PRP|VB,VB|VB,MOD let,MOD let,VB|VB|PRP|VB,VB|VB|VB,IMPV do not,IMPV,1,IMPV do not ~ MOD let,IMPV ~ MOD let,0,0,0
186979,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1,0
190343,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1,0
191874,VB|PRP|VB,VB|VB,MOD let,MOD let,VB|PRP|VB,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
191882,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1,0
192494,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,MOD can,MOD can,1,FUT ~ MOD can,FUT ~ MOD can,0,0,0
192674,VB|PRP|VB,VB|VB,MOD let,MOD let,,,,,0,,,0,0,0
193031,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1,0
193041,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1,0
193136,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1,0
193787,PRP|MD|VB,VB,MOD may,MOD may,PRP|MD|VB,VB,MOD can,MOD can,1,MOD can ~ MOD may,MOD can ~ MOD may,0,0,0
196056,PRP|MD|VB|IN,VB,MOD may,MOD may,PRP|MD|VB|IN,VB,MOD may,MOD may,1,MOD may,MOD may,1,1,0
