eng_TAMsimp,prose,prophetic,poetry,instruction,list
MOD is to ~ MOD shall,-0.26,-0.32,-0.1,0.45,0.23
PAST ~ PRES PROG,-0.51,0.68,-0.1,-0.05,-0.02
IMPV ~ MOD may,0.49,-0.32,-0.1,-0.05,-0.02
FUT going-to ~ MOD shall,-0.01,0.18,-0.1,-0.05,-0.02
PAST ~ PAST PERF PROG,0.49,-0.32,-0.1,-0.05,-0.02
PAST PROG ~ PRES,-0.51,-0.07,0.4,0.2,-0.02
MOD is to ~ PRES PART,-0.51,0.35,-0.1,0.28,-0.02
FUT ~ MOD is to,0.49,-0.32,-0.1,-0.05,-0.02
PRES PERF PROG ~ PRES PROG,0.16,-0.32,0.23,-0.05,-0.02
MOD can ~ MOD shall,-0.18,0.35,-0.1,-0.05,-0.02
FUT PROG ~ PRES PART,0.49,-0.32,-0.1,-0.05,-0.02
MOD shall ~ TO INF,-0.51,0.35,-0.1,0.28,-0.02
MOD can ~ TO INF,-0.51,0.35,0.23,-0.05,-0.02
MOD should ~ MOD would,-0.18,0.35,-0.1,-0.05,-0.02
PRES ~ PRES PERF PROG,-0.18,0.35,-0.1,-0.05,-0.02
MOD should ~ TO INF,0.49,-0.32,-0.1,-0.05,-0.02
MOD let ~ PRES,-0.18,0.01,-0.1,0.28,-0.02
MOD was to ~ PAST,0.16,-0.32,-0.1,-0.05,0.31
PRES PERF ~ PRES PROG,0.16,0.01,-0.1,-0.05,-0.02
PRES ~ PRES PROG keep,-0.51,0.68,-0.1,-0.05,-0.02
MOD must ~ MOD shall,0.49,-0.32,-0.1,-0.05,-0.02
MOD may ~ PAST,-0.01,-0.32,0.4,-0.05,-0.02
MOD is to ~ TO INF,-0.51,-0.32,-0.1,0.95,-0.02
MOD may ~ TO INF,-0.51,-0.32,0.9,-0.05,-0.02
PAST PERF PROG ~ PAST PROG,0.49,-0.32,-0.1,-0.05,-0.02
MOD must ~ PRES,0.49,-0.32,-0.1,-0.05,-0.02
FUT going-to ~ PRES PART,0.49,-0.32,-0.1,-0.05,-0.02
PRES PART ~ PRES PERF PROG,0.49,-0.32,-0.1,-0.05,-0.02
FUT ~ PAST PROG,-0.51,0.68,-0.1,-0.05,-0.02
MOD can ~ PRES PART,0.49,-0.32,-0.1,-0.05,-0.02
FUT ~ MOD may,-0.51,-0.32,0.9,-0.05,-0.02
MOD was to ~ PAST PROG,0.49,-0.32,-0.1,-0.05,-0.02
PAST PERF ~ PRES PART,0.49,-0.32,-0.1,-0.05,-0.02
PAST PERF ~ PRES,-0.01,0.18,-0.1,-0.05,-0.02
PAST PERF ~ PAST PERF PROG,0.49,-0.32,-0.1,-0.05,-0.02
MOD was to ~ TO INF,0.49,-0.32,-0.1,-0.05,-0.02
HAB used to ~ PAST PERF,0.49,-0.32,-0.1,-0.05,-0.02
TO INF ~ VB,0.49,-0.32,-0.1,-0.05,-0.02
HAB used to ~ PAST,0.49,-0.32,-0.1,-0.05,-0.02
FUT ~ VB,0.49,-0.32,-0.1,-0.05,-0.02
FUT ~ PAST,0.49,-0.32,-0.1,-0.05,-0.02
FUT ~ MOD would,-0.51,-0.32,0.9,-0.05,-0.02
FUT ~ MOD can,-0.51,-0.32,0.9,-0.05,-0.02
FUT ~ FUT PROG,0.49,-0.32,-0.1,-0.05,-0.02
IMPV ~ PAST,-0.51,-0.32,-0.1,-0.05,0.98
MOD shall ~ PRES PART,-0.51,0.68,-0.1,-0.05,-0.02
IMPV ~ PRES PROG,0.49,-0.32,-0.1,-0.05,-0.02
MOD should ~ PRES PERF,-0.51,0.68,-0.1,-0.05,-0.02
PRES PROG ~ TO INF,-0.51,0.68,-0.1,-0.05,-0.02
PRES PROG ~ PRES PROG keep,-0.51,0.68,-0.1,-0.05,-0.02
PRES PERF ~ TO INF,0.49,-0.32,-0.1,-0.05,-0.02
PRES PERF ~ PRES PERF PROG,0.49,-0.32,-0.1,-0.05,-0.02
PAST ~ VB,-0.51,0.68,-0.1,-0.05,-0.02
PAST PROG ~ TO INF,0.49,-0.32,-0.1,-0.05,-0.02
MOD would ~ PRES PROG,0.49,-0.32,-0.1,-0.05,-0.02
MOD would ~ PRES PERF,-0.51,0.68,-0.1,-0.05,-0.02
MOD was to ~ PRES PART,0.49,-0.32,-0.1,-0.05,-0.02
MOD that VB ~ PRES PART,0.49,-0.32,-0.1,-0.05,-0.02
MOD should ~ PRES,-0.51,0.68,-0.1,-0.05,-0.02
MOD can ~ MOD may,-0.51,0.68,-0.1,-0.05,-0.02
MOD should ~ PAST,0.49,-0.32,-0.1,-0.05,-0.02
MOD should ~ MOD was to,0.49,-0.32,-0.1,-0.05,-0.02
MOD shall ~ PRES PERF,-0.51,0.68,-0.1,-0.05,-0.02
MOD shall ~ PAST,0.49,-0.32,-0.1,-0.05,-0.02
MOD need not ~ TO INF,-0.51,0.68,-0.1,-0.05,-0.02
MOD must ~ PRES PART,0.49,-0.32,-0.1,-0.05,-0.02
MOD may ~ PRES PART,-0.51,-0.32,0.9,-0.05,-0.02
MOD let ~ TO INF,0.49,-0.32,-0.1,-0.05,-0.02
MOD is to ~ MOD would,0.49,-0.32,-0.1,-0.05,-0.02
MOD could ~ PRES PART,-0.51,-0.32,-0.1,0.95,-0.02
FUT PROG ~ MOD is to,0.49,-0.32,-0.1,-0.05,-0.02
