period,SBH,LBH,SBH,SBH,SBH,LBH,LBH,SBH,LBH,SBH,LBH,SBH,SBH,LBH
PRES,-0.51,-0.05,0.42,-0.02,-0.02,0.07,-0.01,0.08,-0.0,0.04,-0.0,-0.0,-0.0,-0.0
PRES PART,-0.16,0.01,0.18,-0.02,-0.02,0.03,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES ~ PRES PERF,-0.48,-0.05,0.36,-0.02,-0.02,-0.02,-0.01,0.16,-0.0,-0.0,0.08,-0.0,-0.0,-0.0
MOD could ~ PAST,-0.13,0.17,0.04,-0.02,-0.02,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
?VB ~ PAST,-0.56,-0.13,0.44,0.14,-0.02,0.15,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD would,0.1,-0.13,0.11,-0.02,-0.02,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
?PAST ~ PRES PART,-0.13,0.07,0.14,-0.02,-0.02,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST PROG,0.27,-0.13,-0.06,-0.02,-0.02,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
TO INF,-0.33,0.27,0.14,-0.02,-0.02,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
?VB,-0.73,-0.13,0.19,0.23,-0.02,-0.02,0.49,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
?PRES ~ PAST,-0.48,-0.13,0.69,-0.02,-0.02,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
?PAST did not ~ PAST,-0.4,-0.13,0.28,-0.02,-0.02,0.32,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES ~ PRES PROG,-0.73,-0.13,0.94,-0.02,-0.02,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ PAST,-0.73,-0.13,-0.06,-0.02,-0.02,-0.02,-0.01,0.99,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
?TO INF ~ PAST,0.27,-0.13,-0.06,-0.02,-0.02,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD would ~ PAST,0.27,-0.13,-0.06,-0.02,-0.02,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST PERF ~ PRES PART,-0.4,0.2,0.28,-0.02,-0.02,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PART ~ PRES PERF,-0.73,-0.13,0.28,-0.02,-0.02,0.32,-0.01,-0.01,-0.0,0.33,-0.0,-0.0,-0.0,-0.0
PAST PERF ~ PRES PERF,-0.73,-0.13,0.94,-0.02,-0.02,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ PAST,0.27,-0.13,-0.06,-0.02,-0.02,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
?PAST ~ IMPV,0.27,-0.13,-0.06,-0.02,-0.02,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
?PAST ~ ?VB,-0.73,-0.13,-0.06,0.98,-0.02,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
?PRES PERF ~ PRES,-0.73,-0.13,0.44,-0.02,-0.02,0.48,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
?VB ~ PRES PERF,-0.73,-0.13,0.94,-0.02,-0.02,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
??VB ~ ?PAST question,-0.73,-0.13,0.44,-0.02,-0.02,0.48,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ PRES,-0.73,-0.13,-0.06,-0.02,-0.02,-0.02,-0.01,0.49,-0.0,0.5,-0.0,-0.0,-0.0,-0.0
?PAST ~ PRES,-0.23,0.37,-0.06,-0.02,-0.02,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD let,-0.23,-0.13,0.44,-0.02,-0.02,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD let ~ PAST,-0.23,0.37,-0.06,-0.02,-0.02,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
?PAST ~ ?TO INF,0.27,-0.13,-0.06,-0.02,-0.02,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
??PAST ~ ?PAST,0.27,-0.13,-0.06,-0.02,-0.02,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
?PAST PERF ~ PAST PERF,-0.73,-0.13,0.94,-0.02,-0.02,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
?PAST did not ~ ?PAST question,-0.73,-0.13,0.94,-0.02,-0.02,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
?MOD would ~ PAST,0.27,-0.13,-0.06,-0.02,-0.02,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
??PAST ~ ?TO INF,0.27,-0.13,-0.06,-0.02,-0.02,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
??VB ~ PRES,-0.73,-0.13,0.94,-0.02,-0.02,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
??PAST ~ PAST,0.27,-0.13,-0.06,-0.02,-0.02,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
?PAST wh-question ~ MOD let,-0.73,-0.13,0.94,-0.02,-0.02,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
?PAST wh-question,-0.73,-0.13,0.94,-0.02,-0.02,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
?PAST wh-question ~ PAST,-0.73,-0.13,0.94,-0.02,-0.02,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
?PAST wh-question ~ ?PRES,-0.73,-0.13,0.94,-0.02,-0.02,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
?MOD let ~ PAST,0.27,-0.13,-0.06,-0.02,-0.02,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
??PRES ~ PAST,-0.73,-0.13,0.94,-0.02,-0.02,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD could ~ MOD might,-0.73,-0.13,0.94,-0.02,-0.02,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
?PAST ~ PRES PERF,-0.73,-0.13,-0.06,-0.02,-0.02,0.98,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
?PRES PERF,-0.73,-0.13,0.94,-0.02,-0.02,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PERF ~ TO INF,-0.73,-0.13,-0.06,-0.02,-0.02,0.98,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PERF ~ PRES PROG,-0.73,-0.13,0.94,-0.02,-0.02,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PERF PROG,-0.73,-0.13,0.94,-0.02,-0.02,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PART ~ TO INF,0.27,-0.13,-0.06,-0.02,-0.02,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST ~ PAST PERF PROG,0.27,-0.13,-0.06,-0.02,-0.02,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST PROG ~ PRES PERF PROG,-0.73,-0.13,0.94,-0.02,-0.02,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST PROG ~ PRES PERF,0.27,-0.13,-0.06,-0.02,-0.02,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST PROG ~ PRES PART,0.27,-0.13,-0.06,-0.02,-0.02,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST PERF ~ TO INF,0.27,-0.13,-0.06,-0.02,-0.02,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD should ~ TO INF,-0.73,-0.13,-0.06,-0.02,-0.02,0.98,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD should ~ MOD would,0.27,-0.13,-0.06,-0.02,-0.02,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD may ~ PAST,0.27,-0.13,-0.06,-0.02,-0.02,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD let ~ PRES PART,0.27,-0.13,-0.06,-0.02,-0.02,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD let ~ PRES,0.27,-0.13,-0.06,-0.02,-0.02,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ PRES PART,-0.73,-0.13,-0.06,-0.02,0.98,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
?VB ~ PRES,0.27,-0.13,-0.06,-0.02,-0.02,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
?PRES ~ PRES,-0.73,-0.13,-0.06,-0.02,0.98,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
??PAST,0.27,-0.13,-0.06,-0.02,-0.02,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
