MOD could ~ MOD may,p3,inf,0.0
TO INF,p1,2.0,0.5
MOD can ~ PRES,p3,2.0,0.5
MOD let,p2,0.0,inf
HAB used to,p3,inf,0.0
MOD shall ~ PAST,p2,0.5,2.0
PAST ~ PRES,p1,0.5,2.0
MOD shall ~ PRES PERF,p3,2.0,0.5
MOD shall ~ MOD would,p1,2.0,0.5
MOD shall ~ PRES,p1,2.0,0.5
FUT ~ IMPV,p1,0.0,inf
PAST PERF,p3,0.5,2.0
PAST ~ PAST PERF,p3,0.0,inf
MOD shall,p1,2.0,0.5
FUT ~ MOD can,p3,2.0,0.5
MOD VB ~ PRES,p3,2.0,0.5
MOD shall ~ PRES PERF,p2,2.0,0.5
MOD let ~ TO INF,p3,2.0,0.5
MOD is to ~ PRES,p2,0.5,2.0
HAB used to ~ MOD would,p3,inf,0.0
MOD should,p3,0.0,inf
MOD may ~ PRES,p2,inf,0.0
PRES PERF,p1,2.0,0.5
IMPV ~ MOD would,p3,2.0,0.5
FUT ~ FUT going-to,p1,0.0,inf
FUT ~ FUT PERF,p1,0.0,inf
IMPV,p3,inf,0.0
IMPV ~ MOD lest,p1,0.0,inf
FUT ~ PRES PERF,p1,inf,0.0
IMPV ~ MOD may,p2,inf,0.0
FUT ~ PRES PERF,p2,0.0,inf
MOD can ~ MOD let,p3,inf,0.0
FUT ~ PRES PERF,p3,0.0,inf
IMPV ~ MOD lest,p3,1.0,1.0
IMPV ~ PRES PART,p2,0.0,inf
PRES PART ~ PRES PERF,p3,0.0,inf
IMPV ~ MOD may,p3,1.0,1.0
IMPV ~ MOD is to,p2,1.0,1.0
FUT ~ PRES PART,p2,1.0,1.0
PRES ~ PRES PROG,p2,1.0,1.0
MOD would ~ PRES PART,p3,1.0,1.0
FUT going-to ~ MOD shall,p2,1.0,1.0
MOD would,p2,0.0,inf
MOD was to ~ PAST,p3,0.0,inf
MOD that be ~ TO INF,p3,0.0,inf
MOD should ~ TO INF,p3,1.0,1.0
MOD shall ~ MOD would,p3,inf,0.0
MOD shall ~ MOD should,p1,1.0,1.0
MOD lest ~ MOD may,p2,0.0,inf
MOD may ~ MOD should,p3,1.0,1.0
FUT ~ MOD must,p3,1.0,1.0
PRES ~ TO INF,p1,0.0,inf
MOD must ~ PRES,p3,1.0,1.0
MOD lest ~ MOD may,p3,inf,0.0
MOD let ~ MOD shall,p2,1.0,1.0
MOD lest ~ MOD might,p3,1.0,1.0
MOD lest ~ MOD must,p3,inf,0.0
MOD lest ~ PRES PART,p2,1.0,1.0
MOD let ~ MOD may,p2,0.0,inf
MOD lest ~ TO INF,p2,1.0,1.0
FUT ~ MOD should,p1,0.0,inf
FUT ~ FUT PERF,p2,0.0,inf
