eng_TAMsimp,qal,hif,piel,nif,hit,hof,pual,hsht,tif,poel,poal,htpo
MOD VB ~ MOD may,-0.25,0.06,0.1,0.13,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD is to ~ MOD must,0.15,-0.14,-0.1,-0.07,-0.02,0.19,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD might ~ TO INF,0.15,-0.14,-0.1,0.13,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can ~ MOD let,0.35,-0.14,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD lest ~ TO INF,0.35,-0.14,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD would ~ TO INF,-0.25,-0.14,0.1,-0.07,0.18,-0.01,0.2,-0.0,-0.0,-0.0,-0.0,-0.0
MOD let ~ PRES PART,-0.25,-0.14,0.3,0.13,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD might ~ PAST,-0.45,0.26,0.1,0.13,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD was to,-0.05,0.06,-0.1,-0.07,-0.02,0.19,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD might ~ MOD should,0.15,0.06,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD should ~ PAST,0.1,-0.14,-0.1,0.18,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD VB ~ PRES,-0.15,0.11,-0.1,0.18,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ PRES PROG,0.35,-0.14,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ MOD lest,0.1,0.11,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HAB used to,-0.15,-0.14,0.4,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST PERF ~ PRES,0.1,-0.14,0.15,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can ~ PAST,-0.4,0.36,0.15,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD is to,0.35,-0.14,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
?VB ~ PAST,0.35,-0.14,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PERF ~ TO INF,0.1,0.11,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD could ~ MOD should,0.35,-0.14,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
?VB,-0.32,0.53,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST PROG,0.02,-0.14,-0.1,0.26,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD shall ~ PRES PERF,0.35,-0.14,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can ~ MOD might,-0.65,-0.14,-0.1,0.93,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD could ~ MOD must,-0.32,-0.14,0.23,-0.07,0.31,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT PROG ~ PRES,0.02,-0.14,-0.1,-0.07,0.31,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD lest ~ MOD would,0.35,-0.14,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD that be,0.02,-0.14,-0.1,0.26,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD need not ~ MOD shall,0.02,-0.14,-0.1,0.26,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD may ~ PRES PERF,0.35,-0.14,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD may ~ PAST,-0.32,-0.14,-0.1,0.6,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD may ~ MOD might,0.02,-0.14,0.23,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PART ~ PRES PERF,-0.32,0.53,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD is to ~ PRES PART,-0.32,-0.14,0.57,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD let ~ PRES PERF,0.02,-0.14,0.23,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD let ~ MOD would,0.02,-0.14,0.23,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ MOD is to,0.02,-0.14,-0.1,-0.07,-0.02,0.32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD would ~ PRES PART,0.02,-0.14,-0.1,-0.07,0.31,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
?VB ~ MOD must,0.35,-0.14,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
?VB ~ MOD shall,0.35,-0.14,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
??VB ~ MOD let,-0.15,0.36,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD must ~ MOD should,-0.65,-0.14,0.4,0.43,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD is to ~ PRES,-0.15,-0.14,-0.1,0.43,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can ~ MOD must,-0.15,-0.14,0.4,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD should ~ PRES PERF,0.35,-0.14,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD that be,-0.15,-0.14,-0.1,0.43,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD let ~ MOD that be,-0.65,-0.14,-0.1,0.93,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST PROG ~ PRES,-0.15,-0.14,0.4,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD lest ~ MOD should,-0.15,-0.14,0.4,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD lest ~ MOD shall,0.35,-0.14,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD is to ~ TO INF,0.35,-0.14,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD need not ~ PRES,-0.15,-0.14,0.4,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD could ~ TO INF,-0.65,-0.14,-0.1,0.43,0.48,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PROG,-0.15,-0.14,-0.1,0.43,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES ~ PRES do,0.35,-0.14,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT PERF,-0.65,-0.14,0.9,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD,0.35,-0.14,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD quest must,0.35,-0.14,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD quest must ~ MOD shall,0.35,-0.14,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES ~ PRES shall,0.35,-0.14,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD should ~ PRES PART,0.35,-0.14,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
?VB ~ IMPV,0.35,-0.14,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
?VB ~ MOD lest,-0.65,0.86,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD that be ~ TO INF,-0.65,-0.14,-0.1,0.93,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD was to ~ PRES,0.35,-0.14,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD would ~ PAST PERF,0.35,-0.14,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD ~ PRES,-0.65,-0.14,-0.1,0.93,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD would ~ PAST PROG,-0.65,0.86,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT PERF ~ PRES,0.35,-0.14,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ FUT PROG,0.35,-0.14,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES ~ PRES can,-0.65,-0.14,-0.1,0.93,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PERF ~ PRES PROG,-0.65,-0.14,-0.1,-0.07,0.98,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD must ~ TO INF,0.35,-0.14,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT going-to ~ MOD is to,0.35,-0.14,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST PROG ~ PRES PART,-0.65,-0.14,-0.1,-0.07,-0.02,-0.01,-0.0,1.0,-0.0,-0.0,-0.0,-0.0
FUT PROG ~ MOD shall,0.35,-0.14,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PART ~ PRES PROG,0.35,-0.14,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT going-to ~ MOD lest,0.35,-0.14,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can ~ MOD lest,0.35,-0.14,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD must ~ PRES shall,-0.65,-0.14,0.9,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD lest ~ MOD let,0.35,-0.14,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD could ~ MOD shall,0.35,-0.14,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD VB ~ TO INF,0.35,-0.14,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD could ~ PAST PERF,0.35,-0.14,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD VB ~ MOD shall,0.35,-0.14,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD could ~ PRES PERF,-0.65,0.86,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD VB ~ MOD can,-0.65,-0.14,0.9,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
JJ ~ PRES,0.35,-0.14,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ PRES PERF,0.35,-0.14,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD is to ~ MOD lest,0.35,-0.14,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD is to ~ MOD should,-0.65,-0.14,-0.1,0.93,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD is to ~ PRES PROG,0.35,-0.14,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ MOD need not,0.35,-0.14,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD lest ~ MOD must,-0.65,-0.14,0.9,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD must ~ PRES PROG,-0.65,-0.14,0.9,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD let ~ MOD might,0.35,-0.14,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ MOD,0.35,-0.14,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
