eng_TAMsimp,person,xYq0,WxY0,WXYq,XYqt,xYqX,ZYq0,WYq0,WxYX,ZYqX,WYqX,CPen
PRES ~ PRES PART,p3,-0.02,0.02,-0.1,0.05,0.01,0.05,0.02,0.01,-0.03,-0.01,-0.0
FUT ~ PRES,p1,0.11,-0.02,0.0,-0.04,-0.08,0.09,-0.0,-0.03,-0.03,-0.01,-0.0
MOD shall,p1,0.55,-0.11,-0.12,-0.12,-0.08,-0.01,-0.04,-0.03,-0.03,-0.01,-0.0
MOD can,p1,0.32,0.12,-0.1,-0.12,-0.08,-0.03,-0.04,-0.03,-0.03,-0.01,-0.0
FUT ~ MOD may,p3,-0.26,0.09,-0.03,-0.03,-0.03,0.02,0.03,0.11,0.04,0.06,-0.0
MOD shall,p2,0.23,0.04,-0.05,-0.05,-0.01,-0.05,-0.04,-0.03,-0.03,-0.01,-0.0
FUT ~ MOD can,p3,-0.1,-0.01,0.09,0.17,0.0,-0.08,-0.02,-0.03,-0.03,-0.01,-0.0
FUT ~ PRES,p2,0.21,0.1,-0.09,-0.12,-0.08,0.04,0.01,-0.03,-0.03,-0.01,-0.0
IMPV ~ MOD shall,p3,0.01,-0.13,0.05,-0.0,0.1,-0.05,-0.04,0.06,0.0,-0.01,-0.0
MOD may ~ MOD shall,p3,-0.31,-0.19,0.26,0.27,0.01,-0.08,-0.01,-0.0,0.03,0.02,-0.0
MOD can,p2,0.35,0.03,-0.09,-0.09,-0.08,-0.01,-0.04,-0.03,-0.03,-0.01,-0.0
MOD should,p3,-0.07,-0.16,-0.05,-0.08,0.37,-0.08,-0.04,0.11,0.01,-0.01,-0.0
MOD may,p2,0.3,0.06,-0.12,-0.12,-0.08,-0.04,0.06,-0.03,-0.03,-0.01,-0.0
PAST,p2,0.08,0.1,-0.05,-0.12,-0.08,0.14,-0.01,-0.03,-0.03,-0.01,-0.0
PRES PART,p3,-0.0,0.08,0.03,-0.04,-0.08,0.08,-0.0,-0.03,-0.03,-0.01,-0.0
MOD can ~ PRES,p3,-0.12,-0.11,-0.01,-0.0,0.35,-0.04,-0.04,0.01,-0.03,-0.01,-0.0
MOD let,p3,-0.15,0.13,-0.12,-0.12,0.0,0.04,0.08,0.01,0.05,0.07,-0.0
MOD would ~ PAST,p3,-0.05,0.2,0.05,-0.07,-0.03,-0.08,-0.04,0.01,0.02,-0.01,-0.0
MOD can ~ MOD shall,p1,0.5,-0.14,-0.12,-0.12,-0.08,-0.08,0.05,0.02,-0.03,-0.01,-0.0
MOD would,p1,0.09,0.11,-0.12,-0.07,-0.08,0.12,0.01,-0.03,-0.03,-0.01,-0.0
PRES ~ PRES PERF,p3,-0.15,-0.09,-0.07,0.09,0.08,-0.02,0.01,0.02,0.13,-0.01,-0.0
MOD would,p2,0.34,-0.13,-0.0,-0.12,-0.08,0.04,0.02,-0.03,-0.03,-0.01,-0.0
TO INF,p3,-0.19,0.16,-0.12,-0.0,-0.08,0.16,0.08,0.03,-0.03,-0.01,-0.0
MOD shall ~ PRES,p2,0.34,0.04,-0.12,-0.06,-0.08,-0.02,-0.04,-0.03,-0.03,-0.01,-0.0
PRES ~ PRES PERF,p2,0.25,0.12,-0.12,-0.12,-0.08,0.05,-0.04,-0.03,-0.03,-0.01,-0.0
IMPV ~ PRES,p2,-0.06,0.31,-0.06,0.01,-0.08,-0.01,-0.04,-0.03,-0.03,-0.01,-0.0
MOD may ~ PRES,p3,-0.25,-0.0,-0.12,0.19,0.05,0.05,0.08,0.03,-0.03,-0.01,-0.0
MOD shall ~ PRES PART,p3,0.07,-0.0,0.07,-0.12,0.05,-0.08,0.02,0.03,-0.03,-0.01,-0.0
MOD can ~ MOD shall,p3,0.02,-0.19,0.08,0.15,-0.01,-0.08,-0.04,0.1,-0.03,-0.01,-0.0
PAST ~ PRES PART,p3,-0.11,0.08,-0.06,-0.05,0.06,-0.01,0.16,-0.03,-0.03,-0.01,-0.0
MOD could,p3,0.09,0.01,-0.06,-0.05,0.06,-0.08,-0.04,0.1,-0.03,-0.01,-0.0
FUT ~ MOD lest,p3,-0.31,0.21,-0.06,-0.12,-0.01,-0.08,-0.04,0.44,-0.03,-0.01,-0.0
MOD should,p1,0.41,-0.12,-0.12,-0.05,-0.01,-0.08,-0.04,0.04,-0.03,-0.01,-0.0
MOD shall ~ TO INF,p3,-0.17,0.1,0.02,0.1,-0.08,-0.08,0.03,0.04,-0.03,0.06,-0.0
PRES PERF,p3,-0.31,-0.05,-0.05,-0.05,0.42,-0.0,0.03,0.04,-0.03,-0.01,-0.0
PAST ~ PRES,p1,0.12,-0.05,-0.12,-0.12,-0.08,0.07,0.24,-0.03,-0.03,-0.01,-0.0
PAST ~ PRES,p2,0.12,-0.05,-0.12,-0.12,-0.08,0.35,-0.04,-0.03,-0.03,-0.01,-0.0
MOD may ~ MOD shall,p2,0.26,0.1,-0.05,-0.12,-0.08,-0.08,-0.04,0.04,-0.03,-0.01,-0.0
FUT ~ IMPV,p2,-0.09,0.17,-0.05,-0.05,-0.08,0.14,0.03,-0.03,-0.03,-0.01,-0.0
MOD shall ~ PRES,p1,-0.0,0.12,0.03,0.04,-0.08,0.0,-0.04,-0.03,-0.03,-0.01,-0.0
MOD should ~ PRES,p2,0.15,0.12,-0.04,-0.12,-0.0,-0.08,0.03,-0.03,-0.03,-0.01,-0.0
MOD must,p3,-0.0,0.04,-0.04,-0.04,-0.0,0.0,0.03,-0.03,0.05,-0.01,-0.0
MOD can ~ MOD may,p3,-0.0,0.12,0.03,0.04,-0.0,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
MOD let ~ MOD shall,p3,-0.08,-0.04,0.03,-0.04,0.08,0.0,-0.04,0.05,0.05,-0.01,-0.0
FUT ~ TO INF,p3,-0.23,0.04,-0.12,0.04,0.15,0.08,0.11,-0.03,-0.03,-0.01,-0.0
FUT ~ MOD would,p3,0.08,-0.19,0.03,0.11,0.08,-0.08,-0.04,0.05,-0.03,-0.01,-0.0
PRES PART,p2,0.28,0.06,-0.12,-0.12,-0.08,0.09,-0.04,-0.03,-0.03,-0.01,-0.0
MOD can ~ PRES,p2,0.36,0.06,-0.12,-0.12,-0.08,0.01,-0.04,-0.03,-0.03,-0.01,-0.0
FUT ~ MOD may,p1,-0.31,0.08,-0.03,-0.12,-0.08,0.2,0.23,-0.03,-0.03,0.08,-0.0
MOD shall ~ MOD should,p1,0.6,-0.1,-0.12,-0.12,-0.08,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
MOD let ~ PRES,p3,-0.22,-0.1,-0.12,-0.03,0.01,0.2,0.05,-0.03,0.16,0.08,-0.0
PAST ~ PRES PERF,p3,-0.13,-0.19,-0.12,-0.03,0.19,-0.08,-0.04,0.06,0.34,-0.01,-0.0
IMPV ~ MOD may,p2,0.15,0.26,-0.12,-0.12,-0.08,-0.08,0.05,-0.03,-0.03,-0.01,-0.0
PRES ~ TO INF,p3,-0.13,0.08,-0.03,-0.12,-0.08,0.2,0.14,-0.03,-0.03,-0.01,-0.0
MOD must,p2,0.19,0.11,-0.02,-0.02,-0.08,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
IMPV ~ MOD must,p2,0.29,0.01,-0.02,-0.12,-0.08,-0.08,-0.04,-0.03,0.07,-0.01,-0.0
PRES PERF,p2,0.19,0.11,-0.12,-0.12,-0.08,0.12,-0.04,-0.03,-0.03,-0.01,-0.0
PRES ~ PRES PART,p2,0.69,-0.19,-0.12,-0.12,-0.08,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
MOD shall ~ TO INF,p2,0.09,0.11,-0.12,0.18,-0.08,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
FUT ~ MOD would,p1,0.14,0.03,-0.01,-0.01,-0.08,-0.08,0.07,-0.03,-0.03,-0.01,-0.0
FUT ~ PAST,p3,-0.09,-0.08,0.21,-0.01,0.03,-0.08,-0.04,-0.03,-0.03,0.1,-0.0
FUT ~ PRES PART,p3,0.25,0.03,-0.12,-0.12,0.03,-0.08,-0.04,-0.03,-0.03,0.1,-0.0
TO INF,p2,-0.09,0.25,-0.01,-0.12,-0.08,0.15,-0.04,-0.03,-0.03,-0.01,-0.0
HAB used to ~ PAST,p3,-0.09,0.03,-0.12,-0.01,0.26,-0.08,-0.04,0.08,-0.03,-0.01,-0.0
IMPV ~ MOD can,p3,-0.31,0.81,-0.12,-0.12,-0.08,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
IMPV ~ PRES,p3,-0.2,0.14,0.1,0.1,-0.08,0.04,-0.04,-0.03,-0.03,-0.01,-0.0
FUT ~ MOD would,p2,0.36,-0.08,-0.12,-0.12,-0.08,0.15,-0.04,-0.03,-0.03,-0.01,-0.0
MOD should ~ PRES,p3,-0.2,-0.08,-0.12,0.22,0.37,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
MOD may,p1,-0.18,0.18,-0.12,-0.12,-0.08,-0.08,0.33,0.1,-0.03,-0.01,-0.0
FUT ~ MOD can,p1,0.19,0.18,0.0,-0.12,-0.08,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
PAST ~ PRES PERF,p2,-0.18,-0.07,-0.12,-0.12,-0.08,0.67,-0.04,-0.03,-0.03,-0.01,-0.0
FUT ~ MOD can,p2,0.19,0.18,-0.12,-0.12,-0.08,-0.08,0.08,-0.03,-0.03,-0.01,-0.0
MOD shall ~ PAST,p3,-0.06,-0.19,0.13,0.01,0.17,-0.08,-0.04,0.1,-0.03,-0.01,-0.0
MOD would ~ PRES,p2,0.07,-0.07,-0.12,0.01,-0.08,0.05,0.08,-0.03,0.1,-0.01,-0.0
MOD shall ~ MOD should,p3,-0.18,0.06,-0.12,0.13,0.3,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
MOD can ~ PRES,p1,0.12,0.24,-0.12,-0.12,0.06,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
FUT ~ MOD lest,p2,-0.31,0.81,-0.12,-0.12,-0.08,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
FUT ~ MOD let,p1,-0.02,0.1,0.02,-0.12,-0.08,0.07,-0.04,-0.03,0.12,-0.01,-0.0
MOD should ~ PRES,p1,0.12,-0.05,0.02,-0.12,-0.08,-0.08,0.24,-0.03,-0.03,-0.01,-0.0
PAST ~ PRES PERF,p1,-0.02,-0.05,-0.12,-0.12,-0.08,0.07,0.39,-0.03,-0.03,-0.01,-0.0
MOD should ~ MOD would,p3,-0.17,-0.19,-0.12,0.31,-0.08,-0.08,0.1,0.11,0.12,-0.01,-0.0
MOD must,p1,0.55,-0.19,-0.12,-0.12,-0.08,-0.08,0.1,-0.03,-0.03,-0.01,-0.0
IMPV ~ MOD let,p3,-0.02,-0.19,0.02,0.17,-0.08,0.07,-0.04,-0.03,0.12,-0.01,-0.0
MOD must ~ PRES,p3,-0.14,-0.02,-0.12,0.22,-0.08,-0.08,-0.04,0.3,-0.03,-0.01,-0.0
MOD can ~ MOD may,p1,0.19,-0.02,-0.12,-0.12,-0.08,-0.08,0.29,-0.03,-0.03,-0.01,-0.0
FUT ~ MOD should,p3,0.19,-0.19,0.21,0.05,-0.08,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
MOD was to ~ PAST,p3,0.19,-0.19,-0.12,-0.12,0.26,-0.08,0.12,-0.03,-0.03,-0.01,-0.0
MOD may ~ TO INF,p3,-0.11,0.01,-0.12,-0.12,-0.08,-0.08,0.56,-0.03,-0.03,-0.01,-0.0
MOD would ~ PRES,p3,0.29,-0.19,0.08,0.08,-0.08,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
PAST ~ PAST PERF,p3,0.09,0.01,0.28,-0.12,-0.08,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
MOD let,p1,-0.11,0.41,-0.12,0.08,-0.08,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
MOD is to,p3,-0.11,-0.19,-0.12,0.48,0.12,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
PRES ~ PRES PERF,p1,0.29,-0.19,-0.12,0.08,-0.08,-0.08,0.16,-0.03,-0.03,-0.01,-0.0
MOD let ~ MOD must,p3,0.09,0.01,0.08,-0.12,-0.08,-0.08,-0.04,0.17,-0.03,-0.01,-0.0
MOD can ~ MOD may,p2,0.09,0.21,0.08,-0.12,-0.08,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
FUT ~ MOD let,p3,-0.11,-0.19,-0.12,-0.12,-0.08,0.12,-0.04,-0.03,0.37,0.19,-0.0
IMPV ~ PRES PART,p2,0.29,0.21,-0.12,-0.12,-0.08,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
MOD may ~ MOD must,p3,0.29,-0.19,0.28,-0.12,-0.08,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
FUT ~ MOD may,p2,0.49,-0.19,-0.12,-0.12,-0.08,-0.08,-0.04,0.17,-0.03,-0.01,-0.0
MOD may ~ MOD must,p2,0.09,0.41,-0.12,-0.12,-0.08,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
PAST ~ PAST PROG,p3,0.09,0.01,0.28,-0.12,-0.08,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
MOD shall ~ TO INF,p1,0.49,-0.19,-0.12,-0.12,-0.08,-0.08,0.16,-0.03,-0.03,-0.01,-0.0
MOD let ~ MOD may,p3,-0.06,-0.19,0.13,0.13,-0.08,-0.08,-0.04,-0.03,0.22,-0.01,-0.0
IMPV,p3,0.19,0.06,-0.12,0.13,-0.08,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
MOD could ~ PAST,p3,-0.31,0.31,0.13,-0.12,0.17,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
MOD lest ~ MOD may,p3,-0.31,0.06,0.63,-0.12,-0.08,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
PAST ~ TO INF,p3,0.19,-0.19,0.13,-0.12,0.17,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
FUT ~ TO INF,p1,-0.31,0.06,0.13,-0.12,-0.08,0.42,-0.04,-0.03,-0.03,-0.01,-0.0
FUT going-to ~ MOD shall,p2,0.69,-0.19,-0.12,-0.12,-0.08,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
MOD must ~ MOD shall,p1,0.19,0.06,-0.12,-0.12,-0.08,0.17,-0.04,-0.03,-0.03,-0.01,-0.0
MOD was to,p3,-0.31,0.06,0.38,0.13,-0.08,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
MOD could,p1,0.44,0.06,-0.12,-0.12,-0.08,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
FUT ~ MOD must,p3,-0.31,-0.19,0.38,0.13,-0.08,0.17,-0.04,-0.03,-0.03,-0.01,-0.0
MOD should,p2,0.19,0.31,-0.12,-0.12,-0.08,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
IMPV ~ TO INF,p2,-0.31,0.81,-0.12,-0.12,-0.08,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
FUT ~ PAST,p1,-0.06,0.31,-0.12,-0.12,-0.08,-0.08,0.21,-0.03,-0.03,-0.01,-0.0
PRES ~ PRES PROG,p3,-0.06,-0.19,0.13,-0.12,0.17,-0.08,-0.04,-0.03,0.22,-0.01,-0.0
MOD can ~ PAST,p3,-0.31,0.06,0.13,0.13,0.17,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
MOD can ~ MOD shall,p2,-0.06,0.31,0.13,-0.12,-0.08,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
MOD could ~ MOD must,p1,0.69,-0.19,-0.12,-0.12,-0.08,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
HAB used to,p3,0.02,-0.19,0.55,-0.12,-0.08,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
?VB ~ PAST,p3,0.02,0.48,-0.12,-0.12,-0.08,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
PRES ~ PRES PROG,p2,0.02,-0.19,0.21,0.22,-0.08,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
IMPV ~ PAST,p2,0.02,0.14,-0.12,-0.12,-0.08,-0.08,0.29,-0.03,-0.03,-0.01,-0.0
PRES PART ~ TO INF,p3,-0.31,0.48,-0.12,-0.12,-0.08,0.26,-0.04,-0.03,-0.03,-0.01,-0.0
MOD lest ~ PRES,p3,-0.31,0.48,-0.12,-0.12,-0.08,-0.08,-0.04,0.3,-0.03,-0.01,-0.0
PRES PERF ~ TO INF,p1,-0.31,-0.19,-0.12,-0.12,-0.08,-0.08,0.96,-0.03,-0.03,-0.01,-0.0
PRES PERF,p1,0.02,0.14,-0.12,-0.12,-0.08,0.26,-0.04,-0.03,-0.03,-0.01,-0.0
MOD can ~ PRES PART,p3,-0.31,-0.19,0.55,-0.12,-0.08,-0.08,-0.04,0.3,-0.03,-0.01,-0.0
MOD can ~ TO INF,p3,0.02,0.14,-0.12,0.22,-0.08,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
IMPV ~ MOD let,p2,0.36,0.14,-0.12,-0.12,-0.08,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
MOD shall ~ PRES PERF,p2,0.02,0.14,0.21,-0.12,-0.08,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
MOD VB ~ MOD may,p3,-0.31,0.14,0.21,-0.12,-0.08,-0.08,-0.04,-0.03,0.31,-0.01,-0.0
MOD would ~ PRES,p1,0.36,0.14,-0.12,-0.12,-0.08,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
FUT ~ MOD should,p2,0.36,0.14,-0.12,-0.12,-0.08,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
FUT ~ MOD must,p1,0.02,0.14,-0.12,0.22,-0.08,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
MOD must ~ PRES,p1,0.69,-0.19,-0.12,-0.12,-0.08,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
MOD might,p3,-0.31,-0.19,-0.12,0.22,0.59,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
FUT ~ TO INF,p2,0.36,-0.19,-0.12,0.22,-0.08,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
MOD shall ~ MOD would,p3,0.36,-0.19,-0.12,-0.12,-0.08,-0.08,-0.04,0.3,-0.03,-0.01,-0.0
PAST PERF,p3,-0.31,-0.19,0.55,-0.12,-0.08,-0.08,-0.04,0.3,-0.03,-0.01,-0.0
FUT ~ IMPV,p3,-0.31,-0.19,-0.12,0.55,-0.08,0.26,-0.04,-0.03,-0.03,-0.01,-0.0
MOD might ~ MOD should,p3,0.02,-0.19,-0.12,-0.12,0.26,-0.08,-0.04,0.3,-0.03,-0.01,-0.0
FUT ~ MOD that be,p3,-0.31,0.14,-0.12,-0.12,-0.08,-0.08,-0.04,0.64,-0.03,-0.01,-0.0
MOD would ~ TO INF,p1,-0.31,-0.19,0.38,0.38,-0.08,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
PAST ~ PAST PERF,p1,0.19,-0.19,-0.12,0.38,-0.08,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
MOD might ~ PAST,p3,-0.31,-0.19,-0.12,-0.12,-0.08,-0.08,0.46,-0.03,0.47,-0.01,-0.0
MOD could ~ MOD might,p3,-0.31,-0.19,-0.12,-0.12,0.42,-0.08,-0.04,0.47,-0.03,-0.01,-0.0
MOD can ~ TO INF,p1,0.19,0.31,-0.12,-0.12,-0.08,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
MOD could ~ MOD would,p1,0.19,0.31,-0.12,-0.12,-0.08,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
MOD could ~ MOD would,p3,0.19,-0.19,-0.12,0.38,-0.08,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
MOD might ~ PAST,p1,-0.31,-0.19,-0.12,-0.12,-0.08,-0.08,0.96,-0.03,-0.03,-0.01,-0.0
MOD must ~ PRES,p2,-0.31,0.81,-0.12,-0.12,-0.08,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
MOD would ~ PAST,p1,-0.31,0.31,-0.12,-0.12,-0.08,0.42,-0.04,-0.03,-0.03,-0.01,-0.0
FUT ~ PAST,p2,-0.31,0.31,-0.12,-0.12,-0.08,0.42,-0.04,-0.03,-0.03,-0.01,-0.0
PRES ~ PRES PART,p1,0.69,-0.19,-0.12,-0.12,-0.08,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
MOD should ~ TO INF,p2,0.69,-0.19,-0.12,-0.12,-0.08,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
MOD shall ~ MOD should,p2,-0.31,0.81,-0.12,-0.12,-0.08,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
MOD can ~ MOD let,p1,0.19,0.31,-0.12,-0.12,-0.08,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
MOD shall ~ MOD would,p1,0.69,-0.19,-0.12,-0.12,-0.08,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
PRES ~ TO INF,p2,-0.31,-0.19,-0.12,-0.12,-0.08,0.92,-0.04,-0.03,-0.03,-0.01,-0.0
MOD shall ~ PAST,p2,0.19,-0.19,0.38,-0.12,-0.08,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
MOD let ~ TO INF,p3,-0.31,-0.19,0.38,-0.12,-0.08,-0.08,0.46,-0.03,-0.03,-0.01,-0.0
MOD might ~ MOD would,p3,0.19,-0.19,0.38,-0.12,-0.08,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
IMPV ~ MOD can,p2,0.69,-0.19,-0.12,-0.12,-0.08,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
MOD is to ~ PRES PART,p2,-0.31,-0.19,-0.12,-0.12,-0.08,0.92,-0.04,-0.03,-0.03,-0.01,-0.0
MOD let ~ PRES,p1,-0.31,0.31,-0.12,-0.12,-0.08,0.42,-0.04,-0.03,-0.03,-0.01,-0.0
FUT ~ FUT going-to,p2,0.19,-0.19,-0.12,0.38,-0.08,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
FUT ~ PRES PROG,p1,0.19,-0.19,-0.12,-0.12,-0.08,0.42,-0.04,-0.03,-0.03,-0.01,-0.0
PAST ~ TO INF,p1,-0.31,0.31,-0.12,-0.12,-0.08,0.42,-0.04,-0.03,-0.03,-0.01,-0.0
MOD let,p2,-0.31,0.31,-0.12,-0.12,-0.08,0.42,-0.04,-0.03,-0.03,-0.01,-0.0
MOD may ~ PRES,p1,0.19,0.31,-0.12,-0.12,-0.08,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
FUT ~ PRES PERF,p3,-0.31,-0.19,-0.12,0.38,-0.08,0.42,-0.04,-0.03,-0.03,-0.01,-0.0
IMPV ~ MOD is to,p2,0.69,-0.19,-0.12,-0.12,-0.08,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
MOD lest,p3,-0.31,-0.19,-0.12,-0.12,-0.08,-0.08,0.96,-0.03,-0.03,-0.01,-0.0
MOD let ~ PRES,p2,0.19,0.31,-0.12,-0.12,-0.08,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
MOD may ~ PRES PART,p3,-0.31,0.31,-0.12,-0.12,-0.08,-0.08,0.46,-0.03,-0.03,-0.01,-0.0
FUT ~ PRES PART,p2,0.19,-0.19,0.38,-0.12,-0.08,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
MOD is to ~ MOD may,p3,0.19,-0.19,0.38,-0.12,-0.08,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
IMPV ~ MOD lest,p3,-0.31,0.31,0.38,-0.12,-0.08,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
FUT ~ PRES PERF,p1,-0.31,-0.19,-0.12,-0.12,-0.08,0.92,-0.04,-0.03,-0.03,-0.01,-0.0
FUT ~ FUT going-to,p3,-0.31,-0.19,-0.12,-0.12,0.92,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
IMPV ~ MOD must,p3,-0.31,-0.19,-0.12,0.88,-0.08,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
FUT ~ IMPV,p1,-0.31,0.81,-0.12,-0.12,-0.08,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
IMPV ~ MOD need not,p2,0.69,-0.19,-0.12,-0.12,-0.08,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
IMPV ~ PRES PERF,p3,0.69,-0.19,-0.12,-0.12,-0.08,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
HAB used to ~ PRES,p3,-0.31,-0.19,-0.12,-0.12,0.92,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
