,,xYq0,WxY0,WXYq,XYqt,xYqX,ZYq0,WYq0,WxYX,ZYqX,WYqX,CPen
IMPV ~ PRES,p3,-0.54,0.41,0.52,0.54,0.0,0.29,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD would,p2,1.54,0.0,-0.21,-0.21,0.0,0.84,0.0,0.0,0.0,0.0,0.0
MOD should ~ PRES,p3,-0.54,0.0,-0.21,1.1,2.47,0.0,0.0,0.0,0.0,0.0,0.0
MOD may,p1,-0.35,0.74,-0.22,-0.22,0.0,0.0,2.44,0.67,0.0,0.0,0.0
FUT ~ MOD can,p1,0.58,0.74,-0.0,-0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PRES PERF,p2,-0.35,0.0,-0.22,-0.22,0.0,5.33,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD can,p2,0.58,0.74,-0.22,-0.22,0.0,0.0,0.53,0.0,0.0,0.0,0.0
MOD shall ~ PAST,p3,0.0,-0.44,0.6,-0.0,0.9,0.0,0.0,0.67,0.0,0.0,0.0
MOD would ~ PRES,p2,0.15,0.0,-0.22,-0.0,0.0,0.33,0.53,0.0,0.71,0.0,0.0
MOD shall ~ MOD should,p3,-0.35,0.19,-0.22,0.62,1.7,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ PRES,p1,0.35,0.88,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD lest,p2,-0.97,5.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD let,p1,0.0,0.2,0.22,0.0,0.0,0.37,0.0,0.0,0.77,0.0,0.0
MOD should ~ PRES,p1,0.35,0.0,0.22,0.0,0.0,0.0,1.48,0.0,0.0,0.0,0.0
PAST ~ PRES PERF,p1,0.0,0.0,0.0,0.0,0.0,0.37,2.63,0.0,0.0,0.0,0.0
MOD should ~ MOD would,p3,-0.16,-0.44,0.0,1.4,0.0,0.0,0.58,0.72,0.77,0.0,0.0
MOD must,p1,2.35,-0.44,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0
IMPV ~ MOD let,p3,0.0,-0.44,0.22,0.71,0.0,0.37,0.0,0.0,0.77,0.0,0.0
MOD must ~ PRES,p3,-0.17,0.0,0.0,0.82,0.0,0.0,0.0,1.92,0.0,0.0,0.0
