eng_TAMsimp,person,TOTAL,xYq0,WxY0,WXYq,XYqt,ZYq0,xYqX,WYq0,ZYqX,WxYX,WYqX,CPen
MOD let ~ MOD must,p3,7,3,2,1,0,0,0,0,0,1,0,0
PAST ~ PRES PERF,p1,7,2,1,0,0,1,0,3,0,0,0,0
MOD can ~ PRES,p1,7,3,3,0,0,0,1,0,0,0,0,0
MOD let ~ PAST,p3,6,1,0,0,0,0,1,1,3,0,0,0
MOD may ~ MOD must,p3,6,3,0,2,0,0,0,1,0,0,0,0
FUT ~ MOD should,p3,6,3,0,2,1,0,0,0,0,0,0,0
FUT ~ TO INF,p1,6,0,1,1,0,2,0,2,0,0,0,0
MOD let ~ MOD should,p3,6,0,0,0,1,0,3,1,1,0,0,0
MOD must ~ PRES,p3,6,1,1,0,2,0,0,0,0,2,0,0
MOD was to ~ PAST,p3,6,3,0,0,0,0,2,1,0,0,0,0
PAST ~ TO INF,p3,6,3,0,1,0,0,1,1,0,0,0,0
MOD shall ~ TO INF,p1,5,4,0,0,0,0,0,1,0,0,0,0
PRES ~ PRES PERF,p1,5,3,0,0,1,0,0,1,0,0,0,0
MOD may ~ MOD must,p2,5,2,3,0,0,0,0,0,0,0,0,0
FUT ~ IMPV,p3,5,0,0,0,2,1,0,1,0,0,1,0
MOD is to,p3,5,1,0,0,3,0,1,0,0,0,0,0
MOD can ~ MOD may,p2,5,2,2,1,0,0,0,0,0,0,0,0
IMPV ~ PAST,p2,5,1,3,0,0,0,0,1,0,0,0,0
FUT ~ MOD may,p2,5,4,0,0,0,0,0,0,0,1,0,0
MOD let ~ TO INF,p1,5,0,0,0,0,2,0,3,0,0,0,0
MOD let ~ PRES PART,p3,5,1,1,2,1,0,0,0,0,0,0,0
PAST ~ PAST PROG,p3,5,2,1,2,0,0,0,0,0,0,0,0
MOD would ~ PRES,p3,5,3,0,1,1,0,0,0,0,0,0,0
?VB ~ MOD let,p3,5,1,0,0,1,0,3,0,0,0,0,0
PAST ~ PAST PERF,p3,5,2,1,2,0,0,0,0,0,0,0,0
IMPV ~ MOD should,p2,5,2,3,0,0,0,0,0,0,0,0,0
FUT ~ PAST,p1,4,1,2,0,0,0,0,1,0,0,0,0
MOD lest ~ MOD may,p3,4,0,1,3,0,0,0,0,0,0,0,0
FUT ~ MOD must,p3,4,0,0,2,1,1,0,0,0,0,0,0
MOD could,p1,4,3,1,0,0,0,0,0,0,0,0,0
MOD can ~ TO INF,p3,4,1,1,0,1,0,0,1,0,0,0,0
MOD was to,p3,4,0,1,2,1,0,0,0,0,0,0,0
MOD should,p2,4,2,2,0,0,0,0,0,0,0,0,0
PRES ~ PRES PROG,p3,4,1,0,1,0,0,1,0,1,0,0,0
MOD must ~ MOD shall,p1,4,2,1,0,0,1,0,0,0,0,0,0
MOD can ~ MOD shall,p2,4,1,2,1,0,0,0,0,0,0,0,0
MOD can ~ PAST,p3,4,0,1,1,1,0,1,0,0,0,0,0
FUT going-to ~ MOD shall,p2,4,4,0,0,0,0,0,0,0,0,0,0
MOD could ~ PAST,p3,4,0,2,1,0,0,1,0,0,0,0,0
TO INF,p1,4,0,0,0,0,0,0,4,0,0,0,0
MOD shall ~ PRES PERF,p2,3,1,1,1,0,0,0,0,0,0,0,0
MOD shall ~ MOD would,p3,3,2,0,0,0,0,0,0,0,1,0,0
IMPV ~ MOD let,p1,3,0,0,0,0,3,0,0,0,0,0,0
MOD could ~ MOD must,p1,3,3,0,0,0,0,0,0,0,0,0,0
PAST PERF,p3,3,0,0,2,0,0,0,0,0,1,0,0
MOD let ~ MOD may,p1,3,0,0,0,0,1,0,2,0,0,0,0
MOD would ~ PRES,p1,3,2,1,0,0,0,0,0,0,0,0,0
MOD could ~ MOD would,p1,3,1,1,0,0,1,0,0,0,0,0,0
MOD can ~ PRES PART,p3,3,0,0,2,0,0,0,0,0,1,0,0
MOD lest ~ PRES,p3,3,0,2,0,0,0,0,0,0,1,0,0
FUT ~ TO INF,p2,3,2,0,0,1,0,0,0,0,0,0,0
MOD can ~ MOD let,p1,3,2,1,0,0,0,0,0,0,0,0,0
MOD VB ~ MOD may,p3,3,0,1,1,0,0,0,0,1,0,0,0
HAB used to,p3,3,1,0,2,0,0,0,0,0,0,0,0
MOD let ~ MOD would,p3,3,0,0,1,0,0,0,0,2,0,0,0
FUT ~ MOD must,p1,3,1,1,0,1,0,0,0,0,0,0,0
FUT ~ MOD should,p2,3,2,1,0,0,0,0,0,0,0,0,0
MOD may ~ PRES,p1,3,1,1,0,0,0,0,1,0,0,0,0
PRES PERF ~ TO INF,p1,3,0,0,0,0,0,0,3,0,0,0,0
PRES PERF,p1,3,1,1,0,0,1,0,0,0,0,0,0
FUT ~ PRES PROG,p1,3,1,0,0,0,1,0,1,0,0,0,0
?VB ~ PAST,p3,3,1,2,0,0,0,0,0,0,0,0,0
PRES ~ PRES PROG,p2,3,1,0,1,1,0,0,0,0,0,0,0
MOD let ~ PRES,p1,3,0,1,0,0,1,0,1,0,0,0,0
PRES PART ~ TO INF,p3,3,0,2,0,0,1,0,0,0,0,0,0
MOD might ~ MOD should,p3,3,1,0,0,0,0,1,0,0,1,0,0
FUT ~ PRES PART,p1,3,0,1,0,0,2,0,0,0,0,0,0
MOD may ~ PRES PART,p3,3,0,1,0,0,0,0,2,0,0,0,0
MOD might,p3,3,0,0,0,1,0,2,0,0,0,0,0
FUT ~ MOD that be,p3,3,0,1,0,0,0,0,0,0,2,0,0
MOD must ~ PRES,p1,3,3,0,0,0,0,0,0,0,0,0,0
FUT ~ FUT going-to,p2,2,1,0,0,1,0,0,0,0,0,0,0
MOD that be,p3,2,0,0,1,0,0,0,1,0,0,0,0
FUT ~ FUT going-to,p1,2,1,0,0,0,0,0,1,0,0,0,0
PRES ~ TO INF,p2,2,0,0,0,0,2,0,0,0,0,0,0
MOD can ~ TO INF,p1,2,1,1,0,0,0,0,0,0,0,0,0
?VB ~ MOD shall,p3,2,0,1,0,0,0,1,0,0,0,0,0
?VB ~ MOD must,p3,2,0,0,1,0,0,1,0,0,0,0,0
?VB,p3,2,0,0,0,0,0,2,0,0,0,0,0
MOD should ~ TO INF,p2,2,2,0,0,0,0,0,0,0,0,0,0
PAST ~ PAST PERF,p1,2,1,0,0,1,0,0,0,0,0,0,0
PRES ~ PRES PART,p1,2,2,0,0,0,0,0,0,0,0,0,0
MOD would ~ PAST,p1,2,0,1,0,0,1,0,0,0,0,0,0
IMPV ~ PAST,p3,2,0,0,1,0,0,1,0,0,0,0,0
IMPV ~ MOD should,p3,2,1,0,0,0,0,1,0,0,0,0,0
FUT ~ PAST,p2,2,0,1,0,0,1,0,0,0,0,0,0
PAST ~ TO INF,p1,2,0,1,0,0,1,0,0,0,0,0,0
IMPV ~ MOD must,p3,2,0,0,0,1,0,1,0,0,0,0,0
MOD would ~ TO INF,p1,2,0,0,1,1,0,0,0,0,0,0,0
FUT ~ PRES PART,p2,2,1,0,1,0,0,0,0,0,0,0,0
FUT ~ PRES PERF,p3,2,0,0,0,1,1,0,0,0,0,0,0
IMPV ~ MOD lest,p3,2,0,1,1,0,0,0,0,0,0,0,0
IMPV ~ MOD is to,p2,2,2,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD can,p2,2,2,0,0,0,0,0,0,0,0,0,0
