,,xYq0,WxY0,WXYq,XYqt,ZYq0,xYqX,WYq0,ZYqX,WxYX,WYqX,CPen
FUT ~ MOD may,p3,0.08,1.14,0.57,0.58,0.77,0.42,4.81,2.12,4.07,7.83,0.0
FUT ~ PRES,p1,1.38,0.76,1.15,0.62,3.3,0.0,1.0,0.0,0.0,0.0,0.0
PAST ~ PRES,p3,1.02,0.59,1.25,1.7,1.15,1.3,0.8,0.45,0.7,0.0,0.0
FUT ~ MOD shall,p1,3.63,1.36,0.32,0.16,0.43,0.24,0.8,0.0,0.0,0.0,0.0
MOD would,p3,0.73,0.19,0.51,3.16,0.94,1.36,1.78,0.96,2.31,0.0,0.0
MOD shall,p1,12.26,0.41,0.0,0.0,0.72,0.0,0.28,0.0,0.0,0.0,0.0
PRES ~ PRES PART,p3,0.97,1.23,0.17,1.66,1.58,1.13,0.89,0.0,1.6,0.0,0.0
MOD can,p1,3.92,2.11,0.19,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall,p2,2.73,1.41,0.61,0.62,0.26,0.93,0.0,0.0,0.0,0.0,0.0
MOD may,p1,0.06,0.38,0.0,0.0,0.28,0.0,78.89,0.0,0.94,0.0,0.0
MOD may ~ MOD shall,p3,0.0,0.0,4.12,4.69,0.0,1.04,1.11,1.97,1.99,1.83,0.0
FUT ~ MOD can,p3,0.63,1.05,2.19,3.4,0.0,1.07,0.36,0.0,0.0,0.0,0.0
FUT ~ PRES,p2,2.37,2.05,0.23,0.0,1.38,0.0,0.78,0.0,0.0,0.0,0.0
TO INF,p3,0.22,1.16,0.0,0.5,1.43,0.0,14.39,0.0,1.08,0.0,0.0
IMPV ~ MOD shall,p3,1.13,0.29,1.76,1.11,0.33,2.68,0.0,0.71,3.58,0.0,0.0
MOD should,p3,0.66,0.15,0.54,0.27,0.0,8.65,0.89,1.57,5.3,0.0,0.0
MOD can,p2,4.54,1.3,0.26,0.27,0.74,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ PRES,p3,0.08,0.5,0.27,1.6,0.76,4.37,1.42,3.52,1.22,7.55,0.0
IMPV,p3,0.35,0.15,0.56,1.6,0.37,3.01,1.97,2.54,5.5,2.32,0.0
PAST,p2,1.53,1.87,0.63,0.0,3.03,0.0,0.49,0.0,0.0,0.0,0.0
MOD may,p2,3.67,1.55,0.0,0.0,0.41,0.0,1.6,0.0,0.0,0.0,0.0
PRES PART,p3,1.05,1.72,1.49,0.69,2.01,0.0,0.53,0.0,0.0,0.0,0.0
MOD can ~ PRES,p3,0.56,0.39,1.07,1.08,0.44,9.25,0.0,0.0,1.47,0.0,0.0
FUT ~ MOD may,p1,0.0,0.93,0.35,0.0,3.7,0.0,13.49,0.0,0.0,3.03,0.0
MOD would,p1,1.42,1.92,0.0,0.36,3.7,0.0,0.58,0.0,0.0,0.0,0.0
MOD would ~ PAST,p3,0.83,3.0,1.72,0.38,0.0,0.57,0.0,1.07,1.67,0.0,0.0
MOD can ~ MOD shall,p1,10.09,0.23,0.0,0.0,0.0,0.0,1.4,0.0,1.84,0.0,0.0
MOD may ~ TO INF,p3,0.12,0.24,0.0,0.0,0.0,0.0,77.04,0.0,0.0,3.66,0.0
IMPV ~ PRES,p2,0.84,5.19,0.45,0.98,0.61,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PERF,p3,0.44,0.55,0.45,2.22,0.61,2.34,0.74,4.45,2.04,0.0,0.0
MOD can ~ MOD may,p1,0.47,0.27,0.0,0.0,0.0,0.0,35.14,0.0,0.0,4.1,0.0
MOD let ~ PRES,p3,0.15,0.29,0.0,1.78,3.41,0.78,0.83,9.93,0.0,4.35,0.0
MOD can ~ MOD may,p3,0.73,1.43,1.09,1.11,0.0,0.78,2.85,0.0,0.0,4.35,0.0
MOD shall ~ PRES,p2,4.34,1.43,0.0,0.52,0.69,0.0,0.0,0.0,0.0,0.0,0.0
MOD would,p2,4.34,0.29,1.09,0.0,1.47,0.0,0.83,0.0,0.0,0.0,0.0
PRES ~ PRES PERF,p2,3.04,2.12,0.0,0.0,1.58,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD lest,p3,0.0,3.63,0.54,0.0,0.0,0.83,0.0,0.0,29.23,0.0,0.0
MOD shall ~ PRES PART,p3,1.42,1.07,1.89,0.0,0.0,1.78,0.89,0.0,2.45,0.0,0.0
IMPV ~ MOD may,p3,0.0,0.31,0.54,1.92,0.74,4.17,4.45,3.38,0.0,0.0,0.0
PAST ~ PRES PART,p3,0.59,1.69,0.58,0.59,0.79,1.92,3.33,0.0,0.0,0.0,0.0
MOD can ~ MOD shall,p3,1.18,0.0,2.05,3.02,0.0,0.89,0.0,0.0,5.67,0.0,0.0
MOD shall ~ TO INF,p3,0.36,1.69,1.26,2.08,0.0,0.0,2.05,0.0,2.62,4.97,0.0
MOD should,p1,4.74,0.33,0.0,0.59,0.0,0.89,0.95,0.0,2.62,0.0,0.0
PAST ~ PRES,p1,1.58,0.72,0.0,0.0,1.7,0.0,6.68,0.0,0.0,0.0,0.0
MOD could,p3,1.58,1.16,0.58,0.59,0.0,1.92,0.0,0.0,5.67,0.0,0.0
PRES ~ TO INF,p3,0.36,1.16,0.58,0.0,2.77,0.0,8.92,0.0,0.0,0.0,0.0
MOD let ~ MOD shall,p3,0.86,0.33,1.26,0.59,1.7,0.89,0.95,3.64,2.62,0.0,0.0
IMPV ~ PRES,p3,0.18,1.27,1.36,2.26,0.85,0.0,0.0,9.51,0.0,0.0,0.0
PRES PERF,p3,0.0,0.78,0.63,0.64,0.85,12.56,1.02,0.0,2.83,0.0,0.0
PAST ~ PRES,p2,1.77,0.78,0.0,0.0,8.34,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ MOD shall,p2,3.16,1.86,0.63,0.0,0.0,0.0,0.0,0.0,2.83,0.0,0.0
FUT ~ IMPV,p2,0.64,2.59,0.63,0.64,3.02,0.0,1.02,0.0,0.0,0.0,0.0
MOD shall ~ PRES,p1,1.05,2.07,1.49,1.51,0.92,0.0,0.0,0.0,0.0,0.0,0.0
MOD must,p3,1.05,1.4,0.68,0.69,0.92,1.04,1.11,1.97,0.0,0.0,0.0
FUT ~ TO INF,p3,0.2,1.4,0.0,1.51,2.01,3.75,2.42,0.0,0.0,0.0,0.0
FUT ~ MOD would,p3,1.48,0.0,1.49,2.49,0.0,2.27,0.0,0.0,3.06,0.0,0.0
MOD should ~ PRES,p2,2.03,2.07,0.68,0.0,0.0,1.04,1.11,0.0,0.0,0.0,0.0
MOD let ~ TO INF,p3,0.0,0.0,0.74,0.0,0.0,0.0,67.32,2.15,0.0,0.0,0.0
MOD can ~ PRES,p2,4.74,1.55,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD let,p2,2.37,4.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PART,p2,3.31,1.55,0.0,0.0,2.21,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ MOD should,p1,23.71,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PRES PERF,p3,0.52,0.0,0.0,0.83,0.0,4.69,0.0,13.59,3.68,0.0,0.0
FUT ~ MOD would,p1,1.35,1.03,0.82,0.83,1.1,0.0,2.96,0.0,0.0,0.0,0.0
IMPV ~ MOD may,p2,1.97,3.89,0.0,0.0,0.0,0.0,1.33,0.0,0.0,0.0,0.0
IMPV ~ MOD must,p2,4.14,1.03,0.82,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0
TO INF,p2,1.01,3.11,0.91,0.0,2.77,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PART,p2,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD let,p3,0.26,0.0,0.0,0.0,2.77,1.38,1.48,5.92,0.0,30.28,0.0
MOD must,p2,2.37,2.0,0.91,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PERF,p2,2.37,2.0,0.0,0.0,2.77,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ TO INF,p2,1.58,2.0,0.0,3.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ PRES,p3,0.26,0.52,0.91,3.56,0.0,8.34,0.0,0.0,0.0,0.0,0.0
MOD must,p1,8.29,0.0,0.0,0.0,1.38,0.0,1.66,0.0,0.0,0.0,0.0
IMPV ~ MOD can,p3,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAB used to ~ PAST,p3,0.68,1.33,0.0,1.04,0.0,6.25,0.0,0.0,4.6,0.0,0.0
FUT ~ PAST,p3,0.68,0.58,4.1,1.04,0.0,1.56,0.0,0.0,0.0,8.71,0.0
FUT ~ MOD would,p2,4.73,0.58,0.0,0.0,3.16,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES PART,p3,2.96,1.33,0.0,0.0,0.0,1.56,0.0,0.0,0.0,8.71,0.0
FUT ~ MOD let,p1,0.68,1.33,1.02,0.0,5.54,0.0,0.0,2.95,0.0,0.0,0.0
MOD is to ~ MOD let,p3,0.0,0.58,1.02,4.15,0.0,3.57,1.66,2.95,0.0,0.0,0.0
MOD shall ~ MOD should,p3,0.34,1.55,0.0,2.77,0.0,7.5,0.0,0.0,0.0,0.0,0.0
PAST ~ PRES PERF,p2,0.34,0.66,0.0,0.0,33.37,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD can,p1,2.37,2.79,1.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ PAST,p3,0.79,0.0,2.73,1.18,0.0,4.16,0.0,0.0,5.25,0.0,0.0
FUT ~ MOD can,p2,2.37,2.79,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0
MOD would ~ PRES,p2,1.42,0.66,0.0,1.18,1.58,0.0,1.9,3.37,0.0,0.0,0.0
MOD may ~ TO INF,p1,0.0,0.0,0.0,0.0,0.0,0.0,80.35,0.0,0.0,11.62,0.0
IMPV ~ PRES PART,p2,1.77,6.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ TO INF,p2,0.95,11.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD lest,p2,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ PRES,p1,1.77,0.78,1.36,0.0,0.0,0.0,5.33,0.0,0.0,0.0,0.0
MOD should ~ MOD would,p3,0.39,0.0,0.0,6.23,0.0,0.0,2.22,3.94,6.13,0.0,0.0
MOD let ~ MOD must,p3,1.77,1.86,1.36,0.0,0.0,0.0,0.0,0.0,6.13,0.0,0.0
PAST ~ PRES PERF,p1,0.95,0.78,0.0,0.0,1.84,0.0,10.0,0.0,0.0,0.0,0.0
MOD can ~ PRES,p1,1.77,3.49,0.0,0.0,0.0,2.08,0.0,0.0,0.0,0.0,0.0
MOD let ~ PAST,p3,0.47,0.0,0.0,0.0,0.0,2.49,2.66,23.74,0.0,0.0,0.0
MOD may ~ MOD must,p3,2.36,0.0,4.09,0.0,0.0,0.0,2.66,0.0,0.0,0.0,0.0
FUT ~ MOD should,p3,2.36,0.0,4.09,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ TO INF,p1,0.0,0.93,1.64,0.0,5.53,0.0,6.66,0.0,0.0,0.0,0.0
MOD let ~ MOD should,p3,0.0,0.0,0.0,1.66,0.0,12.5,2.66,4.72,0.0,0.0,0.0
MOD must ~ PRES,p3,0.47,0.93,0.0,4.15,0.0,0.0,0.0,0.0,18.46,0.0,0.0
MOD was to ~ PAST,p3,2.36,0.0,0.0,0.0,0.0,6.24,2.66,0.0,0.0,0.0,0.0
PAST ~ TO INF,p3,2.36,0.0,1.64,0.0,0.0,2.49,2.66,0.0,0.0,0.0,0.0
MOD shall ~ TO INF,p1,9.46,0.0,0.0,0.0,0.0,0.0,3.32,0.0,0.0,0.0,0.0
PRES ~ PRES PERF,p1,3.55,0.0,0.0,2.07,0.0,0.0,3.32,0.0,0.0,0.0,0.0
MOD may ~ MOD must,p2,1.58,6.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ IMPV,p3,0.0,0.0,0.0,5.53,2.76,0.0,3.32,0.0,0.0,17.43,0.0
MOD is to,p3,0.59,0.0,0.0,12.47,0.0,3.12,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD may,p2,1.58,3.1,2.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ PAST,p2,0.59,6.99,0.0,0.0,0.0,0.0,3.32,0.0,0.0,0.0,0.0
FUT ~ MOD may,p2,9.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.19,0.0,0.0
MOD let ~ TO INF,p1,0.0,0.0,0.0,0.0,7.38,0.0,20.0,0.0,0.0,0.0,0.0
MOD let ~ PRES PART,p3,0.59,1.16,5.46,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PAST PROG,p3,1.58,1.16,5.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PRES,p3,3.55,0.0,2.04,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?VB ~ MOD let,p3,0.59,0.0,0.0,2.07,0.0,18.75,0.0,0.0,0.0,0.0,0.0
PAST ~ PAST PERF,p3,1.58,1.16,5.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD should,p2,1.58,6.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PAST,p1,0.79,4.66,0.0,0.0,0.0,0.0,4.43,0.0,0.0,0.0,0.0
MOD lest ~ MOD may,p3,0.0,1.55,24.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD must,p3,0.0,0.0,8.19,2.76,3.69,0.0,0.0,0.0,0.0,0.0,0.0
MOD could,p1,7.1,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ TO INF,p3,0.79,1.55,0.0,2.76,0.0,0.0,4.43,0.0,0.0,0.0,0.0
MOD was to,p3,0.0,1.55,8.19,2.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should,p2,2.36,4.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PROG,p3,0.79,0.0,2.73,0.0,0.0,4.16,0.0,7.88,0.0,0.0,0.0
MOD must ~ MOD shall,p1,2.36,1.55,0.0,0.0,3.69,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD shall,p2,0.79,4.66,2.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ PAST,p3,0.0,1.55,2.73,2.76,0.0,4.16,0.0,0.0,0.0,0.0,0.0
FUT going-to ~ MOD shall,p2,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ PAST,p3,0.0,4.66,2.73,0.0,0.0,4.16,0.0,0.0,0.0,0.0,0.0
TO INF,p1,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
MOD shall ~ PRES PERF,p2,1.18,2.33,4.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ MOD would,p3,4.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.39,0.0,0.0
IMPV ~ MOD let,p1,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ MOD must,p1,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PERF,p3,0.0,0.0,16.38,0.0,0.0,0.0,0.0,0.0,18.39,0.0,0.0
MOD let ~ MOD may,p1,0.0,0.0,0.0,0.0,5.53,0.0,26.64,0.0,0.0,0.0,0.0
MOD would ~ PRES,p1,4.73,2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ MOD would,p1,1.18,2.33,0.0,0.0,5.53,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ PRES PART,p3,0.0,0.0,16.38,0.0,0.0,0.0,0.0,0.0,18.39,0.0,0.0
MOD lest ~ PRES,p3,0.0,9.32,0.0,0.0,0.0,0.0,0.0,0.0,18.39,0.0,0.0
FUT ~ TO INF,p2,4.73,0.0,0.0,4.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD let,p1,4.73,2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD VB ~ MOD may,p3,0.0,2.33,4.09,0.0,0.0,0.0,0.0,11.81,0.0,0.0,0.0
HAB used to,p3,1.18,0.0,16.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD would,p3,0.0,0.0,4.09,0.0,0.0,0.0,0.0,47.37,0.0,0.0,0.0
FUT ~ MOD must,p1,1.18,2.33,0.0,4.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD should,p2,4.73,2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ PRES,p1,1.18,2.33,0.0,0.0,0.0,0.0,6.65,0.0,0.0,0.0,0.0
PRES PERF ~ TO INF,p1,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
PRES PERF,p1,1.18,2.33,0.0,0.0,5.53,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES PROG,p1,1.18,0.0,0.0,0.0,5.53,0.0,6.65,0.0,0.0,0.0,0.0
?VB ~ PAST,p3,1.18,9.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PROG,p2,1.18,0.0,4.09,4.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ PRES,p1,0.0,2.33,0.0,0.0,5.53,0.0,6.65,0.0,0.0,0.0,0.0
PRES PART ~ TO INF,p3,0.0,9.32,0.0,0.0,5.53,0.0,0.0,0.0,0.0,0.0,0.0
MOD might ~ MOD should,p3,1.18,0.0,0.0,0.0,0.0,6.24,0.0,0.0,18.39,0.0,0.0
FUT ~ PRES PART,p1,0.0,2.33,0.0,0.0,22.15,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ PRES PART,p3,0.0,2.33,0.0,0.0,0.0,0.0,26.64,0.0,0.0,0.0,0.0
MOD might,p3,0.0,0.0,0.0,4.15,0.0,24.98,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD that be,p3,0.0,2.33,0.0,0.0,0.0,0.0,0.0,0.0,73.85,0.0,0.0
MOD must ~ PRES,p1,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ FUT going-to,p2,2.36,0.0,0.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD that be,p3,0.0,0.0,8.18,0.0,0.0,0.0,13.3,0.0,0.0,0.0,0.0
FUT ~ FUT going-to,p1,2.36,0.0,0.0,0.0,0.0,0.0,13.3,0.0,0.0,0.0,0.0
PRES ~ TO INF,p2,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ TO INF,p1,2.36,4.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?VB ~ MOD shall,p3,0.0,4.66,0.0,0.0,0.0,12.47,0.0,0.0,0.0,0.0,0.0
?VB ~ MOD must,p3,0.0,0.0,8.18,0.0,0.0,12.47,0.0,0.0,0.0,0.0,0.0
?VB,p3,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0
MOD should ~ TO INF,p2,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PAST PERF,p1,2.36,0.0,0.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PART,p1,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PAST,p1,0.0,4.66,0.0,0.0,11.06,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ PAST,p3,0.0,0.0,8.18,0.0,0.0,12.47,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD should,p3,2.36,0.0,0.0,0.0,0.0,12.47,0.0,0.0,0.0,0.0,0.0
FUT ~ PAST,p2,0.0,4.66,0.0,0.0,11.06,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ TO INF,p1,0.0,4.66,0.0,0.0,11.06,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD must,p3,0.0,0.0,0.0,8.3,0.0,12.47,0.0,0.0,0.0,0.0,0.0
MOD would ~ TO INF,p1,0.0,0.0,8.18,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES PART,p2,2.36,0.0,8.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES PERF,p3,0.0,0.0,0.0,8.3,11.06,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD lest,p3,0.0,4.66,8.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD is to,p2,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD can,p2,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ MOD might,p1,0.0,0.0,0.0,0.0,11.06,0.0,13.3,0.0,0.0,0.0,0.0
MOD can ~ MOD let,p3,0.0,0.0,8.18,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
??VB ~ MOD let,p3,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD should,p1,2.36,0.0,0.0,0.0,0.0,12.47,0.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD may,p3,2.36,0.0,8.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD that be,p3,0.0,0.0,0.0,0.0,0.0,12.47,0.0,0.0,36.79,0.0,0.0
MOD let ~ PRES,p2,2.36,4.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ MOD should,p2,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ MOD might,p3,0.0,0.0,0.0,0.0,0.0,12.47,0.0,0.0,36.79,0.0,0.0
MOD shall ~ MOD would,p1,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ PRES PERF,p3,0.0,0.0,0.0,0.0,11.06,0.0,0.0,23.63,0.0,0.0,0.0
MOD need not ~ MOD shall,p2,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ PAST,p2,2.36,0.0,8.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let,p2,0.0,4.66,0.0,0.0,11.06,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ PAST,p3,0.0,0.0,0.0,0.0,0.0,12.47,0.0,0.0,0.0,69.73,0.0
MOD must ~ PRES,p2,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ PRES PART,p2,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest,p3,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
MOD might ~ PAST,p3,0.0,0.0,0.0,0.0,0.0,0.0,13.3,23.63,0.0,0.0,0.0
MOD could ~ MOD would,p3,2.36,0.0,0.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD might ~ PAST,p1,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
MOD might ~ MOD would,p3,2.36,0.0,8.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT PERF,p3,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PART ~ PRES PERF,p1,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ MOD shall,p1,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0
MOD must ~ PRES PROG,p2,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
MOD may ~ MOD might,p3,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PART ~ TO INF,p2,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PART ~ PRES PERF,p3,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
