eng_TAMsimp,person,xYq0,WxY0,WXYq,XYqt,ZYq0,WYq0,xYqX,ZYqX,WxYX,WYqX,CPen
PAST ~ PAST PERF,p1,1,0,0,1,0,0,0,0,0,0,0
MOD can ~ TO INF,p1,1,1,0,0,0,0,0,0,0,0,0
MOD must ~ PRES,p2,0,2,0,0,0,0,0,0,0,0,0
MOD that be,p3,0,0,1,0,0,1,0,0,0,0,0
MOD could ~ MOD might,p3,0,0,0,0,0,0,1,0,1,0,0
IMPV ~ MOD should,p3,1,0,0,0,0,0,1,0,0,0,0
FUT ~ PRES PERF,p3,0,0,0,1,1,0,0,0,0,0,0
MOD might,p1,0,0,0,0,0,2,0,0,0,0,0
FUT ~ PAST,p2,0,1,0,0,1,0,0,0,0,0,0
MOD would ~ TO INF,p1,0,0,1,1,0,0,0,0,0,0,0
MOD might ~ PAST,p3,0,0,0,0,0,1,0,1,0,0,0
IMPV ~ PAST,p3,0,0,1,0,0,0,1,0,0,0,0
MOD need not ~ MOD shall,p2,0,2,0,0,0,0,0,0,0,0,0
PRES PART,p1,0,1,0,0,0,0,0,1,0,0,0
MOD may ~ PAST,p3,0,0,0,0,0,0,1,0,0,1,0
FUT ~ PRES PART,p2,1,0,1,0,0,0,0,0,0,0,0
MOD would ~ PAST,p1,0,1,0,0,1,0,0,0,0,0,0
MOD might ~ PAST,p1,0,0,0,0,0,2,0,0,0,0,0
MOD might ~ MOD would,p3,1,0,1,0,0,0,0,0,0,0,0
PAST ~ TO INF,p1,0,1,0,0,1,0,0,0,0,0,0
MOD is to ~ PRES PART,p2,0,0,0,0,2,0,0,0,0,0,0
MOD let ~ PRES PERF,p3,0,0,0,0,1,0,0,1,0,0,0
PRES ~ TO INF,p2,0,0,0,0,2,0,0,0,0,0,0
IMPV ~ MOD can,p2,2,0,0,0,0,0,0,0,0,0,0
MOD let ~ MOD that be,p3,0,0,0,0,0,0,1,0,1,0,0
MOD let ~ MOD would,p1,0,0,0,0,2,0,0,0,0,0,0
IMPV ~ MOD lest,p3,0,1,1,0,0,0,0,0,0,0,0
MOD lest,p3,0,0,0,0,0,2,0,0,0,0,0
MOD shall ~ PAST,p2,1,0,1,0,0,0,0,0,0,0,0
MOD could ~ MOD would,p3,1,0,0,1,0,0,0,0,0,0,0
MOD shall ~ MOD should,p2,0,2,0,0,0,0,0,0,0,0,0
MOD is to ~ MOD may,p3,1,0,1,0,0,0,0,0,0,0,0
MOD should ~ TO INF,p2,2,0,0,0,0,0,0,0,0,0,0
FUT ~ FUT going-to,p1,1,0,0,0,0,1,0,0,0,0,0
IMPV ~ MOD must,p3,0,0,0,1,0,0,1,0,0,0,0
FUT ~ FUT going-to,p2,1,0,0,1,0,0,0,0,0,0,0
MOD shall ~ MOD would,p1,2,0,0,0,0,0,0,0,0,0,0
FUT ~ PRES PERF,p1,0,0,0,0,1,0,0,0,0,0,0
IMPV,p1,0,1,0,0,0,0,0,0,0,0,0
MOD would ~ TO INF,p3,0,0,0,0,1,0,0,0,0,0,0
MOD would ~ PRES PART,p3,1,0,0,0,0,0,0,0,0,0,0
HAB used to ~ PRES,p3,0,0,0,0,0,0,1,0,0,0,0
MOD would ~ PAST PERF,p3,0,0,1,0,0,0,0,0,0,0,0
MOD should ~ PRES PERF,p2,0,0,0,0,0,1,0,0,0,0,0
MOD should ~ PAST,p3,0,0,0,0,0,0,1,0,0,0,0
MOD should ~ PRES PART,p1,0,0,0,0,0,1,0,0,0,0,0
FUT ~ PRES shall,p3,0,1,0,0,0,0,0,0,0,0,0
MOD was to ~ PRES,p2,1,0,0,0,0,0,0,0,0,0,0
MOD should ~ TO INF,p1,0,0,0,0,0,1,0,0,0,0,0
MOD ~ MOD let,p1,0,0,0,0,0,1,0,0,0,0,0
MOD let ~ MOD might,p3,0,0,0,0,0,1,0,0,0,0,0
MOD ~ PRES,p3,1,0,0,0,0,0,0,0,0,0,0
PRES ~ PRES PROG,p1,1,0,0,0,0,0,0,0,0,0,0
