eng_TAMsimp,person,xYq0,WxY0,WXYq,XYqt,xYqX,ZYq0,WYq0,WxYX,ZYqX,WYqX,CPen
FUT ~ MOD can,p3,4.75,5.43,4.75,3.45,12.67,inf,38.0,inf,inf,inf,inf
FUT ~ PRES,p2,1.94,3.5,35.0,inf,inf,8.75,17.5,inf,inf,inf,inf
IMPV ~ MOD shall,p3,3.09,17.0,5.67,8.5,5.67,34.0,inf,11.33,34.0,inf,inf
MOD may ~ MOD shall,p3,inf,inf,2.62,2.62,11.33,inf,34.0,34.0,17.0,34.0,inf
MOD can,p2,1.52,4.57,32.0,32.0,inf,16.0,inf,inf,inf,inf,inf
MOD should,p3,4.14,29.0,14.5,29.0,2.23,inf,inf,7.25,29.0,inf,inf
MOD may,p2,1.65,4.0,inf,inf,inf,28.0,9.33,inf,inf,inf,inf
PAST,p2,2.55,3.5,14.0,inf,inf,4.67,28.0,inf,inf,inf,inf
PRES PART,p3,3.25,3.71,6.5,13.0,inf,6.5,26.0,inf,inf,inf,inf
MOD can ~ PRES,p3,5.2,13.0,8.67,8.67,2.36,26.0,inf,26.0,inf,inf,inf
MOD let,p3,6.25,3.12,inf,inf,12.5,8.33,8.33,25.0,12.5,12.5,inf
MOD would ~ PAST,p3,3.83,2.56,5.75,23.0,23.0,inf,inf,23.0,23.0,inf,inf
MOD can ~ MOD shall,p1,1.24,21.0,inf,inf,inf,inf,10.5,21.0,inf,inf,inf
MOD would,p1,2.5,3.33,inf,20.0,inf,5.0,20.0,inf,inf,inf,inf
PRES ~ PRES PERF,p3,6.33,9.5,19.0,4.75,6.33,19.0,19.0,19.0,6.33,inf,inf
MOD would,p2,1.55,17.0,8.5,inf,inf,8.5,17.0,inf,inf,inf,inf
TO INF,p3,8.5,2.83,inf,8.5,inf,4.25,8.5,17.0,inf,inf,inf
MOD shall ~ PRES,p2,1.55,4.25,inf,17.0,inf,17.0,inf,inf,inf,inf,inf
PRES ~ PRES PERF,p2,1.78,3.2,inf,inf,inf,8.0,inf,inf,inf,inf,inf
IMPV ~ PRES,p2,4.0,2.0,16.0,8.0,inf,16.0,inf,inf,inf,inf,inf
MOD may ~ PRES,p3,16.0,5.33,inf,3.2,8.0,8.0,8.0,16.0,inf,inf,inf
MOD shall ~ PRES PART,p3,2.67,5.33,5.33,inf,8.0,inf,16.0,16.0,inf,inf,inf
MOD can ~ MOD shall,p3,3.0,inf,5.0,3.75,15.0,inf,inf,7.5,inf,inf,inf
PAST ~ PRES PART,p3,5.0,3.75,15.0,15.0,7.5,15.0,5.0,inf,inf,inf,inf
MOD could,p3,2.5,5.0,15.0,15.0,7.5,inf,inf,7.5,inf,inf,inf
FUT ~ MOD lest,p3,inf,2.5,15.0,inf,15.0,inf,inf,2.14,inf,inf,inf
MOD should,p1,1.4,14.0,inf,14.0,14.0,inf,inf,14.0,inf,inf,inf
