,prophetic,poetry,prose,instruction,list
FUT PROG ~ PRES,-0.25,-0.0,-0.24,1.19,0.0
MOD is to ~ PRES PART,-0.25,-0.0,0.77,0.0,0.0
PRES ~ PRES do,0.0,1.1,0.0,0.0,0.0
MOD may ~ PAST,0.0,0.32,0.34,0.0,0.0
MOD lest ~ MOD should,0.0,1.1,0.0,0.0,0.0
MOD should ~ PRES PERF,0.3,0.0,0.34,0.0,0.0
MOD lest ~ MOD shall,0.3,0.0,0.34,0.0,0.0
IMPV ~ MOD should,1.05,0.0,0.0,0.0,0.0
MOD is to ~ TO INF,0.0,0.32,0.34,0.0,0.0
MOD let ~ PAST,0.0,0.32,0.0,0.54,0.0
MOD need not ~ PRES,0.3,0.0,0.0,0.54,0.0
MOD need not ~ MOD shall,0.0,0.32,0.34,0.0,0.0
MOD let ~ TO INF,0.0,0.0,1.16,0.0,0.0
MOD can ~ MOD must,0.0,0.32,0.34,0.0,0.0
PAST PROG ~ PRES,0.3,0.32,0.0,0.0,0.0
MOD could ~ TO INF,0.0,0.32,0.34,0.0,0.0
MOD may ~ PRES PERF,0.0,0.32,0.0,0.54,0.0
PRES PROG,0.3,0.0,0.34,0.0,0.0
MOD must ~ MOD should,0.0,0.32,0.34,0.0,0.0
PRES ~ PRES can,0.0,0.0,0.58,0.0,0.0
PRES PART ~ PRES PROG,0.0,0.0,0.58,0.0,0.0
MOD was to ~ PRES,0.0,0.0,0.58,0.0,0.0
FUT PERF ~ PRES,0.0,0.0,0.58,0.0,0.0
HAB used to ~ MOD would,0.0,0.55,0.0,0.0,0.0
PRES ~ PRES shall,0.0,0.0,0.0,0.81,0.0
HAB used to ~ PRES,0.0,0.0,0.58,0.0,0.0
MOD would ~ PAST PERF,0.53,0.0,0.0,0.0,0.0
FUT PROG ~ MOD shall,0.0,0.0,0.0,0.81,0.0
FUT ~ PRES shall,0.0,0.0,0.0,0.81,0.0
FUT ~ FUT PROG,0.0,0.55,0.0,0.0,0.0
FUT going-to ~ MOD is to,0.53,0.0,0.0,0.0,0.0
FUT going-to ~ MOD lest,0.0,0.0,0.58,0.0,0.0
MOD would ~ PAST PROG,0.0,0.55,0.0,0.0,0.0
PAST PROG ~ PRES PART,0.53,0.0,0.0,0.0,0.0
MOD ~ PRES,0.0,0.0,0.58,0.0,0.0
PRES PERF ~ PRES PROG,0.0,0.55,0.0,0.0,0.0
FUT PERF,0.53,0.0,0.0,0.0,0.0
FUT ~ MOD,0.0,0.0,0.58,0.0,0.0
MOD let ~ MOD should,0.0,0.0,0.58,0.0,0.0
HAB used to ~ PRES PERF,0.0,0.55,0.0,0.0,0.0
MOD is to ~ PRES PROG,0.0,0.0,0.58,0.0,0.0
MOD might ~ PRES PERF,0.53,0.0,0.0,0.0,0.0
MOD could ~ PAST PERF,0.0,0.0,0.58,0.0,0.0
MOD could ~ PRES PERF,0.0,0.55,0.0,0.0,0.0
MOD is to ~ MOD lest,0.53,0.0,0.0,0.0,0.0
MOD is to ~ MOD should,0.0,0.0,0.58,0.0,0.0
MOD is to ~ PRES,0.0,0.0,0.58,0.0,0.0
MOD may ~ MOD would,0.0,0.0,0.58,0.0,0.0
MOD that be ~ TO INF,0.0,0.0,0.0,0.81,0.0
MOD lest ~ MOD let,0.0,0.0,0.58,0.0,0.0
MOD may ~ MOD should,0.0,0.55,0.0,0.0,0.0
MOD lest ~ MOD must,0.0,0.0,0.0,0.81,0.0
MOD lest ~ MOD that be,0.0,0.0,0.0,0.81,0.0
MOD let ~ PRES PERF,0.0,0.55,0.0,0.0,0.0
MOD let ~ PRES PART,0.0,0.0,0.58,0.0,0.0
MOD could ~ MOD shall,0.0,0.0,0.58,0.0,0.0
MOD must ~ MOD quest must,0.53,0.0,0.0,0.0,0.0
MOD must ~ PRES PART,0.0,0.0,0.58,0.0,0.0
MOD must ~ PRES PROG,0.0,0.55,0.0,0.0,0.0
MOD must ~ PRES shall,0.0,0.0,0.0,0.81,0.0
MOD must ~ TO INF,0.0,0.0,0.58,0.0,0.0
MOD can ~ MOD lest,0.0,0.0,0.58,0.0,0.0
