eng_TAM,cl_args_simp,qtl,Ø,wayq,yqtl,impv,wqtl,infc,ptcp,infa
PRES.PROG.IND,_W_V,2,0,0,0,0,0,0,0,0
PRES..IND,IOV,2,0,0,0,0,0,0,0,0
PRES..MOD,OV,1,1,0,0,0,0,0,0,0
PRES..IND,OSV,1,1,0,0,0,0,0,0,0
PAST.PERF.IND,_W__LW_V,0,1,0,0,0,0,1,0,0
PRES..IND,_W_IV,0,0,0,1,0,1,0,0,0
PRES..,_W_SV,0,1,0,0,0,0,0,1,0
PAST.PERF.IND,_KJ__LWL>_V,0,1,0,0,1,0,0,0,0
PRES..MOD,RV,0,1,0,0,0,1,0,0,0
PRES..IND,_>M_SV,1,0,0,1,0,0,0,0,0
PAST.PROG.IND,SV,0,1,1,0,0,0,0,0,0
PRES..,OV,1,0,0,0,0,0,0,0,0
PRES..,_>R_V,0,0,0,1,0,0,0,0,0
PRES..,_KJ__>M_V,0,0,0,1,0,0,0,0,0
PRES.PROG.IND,ISV,1,0,0,0,0,0,0,0,0
PRES..,_KJ_V,0,1,0,0,0,0,0,0,0
PAST.PROG.IND,_W_V,0,0,1,0,0,0,0,0,0
PAST..IND,_>W_QV,1,0,0,0,0,0,0,0,0
PRES.PERF_PROG.IND,_KJ_V,0,0,0,1,0,0,0,0,0
PAST..IND,VSV,0,0,1,0,0,0,0,0,0
PAST..IND,_>R_SV,0,1,0,0,0,0,0,0,0
PRES..IND,_W_ISV,0,0,0,0,0,1,0,0,0
PAST..IND,_<L_V,1,0,0,0,0,0,0,0,0
PAST..IND,_>M_OV,1,0,0,0,0,0,0,0,0
PRES..,_W_OV,0,0,0,0,0,0,0,1,0
PRES.PERF.IND,_W__>M_OV,1,0,0,0,0,0,0,0,0
PAST.PERF.IND,_>W_V,0,0,0,1,0,0,0,0,0
PRES..,_W__KJ_V,1,0,0,0,0,0,0,0,0
PRES.PROG.IND,OSV,1,0,0,0,0,0,0,0,0
PRES.PROG.IND,OV,0,1,0,0,0,0,0,0,0
..,_BLT/_V,0,0,0,1,0,0,0,0,0
FUT..IND,IOV,1,0,0,0,0,0,0,0,0
FUT..IND,IV,0,1,0,0,0,0,0,0,0
FUT..IND,QV,0,0,0,0,0,0,0,1,0
PRES.PROG.IND,_KMW_V,0,1,0,0,0,0,0,0,0
PRES.PROG.IND,_KJ_V,0,1,0,0,0,0,0,0,0
FUT..IND,_KJ_IV,0,0,0,0,1,0,0,0,0
PRES..IND,_>R__>M_V,0,0,1,0,0,0,0,0,0
PRES..IND,ROV,0,1,0,0,0,0,0,0,0
PRES..IND,_KJ_ISV,0,0,0,0,1,0,0,0,0
PRES..IND,_KJ_IV,0,0,0,0,1,0,0,0,0
FUT..IND,_W_OV,0,0,0,0,0,1,0,0,0
PRES..IND,_KJ_QV,1,0,0,0,0,0,0,0,0
PRES..IND,_KJ__>M_SV,0,0,0,1,0,0,0,0,0
PRES..IND,_LWL>_V,0,0,0,1,0,0,0,0,0
PAST..IND,_>W_V,0,0,0,0,0,1,0,0,0
PRES.PERF.IND,_KJ_SOV,1,0,0,0,0,0,0,0,0
PAST..IND,_KJ_ISV,1,0,0,0,0,0,0,0,0
PAST..IND,__SV,1,0,0,0,0,0,0,0,0
PAST..SUBJ,IOV,1,0,0,0,0,0,0,0,0
PAST..SUBJ,OV,0,0,0,0,0,0,0,1,0
PRES..MOD,ISV,0,0,1,0,0,0,0,0,0
PRES..IND,_<QB/_V,0,1,0,0,0,0,0,0,0
PAST..SUBJ,_KJ_OV,1,0,0,0,0,0,0,0,0
PRES.PERF.IND,QOV,0,1,0,0,0,0,0,0,0
PAST..SUBJ,_LW_V,0,0,0,0,1,0,0,0,0
PAST..SUBJ,_W_OV,0,0,1,0,0,0,0,0,0
PRES.PERF.IND,OSV,1,0,0,0,0,0,0,0,0
PAST.PERF.IND,IOV,1,0,0,0,0,0,0,0,0
PRES..MOD,QV,0,0,0,0,0,1,0,0,0
PAST.PERF.IND,_LWL>_V,0,0,1,0,0,0,0,0,0
PAST.PERF.IND,_K_V,0,0,0,0,0,1,0,0,0
PAST.PERF.IND,_J<N/_OV,1,0,0,0,0,0,0,0,0
PAST.PERF.IND,_<D_V,1,0,0,0,0,0,0,0,0
PAST.PERF.IND,_<L_OV,0,1,0,0,0,0,0,0,0
PAST.PERF.IND,_>LW_V,0,1,0,0,0,0,0,0,0
PRES..IND,__V,0,1,0,0,0,0,0,0,0
PAST..IND,_ZWLH/_OV,0,1,0,0,0,0,0,0,0
PRES.PERF.IND,_PN_V,0,1,0,0,0,0,0,0,0
PRES.PERF.IND,RSV,1,0,0,0,0,0,0,0,0
PAST.PROG.IND,_<D_V,0,0,1,0,0,0,0,0,0
PAST.PERF.IND,_>M_SV,1,0,0,0,0,0,0,0,0
PAST..IND,_KJ__>M_OV,1,0,0,0,0,0,0,0,0
PAST.PERF.IND,__V,0,0,0,1,0,0,0,0,0
PAST..IND,_LWL>_SV,0,0,0,0,0,0,1,0,0
PAST..IND,_LW_V,0,1,0,0,0,0,0,0,0
PRES.PERF.IND,_>W_V,0,0,0,0,0,1,0,0,0
PRES..IND,_W_QV,0,1,0,0,0,0,0,0,0
PAST.PERF.IND,_W__KJ_OV,0,1,0,0,0,0,0,0,0
PAST..IND,_W_QSV,0,1,0,0,0,0,0,0,0
PAST.PERF.IND,_W__>M_V,1,0,0,0,0,0,0,0,0
PRES.PERF.IND,_>R_SV,1,0,0,0,0,0,0,0,0
PRES.PERF.IND,_>M_SV,0,0,0,1,0,0,0,0,0
PRES..IND,_W_RV,0,0,0,0,0,0,0,1,0
PRES.PERF.IND,_<D_V,0,0,0,0,0,1,0,0,0
PRES..IND,_W__>M_SV,0,1,0,0,0,0,0,0,0
PRES.PERF.IND,_<D_SV,1,0,0,0,0,0,0,0,0
PRES.PERF.IND,QSV,0,1,0,0,0,0,0,0,0
