eng_TAM,cl_args_simp,qtl,Ø,wayq,yqtl,impv,wqtl,infc,ptcp,infa
PAST.PERF.IND,_W__>R_V,0.67,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..SUBJ,_W_SV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..MOD,_W_OV,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0
PAST.PERF.IND,QOV,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..MOD,_LM<N_V,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0
PAST..IND,_W_QV,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,_W__>M_V,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0
PRES.PERF.IND,_>M_OV,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
PRES..IND,_<D_V,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0
PRES.PERF.IND,_>R__>M_V,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,QSV,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
FUT..IND,_KJ_OV,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
FUT..IND,_KJ_SV,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
PRES.PROG.IND,SV,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0
FUT.PERF.IND,_W_SOV,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,IOV,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PROG.IND,RV,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0
PAST..IND,RSV,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
PAST..IND,_W_OSV,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_W__>R_V,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
PRES.PERF.IND,_W_SOV,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0
PAST..IND,_>W_SV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_W_QV,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,_KJ_VSV,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_J<N/_OV,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_KJ__>M_V,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
past.PERF_PROG.IND,RV,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_W_IV,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_LWL>_SV,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PROG.IND,_W_V,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..IND,IOV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..MOD,OV,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..IND,OSV,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_W__LW_V,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0
PRES..IND,_W_IV,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
PRES..,_W_SV,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
PAST.PERF.IND,_KJ__LWL>_V,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
PRES..MOD,RV,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0
PRES..IND,_>M_SV,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
PAST.PROG.IND,SV,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
PRES..,OV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..,_>R_V,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PRES..,_KJ__>M_V,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PRES.PROG.IND,ISV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..,_KJ_V,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PROG.IND,_W_V,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,_>W_QV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF_PROG.IND,_KJ_V,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,VSV,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,_>R_SV,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..IND,_W_ISV,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PAST..IND,_<L_V,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,_>M_OV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..,_W_OV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
PRES.PERF.IND,_W__>M_OV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_>W_V,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PRES..,_W__KJ_V,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PROG.IND,OSV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PROG.IND,OV,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
..,_BLT/_V,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
FUT..IND,IOV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT..IND,IV,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT..IND,QV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
PRES.PROG.IND,_KMW_V,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PROG.IND,_KJ_V,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT..IND,_KJ_IV,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PRES..IND,_>R__>M_V,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..IND,ROV,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..IND,_KJ_ISV,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PRES..IND,_KJ_IV,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
FUT..IND,_W_OV,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PRES..IND,_KJ_QV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..IND,_KJ__>M_SV,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PRES..IND,_LWL>_V,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,_>W_V,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PRES.PERF.IND,_KJ_SOV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,_KJ_ISV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,__SV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..SUBJ,IOV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..SUBJ,OV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
PRES..MOD,ISV,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
