,,qtl,Ø,wayq,yqtl,impv,wqtl,infc,ptcp,infa
PRES.PERF.IND,_W__>M_OV,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_>W_V,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0
PRES..,_W__KJ_V,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PROG.IND,OSV,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PROG.IND,OV,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
..,_BLT/_V,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0
FUT..IND,IOV,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT..IND,IV,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT..IND,QV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0
PRES.PROG.IND,_KMW_V,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PROG.IND,_KJ_V,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT..IND,_KJ_IV,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
PRES..IND,_>R__>M_V,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
PRES..IND,ROV,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..IND,_KJ_ISV,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
PRES..IND,_KJ_IV,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
FUT..IND,_W_OV,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
PRES..IND,_KJ_QV,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..IND,_KJ__>M_SV,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0
PRES..IND,_LWL>_V,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0
PAST..IND,_>W_V,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
PRES.PERF.IND,_KJ_SOV,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,_KJ_ISV,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,__SV,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..SUBJ,IOV,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..SUBJ,OV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0
PRES..MOD,ISV,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
PRES..IND,_<QB/_V,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..SUBJ,_KJ_OV,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,QOV,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..SUBJ,_LW_V,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
PAST..SUBJ,_W_OV,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,OSV,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,IOV,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..MOD,QV,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
PAST.PERF.IND,_LWL>_V,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_K_V,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
PAST.PERF.IND,_J<N/_OV,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
