,,qtl,Ø,wayq,yqtl,impv,wqtl,infc,ptcp,infa
PRES.PERF.IND,_KJ_SV,-6.28,0.15,-6.74,5.52,3.43,7.88,-1.12,-0.74,0.8
PRES.PERF.IND,_>R_V,-2.37,-1.19,-4.26,6.76,0.52,2.37,0.69,2.1,0.0
PRES..IND,OV,0.88,-0.1,-2.22,2.18,0.0,-1.28,-0.94,1.63,0.0
PRES.PERF.IND,QV,-0.99,0.33,0.27,-0.39,0.24,-0.11,2.74,0.0,0.0
PAST.PERF.IND,_W_SV,0.18,-1.51,6.92,-2.43,-1.13,-0.94,-0.57,0.62,0.0
PAST.PERF.IND,_>R_V,-0.51,-4.23,10.24,-0.92,-0.93,-0.28,0.86,0.0,0.0
PRES..IND,_W_V,3.14,0.13,-1.94,-0.0,-0.75,0.0,-0.38,-0.39,0.0
PRES.PERF.IND,_W_OV,4.76,-0.77,-2.49,-0.64,-0.14,0.31,0.0,0.82,0.0
PRES.PERF.IND,_KJ_OV,-3.03,0.0,-2.8,1.47,6.15,0.87,-0.39,0.92,0.0
PRES..IND,_KJ_SV,-1.13,-0.88,-3.47,2.42,4.87,0.99,-0.19,0.0,2.59
PAST.PERF.IND,QV,-0.15,-0.76,1.67,-1.33,-0.58,0.0,2.86,0.56,0.0
PRES.PERF.IND,IV,-0.99,0.07,1.23,0.11,0.97,-0.38,0.0,-0.2,0.0
PAST..IND,_KJ_SV,-0.24,-0.82,0.55,0.85,0.17,0.17,0.0,0.21,0.0
PRES..IND,_W_OV,5.71,-1.37,-1.32,0.0,-0.38,-0.39,-0.2,0.61,0.0
PRES.PERF.IND,_>M_V,-0.93,0.08,-0.3,3.16,-0.39,0.75,-0.2,0.22,0.0
FUT..IND,V,-0.26,0.28,-1.89,1.98,-0.39,0.75,0.53,0.22,0.0
PAST..SUBJ,_W_V,-0.38,-1.36,7.27,-0.97,-0.4,-0.19,-0.2,0.0,1.26
PAST.PERF.IND,V,-0.18,0.61,1.09,-0.98,0.0,-0.2,0.0,0.27,0.0
PRES..MOD,_W_V,0.28,-0.77,3.22,-0.98,-0.19,-0.2,0.0,0.27,0.0
PRES..IND,_>M_V,-1.09,0.53,-0.81,1.34,1.78,0.0,0.0,0.35,0.0
PRES..IND,QV,-0.21,0.1,1.08,0.36,-0.21,0.0,0.0,0.0,0.0
PAST..IND,_W_RV,5.04,-0.41,-1.48,-0.39,0.0,0.0,0.0,0.41,0.0
PAST..IND,QV,-0.37,0.0,0.12,0.61,0.67,0.25,0.0,0.0,0.0
PAST.PERF.IND,SV,-0.24,0.12,2.37,-0.41,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_KJ_SV,0.8,0.0,0.0,-0.41,0.0,0.29,0.38,0.0,0.0
PAST.PERF.IND,_W_V,1.73,-1.53,0.28,0.0,0.0,0.0,0.0,0.45,0.0
PRES..,V,-0.24,0.0,1.02,0.18,0.27,0.0,0.0,0.0,0.0
PAST..SUBJ,V,0.8,0.43,-0.13,-0.41,0.27,0.0,0.0,0.0,0.0
PAST..IND,IV,-0.59,-0.26,0.28,0.72,1.43,0.0,0.38,0.0,0.0
PRES..IND,IV,-1.1,0.0,0.3,2.0,0.0,0.0,0.41,0.0,0.0
PRES..IND,_W__>M_V,-0.28,-0.5,-0.85,2.33,0.33,1.77,0.0,0.0,0.0
PRES..IND,RSV,-0.7,0.76,-0.85,0.94,0.33,0.36,0.46,0.0,0.0
PAST..IND,_KJ_OV,-0.72,-0.32,0.33,1.71,0.36,0.38,0.0,0.0,0.0
PAST.PERF.IND,_W_OV,1.13,0.0,0.0,-0.21,0.0,0.0,0.0,0.0,0.0
PRES..IND,_KJ_OV,-0.0,0.15,-0.64,0.57,1.05,0.0,0.0,0.0,0.0
PRES.PERF.IND,ISV,-0.53,0.0,-0.0,0.64,0.43,0.0,0.56,0.0,0.0
PAST..IND,_>M_V,0.14,-0.16,-0.16,0.64,0.0,1.19,0.0,0.0,0.0
PRES.PERF.IND,_W_IV,0.14,-0.16,-0.16,-0.21,0.0,3.29,0.0,0.0,0.0
PRES..IND,_>R_V,0.14,0.0,-0.16,1.26,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_KJ_OV,0.0,-0.16,1.25,0.0,0.0,0.49,0.0,0.0,0.0
PAST..IND,_W_IV,-0.35,-0.67,1.25,0.24,0.0,0.0,0.0,1.69,0.0
PRES.PERF.IND,_>M_IV,-0.94,-0.0,1.98,0.0,0.0,0.0,0.61,0.0,0.0
PRES..IND,ISV,-0.94,1.0,0.18,0.0,0.47,0.0,0.61,0.0,0.0
PAST..IND,_W__KJ_V,1.99,-0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT..IND,SV,0.15,-0.16,-0.43,1.4,0.0,0.49,0.0,0.0,0.0
PRES..IND,_>W_V,0.0,-0.67,-0.43,0.24,0.0,4.94,0.0,0.0,0.0
PAST..IND,_J<N/_V,0.0,0.17,-0.45,0.28,0.0,0.54,0.0,0.73,0.0
PAST..IND,_W_ISV,-0.94,-0.68,2.33,0.0,0.0,0.0,0.0,1.8,0.0
PRES.PERF.IND,_W__>M_V,2.0,-0.46,-0.22,0.32,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_W_RV,1.18,0.2,-0.22,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_J<N/_V,-0.0,0.81,-0.22,0.0,0.0,0.6,0.0,0.0,0.0
PRES.PERF.IND,IIV,-0.72,0.0,1.77,0.32,0.0,0.0,0.0,0.0,0.0
PAST..SUBJ,_KJ_V,0.43,0.2,-0.22,0.32,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_LW_V,-0.48,1.03,0.58,0.0,0.0,0.0,0.0,0.0,0.0
PRES..MOD,V,0.0,1.87,-0.23,0.0,0.0,0.0,0.0,0.0,0.0
FUT..IND,_W_V,0.0,0.0,-0.23,0.38,0.0,1.69,0.0,0.0,0.0
PAST..IND,ISV,0.81,0.46,-0.23,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_W__KJ_V,2.66,-0.22,-0.23,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_W_RV,1.54,-0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..IND,IIV,-0.48,-0.22,2.17,0.0,0.64,0.0,0.0,0.0,0.0
PRES..,_W_V,0.2,-0.22,0.0,1.07,0.0,0.0,0.0,0.0,0.0
PRES..IND,_W_SOV,0.81,0.0,-0.23,0.38,0.0,0.0,0.0,0.0,0.0
PAST.PROG.IND,_W_SV,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.87,0.0
PAST.PERF.IND,_W_QV,0.0,0.61,-0.23,0.0,0.0,0.0,0.88,0.0,0.0
PAST..IND,_<D_V,-0.48,-0.0,0.74,0.46,0.0,0.0,0.0,0.0,0.0
PAST..IND,_W_SOV,-0.48,0.61,-0.23,1.27,0.0,0.0,0.0,0.0,0.0
PAST..IND,_W__>R_V,0.23,0.61,-0.23,0.0,0.0,0.0,0.0,0.0,0.0
FUT..IND,_W_SV,-0.48,-0.0,-0.23,2.41,0.0,0.0,0.0,0.0,0.0
PRES..,RV,0.0,0.61,-0.23,0.0,0.0,0.75,0.0,0.0,0.0
PRES..IND,SOV,0.23,-0.0,-0.23,0.46,0.0,0.0,0.0,0.0,0.0
..,V,0.23,-0.24,-0.23,0.0,0.0,0.0,0.0,0.0,4.64
PRES.PERF.IND,_W__KJ_V,2.13,-0.24,-0.23,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PROG.IND,IV,0.0,1.34,-0.23,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_>M_V,0.68,0.0,0.0,0.0,0.0,0.87,0.0,0.0,0.0
PRES.PERF.IND,IOV,-0.25,0.0,0.98,0.0,0.84,0.0,0.0,0.0,0.0
PAST..IND,__V,-0.0,0.25,0.0,0.56,0.0,0.0,0.0,0.0,0.0
PAST..IND,_KJ__>M_V,-0.0,0.0,0.0,1.54,0.0,0.0,0.0,0.0,0.0
PAST..SUBJ,RV,-0.25,1.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..MOD,_KJ_V,-0.0,0.0,0.31,0.0,0.84,0.0,0.0,0.0,0.0
PAST.PROG.IND,_KJ_V,-0.0,0.0,0.31,0.0,0.0,0.0,1.0,0.0,0.0
PAST..SUBJ,SV,0.68,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,OV,-0.0,0.25,0.31,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,_>M_SV,-0.0,0.0,0.0,0.56,0.84,0.0,0.0,0.0,0.0
PAST..IND,SOV,-0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,QSV,-0.0,0.0,0.31,0.56,0.0,0.0,0.0,0.0,0.0
PRES..MOD,_W_SV,-0.25,0.25,0.31,0.0,0.0,0.0,0.0,1.08,0.0
PRES.PROG.IND,V,-0.25,0.0,0.31,0.0,0.0,0.0,2.45,0.0,0.0
FUT..IND,OV,-0.25,0.25,0.0,0.0,0.84,0.0,0.0,1.08,0.0
PAST.PERF.IND,_>XR/_V,-0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0
FUT..IND,_KJ_V,-0.0,0.0,0.0,1.54,0.0,0.0,0.0,0.0,0.0
FUT..IND,_KJ__>M_V,-0.0,0.25,0.0,0.56,0.0,0.0,0.0,0.0,0.0
FUT..IND,_W_IV,-0.25,0.25,0.0,0.0,2.13,0.0,0.0,0.0,0.0
PRES..MOD,_KJ_SV,-0.0,0.25,0.0,0.56,0.0,0.0,0.0,0.0,0.0
PRES..MOD,SV,-0.0,0.0,0.0,1.54,0.0,0.0,0.0,0.0,0.0
PRES..IND,_KJ__>M_V,-0.25,0.0,0.0,2.98,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_W__>R_V,0.68,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..SUBJ,_W_SV,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..MOD,_W_OV,0.0,0.0,0.44,0.0,0.0,0.0,0.0,1.25,0.0
PAST.PERF.IND,QOV,0.0,1.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..MOD,_LM<N_V,0.0,0.0,0.0,0.71,0.0,0.0,1.16,0.0,0.0
PAST..IND,_W_QV,0.0,1.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,_W__>M_V,0.0,0.37,0.0,0.0,0.0,1.03,0.0,0.0,0.0
PRES.PERF.IND,_>M_OV,0.3,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0
PRES..IND,_<D_V,0.0,0.0,0.0,0.0,0.0,1.03,0.0,1.25,0.0
PRES.PERF.IND,_>R__>M_V,0.0,0.0,0.0,1.98,0.0,0.0,0.0,0.0,0.0
PAST..IND,QSV,0.3,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0
FUT..IND,_KJ_OV,0.0,0.0,0.0,0.71,1.0,0.0,0.0,0.0,0.0
FUT..IND,_KJ_SV,0.0,0.0,0.0,0.71,1.0,0.0,0.0,0.0,0.0
PRES.PROG.IND,SV,0.0,0.0,0.0,0.71,0.0,0.0,1.16,0.0,0.0
FUT.PERF.IND,_W_SOV,0.0,1.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,IOV,0.0,0.37,0.44,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PROG.IND,RV,0.0,0.37,0.0,0.0,0.0,1.03,0.0,0.0,0.0
PAST..IND,RSV,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0
PAST..IND,_W_OSV,0.0,1.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_W__>R_V,0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_W_SOV,0.0,0.37,0.0,0.0,0.0,1.03,0.0,0.0,0.0
PAST..IND,_>W_SV,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_W_QV,0.3,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,_KJ_VSV,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_J<N/_OV,0.3,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_KJ__>M_V,0.0,0.0,0.0,0.71,1.0,0.0,0.0,0.0,0.0
past.PERF_PROG.IND,RV,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_W_IV,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_LWL>_SV,0.0,1.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PROG.IND,_W_V,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..IND,IOV,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..MOD,OV,0.3,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..IND,OSV,0.3,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_W__LW_V,0.0,0.37,0.0,0.0,0.0,0.0,1.16,0.0,0.0
PRES..IND,_W_IV,0.0,0.0,0.0,0.71,0.0,1.03,0.0,0.0,0.0
PRES..,_W_SV,0.0,0.37,0.0,0.0,0.0,0.0,0.0,1.25,0.0
PAST.PERF.IND,_KJ__LWL>_V,0.0,0.37,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PRES..MOD,RV,0.0,0.37,0.0,0.0,0.0,1.03,0.0,0.0,0.0
PRES..IND,_>M_SV,0.3,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0
PAST.PROG.IND,SV,0.0,0.37,0.44,0.0,0.0,0.0,0.0,0.0,0.0
PRES..,OV,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..,_>R_V,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0
PRES..,_KJ__>M_V,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0
PRES.PROG.IND,ISV,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..,_KJ_V,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PROG.IND,_W_V,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,_>W_QV,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF_PROG.IND,_KJ_V,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0
PAST..IND,VSV,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,_>R_SV,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..IND,_W_ISV,0.0,0.0,0.0,0.0,0.0,1.33,0.0,0.0,0.0
PAST..IND,_<L_V,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,_>M_OV,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..,_W_OV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.54,0.0
PRES.PERF.IND,_W__>M_OV,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_>W_V,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0
PRES..,_W__KJ_V,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PROG.IND,OSV,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PROG.IND,OV,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
..,_BLT/_V,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0
FUT..IND,IOV,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT..IND,IV,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT..IND,QV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.54,0.0
PRES.PROG.IND,_KMW_V,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PROG.IND,_KJ_V,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT..IND,_KJ_IV,0.0,0.0,0.0,0.0,1.29,0.0,0.0,0.0,0.0
PRES..IND,_>R__>M_V,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0
PRES..IND,ROV,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..IND,_KJ_ISV,0.0,0.0,0.0,0.0,1.29,0.0,0.0,0.0,0.0
PRES..IND,_KJ_IV,0.0,0.0,0.0,0.0,1.29,0.0,0.0,0.0,0.0
FUT..IND,_W_OV,0.0,0.0,0.0,0.0,0.0,1.33,0.0,0.0,0.0
PRES..IND,_KJ_QV,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..IND,_KJ__>M_SV,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0
PRES..IND,_LWL>_V,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0
PAST..IND,_>W_V,0.0,0.0,0.0,0.0,0.0,1.33,0.0,0.0,0.0
PRES.PERF.IND,_KJ_SOV,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,_KJ_ISV,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,__SV,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..SUBJ,IOV,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..SUBJ,OV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.54,0.0
PRES..MOD,ISV,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0
PRES..IND,_<QB/_V,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..SUBJ,_KJ_OV,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,QOV,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..SUBJ,_LW_V,0.0,0.0,0.0,0.0,1.29,0.0,0.0,0.0,0.0
PAST..SUBJ,_W_OV,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,OSV,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,IOV,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..MOD,QV,0.0,0.0,0.0,0.0,0.0,1.33,0.0,0.0,0.0
PAST.PERF.IND,_LWL>_V,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_K_V,0.0,0.0,0.0,0.0,0.0,1.33,0.0,0.0,0.0
PAST.PERF.IND,_J<N/_OV,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_<D_V,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_<L_OV,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_>LW_V,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..IND,__V,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,_ZWLH/_OV,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_PN_V,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,RSV,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PROG.IND,_<D_V,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_>M_SV,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,_KJ__>M_OV,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,__V,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0
PAST..IND,_LWL>_SV,0.0,0.0,0.0,0.0,0.0,0.0,1.46,0.0,0.0
PAST..IND,_LW_V,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_>W_V,0.0,0.0,0.0,0.0,0.0,1.33,0.0,0.0,0.0
PRES..IND,_W_QV,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_W__KJ_OV,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,_W_QSV,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_W__>M_V,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_>R_SV,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_>M_SV,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0
PRES..IND,_W_RV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.54,0.0
PRES.PERF.IND,_<D_V,0.0,0.0,0.0,0.0,0.0,1.33,0.0,0.0,0.0
PRES..IND,_W__>M_SV,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_<D_SV,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,QSV,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
