genre,prose,prose,prophetic,prophetic,poetry,list,instruction,poetry,instruction,list,poetry,prophetic
PRES ~ TO INF,-0.75,-0.06,0.35,-0.04,0.56,-0.03,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0
PRES PART ~ PRES PERF,-0.75,0.34,0.35,-0.04,-0.04,-0.03,-0.02,-0.01,0.2,-0.0,-0.0,-0.0
PAST PROG,0.25,-0.06,-0.05,-0.04,-0.04,-0.03,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0
PRES ~ PRES PROG,-0.75,0.74,0.15,-0.04,-0.04,-0.03,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0
MOD would ~ PAST,0.05,-0.06,-0.05,-0.04,0.16,-0.03,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0
IMPV ~ PAST,0.05,-0.06,-0.05,0.16,-0.04,-0.03,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0
FUT ~ PRES PERF,-0.75,-0.06,0.15,0.36,0.36,-0.03,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0
PAST PERF ~ PRES PERF,-0.75,0.69,-0.05,-0.04,0.21,-0.03,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0
PAST PERF ~ PRES PART,-0.09,0.27,-0.05,-0.04,-0.04,-0.03,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0
PRES PERF ~ TO INF,-0.75,0.27,0.29,-0.04,0.3,-0.03,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0
PAST ~ VB,-0.42,0.27,-0.05,-0.04,-0.04,0.31,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0
MOD let,-0.09,0.27,-0.05,-0.04,-0.04,-0.03,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD shall,-0.75,-0.06,0.62,-0.04,0.3,-0.03,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0
FUT,-0.75,-0.06,0.45,-0.04,0.46,-0.03,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0
PRES PERF ~ PRES PROG,-0.75,0.44,0.45,-0.04,-0.04,-0.03,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0
MOD may ~ PAST,-0.25,-0.06,-0.05,-0.04,0.46,-0.03,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0
MOD can ~ PRES,-0.75,-0.06,-0.05,0.46,-0.04,-0.03,-0.02,0.49,-0.0,-0.0,-0.0,-0.0
PRES PERF PROG,-0.75,0.94,-0.05,-0.04,-0.04,-0.03,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0
MOD is to ~ PRES PERF,-0.75,-0.06,0.95,-0.04,-0.04,-0.03,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0
FUT ~ PRES PART,-0.75,-0.06,0.95,-0.04,-0.04,-0.03,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD would,-0.75,-0.06,-0.05,-0.04,0.96,-0.03,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0
PRES PART ~ TO INF,0.25,-0.06,-0.05,-0.04,-0.04,-0.03,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0
IMPV ~ PRES,-0.75,-0.06,-0.05,-0.04,0.96,-0.03,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0
IMPV ~ PRES PART,-0.75,-0.06,-0.05,-0.04,-0.04,0.97,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0
MOD can ~ PAST,-0.75,-0.06,-0.05,-0.04,0.96,-0.03,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0
MOD could ~ MOD might,-0.75,0.94,-0.05,-0.04,-0.04,-0.03,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0
MOD might ~ PRES PERF,-0.75,-0.06,0.95,-0.04,-0.04,-0.03,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0
PAST ~ PAST PERF PROG,0.25,-0.06,-0.05,-0.04,-0.04,-0.03,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0
MOD let ~ MOD may,-0.75,-0.06,-0.05,-0.04,0.96,-0.03,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0
MOD must ~ PAST,-0.75,-0.06,-0.05,-0.04,0.96,-0.03,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0
MOD let ~ PRES,0.25,-0.06,-0.05,-0.04,-0.04,-0.03,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0
PAST PROG ~ PRES PERF PROG,-0.75,0.94,-0.05,-0.04,-0.04,-0.03,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0
PAST PROG ~ PRES PERF,0.25,-0.06,-0.05,-0.04,-0.04,-0.03,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0
PAST PROG ~ PRES PART,0.25,-0.06,-0.05,-0.04,-0.04,-0.03,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0
MOD let ~ PRES PART,0.25,-0.06,-0.05,-0.04,-0.04,-0.03,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0
PAST PERF ~ TO INF,0.25,-0.06,-0.05,-0.04,-0.04,-0.03,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0
MOD may,-0.75,-0.06,-0.05,-0.04,0.96,-0.03,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0
MOD would ~ PRES,-0.75,-0.06,-0.05,-0.04,0.96,-0.03,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0
MOD may ~ PRES,-0.75,-0.06,0.95,-0.04,-0.04,-0.03,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0
MOD should ~ TO INF,-0.75,0.94,-0.05,-0.04,-0.04,-0.03,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0
MOD should ~ PRES,-0.75,-0.06,-0.05,-0.04,0.96,-0.03,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0
MOD should ~ MOD would,0.25,-0.06,-0.05,-0.04,-0.04,-0.03,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0
MOD must ~ PRES,-0.75,-0.06,-0.05,0.96,-0.04,-0.03,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0
??VB ~ PAST,-0.75,0.94,-0.05,-0.04,-0.04,-0.03,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0
