prec_part,sum
_>K_B_Z>T_,2
_BDD/_,2
_NGD/_,2
_W_GM_B_,2
_<FR[_,2
_W_B_HJ>_,2
_NYL[_,2
_W_MTJ_,2
_<FH[_,2
_W_B_HM_,2
_<D_MH_,2
_W_>L_ZH_,2
_W_>WLM_,2
_W_>M_TXT/_,2
_W_DRK/_,2
_W_>M_PRR[_,2
_W_>M_MN_,2
_W_>M_L_,2
_W_>P_KJ_,2
_<QB/_,2
_>J_MN_ZH_,2
_W_PH_,2
_>JKKH_,2
_W_>M_>KL[_,2
_ZKR[_,2
_W_>L_Z>T_,2
_W_GLH[_,2
_K_MN_,2
_<L_KN_<L_,2
_K_W_K_,2
_>T_L_,2
_>P_B_,2
_W_HJ>_,2
_MJ_B_,2
_HW>_B_,2
_HN_K_,2
_J<N/_>CR_,2
_HJH[_,2
_JKX[_,2
_W_MN_W_MN_,2
_W_HJH[_,2
_MN_B_,2
_>M_PQD[_,2
_MN_W_<D_,2
_MN_<M_,2
_>PS/_KJ_,2
_>M_NTN[_,2
_>M_K_,2
_H=_K_ZH_,2
_H=_LHN_,2
_H=_L_ZH_,2
_MN_MJ_,2
_>T_ZH_,2
_MN_W_W_,2
_W_LKN_,2
_HNH_<L_,2
_JWMM_W_LJLH/_,2
_H=_GM_,2
_HN_L_,2
_L_W_,2
_GM_BWC[_,2
_W_JXDW_,2
_KJ_H=_>MNM=_,2
_W_XJH[_,2
_W_MN_L_,2
_>W_MH_,2
_KJ_>XR/_,2
_KJ_QNH[_,2
_B_HM_W_B_HJ>_,2
_KJ_PT>M_,2
_GM_CM_,2
_W_W_<L_,2
_DRK/_,2
_GM_GM_,2
_CTH[_,2
_W_KKH_,2
_GM_MN_,2
_KJ_BRK[_,2
_KJ_B_ZH_,2
_B_JD<[_,2
_LKN_L_,2
_W_KMW_,2
_W_L_>LH_,2
_KJ_NTN[_,2
_W_KLJL/_,2
_B_ZH_,2
_B_ZH_W_B_,2
_KJ_MLV[_,2
_W_>M_>XR/_,1
_W_GM_>L_,1
_W_W_MN_L_,1
_VM>[_,1
_W_GM_>M_,1
_W_<TH_<L_,1
_W_GM_<D_W_,1
_W_>M_>L_,1
_W_>L_W_,1
_W_>M_>W_,1
_W_>M_>MR[_,1
_W_>M_>LH_,1
_W_>M_<LM[_,1
_W_GM_<M_<M_W_B_,1
_W_<BV[_,1
_W_>M_B_>LH_,1
_W_<D_>N_,1
_W_<TH_JXD/_B_W_,1
_W_<D_HNH==_,1
_W_<FH[_,1
_W_W_MN_,1
_W_<L_MJ_,1
_W_<L_MN_<D_,1
_W_GM_<L_W_<L_B_HMH_,1
_W_<M_<L_,1
_W_GM_<L_,1
_W_<D_MTJ_,1
_W_>M_BW>[_,1
_W_>M_B_Z>T_,1
_W_CWB[_,1
_W_CBR[_,1
_W_>M_<D_>LH_,1
_KJ_>M_MN_,1
_W_W_L_,1
_KJ_>M_NWS[_,1
_KJ_B_B_,1
_KJ_BW>[_,1
_KJ_>Z_<L_,1
_W_KN_L_W_L_B_,1
_KJ_>SR[_,1
_KJ_>M_Y<Q[_,1
_KJ_>M_MN_W_,1
_W_>L_MN_,1
_W_>XRWN/_<L_,1
_KJ_>M_L_W_L_W_L_W_L_L_W_L_,1
_KJ_>M_L_,1
_KJ_>M_K_MXR/_,1
_KJ_CLX[_,1
_KJ_CMD[_,1
_KJ_B_B_W_B_,1
_KJ_B_HW>_,1
_KJ_B_MWT[_,1
_KJ_CB</_,1
_KJ_CLM[_,1
_KJ_KKH_,1
_HNH_Z>T_,1
_LWL>_,1
_W_W_W_W_W_>T==_B_,1
_W_GM_<BR[_,1
_W_>KL[_,1
_W_>K_>T_L_,1
_W_W_L_W_L_,1
_W_>L_B_,1
_W_>L_K_,1
_W_>L_MJ_MN_,1
_W_>JKKH_,1
_W_>XR/_W_,1
_W_>P_L_,1
_W_>YL/_,1
_MN_>KL[_,1
_MN_MN_KMW_,1
_MN_MN_<TH_,1
_MN_L_W_,1
_MN_L_B_,1
_MN_L_>CR_,1
_MN_C_,1
_W_GM_MN_,1
_SQL[_,1
_MN_B_W_MN_B_,1
_MN_B_B_,1
_MN_BRX[_,1
_MN_BJN/_CM_,1
_MN_>L_,1
_MN_>LH_,1
_MN_MN_W_MN_,1
_MN_W_<D_L_,1
_W_GM_L_,1
_MN_W_MN_MWT[_,1
_W_GM_MN_ZH_,1
_MN_<TH_,1
_L_>LH_,1
_L_HW>_,1
_L_L_L_,1
_L_MN_,1
_L_MTJ_,1
_L_W_L_W_L_B_,1
_L_Z>T_,1
_W_GM_ZH_<L_,1
_M<V/_M<V/_,1
_MH_MN_,1
_MJCRJM/_,1
_RXM[_,1
_LW_CQL[_,1
_W_B<D/_,1
_W_B_KN_,1
_W_>T_W_>T_W_,1
_W_>T_W_>T_W_>T_,1
_W_>T_W_>T_W_W_,1
_W_BKH[_,1
_W_B_L_ZH_,1
_W_B_L_,1
_W_B_FRP[_,1
_TMJD/_,1
_W_B_B_L_,1
_W_BZZ[_,1
_W_BL<DJ_,1
_W_BJN/_L_,1
_W_>T_W_W_W_,1
_W_BJN/_,1
_W_>M_CKB[_,1
_W_>M_GNB[_,1
_W_>M_HJH[_,1
_W_>M_JY>[_,1
_W_>M_PRX[_,1
_W_>M_R<<[_,1
_W_>M_RBH[_,1
_W_>M_XRC[_,1
_W_>M_XRH[_,1
_W_>N_MN_,1
_W_>P_B_>T==_,1
_KJ_HNH_B_,1
_W_>TMWL/_L_,1
_W_>T_B_B_,1
_W_>T_MN_,1
_W_DM<[_,1
_W_>T_W_>T_B_,1
_KJ_CTH[_,1
_H_,1
_KJ_KBD[_,1
_K_W_W_,1
_K_W_K_KN_,1
_LKN_B_,1
_LKN_<WD/_,1
_LJLH/_W_JWMM_,1
_K_ZH_,1
_K_ZH=_W_K_ZH_,1
_K_W_K_L_,1
_KJ_MN_>T==_,1
_KLJL/_,1
_W_JCB[_,1
_KJ_ZKR[_,1
_KJ_L_L_L_W_L_,1
_KJ_MN_HJ>_,1
_KJ_MN_CM_,1
_LKN_B_HJ>_,1
_LKN_CB</_,1
_W_XRB[_,1
_W_HJK_,1
_LM<N_B_,1
_LM<N_W_,1
_LMH_L_,1
_LMH_MN_,1
_LKN_B_Z>T_,1
_K_MXR/_,1
_K_L_,1
_W_HNH_MHRH/_QL/_,1
_W_JC<[_,1
_KMW_KMW_,1
_KMW_W_,1
_W_J<L[_,1
_KN_XNM_L_,1
_KJ_MN_B_,1
_KJ_MLK[_,1
_KJ_JXD/_,1
_KJ_PH_,1
_KJ_VRM/_,1
_KJ_TPF[_,1
_KJ_SQL[_,1
_KJ_QWM[_,1
_KJ_PTX[_,1
_KJ_NF>[_,1
_KJ_NY>[_,1
_KJ_MJ_B_,1
_KJ_NXC[_,1
_KJ_NPL[_,1
_KJ_NKX=/_,1
_KJ_NGD[_,1
_KJ_NFG[_,1
_MJ_ZH_K_,1
_W_JRC[_,1
_KJ_W_W_,1
_KJ_XRM[_,1
_KJ_QBR[_,1
_KJ_ZH_L_,1
_KJ_MXH[_,1
_KJ_MN_L_,1
_KJ_K_MHRH/_,1
_KJ_K_MXR/_,1
_KJ_K_W_K_JXDW_,1
_KJ_K_ZH=_W_K_ZH_,1
_W_KCL[_,1
_KJ_L_>DC[_,1
_KJ_L_B_,1
_W_JXD/_,1
_KJ_L_L_,1
_KJ_L_W_L_,1
_KRT[_,1
_KSM[_,1
_W_Z>T_CNJ/_,1
_JSR[_,1
_JBC[_,1
_JY>[_,1
_JXDW_L_,1
_JXDW_K_,1
_JXD/_W_,1
_JVB[_,1
_W_K_W_,1
_W_HW>_>W_HW>_,1
_J<N/_B_W_B_,1
_W_K_MN_,1
_HWJ_,1
_HN_QDM/_,1
_HN_GWR=[_,1
_HN_>LH_,1
_KJ_>M_CMR[_,1
_KJ_>M_JVB[_,1
_KJ_>M_KH_,1
_KJ_CXT[_,1
_KJ_DBR[_,1
_KJ_DRC[_,1
_KJ_GLH[_,1
_KJ_GM_<M_,1
_KJ_GM_>T_W_>T_,1
_KJ_GM_L_,1
_KJ_CWB[_,1
_KJ_HJH[_,1
_KJ_HRG[_,1
_KJ_HRS[_,1
_KJ_JD<[_,1
_KJ_JKL[_,1
_KJ_JWMM_W_LJLH/_,1
_HN_<L_,1
_W_LKD[_,1
_KBD[_,1
_KJ_<L_L_,1
_K_>LH_,1
_K_>L_,1
_K_>T_W_>T_W_>T_,1
_K_>W_K_,1
_K_BDD/_,1
_K_C_,1
_K_KKH_,1
_W_HW>_,1
_KJ_K_B_W_K_B_,1
_LMH_ZH_HBL/_,1
_W_T<B[_,1
_KJ_KH_,1
_W_K_KN_,1
_KJ_<L_>LH_,1
_KJ_<M_,1
_W_ZWLH/_,1
_W_K_HGH[_,1
_KJ_<TH_L_,1
_KJ_<TH_MN_,1
_KJ_<D_,1
_KJ_>JKKH_,1
_KJ_>LH_>L_W_>L_,1
_W_K_B_,1
_KJ_>L_W_>L_,1
_W_K_>CR_,1
_KJ_>M_<FH[_,1
_KJ_>M_>L_W_>L_,1
_KJ_>M_>T_,1
_KJ_>K_,1
_KJ_>M_B_Z>T_,1
_W_W_W_B_,1
_H=_B<D/_,1
_W_HBL/_,1
_W_RG</_,1
_H=_>LH_,1
_H=_>LH_<L_,1
_H=_>L_,1
_H=_>MNM=_,1
_H=_>MNM=_>LM=/_,1
_H=_>MR[_,1
_H=_>P_>MNM=_,1
_>M_JY>[_,1
_W_RP>[_,1
_C>L[_,1
_H=_BW>[_,1
_<L_MN_,1
_HJK_,1
_<D_PH_,1
_<L_W_B_,1
_H=_<L_KN_,1
_<D_MN_,1
_W_RBH[_,1
_<M_>CR_,1
_<M_C_,1
_XNN[_,1
_H=_MN_ZH_,1
_H=_CWB[_,1
_GRC[_,1
_H=_DRC[_,1
_H=_GM_>L_,1
_H=_MWT[_,1
_H=_PT</_,1
_H=_TXT/_Z>T_,1
_H=_VRM/_,1
_H=_MLK[_,1
_H=_B_HW>_,1
_>BL_,1
_>M_LMD[_,1
_>K_K_>CR_,1
_>K_PDH[_,1
_W_MN_W_<D_,1
_>W_>W_,1
_>K_L_,1
_>W_>Z_,1
_>W_B_,1
_>W_H=_,1
_>L_MN_L_,1
_W_MN_MN_,1
_>W_K_,1
_>W_L_,1
_>M_>T_ZH_,1
_>P_>M_,1
_>K_JD<[_,1
_>WLM_,1
_W_MN_W_HL>H_,1
_>M_BRK[_,1
_W_NW<[_,1
_HNH_MN_,1
_W_MXR/_>L_,1
_>M_<D_,1
_>T_>LH_MN_,1
_>M_<FH[_,1
_>T_>CR_B_,1
_YNP[_,1
_>M_>MNM_<L_,1
_>T==_MN_,1
_>M_>MR[_,1
_>M_>SR[_,1
_>P_MN_,1
_>P_K_,1
_<L_>W_<L_,1
_W_L_<L_,1
_H=_LM<N_,1
_GM_QBB[_,1
_GM_MN_>T==_ZH_,1
_<D_KJ_,1
_HLK[_W_VPP[_,1
_GM_>LH_,1
_GM_<FH[_,1
_GM_<L_,1
_>BD[_,1
_<L_>W_,1
_W_STR[_,1
_HNH_B_,1
_<ZB[_,1
_CLX[_,1
_CM<[_,1
_CMR[_,1
_<NC[_,1
_GM_K_,1
_<NQ[_,1
_W_L_B_,1
_GM_GM_B_,1
_<QB/_KJ_Z>T_,1
_<RM=[_,1
_<RR[_,1
_W_L_L_,1
_GM_BJN/_,1
_GM_>L_,1
_GM_>T_ZH_,1
_<TH_GM_,1
_W_PT>M_,1
_W_LMH_ZH_,1
_GM_>T_L_,1
_GM_BRK[_,1
_HNH_>LH_MN_,1
_CQY[_,1
_<WD/_Z>T_,1
_H=_ZH_,1
_H=_W_,1
_<L_<L_<L_<L_<L_<L_<D_,1
_W_RNN[_,1
_ZW=_,1
_<LL[_,1
_<LH[_,1
_H=_KMW_,1
_<L_KN_MN_,1
_H=_XNP[_,1
_H=_XPY[_,1
_H=_JKL[_,1
_<L_KN_PT>M_,1
_H=_Z>T_,1
_H=_HM_,1
_W_L_>XR/_,1
_<WD/_W_W_W_W_W_W_W_,1
_H=_MN_<M_,1
_GM_MWT[_,1
_GM_<D_,1
_W_SBJB/_L_,1
_W_L_L_<L_,1
_GJL[_,1
_FWF[_,1
_FRV[_,1
_<TH_MN_,1
_FJM[_,1
_W_PQD[_,1
_DBR[_,1
_C_LMH_,1
_W_L_MN_,1
_>M_RBH[_,1
_W_MN_ZH_W_MN_ZH_,1
_MN_<L_,1
_SBJB/_,1
_>KN_K_,1
_BRK[_,1
_>KN_,1
_>CR_CM_,1
_W_B_W_B_W_B_,1
_HNH_N>_K_,1
_W_W_MN_W_<D_,1
_NGD[_,1
_PH_,1
_PDH[_,1
_NW<[_,1
_NQM[_,1
_NQH[_,1
_NKX=/_,1
_W_NYL[_,1
_BQQ[_,1
_BMW_,1
_BLT/_,1
_BLJ/_,1
_BL<DJ_,1
_>K_<L_,1
_>K_>CR_,1
_BJN[_,1
_BJN/_W_L_,1
_BWZ[_,1
_>K_>L_W_>L_,1
_BDL[_,1
_>K_>M_>W_,1
_>K_>T_W_>T_>T_>T_>T_W_>T_,1
_>K_>W_>W_,1
_W_NXC[_,1
_NKH[_,1
_NF>[_,1
_>M_M>N[_,1
_QR<[_,1
_RJB[_,1
_PTX[_,1
_RGM[_,1
_RB/_,1
_R>CWN/_,1
_QVR[_,1
_QL/_MHRH/_,1
_NBL[_,1
_QBY[_,1
_MN_W_ZH_W_<D_W_<D_,1
_MN_W_W_<D_,1
_MN_W_MN_W_<D_,1
_MHR=[_,1
_MN_<L_L_,1
_RQ_>L_,1
_RQ_L_>L===_,1
_RQ_L_>L_,1
_RQ_MN_>LH_,1
_RQ_RXQ[_,1
_RQ_W_W_,1
_RQ_W_W_W_,1
_W_GM_>T_W_>T_,1
_PT>M_,1
_PRX[_,1
_PN_B_,1
_MN_ZH_,1
_MN_ZH_W_MN_ZH_L_W_L_>L_W_>L_MN_W_MN_L_,1
_MR/_,1
_W_GM_CLL=[_,1
_MWL[_,1
_W_GM_B_HMH_,1
_B<D/_,1
_>Z_MN_,1
_>Z_B_,1
_>P_<L_,1
_>M_Z>T_,1
_W_MN_Z>T_,1
_>M_B_HW>_,1
_>PS/_,1
_>PS/_KJ_CMD[_,1
_W_MN_W_MN_B_BJN/_W_BJN/_L_,1
_>P_>MNM_,1
_XRM[_,1
_>K_KJ_<WD[_,1
_>W_MH_MN_,1
_C>G[_,1
_>CR_L_,1
_B_>L_,1
_B_>T==_,1
_>M_B_W_B_W_B_,1
_>M_XRC[_,1
_>M_XBL[_,1
_>M_W_W_,1
_>M_W_,1
_>M_B_>T==_B_,1
_>M_VRP[_,1
_>M_R>H[_,1
_>M_CKX[_,1
_>M_PFH[_,1
_W_MSS[_,1
_>M_NGD[_,1
_>M_DRK/_,1
_>M_MY>[_,1
_>M_FJM[_,1
_>M_JCB[_,1
_>M_MCL[_,1
_B_>XR/_,1
_B_B_BJN/_,1
_W_MN_<WD/_,1
_B_MN_L_,1
_>K_B_L_,1
_>XR/_>CR_,1
_>K_HBL/_,1
_>XLJ_,1
_BGD[_,1
_>W_MJ_,1
_XRC[_,1
_>J_ZH_,1
_W_L_W_L_W_L_W_L_,1
_B_W_L_B_,1
_B_W_B_W_B_,1
_W_L_ZH_,1
_>CR_B_B_W_B_,1
_>M_JD<[_,1
_W_MHRH/_,1
_>J_L_Z>T_,1
_B_L_L_,1
_B_L_B_MN_<D_,1
_>CR_GM_,1
_>CR_JXDW_,1
_B_JXDW_,1
_>KL[_,1
_>CR_LMH_,1
_W_MH_ZH_,1
_>CR_MJ_,1
_>CR_PT>M_L_,1
_B_HMH_,1
_W_MKR[_,1
_B_B_ZH_BJN/_,1
_B_B_W_B_W_B_W_B_W_B_<WD/_,1
_KJ_>M_CM<[_,1
