eng_TAMsimp,p3,p2,p1
FUT ~ FUT going-to,-0.43,0.11,0.31
MOD might ~ TO INF,0.07,-0.22,0.15
PAST ~ PAST PROG,0.24,-0.05,-0.19
MOD might ~ PAST,-0.19,-0.22,0.41
MOD might ~ MOD should,0.01,-0.22,0.21
MOD let ~ MOD would,0.01,-0.22,0.21
MOD was to,0.41,-0.22,-0.19
MOD lest ~ TO INF,-0.19,0.38,-0.19
MOD VB ~ MOD may,0.41,-0.22,-0.19
MOD is to ~ MOD must,-0.19,-0.02,0.21
FUT ~ PRES PROG,-0.6,-0.22,0.81
PAST PERF ~ PRES,-0.09,0.03,0.06
MOD can ~ PAST,0.41,-0.22,-0.19
HAB used to,0.41,-0.22,-0.19
IMPV ~ MOD is to,-0.34,0.53,-0.19
MOD VB ~ PRES,0.41,-0.22,-0.19
PRES PERF ~ TO INF,-0.34,-0.22,0.56
FUT ~ MOD is to,0.16,0.03,-0.19
IMPV ~ MOD lest,0.16,0.03,-0.19
?VB ~ PAST,0.16,-0.22,0.06
MOD let ~ PRES PERF,-0.09,-0.22,0.31
MOD should ~ PAST,0.16,0.03,-0.19
MOD would ~ PRES PART,-0.26,0.11,0.15
FUT PROG ~ PRES,-0.26,0.45,-0.19
FUT ~ MOD that be,0.41,-0.22,-0.19
PRES PART ~ PRES PERF,-0.26,0.11,0.15
MOD may ~ PRES PERF,0.07,-0.22,0.15
MOD may ~ PAST,0.41,-0.22,-0.19
MOD shall ~ PRES PERF,-0.59,0.78,-0.19
MOD may ~ MOD might,0.07,0.11,-0.19
PAST PROG,0.41,-0.22,-0.19
MOD lest ~ MOD would,0.07,-0.22,0.15
MOD can ~ MOD might,-0.59,0.78,-0.19
MOD need not ~ MOD shall,-0.26,0.45,-0.19
MOD could ~ MOD should,0.07,0.11,-0.19
MOD is to ~ PRES PART,-0.26,0.45,-0.19
MOD could ~ MOD must,-0.59,-0.22,0.81
MOD should ~ PRES PERF,-0.59,0.78,-0.19
MOD let ~ MOD that be,0.41,-0.22,-0.19
MOD need not ~ PRES,0.41,-0.22,-0.19
PAST PROG ~ PRES,-0.09,0.28,-0.19
PRES ~ PRES do,-0.09,-0.22,0.31
MOD must ~ MOD should,-0.09,-0.22,0.31
MOD that be,0.41,-0.22,-0.19
MOD must ~ MOD quest must,-0.09,-0.22,0.31
MOD is to ~ PRES,0.41,-0.22,-0.19
PRES PROG,0.41,-0.22,-0.19
MOD lest ~ MOD let,0.41,-0.22,-0.19
MOD lest ~ MOD should,0.41,-0.22,-0.19
MOD is to ~ TO INF,-0.09,-0.22,0.31
MOD can ~ MOD must,-0.59,0.28,0.31
MOD could ~ TO INF,-0.09,-0.22,0.31
MOD lest ~ MOD shall,-0.59,-0.22,0.81
FUT ~ MOD was to,-0.59,-0.22,0.81
MOD quest must,0.41,-0.22,-0.19
PRES PERF ~ PRES PROG,0.41,-0.22,-0.19
MOD quest must ~ MOD shall,0.41,-0.22,-0.19
MOD might ~ PRES PERF,-0.59,0.78,-0.19
PRES PART ~ PRES PROG,0.41,-0.22,-0.19
MOD must ~ TO INF,0.41,-0.22,-0.19
MOD must ~ PRES PART,-0.59,0.78,-0.19
FUT going-to ~ MOD lest,0.41,-0.22,-0.19
PRES ~ PRES shall,-0.59,0.78,-0.19
FUT PERF,0.41,-0.22,-0.19
FUT PERF ~ PRES,0.41,-0.22,-0.19
FUT PROG ~ MOD shall,0.41,-0.22,-0.19
MOD is to ~ MOD lest,0.41,-0.22,-0.19
FUT going-to ~ MOD is to,0.41,-0.22,-0.19
FUT going-to ~ MOD may,-0.59,-0.22,0.81
PRES ~ PRES can,0.41,-0.22,-0.19
MOD must ~ PRES shall,-0.59,0.78,-0.19
FUT ~ FUT PERF,-0.59,-0.22,0.81
FUT ~ FUT PROG,0.41,-0.22,-0.19
MOD must ~ PRES PROG,-0.59,0.78,-0.19
MOD could ~ PAST PERF,0.41,-0.22,-0.19
FUT ~ MOD,0.41,-0.22,-0.19
MOD could ~ PRES PERF,0.41,-0.22,-0.19
HAB used to ~ PRES,0.41,-0.22,-0.19
FUT ~ PRES shall,0.41,-0.22,-0.19
MOD may ~ MOD would,0.41,-0.22,-0.19
MOD would ~ PAST PROG,0.41,-0.22,-0.19
MOD lest ~ MOD must,0.41,-0.22,-0.19
MOD would ~ PAST PERF,0.41,-0.22,-0.19
MOD lest ~ MOD that be,0.41,-0.22,-0.19
MOD can ~ MOD lest,0.41,-0.22,-0.19
MOD ~ MOD let,-0.59,-0.22,0.81
MOD VB ~ TO INF,0.41,-0.22,-0.19
MOD that be ~ TO INF,-0.59,0.78,-0.19
MOD VB ~ MOD shall,0.41,-0.22,-0.19
MOD VB ~ MOD can,-0.59,-0.22,0.81
JJ ~ PRES,0.41,-0.22,-0.19
MOD let ~ MOD might,0.41,-0.22,-0.19
IMPV ~ PRES PERF,0.41,-0.22,-0.19
MOD ~ PRES,0.41,-0.22,-0.19
MOD should ~ PRES PART,-0.59,-0.22,0.81
MOD let ~ MOD that,0.41,-0.22,-0.19
IMPV ~ MOD need not,-0.59,0.78,-0.19
MOD could ~ MOD shall,-0.59,-0.22,0.81
MOD is to ~ MOD should,-0.59,-0.22,0.81
MOD let ~ VB,-0.59,-0.22,0.81
MOD is to ~ PRES PROG,-0.59,0.78,-0.19
IMPV ~ MOD,0.41,-0.22,-0.19
IMPV not ~ MOD must,0.41,-0.22,-0.19
PAST PROG ~ PRES PART,-0.59,0.78,-0.19
HAB used to ~ PRES PERF,0.41,-0.22,-0.19
HAB used to ~ MOD would,-0.59,-0.22,0.81
MOD may ~ MOD should,0.41,-0.22,-0.19
MOD was to ~ PRES,-0.59,0.78,-0.19
