cl_args,PAST..IND,PRES.PERF.IND,PRES..IND,PAST.PERF.IND,FUT..IND,PAST..SUBJ,PRES..MOD,PRES..,PRES.PROG.IND,PAST.PROG.IND,..,past.PERF_PROG.IND,FUT.PERF.IND,PRES.PERF_PROG.IND
_KJ_VSO,-0.12,-0.02,-0.13,0.29,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_CVO,0.23,-0.02,-0.13,-0.05,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SVOC,0.22,-0.01,-0.19,-0.05,0.05,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_AV,0.19,0.02,-0.13,-0.08,0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_SVOC,0.09,-0.09,-0.19,0.16,0.02,0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_KJ_SVC,-0.12,0.07,-0.03,0.11,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
OVS,0.1,-0.09,0.07,-0.08,-0.01,-0.01,-0.01,-0.0,0.03,-0.0,-0.0,-0.0,-0.0,-0.0
VOS,0.07,-0.03,0.03,-0.08,-0.01,0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_SVCA,0.44,-0.15,-0.18,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_KJ_OV,-0.3,0.46,-0.12,-0.05,0.03,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_OVS,0.4,-0.18,-0.15,-0.08,-0.01,-0.01,0.03,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
CVS,0.1,-0.15,0.15,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
RVSO,0.07,-0.08,-0.15,0.19,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
VCS,-0.18,0.04,0.21,-0.08,-0.01,-0.01,-0.01,0.03,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_KJ_VOC,-0.29,0.43,-0.18,0.06,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
QVC,-0.43,0.11,-0.11,0.46,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_>CR_VSC,0.29,-0.1,-0.18,0.03,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_CVS,0.31,-0.14,-0.1,-0.08,0.03,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
OVA,-0.05,0.1,0.05,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
RVOA,0.11,-0.09,-0.14,0.15,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_VO,-0.2,0.22,-0.1,-0.04,-0.01,-0.01,0.15,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
VCA,0.03,-0.2,0.24,-0.08,0.03,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SVOA,-0.04,0.15,-0.04,-0.08,-0.01,-0.01,0.04,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
QV,-0.25,0.16,-0.17,0.24,0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
AVSA,0.25,-0.16,0.01,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
QVO,-0.38,0.56,-0.17,0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
VAO,-0.14,0.04,0.21,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_KJ_CV,-0.24,0.04,0.31,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
AVSO,0.42,-0.2,-0.17,-0.03,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
AVA,0.15,-0.19,0.1,-0.08,-0.01,0.05,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_SCV,-0.17,-0.25,0.52,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
AVOC,-0.17,0.23,-0.11,-0.08,0.15,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_OVO,0.24,-0.14,0.01,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_>M_V,-0.26,0.14,0.17,-0.03,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_SVOA,0.13,0.03,-0.22,0.09,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_KJ_AV,-0.32,-0.02,0.29,0.03,-0.01,0.05,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SVCA,0.22,-0.07,-0.1,-0.08,0.05,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_KJ_AVC,0.04,0.23,-0.22,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
VOO,-0.14,0.17,0.02,-0.08,0.05,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_KJ_VSA,0.04,-0.25,0.02,0.15,-0.01,-0.01,-0.01,-0.0,0.06,-0.0,-0.0,-0.0,-0.0,-0.0
_KJ_SVOC,-0.24,0.5,-0.22,-0.08,-0.01,-0.01,0.06,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_KJ_VOS,-0.18,0.25,-0.15,0.11,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
VSCA,0.26,0.0,-0.22,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_KJ_AVO,0.01,0.0,-0.22,0.04,-0.01,0.12,0.06,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_AVSC,0.5,-0.18,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_OVCA,0.44,-0.18,-0.22,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SVCO,-0.16,0.49,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
AVOS,-0.03,-0.11,0.25,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
AVSCA,0.57,-0.25,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_SVCO,0.21,-0.03,-0.14,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_KJ_VCO,-0.43,0.61,-0.14,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
RVSCA,0.14,-0.03,-0.22,0.13,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
VAS,-0.35,-0.09,0.55,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_KJ_OVC,-0.35,0.14,0.02,0.15,0.07,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
ASV,0.03,-0.09,0.09,-0.08,-0.01,-0.01,-0.01,-0.0,0.08,-0.0,-0.0,-0.0,-0.0,-0.0
_KJ_AVSC,-0.35,-0.09,0.55,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
RVAC,0.26,-0.25,-0.14,0.07,-0.01,-0.01,-0.01,0.07,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_KJ_VCS,-0.12,-0.09,0.25,-0.0,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
AVCS,0.07,0.09,-0.22,-0.08,-0.01,0.16,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_>CR_VA,0.24,-0.08,-0.13,-0.08,-0.01,-0.01,-0.01,0.08,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_KJ_CVO,-0.18,0.34,-0.13,0.0,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
AVOA,-0.18,0.25,-0.05,-0.08,0.08,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_>CR_VOS,0.07,-0.08,-0.22,0.25,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
RVCC,0.15,-0.08,-0.22,0.17,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_KJ_VOA,-0.26,0.09,-0.05,0.25,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
QVS,-0.35,0.09,0.2,0.0,-0.01,-0.01,0.08,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_VSC,0.4,-0.16,-0.13,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
ISVC,-0.25,0.03,0.15,-0.08,-0.01,-0.01,0.09,-0.0,0.09,-0.0,-0.0,-0.0,-0.0,-0.0
IV,-0.34,0.21,0.24,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
AVCO,0.39,-0.16,-0.12,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
OCV,-0.34,0.03,0.24,-0.08,0.17,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_SOV,-0.07,-0.06,0.06,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,0.18,-0.0
_KJ_SVA,-0.16,-0.06,0.15,0.1,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_>CR_VSA,-0.07,-0.16,-0.12,0.37,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
OVO,0.48,-0.16,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
AVOO,0.48,-0.16,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_KJ_VSOC,-0.43,0.15,-0.22,0.52,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_SVCC,0.37,-0.15,-0.22,0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_OVSC,0.37,-0.05,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
QVOC,-0.43,0.35,-0.12,0.22,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_VCS,0.17,-0.15,-0.02,-0.08,0.09,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SCV,-0.13,-0.05,0.28,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_VSA,-0.03,-0.05,-0.22,0.02,-0.01,-0.01,0.29,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
RVCO,-0.21,0.09,-0.1,0.14,-0.01,-0.01,-0.01,-0.0,0.11,-0.0,-0.0,-0.0,-0.0,-0.0
ISV,-0.21,0.2,0.12,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
CVA,-0.21,-0.02,0.23,-0.08,-0.01,-0.01,-0.01,0.11,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_VOC,-0.1,0.31,-0.1,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_AVA,0.24,-0.13,0.01,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
VAC,-0.1,0.09,-0.1,0.03,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,0.11,-0.0,-0.0,-0.0
_>M_VO,-0.32,0.09,0.23,0.03,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
RVCSA,0.35,-0.02,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_RVC,0.35,-0.13,-0.22,0.03,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_VA,-0.1,-0.25,-0.1,0.14,-0.01,-0.01,0.22,0.11,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
CVSA,0.35,-0.02,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_SVAC,0.35,-0.25,-0.1,0.03,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
VSCO,-0.21,0.53,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_>CR_VCS,0.24,-0.13,-0.22,0.14,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_>CR_VOC,0.07,0.0,-0.09,0.04,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_>M_IVOC,-0.43,0.75,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_>M_VS,-0.31,0.13,0.28,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
RSVC,-0.43,-0.12,0.66,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IVCO,-0.43,0.25,-0.09,-0.08,0.12,-0.01,-0.01,-0.0,0.25,-0.0,-0.0,-0.0,-0.0,-0.0
IVO,-0.06,0.0,0.16,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_KJ_CVS,-0.31,0.0,0.03,0.29,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
OVCS,-0.06,0.38,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_KJ_OVS,-0.18,0.0,0.16,0.04,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IVC,-0.06,0.13,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,0.25,-0.0,-0.0,-0.0,-0.0,-0.0
_>CR_VOA,-0.14,0.04,-0.07,0.2,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_AVOC,0.28,0.04,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_KJ_VOSC,-0.43,0.47,-0.22,0.2,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_SV_W_,0.57,-0.25,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_CVA,0.43,-0.25,-0.07,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
RVSOA,0.28,-0.25,-0.22,0.2,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_OVSA,0.57,-0.25,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IIV,-0.43,0.18,0.36,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
RVSOC,-0.14,0.18,-0.07,0.06,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SAV,-0.14,-0.1,0.21,0.06,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
VSOC,0.24,0.09,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
AVSCO,0.57,-0.25,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_VOA,-0.1,-0.08,0.12,0.09,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_OCV,0.07,-0.08,0.12,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_AVOA,0.57,-0.25,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_KJ_VSCO,-0.26,0.42,-0.22,0.09,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
