bhsa_node,lxx,lxx_tense,lxx_voice,lxx_mood,lxx_person,lxx_number,lxx_tm
3039,εἶπεν,aorist,active,indc,3,sg,aorist indc
3134,ἐποίησεν,aorist,active,indc,3,sg,aorist indc
3156,εἰσῆλθεν,aorist,active,indc,3,sg,aorist indc
3215,ἐγένετο,aorist,middle,indc,3,sg,aorist indc
3264,ἐγένετο,aorist,middle,indc,3,sg,aorist indc
3337,εἰσῆλθον,aorist,active,indc,3,pl,aorist indc
3369,ἔκλεισεν,aorist,active,indc,3,sg,aorist indc
3373,ἐγένετο,aorist,middle,indc,3,sg,aorist indc
3382,ἐπληθύνθη,aorist,passsive,indc,3,sg,aorist indc
3386,ἐπῆρεν,aorist,active,indc,3,sg,aorist indc
3391,ὑψώθη,aorist,passsive,indc,3,sg,aorist indc
3397,ἐπεκράτει,imperfect,active,indc,3,sg,imperfect indc
3401,ἐπληθύνετο,imperfect,middle,indc,3,sg,imperfect indc
3407,ἐπεφέρετο,imperfect,middle,indc,3,sg,imperfect indc
3424,ἐπεκάλυψεν,aorist,active,indc,3,sg,aorist indc
3445,ἐπεκάλυψεν,aorist,active,indc,3,sg,aorist indc
3449,ἀπέθανεν,aorist,active,indc,3,sg,aorist indc
3497,ἐξήλειψεν,aorist,active,indc,3,sg,aorist indc
3519,ἐξηλείφθησαν,aorist,passsive,indc,3,pl,aorist indc
3524,κατελείφθη,aorist,passsive,indc,3,sg,aorist indc
3534,ὑψώθη,aorist,passsive,indc,3,sg,aorist indc
3545,ἐμνήσθη,aorist,passsive,indc,3,sg,aorist indc
3565,ἐπήγαγεν,aorist,active,indc,3,sg,aorist indc
3572,ἐκόπασεν,aorist,active,indc,3,sg,aorist indc
3576,ἐπεκαλύφθησαν,aorist,passsive,indc,3,pl,aorist indc
3584,συνεσχέθη,aorist,passsive,indc,3,sg,aorist indc
3591,ἐνεδίδου,imperfect,active,indc,3,sg,imperfect indc
3602,ἠλαττονοῦτο,imperfect,middle,indc,3,sg,imperfect indc
3612,ἐκάθισεν,aorist,active,indc,3,sg,aorist indc
3655,ἐγένετο,aorist,middle,indc,3,sg,aorist indc
3661,ἠνέῳξεν,aorist,active,indc,3,sg,aorist indc
3670,ἀπέστειλεν,aorist,active,indc,3,sg,aorist indc
3675,ἐξελθὼν,aorist,active,ptcp,,sg,aorist ptcp
3688,ἀπέστειλεν,aorist,active,indc,3,sg,aorist indc
3715,ὑπέστρεψεν,aorist,active,indc,3,sg,aorist indc
3728,ἐκτείνας,aorist,active,ptcp,,sg,aorist ptcp
3731,ἔλαβεν,aorist,active,indc,3,sg,aorist indc
3733,εἰσήγαγεν,aorist,active,indc,3,sg,aorist indc
3740,ἐπισχὼν,aorist,active,ptcp,,sg,aorist ptcp
3746,,,,,,,
3755,ἀνέστρεψεν,aorist,active,indc,3,sg,aorist indc
3770,ἔγνω,aorist,active,indc,3,sg,aorist indc
3781,ἐπισχὼν,aorist,active,ptcp,,sg,aorist ptcp
3787,ἐξαπέστειλεν,aorist,active,indc,3,sg,aorist indc
3798,ἐγένετο,aorist,middle,indc,3,sg,aorist indc
3821,ἀπεκάλυψεν,aorist,active,indc,3,sg,aorist indc
3828,εἶδεν,aorist,active,indc,3,sg,aorist indc
3853,εἶπεν,aorist,active,indc,3,sg,aorist indc
3912,ἐξῆλθεν,aorist,active,indc,3,sg,aorist indc
3944,ᾠκοδόμησεν,aorist,active,indc,3,sg,aorist indc
3950,ἔλαβεν,aorist,active,indc,3,sg,aorist indc
3965,ἀνήνεγκεν,aorist,active,indc,3,sg,aorist indc
3971,ὠσφράνθη,aorist,passsive,indc,3,sg,aorist indc
3978,εἶπεν,aorist,active,indc,3,sg,aorist indc
4037,ηὐλόγησεν,aorist,active,indc,3,sg,aorist indc
4045,εἶπεν,aorist,active,indc,3,sg,aorist indc
4165,εἶπεν,aorist,active,indc,3,sg,aorist indc
4242,εἶπεν,aorist,active,indc,3,sg,aorist indc
4351,εἶπεν,aorist,active,indc,3,sg,aorist indc
4371,ἦσαν,imperfect,active,indc,3,pl,imperfect indc
4401,ἤρξατο,aorist,middle,indc,3,sg,aorist indc
4407,ἐφύτευσεν,aorist,active,indc,3,sg,aorist indc
4410,ἔπιεν,aorist,active,indc,3,sg,aorist indc
4415,ἐμεθύσθη,aorist,passsive,indc,3,sg,aorist indc
4417,ἐγυμνώθη,aorist,passsive,indc,3,sg,aorist indc
4422,εἶδεν,aorist,active,indc,3,sg,aorist indc
4430,ἀνήγγειλεν,aorist,active,indc,3,sg,aorist indc
4438,λαβόντες,aorist,active,ptcp,,pl,aorist ptcp
4446,ἐπέθεντο,aorist,middle,indc,3,pl,aorist indc
4451,ἐπορεύθησαν,aorist,passsive,indc,3,pl,aorist indc
4454,συνεκάλυψαν,aorist,active,indc,3,pl,aorist indc
4467,ἐξένηψεν,aorist,active,indc,3,sg,aorist indc
4472,ἔγνω,aorist,active,indc,3,sg,aorist indc
4481,εἶπεν,aorist,active,indc,3,sg,aorist indc
4490,εἶπεν,aorist,active,indc,3,sg,aorist indc
4515,ἔζησεν,aorist,active,indc,3,sg,aorist indc
4527,ἐγένοντο,aorist,middle,indc,3,pl,aorist indc
4538,ἀπέθανεν,aorist,active,indc,3,sg,aorist indc
4549,ἐγενήθησαν,aorist,passsive,indc,3,pl,aorist indc
4661,ἐγένετο,aorist,middle,indc,3,sg,aorist indc
4682,ᾠκοδόμησεν,aorist,active,indc,3,sg,aorist indc
4784,ἐγένοντο,aorist,middle,indc,3,pl,aorist indc
4926,ἐγένετο,aorist,middle,indc,3,sg,aorist indc
4967,ἦν,imperfect,active,indc,3,sg,imperfect indc
4977,ἐγένετο,aorist,middle,indc,3,sg,aorist indc
4983,εὗρον,aorist,active,indc,3,pl,aorist indc
4989,κατῴκησαν,aorist,active,indc,3,pl,aorist indc
4992,εἶπεν,aorist,active,indc,3,sg,aorist indc
5004,ἐγένετο,aorist,middle,indc,3,sg,aorist indc
5019,εἶπαν,aorist,active,indc,3,pl,aorist indc
5043,κατέβη,aorist,active,indc,3,sg,aorist indc
5060,εἶπεν,aorist,active,indc,3,sg,aorist indc
5098,διέσπειρεν,aorist,active,indc,3,sg,aorist indc
5109,ἐπαύσαντο,aorist,middle,indc,3,pl,aorist indc
5145,ἐγέννησεν,aorist,active,indc,3,sg,aorist indc
5153,ἔζησεν,aorist,active,indc,3,sg,aorist indc
5163,ἐγέννησεν,aorist,active,indc,3,sg,aorist indc
5175,ἐγέννησεν,aorist,active,indc,3,sg,aorist indc
5179,ἔζησεν,aorist,active,indc,3,sg,aorist indc
5192,ἐγέννησεν,aorist,active,indc,3,sg,aorist indc
5202,ἐγέννησεν,aorist,active,indc,3,sg,aorist indc
5206,ἔζησεν,aorist,active,indc,3,sg,aorist indc
5219,ἐγέννησεν,aorist,active,indc,3,sg,aorist indc
5224,ἔζησεν,aorist,active,indc,3,sg,aorist indc
5231,ἐγέννησεν,aorist,active,indc,3,sg,aorist indc
5235,ἔζησεν,aorist,active,indc,3,sg,aorist indc
5248,ἐγέννησεν,aorist,active,indc,3,sg,aorist indc
5253,ἔζησεν,aorist,active,indc,3,sg,aorist indc
5258,ἐγέννησεν,aorist,active,indc,3,sg,aorist indc
5262,ἔζησεν,aorist,active,indc,3,sg,aorist indc
5274,ἐγέννησεν,aorist,active,indc,3,sg,aorist indc
5279,ἔζησεν,aorist,active,indc,3,sg,aorist indc
5286,ἐγέννησεν,aorist,active,indc,3,sg,aorist indc
5290,ἔζησεν,aorist,active,indc,3,sg,aorist indc
5302,ἐγέννησεν,aorist,active,indc,3,sg,aorist indc
