bhsa_node,ref,text_full,sentence,lxx,lxx_tm,niv,esv,niv_TAM
228283,Isaiah 45:23,יָצָ֨א,יָצָ֨א מִפִּ֧י צְדָקָ֛ה דָּבָ֖ר ,ἐξελεύσεται,future indc,has uttered,has gone out,PRES.PERF.IND
229122,Isaiah 48:21,הֹֽולִיכָ֔ם,וְלֹ֣א צָמְא֗וּ בָּחֳרָבֹות֙ הֹֽולִיכָ֔ם ,ἄξει,future indc,he led,he led,PAST..IND
229126,Isaiah 48:21,הִזִּ֣יל,מַ֥יִם מִצּ֖וּר הִזִּ֣יל לָ֑מֹו ,ἐξάξει,future indc,he made flow,he made flow,PAST..IND
229230,Isaiah 49:5,הָיָ֥ה,וְעַתָּ֣ה׀ אָמַ֣ר יְהוָ֗ה יֹצְרִ֤י מִבֶּ֨טֶן֙ לְעֶ֣בֶד לֹ֔ו לְשֹׁובֵ֤ב יַֽעֲקֹב֙ אֵלָ֔יו וְיִשְׂרָאֵ֖ל לֹ֣ו יֵאָסֵ֑ף וְאֶכָּבֵד֙ בְּעֵינֵ֣י יְהוָ֔ה וֵאלֹהַ֖י הָיָ֥ה עֻזִּֽי׃ ,ἔσται,future indc,has been,has become,PRES.PERF.IND
230156,Isaiah 51:16,כִּסִּיתִ֑יךָ,וּבְצֵ֥ל יָדִ֖י כִּסִּיתִ֑יךָ לִנְטֹ֤עַ שָׁמַ֨יִם֙ וְלִיסֹ֣ד אָ֔רֶץ ,σκεπάσω,future indc,covered,covered,PAST..IND
230510,Isaiah 52:14,שָׁמְמ֤וּ,כַּאֲשֶׁ֨ר שָׁמְמ֤וּ עָלֶ֨יךָ֙ רַבִּ֔ים כֵּן־מִשְׁחַ֥ת מֵאִ֖ישׁ מַרְאֵ֑הוּ וְתֹאֲרֹ֖ו מִבְּנֵ֥י אָדָֽם׃ ,ἐκστήσονται,future indc,were appalled,were astonished,PAST..IND
233808,Isaiah 64:2,יָרַ֕דְתָּ,בַּעֲשֹׂותְךָ֥ נֹורָאֹ֖ות יָרַ֕דְתָּ ,λήμψεται,future indc,you came down,you came down,PAST..IND
233812,Isaiah 64:2,נָזֹֽלּוּ,מִפָּנֶ֖יךָ הָרִ֥ים נָזֹֽלּוּ׃ ,λήμψεται,future indc,trembled,quaked,PAST..IND
256197,Jeremiah 38:22,יָכְל֤וּ,וְיָכְל֤וּ לְךָ֙ אַנְשֵׁ֣י שְׁלֹמֶ֔ךָ ,δυνήσονταί,future indc,overcame,prevailed,PAST..IND
262313,Jeremiah 50:24,נִלְכַּדְתְּ֙,וְגַם־נִלְכַּדְתְּ֙ בָּבֶ֔ל ,ἁλώσῃ,future indc,you were caught,you were taken,PAST..IND
263602,Jeremiah 51:49,נָפְל֖וּ,גַּם־לְבָבֶ֥ל נָפְל֖וּ חַֽלְלֵ֥י כָל־הָאָֽרֶץ׃ ,πεσοῦνται,future indc,have fallen,have fallen,PRES.PERF.IND
266181,Ezekiel 4:6,כִלִּיתָ֣,וְכִלִּיתָ֣ אֶת־אֵ֗לֶּה ,συντελέσεις,future indc,you have finished,you have completed,PRES.PERF.IND
267296,Ezekiel 7:11,קָ֖ם,הֶחָמָ֥ס׀ קָ֖ם לְמַטֵּה־רֶ֑שַׁע ,συντρίψει,future indc,has grown,has grown up,PRES.PERF.IND
269132,Ezekiel 11:16,הִרְחַקְתִּים֙,כִּ֤י הִרְחַקְתִּים֙ בַּגֹּויִ֔ם ,ἀπώσομαι,future indc,I sent far away,I removed far off,PAST..IND
269138,Ezekiel 11:16,הֲפִֽיצֹותִ֖ים,וְכִ֥י הֲפִֽיצֹותִ֖ים בָּאֲרָצֹ֑ות ,διασκορπιῶ,future indc,scattered,I scattered,PAST..IND
273004,Ezekiel 18:18,עָ֣שַׁק,כִּֽי־עָ֣שַׁק עֹ֗שֶׁק גָּזַל֙ גֵּ֣זֶל אָ֔ח ,θλίψῃ,future indc,he practised extortion,he practiced extortion,PAST..IND
278656,Ezekiel 28:18,אֲכָלַ֔תְךָ,הִ֣יא אֲכָלַ֔תְךָ ,καταφάγεταί,future indc,consumed,consumed,PAST..IND
287772,Ezekiel 44:2,בָּ֣א,כִּ֛י יְהוָ֥ה אֱלֹהֵֽי־יִשְׂרָאֵ֖ל בָּ֣א בֹ֑ו ,εἰσελεύσεται,future indc,has entered,has entered,PRES.PERF.IND
293626,Hosea 12:11,דִבַּ֨רְתִּי֙,וְדִבַּ֨רְתִּי֙ עַל־הַנְּבִיאִ֔ים ,λαλήσω,future indc,I spoke,I spoke,PAST..IND
295377,Joel 4:21,נִקֵּ֑יתִי,וְנִקֵּ֖יתִי דָּמָ֣ם לֹֽא־נִקֵּ֑יתִי ,ἀθῳώσω,future indc,I have pardoned,I have avenged,PRES.PERF.IND
296076,Amos 3:8,שָׁאָ֖ג,אַרְיֵ֥ה שָׁאָ֖ג ,ἐρεύξεται,future indc,has roared,has roared,PRES.PERF.IND
296325,Amos 4:6,נָתַ֨תִּי,וְגַם־אֲנִי֩ נָתַ֨תִּי לָכֶ֜ם נִקְיֹ֤ון שִׁנַּ֨יִם֙ בְּכָל־עָ֣רֵיכֶ֔ם וְחֹ֣סֶר לֶ֔חֶם בְּכֹ֖ל מְקֹומֹֽתֵיכֶ֑ם ,δώσω,future indc,gave,gave,PAST..IND
297670,Amos 8:9,הַחֲשַׁכְתִּ֥י,וְהַחֲשַׁכְתִּ֥י לָאָ֖רֶץ בְּיֹ֥ום אֹֽור׃ ,συσκοτάσει,future indc,darken,darken,PAST..IND
300184,Micah 3:7,חָֽפְרוּ֙,וְחָֽפְרוּ֙ הַקֹּ֣סְמִ֔ים ,καταγελασθήσονται,future indc,disgraced,put to shame,PAST..IND
301005,Micah 6:9,יְעָדָֽהּ,שִׁמְע֥וּ מַטֶּ֖ה וּמִ֥י יְעָדָֽהּ׃ ,κοσμήσει,future indc,appointed,appointed,PAST..IND
302018,Nahum 3:10,הָלְכָ֣ה,גַּם־הִ֗יא לַגֹּלָה֙ הָלְכָ֣ה בַשֶּׁ֔בִי ,πορεύσεται,future indc,went,she went,PAST..IND
302075,Nahum 3:13,אָכְלָ֥ה,אָכְלָ֥ה אֵ֖שׁ בְּרִיחָֽיִך׃ ,καταφάγεται,future indc,has consumed,has devoured,PRES.PERF.IND
302924,Habakkuk 3:10,רָא֤וּךָ,רָא֤וּךָ ,ὄψονταί,future indc,saw,saw,PAST..IND
303825,Zephaniah 3:6,הֶחֱרַ֥בְתִּי,הֶחֱרַ֥בְתִּי חֽוּצֹותָ֖ם מִבְּלִ֣י עֹובֵ֑ר ,ἐξερημώσω,future indc,I have left deserted,I have laid waste,PRES.PERF.IND
304299,Haggai 1:10,כָּלְא֥וּ,עַל־כֵּ֣ן עֲלֵיכֶ֔ם כָּלְא֥וּ שָׁמַ֖יִם מִטָּ֑ל ,ἀνέξει,future indc,have withheld,have withheld,PRES.PERF.IND
305543,Zechariah 2:10,פֵּרַ֥שְׂתִּי,כִּ֠י כְּאַרְבַּ֞ע רוּחֹ֧ות הַשָּׁמַ֛יִם פֵּרַ֥שְׂתִּי אֶתְכֶ֖ם ,συνάξω,future indc,I have scattered,I have spread abroad,PRES.PERF.IND
306964,Zechariah 7:14,נָשַׁ֣מָּה,וְהָאָ֨רֶץ֙ נָשַׁ֣מָּה אַֽחֲרֵיהֶ֔ם מֵֽעֹבֵ֖ר וּמִשָּׁ֑ב ,ἀφανισθήσεται,future indc,was left desolate,was desolate,PAST..IND
307163,Zechariah 8:10,נִֽהְיָ֔ה,כִּ֗י לִפְנֵי֙ הַיָּמִ֣ים הָהֵ֔ם שְׂכַ֤ר הָֽאָדָם֙ לֹ֣א נִֽהְיָ֔ה ,ἔσται,future indc,there were,there was,PAST..IND
308939,Zechariah 14:2,נָשַׁ֨סּוּ֙,וְנָשַׁ֨סּוּ֙ הַבָּ֣תִּ֔ים ,διαρπαγήσονται,future indc,ransacked,plundered,PAST..IND
309818,Malachi 2:2,אָרֹותִ֔יהָ,וְגַם֙ אָרֹותִ֔יהָ ,καταράσομαι,future indc,I have already cursed,I have already cursed,PRES.PERF.IND
317563,Psalms 43:2,זְנַ֫חְתָּ֥נִי,לָמָ֪ה זְנַ֫חְתָּ֥נִי ,ἀπώσω,future indc,have you rejected,have you rejected,PRES.PERF.IND
323349,Psalms 77:10,קָפַ֥ץ,אִם־קָפַ֥ץ בְּ֝אַ֗ף רַחֲמָ֥יו ,συνέξει,future indc,Has he withheld,Has he shut up,PAST..IND
323450,Psalms 77:20,נֹדָֽעוּ,וְ֝עִקְּבֹותֶ֗יךָ לֹ֣א נֹדָֽעוּ׃ ,γνωσθήσονται,future indc,were seen,were unseen,PAST..IND
324460,Psalms 80:6,הֶ֭אֱכַלְתָּם,הֶ֭אֱכַלְתָּם לֶ֣חֶם דִּמְעָ֑ה ,ψωμιεῖς,future indc,You have fed,You have fed with,PRES.PERF.IND
334497,Psalms 139:16,יֻצָּ֑רוּ,וְעַֽל־סִפְרְךָ֮ כֻּלָּ֪ם יִכָּ֫תֵ֥בוּ יָמִ֥ים יֻצָּ֑רוּ ,πλασθήσονται,future indc,ordained,that were formed,PAST..IND
348251,Proverbs 6:1,תָּקַ֖עְתָּ,תָּקַ֖עְתָּ לַזָּ֣ר כַּפֶּֽיךָ׃ ,παραδώσεις,future indc,you have struck,have given pledge,PRES.PERF.IND
362695,Ecclesiastes 9:15,מִלַּט,עִ֣יר קְטַנָּ֔ה וַאֲנָשִׁ֥ים בָּ֖הּ מְעָ֑ט וּבָֽא־אֵלֶ֜יהָ מֶ֤לֶךְ גָּדֹול֙ וְסָבַ֣ב אֹתָ֔הּ וּבָנָ֥ה עָלֶ֖יהָ מְצֹודִ֥ים גְּדֹלִֽים׃ וּמָ֣צָא בָ֗הּ אִ֤ישׁ מִסְכֵּן֙ חָכָ֔ם וּמִלַּט־ה֥וּא אֶת־הָעִ֖יר בְּחָכְמָתֹ֑ו ,διασώσει,future indc,saved,delivered,PAST..IND
367658,Esther 5:4,עָשִׂ֥יתִי,יָבֹ֨וא הַמֶּ֤לֶךְ וְהָמָן֙ הַיֹּ֔ום אֶל־הַמִּשְׁתֶּ֖ה אֲשֶׁר־עָשִׂ֥יתִי לֹֽו׃ ,ποιήσω,future indc,I have prepared,I have prepared,PRES.PERF.IND
