eng_TAM,cl_args,sum
PRES..IND,_W_OAV,5
PAST.PERF.IND,_W_RV,5
PRES..IND,_W_SOV,5
PAST..SUBJ,_KJ_AV,5
PRES.PERF.IND,OAV,5
PAST.PERF.IND,_W__KJ_V,5
PRES.PERF.IND,_W__KJ_V,4
PRES.PROG.IND,IV,4
PRES..MOD,QV,4
PRES..,_W_V,4
PAST.PERF.IND,_W_AV,4
PAST.PERF.IND,_LW_V,4
PRES.PERF.IND,RAV,4
PRES..IND,SOV,4
PRES..,RV,4
PRES.PERF.IND,_KJ_QV,4
..,V,4
PAST..IND,_W_SVV,4
FUT..IND,_W_AV,4
PAST..IND,_W_SOV,4
PAST..IND,_W__>CR_V,4
FUT..IND,_W_SV,4
PAST..IND,AOV,4
PAST..IND,OAV,4
PAST..IND,_<D_V,4
PRES..IND,_KJ_SAV,3
PRES.PERF.IND,_W__>M_AV,3
PAST.PERF.IND,_W__>CR_V,3
PRES.PERF.IND,_W_SAV,3
PAST..IND,IAV,3
PAST.PROG.IND,_W_SV,3
FUT..IND,QV,3
PAST.PROG.IND,_KJ_V,3
PAST..SUBJ,RV,3
PAST..IND,_W_ASV,3
FUT..IND,_KJ_V,3
FUT..IND,_KJ__>M_V,3
PRES.PERF.IND,_W__>M_V,3
PRES..IND,_KJ__>M_V,3
PRES.PROG.IND,V,3
PAST..IND,_C_V,3
PRES.PERF.IND,AOV,3
PAST..IND,_>W_QV,3
PAST.PERF.IND,QSV,3
PAST..IND,_>M_SV,3
PRES..MOD,_W_SV,3
PAST.PERF.IND,_>XR/_V,3
PAST.PERF.IND,_>M_V,3
PRES.PERF.IND,IOV,3
PRES..MOD,V,3
PRES..IND,_W_IV,2
PRES.PERF.IND,_>CR__>M_V,2
FUT.PERF.IND,_W_SOV,2
PRES..IND,_<D_V,2
PRES..MOD,_W_OV,2
PRES.PERF.IND,_>M_OV,2
PRES.PERF.IND,_J<N/_OV,2
PRES..IND,OSV,2
PRES..IND,_>M_SV,2
PAST..IND,_KJ__>M_V,2
PRES..MOD,_LM<N_V,2
PRES..IND,_KJ_ASV,2
PAST..IND,QSV,2
PRES.PERF.IND,VV,2
PRES..MOD,_KJ_V,2
PRES..MOD,_KJ_SV,2
PRES..MOD,RV,2
PRES..MOD,AV,2
PAST..IND,_KJ_VSV,2
PAST..IND,IOV,2
PRES..IND,_W__>M_AV,2
PRES..IND,_W_AOV,2
PRES..IND,_W_ASV,2
PAST..IND,RSV,2
FUT..IND,_W_IV,2
past.PERF_PROG.IND,RV,2
PAST.PERF.IND,_LWL>_SV,2
PAST.PERF.IND,_KJ__LWL>_V,2
PAST.PERF.IND,_W_IV,2
PAST..SUBJ,_W_SV,2
PRES.PERF.IND,_W__>CR_V,2
PRES..IND,IOV,2
FUT..IND,OAV,2
PRES.PERF.IND,_W_SOV,2
PAST.PERF.IND,_W__LW_V,2
PAST.PROG.IND,SVV,2
PAST.PERF.IND,_W_ASV,2
PAST.PROG.IND,_W_SVV,2
FUT..IND,_KJ_OV,2
PAST.PERF.IND,AOV,2
PRES.PROG.IND,_W_V,2
PRES.PROG.IND,RV,2
PAST.PERF.IND,QOV,2
PRES..,_W_SV,2
PRES.PROG.IND,OV,1
FUT..IND,IOV,1
PRES.PERF.IND,A_KJ_AV,1
PRES.PERF.IND,QOV,1
PRES.PROG.IND,_KMW_V,1
PRES.PROG.IND,_KJ_V,1
PRES.PROG.IND,SV,1
PAST..IND,RAV,1
PRES.PERF.IND,A_KJ_SV,1
FUT..IND,IV,1
PAST..IND,_<L_V,1
PAST..IND,SAOV,1
PRES.PERF.IND,OASV,1
PRES.PERF_PROG.IND,_KJ_AV,1
PRES.PROG.IND,ASV,1
PAST..IND,SOV,1
PRES.PERF.IND,QSV,1
PRES.PROG.IND,ISV,1
PRES.PROG.IND,QSV,1
PAST..IND,VSV,1
PRES.PERF.IND,IIAV,1
PRES.PERF.IND,_KJ_AVV,1
PRES.PERF.IND,RSV,1
PRES.PERF.IND,_W__>M_OV,1
PRES.PERF.IND,_PN_V,1
PRES.PERF.IND,_KJ_OAV,1
FUT..IND,_W_IAV,1
PAST..IND,_>CR_AV,1
PRES.PERF.IND,_KJ_SAV,1
PRES.PERF.IND,_KJ_ASV,1
FUT..IND,_W_OV,1
PRES.PERF.IND,_KJ_SOV,1
PRES.PERF.IND,_>W_V,1
PRES.PERF.IND,_>M_SV,1
PRES.PERF.IND,_KJ__>M_AV,1
PRES.PERF.IND,_KJ__>M_V,1
FUT..IND,_W_V,1
FUT..IND,OV,1
PRES.PERF.IND,_W_ASV,1
FUT..IND,_KJ_SV,1
PRES.PERF.IND,_W_OAV,1
PRES.PERF.IND,_>CR_SV,1
PRES.PERF.IND,_>CR_AV,1
FUT..IND,_KJ_IV,1
FUT..IND,_KJ_ASV,1
PRES.PERF.IND,_<D_V,1
PRES.PERF.IND,_<D_SV,1
PAST..IND,ASOV,1
PAST..IND,A_KJ_V,1
PRES.PERF.IND,AVV,1
PAST.PERF.IND,SAV,1
PAST..IND,_>CR_SV,1
PRES.PERF.IND,ARV,1
PAST..SUBJ,SV,1
PAST.PROG.IND,_<D_V,1
PAST.PROG.IND,_W_V,1
..,_BLT/_V,1
PRES..,OV,1
PAST..SUBJ,QV,1
PRES..,_>CR_V,1
PRES..,_KJ_V,1
PRES..,_KJ__>M_V,1
PRES..,_W_AV,1
PRES..,_W_OV,1
PAST..SUBJ,OV,1
PRES..,_W__KJ_V,1
PAST..SUBJ,IOV,1
PAST..SUBJ,ASV,1
PAST..IND,_ZWLH/_OV,1
PRES..IND,IAV,1
PAST.PERF.IND,_W__KJ_OV,1
PAST.PERF.IND,_W__>M_V,1
PAST..SUBJ,_KJ_AOV,1
PAST.PERF.IND,IOV,1
PAST.PERF.IND,_<L_OV,1
PAST.PERF.IND,_>LW_AV,1
PAST.PERF.IND,_>M_SV,1
PAST.PERF.IND,_>W_V,1
PAST.PERF.IND,_C_V,1
PAST.PERF.IND,_J<N/_OV,1
PAST.PERF.IND,OV,1
PAST.PERF.IND,A_>CR_AV,1
PAST..SUBJ,_KJ_V,1
PAST.PERF.IND,_K_V,1
PAST.PERF.IND,_LWL>_V,1
PAST.PERF.IND,_LW_AV,1
PAST.PERF.IND,ASAV,1
PAST.PERF.IND,_W_QAV,1
PAST..SUBJ,_W_OV,1
PAST..SUBJ,_LW_V,1
PAST..IND,_W__>M_V,1
PAST..IND,_W__>M_AV,1
PAST..IND,_W_VAV,1
PAST..IND,_>W_V,1
PAST..IND,_KJ_ISV,1
PRES..IND,_W_ISV,1
PAST..IND,_KJ_ASV,1
PAST..IND,_J<N/_AV,1
PRES..IND,_W_QV,1
PRES..IND,_W_RV,1
PAST.PERF.IND,_<D_V,1
PRES..IND,_W__>M_SV,1
PRES..IND,_KJ__>M_SAV,1
PRES..MOD,ISV,1
PRES..MOD,OV,1
PAST..IND,_>M_OV,1
PRES..MOD,SV,1
PRES..MOD,_KJ_AV,1
PRES..MOD,_KJ_QV,1
PAST..IND,_>M_AV,1
PRES..IND,_LWL>_V,1
PAST..IND,_KJ__>M_AV,1
PRES..IND,RAV,1
PAST..IND,_W_AOV,1
PRES..IND,ROV,1
PAST..IND,_W_QSV,1
PAST..IND,_W_OSVV,1
PAST..IND,_W_OSV,1
PAST..IND,_W_IAV,1
PAST..IND,_W_A_KJ_V,1
PRES..IND,_<QB/_V,1
PRES..IND,_>CR__>M_V,1
PRES..IND,_KJ_QV,1
PAST..IND,_LW_V,1
PAST..IND,_LWL>_SV,1
PRES..IND,_C_AV,1
PRES..IND,_KJ_ISV,1
PRES..IND,_KJ_IV,1
PRES..IND,_KJ_OAV,1
PAST..IND,_KJ__>M_OV,1
PAST..IND,_C_SV,1
