eng_TAM,cl_args,qtl,Ø,wayq,yqtl,impv,wqtl,infc,ptcp,infa
PRES..IND,OAV,0.29,0.14,0.29,0.0,0.0,0.0,0.0,0.29,0.0
PAST..IND,QAV,0.29,0.14,0.43,0.14,0.0,0.0,0.0,0.0,0.0
PAST..IND,_W__KJ_V,0.86,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,ASV,0.14,0.14,0.43,0.29,0.0,0.0,0.0,0.0,0.0
PRES..,AV,0.43,0.14,0.43,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,_W_IV,0.0,0.0,0.57,0.14,0.0,0.0,0.0,0.29,0.0
PAST..IND,_W_ISV,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.29,0.0
PRES.PERF.IND,IAV,0.17,0.17,0.33,0.33,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_W_RV,0.67,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_J<N/_V,0.33,0.5,0.0,0.0,0.0,0.17,0.0,0.0,0.0
FUT..IND,SV,0.5,0.17,0.0,0.17,0.0,0.17,0.0,0.0,0.0
PAST..IND,_J<N/_V,0.17,0.33,0.0,0.17,0.0,0.17,0.0,0.17,0.0
PAST..IND,_W_QV,0.33,0.33,0.0,0.0,0.33,0.0,0.0,0.0,0.0
PRES.PERF.IND,_W_QV,0.83,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_W_RV,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
PAST..SUBJ,_KJ_AV,0.6,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_W_QV,0.2,0.6,0.0,0.0,0.0,0.0,0.2,0.0,0.0
PAST.PERF.IND,QAV,0.2,0.4,0.2,0.0,0.0,0.0,0.0,0.2,0.0
PRES..IND,IIV,0.0,0.0,0.8,0.0,0.2,0.0,0.0,0.0,0.0
PAST..SUBJ,AV,0.2,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_W__KJ_V,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..IND,_W_OAV,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0
PRES.PERF.IND,OAV,0.4,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0
PRES.PERF.IND,_>M_AV,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.2,0.0
PAST..IND,ISV,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,IIV,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0
PRES..IND,_W_SOV,0.6,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_W_AV,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_LW_V,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
FUT..IND,_W_AV,0.25,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0
PRES..,_W_V,0.25,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_W__KJ_V,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..,RV,0.25,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.0
PAST..IND,AOV,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PROG.IND,IV,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_KJ_QV,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.25,0.0
PAST..IND,_W__>CR_V,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,OAV,0.5,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0
PRES..IND,SOV,0.5,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0
PAST..IND,_<D_V,0.0,0.25,0.5,0.25,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,RAV,0.25,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0
FUT..IND,_W_SV,0.0,0.25,0.0,0.75,0.0,0.0,0.0,0.0,0.0
..,V,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
PAST..IND,_W_SOV,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
PRES..MOD,QV,0.0,0.25,0.0,0.5,0.0,0.25,0.0,0.0,0.0
PAST..IND,_W_SVV,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.25,0.0
PRES.PERF.IND,IOV,0.0,0.0,0.67,0.0,0.33,0.0,0.0,0.0,0.0
PRES.PERF.IND,_W__>M_AV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,_C_V,0.33,0.33,0.0,0.33,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_W__>M_V,0.67,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0
PRES..MOD,V,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..IND,_KJ__>M_V,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
FUT..IND,_KJ__>M_V,0.33,0.33,0.0,0.33,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_W_SAV,0.33,0.33,0.0,0.0,0.0,0.33,0.0,0.0,0.0
FUT..IND,_KJ_V,0.33,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0
PAST..SUBJ,RV,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PROG.IND,_W_SV,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0.33,0.0
PAST.PROG.IND,_KJ_V,0.33,0.0,0.33,0.0,0.0,0.0,0.33,0.0,0.0
FUT..IND,QV,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.33,0.0
PRES.PROG.IND,V,0.0,0.0,0.33,0.0,0.0,0.0,0.67,0.0,0.0
PRES..IND,_KJ_SAV,0.0,0.0,0.0,0.67,0.33,0.0,0.0,0.0,0.0
PAST.PERF.IND,_>M_V,0.67,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0
PRES..MOD,_W_SV,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0.33,0.0
