eng_TAM,cl_args,qtl,Ø,wayq,yqtl,impv,wqtl,infc,ptcp,infa
PRES.PERF.IND,_KJ_SV,-0.22,0.02,-0.19,0.17,0.1,0.19,-0.04,-0.03,0.01
PRES.PERF.IND,_>CR_V,-0.14,-0.1,-0.16,0.22,0.03,0.08,0.03,0.06,-0.0
PRES..IND,OV,0.05,0.02,-0.14,0.13,-0.02,-0.05,-0.04,0.04,-0.0
PRES.PERF.IND,_W_AV,0.29,-0.05,-0.1,-0.02,-0.05,-0.01,-0.04,-0.03,-0.0
PAST.PERF.IND,_W_SV,0.0,-0.12,0.33,-0.1,-0.05,-0.05,-0.04,0.02,-0.0
PAST.PERF.IND,_>CR_V,-0.06,-0.21,0.41,-0.07,-0.05,-0.03,0.02,-0.01,-0.0
PRES.PERF.IND,_W_V,0.22,-0.0,-0.07,-0.05,-0.05,-0.05,-0.02,-0.01,0.03
PAST..IND,_KJ_AV,-0.05,-0.11,-0.05,0.18,-0.01,0.07,-0.02,-0.03,0.02
PRES.PERF.IND,_KJ_AV,-0.14,-0.18,-0.16,0.36,0.06,0.08,-0.04,0.01,-0.0
PRES.PERF.IND,_W_OV,0.28,-0.07,-0.15,-0.05,-0.03,0.0,-0.01,0.04,-0.0
PRES.PERF.IND,_KJ_OV,-0.22,0.02,-0.2,0.11,0.24,0.06,-0.04,0.02,-0.0
PRES..IND,_KJ_SV,-0.11,-0.09,-0.2,0.11,0.22,0.07,-0.04,0.0,0.03
PAST..IND,_KJ_SV,-0.04,-0.12,0.08,0.05,0.01,0.02,-0.0,0.0,-0.0
PAST.PERF.IND,QV,-0.04,-0.14,0.19,-0.1,-0.05,-0.02,0.16,0.0,-0.0
PRES.PERF.IND,IV,-0.13,0.03,0.13,-0.04,0.08,-0.05,-0.0,-0.03,-0.0
PRES..IND,_W_V,0.22,0.04,-0.13,-0.03,-0.05,0.02,-0.04,-0.03,-0.0
PAST..SUBJ,_W_V,-0.08,-0.17,0.48,-0.1,-0.05,-0.05,-0.04,-0.03,0.03
PRES..IND,_W_OV,0.48,-0.2,-0.12,-0.03,-0.05,-0.05,-0.04,0.01,-0.0
PRES.PERF.IND,_>M_V,-0.18,0.07,-0.12,0.28,-0.05,0.07,-0.04,-0.03,-0.0
PRES..MOD,_W_V,0.05,-0.12,0.3,-0.1,-0.05,-0.05,-0.04,0.01,-0.0
PAST..IND,QV,-0.05,-0.12,-0.04,0.06,0.23,-0.01,-0.04,-0.03,-0.0
PRES..IND,QV,-0.08,0.02,0.1,0.03,0.04,-0.05,-0.04,-0.03,-0.0
FUT..IND,V,-0.15,0.09,-0.2,0.18,-0.05,0.1,0.01,0.02,-0.0
PRES..IND,_>M_V,-0.19,0.11,-0.15,0.15,0.15,-0.05,-0.03,0.02,-0.0
PRES..IND,_W_AV,0.26,0.01,-0.15,0.05,-0.05,-0.05,-0.03,-0.03,-0.0
PRES..IND,_W_SAV,0.43,-0.13,-0.2,0.01,0.0,-0.05,-0.03,-0.03,-0.0
PAST..IND,_W_RV,0.53,-0.12,-0.2,-0.1,-0.05,-0.05,-0.03,0.03,-0.0
PAST.PERF.IND,V,-0.11,0.07,0.24,-0.1,-0.05,-0.05,-0.03,0.03,-0.0
PAST..IND,SAV,0.04,0.29,-0.13,-0.1,0.02,-0.05,-0.03,-0.03,-0.0
PAST..IND,ASV,0.04,0.16,-0.07,-0.04,0.02,-0.05,-0.03,-0.03,-0.0
PAST.PERF.IND,_KJ_SV,0.17,-0.04,-0.0,-0.1,-0.05,0.02,0.03,-0.03,-0.0
PAST..IND,_W_SAV,0.06,-0.03,0.09,-0.1,-0.05,-0.05,0.04,0.04,-0.0
PAST.PERF.IND,_KJ_AV,-0.08,-0.17,0.44,-0.1,-0.05,-0.05,-0.03,0.04,-0.0
PRES..IND,SAV,0.09,-0.01,-0.12,0.13,-0.05,-0.05,-0.03,0.05,-0.0
PRES..IND,IV,-0.22,-0.01,0.11,0.21,-0.05,-0.05,0.04,-0.03,-0.0
PAST.PERF.IND,SV,-0.14,0.07,0.34,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PAST..IND,_W_OAV,0.21,-0.07,0.13,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PAST..IND,IV,-0.13,-0.16,0.05,0.15,0.12,-0.05,0.05,-0.03,-0.0
PRES..IND,RSV,-0.21,0.18,-0.2,0.15,0.03,0.04,0.05,-0.03,-0.0
PAST.PERF.IND,_W_V,0.34,-0.24,-0.02,-0.01,-0.05,-0.05,-0.03,0.06,-0.0
PAST..IND,_KJ_OV,-0.2,-0.15,0.07,0.26,0.04,0.04,-0.03,-0.03,-0.0
PAST..SUBJ,V,0.31,-0.04,-0.1,-0.1,0.05,-0.05,-0.03,-0.03,-0.0
FUT..IND,AV,0.11,-0.04,-0.1,0.1,-0.05,-0.05,0.07,-0.03,-0.0
PRES..IND,_W__>M_V,-0.09,-0.24,-0.2,0.3,0.05,0.25,-0.03,-0.03,-0.0
PAST.PERF.IND,AV,0.01,0.16,-0.0,-0.1,0.05,-0.05,-0.03,-0.03,-0.0
PRES.PERF.IND,ISV,-0.18,-0.02,0.02,0.12,0.06,-0.05,0.08,-0.03,-0.0
PRES..IND,_>CR_V,0.04,-0.02,-0.09,0.23,-0.05,-0.05,-0.03,-0.03,-0.0
PRES.PERF.IND,_W_IV,0.04,-0.13,-0.09,-0.1,-0.05,0.4,-0.03,-0.03,-0.0
PRES..IND,_KJ_OV,-0.07,0.09,-0.2,0.12,0.17,-0.05,-0.03,-0.03,-0.0
PRES..,V,-0.29,0.01,0.17,0.15,0.07,-0.05,-0.03,-0.03,-0.0
PRES.PERF.IND,_>M_IV,-0.29,0.01,0.42,-0.1,-0.05,-0.05,0.09,-0.03,-0.0
PAST.PERF.IND,_KJ_OV,-0.04,-0.11,0.3,-0.1,-0.05,0.08,-0.03,-0.03,-0.0
PRES..IND,ISV,-0.29,0.26,0.05,-0.1,0.07,-0.05,0.09,-0.03,-0.0
PRES.PERF.IND,QAV,0.08,0.26,-0.08,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PAST.PERF.IND,_W_OV,0.33,-0.11,0.05,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PAST..IND,_>M_V,-0.04,-0.11,-0.08,0.15,-0.05,0.2,-0.03,-0.03,-0.0
PRES.PERF.IND,SAV,-0.17,0.14,-0.2,-0.1,-0.05,0.08,-0.03,0.35,-0.0
PRES..IND,_>W_V,-0.04,-0.24,-0.2,0.02,-0.05,0.58,-0.03,-0.03,-0.0
PRES..IND,AOV,0.42,-0.24,-0.2,0.18,-0.05,-0.05,-0.03,-0.03,-0.0
PRES..IND,ASV,0.13,0.05,-0.2,-0.1,0.09,-0.05,-0.03,0.11,-0.0
PRES..IND,OAV,-0.01,-0.1,0.09,-0.1,-0.05,-0.05,-0.03,0.26,-0.0
PAST..IND,QAV,-0.01,-0.1,0.23,0.04,-0.05,-0.05,-0.03,-0.03,-0.0
PAST..IND,_W__KJ_V,0.56,-0.1,-0.2,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PRES.PERF.IND,ASV,-0.15,-0.1,0.23,0.18,-0.05,-0.05,-0.03,-0.03,-0.0
PRES..,AV,0.13,-0.1,0.23,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PAST..IND,_W_IV,-0.29,-0.24,0.37,0.04,-0.05,-0.05,-0.03,0.26,-0.0
PAST..IND,_W_ISV,-0.29,-0.24,0.51,-0.1,-0.05,-0.05,-0.03,0.26,-0.0
PRES.PERF.IND,IAV,-0.13,-0.07,0.13,0.23,-0.05,-0.05,-0.03,-0.03,-0.0
PRES.PERF.IND,_W_RV,0.37,0.09,-0.2,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PRES.PERF.IND,_J<N/_V,0.04,0.26,-0.2,-0.1,-0.05,0.12,-0.03,-0.03,-0.0
FUT..IND,SV,0.21,-0.07,-0.2,0.06,-0.05,0.12,-0.03,-0.03,-0.0
PAST..IND,_J<N/_V,-0.13,0.09,-0.2,0.06,-0.05,0.12,-0.03,0.14,-0.0
PAST..IND,_W_QV,0.04,0.09,-0.2,-0.1,0.28,-0.05,-0.03,-0.03,-0.0
PRES.PERF.IND,_W_QV,0.54,-0.24,-0.03,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PAST.PERF.IND,_W_RV,0.51,-0.24,-0.0,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PAST..SUBJ,_KJ_AV,0.31,-0.04,-0.2,0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PAST.PERF.IND,_W_QV,-0.09,0.36,-0.2,-0.1,-0.05,-0.05,0.17,-0.03,-0.0
PAST.PERF.IND,QAV,-0.09,0.16,-0.0,-0.1,-0.05,-0.05,-0.03,0.17,-0.0
PRES..IND,IIV,-0.29,-0.24,0.6,-0.1,0.15,-0.05,-0.03,-0.03,-0.0
PAST..SUBJ,AV,-0.09,0.36,-0.0,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PAST.PERF.IND,_W__KJ_V,0.71,-0.24,-0.2,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PRES..IND,_W_OAV,0.31,-0.04,-0.2,-0.1,-0.05,-0.05,-0.03,0.17,-0.0
PRES.PERF.IND,OAV,0.11,-0.24,-0.2,0.1,0.15,-0.05,0.17,-0.03,-0.0
PRES.PERF.IND,_>M_AV,0.11,-0.24,0.2,-0.1,-0.05,-0.05,-0.03,0.17,-0.0
PAST..IND,ISV,0.31,0.16,-0.2,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PRES.PERF.IND,IIV,-0.29,-0.04,0.6,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PRES..IND,_W_SOV,0.31,-0.04,-0.2,0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PAST.PERF.IND,_W_AV,0.21,-0.24,0.3,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PAST.PERF.IND,_LW_V,-0.29,0.26,0.3,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
FUT..IND,_W_AV,-0.04,0.01,-0.2,0.15,-0.05,0.2,-0.03,-0.03,-0.0
PRES..,_W_V,-0.04,-0.24,0.05,0.4,-0.05,-0.05,-0.03,-0.03,-0.0
PRES.PERF.IND,_W__KJ_V,0.71,-0.24,-0.2,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PRES..,RV,-0.04,0.26,-0.2,-0.1,-0.05,0.2,-0.03,-0.03,-0.0
PAST..IND,AOV,0.46,0.01,-0.2,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PRES.PROG.IND,IV,-0.04,0.51,-0.2,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PRES.PERF.IND,_KJ_QV,-0.29,-0.24,0.05,0.15,0.2,-0.05,-0.03,0.22,-0.0
PAST..IND,_W__>CR_V,0.21,0.26,-0.2,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PAST..IND,OAV,0.21,-0.24,0.05,-0.1,0.2,-0.05,-0.03,-0.03,-0.0
PRES..IND,SOV,0.21,0.01,-0.2,0.15,-0.05,-0.05,-0.03,-0.03,-0.0
PAST..IND,_<D_V,-0.29,0.01,0.3,0.15,-0.05,-0.05,-0.03,-0.03,-0.0
PRES.PERF.IND,RAV,-0.04,0.01,-0.2,0.15,-0.05,0.2,-0.03,-0.03,-0.0
FUT..IND,_W_SV,-0.29,0.01,-0.2,0.65,-0.05,-0.05,-0.03,-0.03,-0.0
..,V,0.21,-0.24,-0.2,-0.1,-0.05,-0.05,-0.03,-0.03,0.5
PAST..IND,_W_SOV,-0.29,0.26,-0.2,0.4,-0.05,-0.05,-0.03,-0.03,-0.0
PRES..MOD,QV,-0.29,0.01,-0.2,0.4,-0.05,0.2,-0.03,-0.03,-0.0
PAST..IND,_W_SVV,-0.04,-0.24,0.3,-0.1,-0.05,-0.05,-0.03,0.22,-0.0
PRES.PERF.IND,IOV,-0.29,-0.24,0.47,-0.1,0.28,-0.05,-0.03,-0.03,-0.0
PRES.PERF.IND,_W__>M_AV,0.71,-0.24,-0.2,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PAST..IND,_C_V,0.04,0.09,-0.2,0.23,-0.05,-0.05,-0.03,-0.03,-0.0
PRES.PERF.IND,_W__>M_V,0.37,-0.24,-0.2,0.23,-0.05,-0.05,-0.03,-0.03,-0.0
PRES..MOD,V,-0.29,0.76,-0.2,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PRES..IND,_KJ__>M_V,-0.29,-0.24,-0.2,0.9,-0.05,-0.05,-0.03,-0.03,-0.0
FUT..IND,_KJ__>M_V,0.04,0.09,-0.2,0.23,-0.05,-0.05,-0.03,-0.03,-0.0
PRES.PERF.IND,_W_SAV,0.04,0.09,-0.2,-0.1,-0.05,0.29,-0.03,-0.03,-0.0
FUT..IND,_KJ_V,0.04,-0.24,-0.2,0.56,-0.05,-0.05,-0.03,-0.03,-0.0
PAST..SUBJ,RV,-0.29,0.76,-0.2,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PAST.PROG.IND,_W_SV,-0.29,0.09,0.13,-0.1,-0.05,-0.05,-0.03,0.3,-0.0
PAST.PROG.IND,_KJ_V,0.04,-0.24,0.13,-0.1,-0.05,-0.05,0.3,-0.03,-0.0
FUT..IND,QV,-0.29,-0.24,-0.2,0.56,-0.05,-0.05,-0.03,0.3,-0.0
PRES.PROG.IND,V,-0.29,-0.24,0.13,-0.1,-0.05,-0.05,0.63,-0.03,-0.0
PRES..IND,_KJ_SAV,-0.29,-0.24,-0.2,0.56,0.28,-0.05,-0.03,-0.03,-0.0
PAST.PERF.IND,_>M_V,0.37,-0.24,-0.2,-0.1,-0.05,0.29,-0.03,-0.03,-0.0
PRES..MOD,_W_SV,-0.29,0.09,0.13,-0.1,-0.05,-0.05,-0.03,0.3,-0.0
PAST..IND,IAV,-0.29,0.09,0.13,-0.1,0.28,-0.05,-0.03,-0.03,-0.0
PAST.PERF.IND,_>XR/_V,0.04,-0.24,0.47,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PAST..IND,_W_ASV,0.04,-0.24,0.47,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PAST..IND,_>W_QV,0.71,-0.24,-0.2,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PAST..IND,_>M_SV,0.04,-0.24,-0.2,0.23,0.28,-0.05,-0.03,-0.03,-0.0
PAST.PERF.IND,QSV,0.04,-0.24,0.13,0.23,-0.05,-0.05,-0.03,-0.03,-0.0
PAST.PERF.IND,_W__>CR_V,0.37,0.09,-0.2,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PRES.PERF.IND,AOV,0.71,-0.24,-0.2,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PAST.PERF.IND,_W_IV,-0.29,-0.24,0.8,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
FUT..IND,OAV,-0.29,0.26,-0.2,-0.1,-0.05,-0.05,-0.03,0.47,-0.0
PAST..IND,_KJ_VSV,-0.29,-0.24,0.8,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
FUT..IND,_KJ_OV,-0.29,-0.24,-0.2,0.4,0.45,-0.05,-0.03,-0.03,-0.0
PAST.PERF.IND,QOV,-0.29,0.76,-0.2,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
FUT.PERF.IND,_W_SOV,-0.29,0.76,-0.2,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PAST..IND,RSV,0.21,-0.24,-0.2,-0.1,-0.05,-0.05,-0.03,0.47,-0.0
PAST..IND,QSV,0.21,-0.24,0.3,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PAST.PERF.IND,_W_ASV,0.71,-0.24,-0.2,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PAST..IND,_KJ__>M_V,-0.29,-0.24,-0.2,0.9,-0.05,-0.05,-0.03,-0.03,-0.0
PAST.PERF.IND,_LWL>_SV,-0.29,0.76,-0.2,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PAST.PERF.IND,_KJ__LWL>_V,-0.29,0.26,-0.2,-0.1,0.45,-0.05,-0.03,-0.03,-0.0
PAST..SUBJ,_W_SV,0.71,-0.24,-0.2,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PAST.PERF.IND,AOV,-0.29,0.26,0.3,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PAST..IND,IOV,-0.29,0.26,0.3,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
FUT..IND,_W_IV,-0.29,0.26,-0.2,-0.1,0.45,-0.05,-0.03,-0.03,-0.0
past.PERF_PROG.IND,RV,-0.29,-0.24,0.8,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PRES..MOD,_KJ_SV,0.21,0.26,-0.2,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PRES..IND,IOV,0.71,-0.24,-0.2,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PRES.PERF.IND,_W__>CR_V,0.21,-0.24,-0.2,-0.1,0.45,-0.05,-0.03,-0.03,-0.0
PRES.PERF.IND,_W_SOV,-0.29,0.26,-0.2,-0.1,-0.05,0.45,-0.03,-0.03,-0.0
PRES..IND,_<D_V,-0.29,-0.24,-0.2,-0.1,-0.05,0.45,-0.03,0.47,-0.0
PRES..IND,_>M_SV,0.21,-0.24,-0.2,0.4,-0.05,-0.05,-0.03,-0.03,-0.0
PRES..IND,_KJ_ASV,-0.29,-0.24,-0.2,0.4,-0.05,-0.05,-0.03,-0.03,0.5
PRES.PERF.IND,_J<N/_OV,0.21,0.26,-0.2,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PRES.PERF.IND,_>M_OV,0.21,-0.24,-0.2,0.4,-0.05,-0.05,-0.03,-0.03,-0.0
PRES..IND,_W_AOV,-0.29,0.26,-0.2,0.4,-0.05,-0.05,-0.03,-0.03,-0.0
PRES.PERF.IND,_>CR__>M_V,-0.29,-0.24,-0.2,0.9,-0.05,-0.05,-0.03,-0.03,-0.0
PRES..IND,_W_ASV,-0.29,0.26,-0.2,-0.1,-0.05,0.45,-0.03,-0.03,-0.0
PRES..IND,_W_IV,-0.29,-0.24,-0.2,0.4,-0.05,0.45,-0.03,-0.03,-0.0
PRES..IND,_W__>M_AV,-0.29,0.26,-0.2,0.4,-0.05,-0.05,-0.03,-0.03,-0.0
PRES.PERF.IND,VV,-0.29,0.76,-0.2,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PRES..MOD,AV,0.21,0.26,-0.2,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PRES..MOD,RV,-0.29,0.26,-0.2,-0.1,-0.05,0.45,-0.03,-0.03,-0.0
PRES..MOD,_KJ_V,0.21,-0.24,0.3,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PRES..MOD,_LM<N_V,-0.29,-0.24,-0.2,0.4,-0.05,-0.05,0.47,-0.03,-0.0
PRES..IND,OSV,0.21,0.26,-0.2,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PRES..MOD,_W_OV,-0.29,-0.24,0.3,-0.1,-0.05,-0.05,-0.03,0.47,-0.0
PRES..,_W_SV,-0.29,0.26,-0.2,-0.1,-0.05,-0.05,-0.03,0.47,-0.0
PAST.PERF.IND,_W__LW_V,-0.29,0.26,-0.2,-0.1,-0.05,-0.05,0.47,-0.03,-0.0
PRES.PROG.IND,_W_V,0.71,-0.24,-0.2,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PRES.PROG.IND,RV,-0.29,0.26,-0.2,-0.1,-0.05,0.45,-0.03,-0.03,-0.0
PAST.PROG.IND,SVV,-0.29,0.26,0.3,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PAST.PROG.IND,_W_SVV,0.21,-0.24,0.3,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PAST..IND,_<L_V,0.71,-0.24,-0.2,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
FUT..IND,IOV,0.71,-0.24,-0.2,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PAST..IND,_>CR_AV,0.71,-0.24,-0.2,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PRES.PERF.IND,RSV,0.71,-0.24,-0.2,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PAST..IND,_>CR_SV,-0.29,0.76,-0.2,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PRES.PERF.IND,_<D_SV,0.71,-0.24,-0.2,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PRES.PERF.IND,_<D_V,-0.29,-0.24,-0.2,-0.1,-0.05,0.95,-0.03,-0.03,-0.0
PAST..IND,_>M_AV,0.71,-0.24,-0.2,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PAST..IND,_>M_OV,0.71,-0.24,-0.2,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PAST..IND,VSV,-0.29,-0.24,0.8,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PRES.PROG.IND,_KMW_V,-0.29,0.76,-0.2,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PRES.PROG.IND,ISV,0.71,-0.24,-0.2,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
..,_BLT/_V,-0.29,-0.24,-0.2,0.9,-0.05,-0.05,-0.03,-0.03,-0.0
PRES.PERF.IND,QSV,-0.29,0.76,-0.2,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PRES.PERF.IND,_>CR_SV,0.71,-0.24,-0.2,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PAST..IND,_>W_V,-0.29,-0.24,-0.2,-0.1,-0.05,0.95,-0.03,-0.03,-0.0
PAST..IND,_C_SV,0.71,-0.24,-0.2,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PRES.PERF.IND,QOV,-0.29,0.76,-0.2,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PAST..IND,_J<N/_AV,0.71,-0.24,-0.2,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PRES.PERF.IND,OASV,0.71,-0.24,-0.2,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PAST..IND,_KJ_ASV,-0.29,-0.24,-0.2,0.9,-0.05,-0.05,-0.03,-0.03,-0.0
PRES.PERF.IND,IIAV,-0.29,-0.24,-0.2,0.9,-0.05,-0.05,-0.03,-0.03,-0.0
PAST..IND,_KJ_ISV,0.71,-0.24,-0.2,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PRES.PERF.IND,A_KJ_SV,-0.29,0.76,-0.2,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PRES.PERF.IND,A_KJ_AV,-0.29,-0.24,-0.2,0.9,-0.05,-0.05,-0.03,-0.03,-0.0
PRES.PERF.IND,AVV,-0.29,0.76,-0.2,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PRES.PERF.IND,ARV,0.71,-0.24,-0.2,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PRES.PERF.IND,_>CR_AV,-0.29,0.76,-0.2,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
FUT..IND,IV,-0.29,0.76,-0.2,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PAST..IND,SOV,-0.29,0.76,-0.2,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
PRES.PROG.IND,ASV,-0.29,-0.24,-0.2,0.9,-0.05,-0.05,-0.03,-0.03,-0.0
FUT..IND,_KJ_SV,-0.29,-0.24,-0.2,0.9,-0.05,-0.05,-0.03,-0.03,-0.0
PRES.PERF_PROG.IND,_KJ_AV,-0.29,-0.24,-0.2,0.9,-0.05,-0.05,-0.03,-0.03,-0.0
FUT..IND,_W_IAV,-0.29,-0.24,-0.2,-0.1,0.95,-0.05,-0.03,-0.03,-0.0
PRES.PERF.IND,_W__>M_OV,0.71,-0.24,-0.2,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
FUT..IND,_W_OV,-0.29,-0.24,-0.2,-0.1,-0.05,0.95,-0.03,-0.03,-0.0
PRES.PROG.IND,OV,-0.29,0.76,-0.2,-0.1,-0.05,-0.05,-0.03,-0.03,-0.0
FUT..IND,_W_V,-0.29,-0.24,-0.2,-0.1,-0.05,0.95,-0.03,-0.03,-0.0
FUT..IND,_KJ_IV,-0.29,-0.24,-0.2,-0.1,0.95,-0.05,-0.03,-0.03,-0.0
PRES.PERF.IND,_W_OAV,-0.29,-0.24,-0.2,-0.1,-0.05,0.95,-0.03,-0.03,-0.0
