niv_TAM,xYq0,WxY0,xYqX,XYqt,WXYq,ZYq0,WYq0,ZYqX,WxYX,WYqX,CPen
PRES PROG,0.21,-0.15,0.0,-0.04,0.07,-0.03,-0.02,-0.04,0.02,-0.01,-0.0
FUT wh-question,0.03,0.17,-0.04,-0.09,0.02,-0.03,0.03,-0.04,-0.03,-0.01,-0.0
MOD was to,0.16,-0.09,0.07,-0.04,0.08,-0.08,-0.02,-0.04,-0.03,-0.01,-0.0
MOD quest would,0.19,-0.15,-0.04,0.08,-0.03,-0.02,-0.01,0.02,-0.03,-0.01,-0.0
PAST PERF,-0.05,-0.09,0.02,-0.09,0.15,0.04,-0.01,-0.04,0.09,-0.01,-0.0
FUT going-to,0.28,-0.15,0.03,-0.03,-0.08,-0.08,0.11,-0.04,-0.03,-0.01,-0.0
MOD lest,0.11,-0.15,0.27,-0.09,-0.08,-0.08,0.11,-0.04,-0.03,-0.01,-0.0
PAST PROG,-0.12,0.07,0.01,0.02,0.25,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
HAB used to,0.1,-0.04,0.01,0.02,0.14,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
MOD VB,-0.18,0.02,0.07,0.07,0.25,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
PRES do-support,-0.18,0.02,0.07,-0.09,-0.08,0.09,-0.07,-0.04,0.31,-0.01,-0.0
PRES PERF wh-question,0.49,-0.15,0.07,-0.09,-0.08,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
PAST wh-question,-0.01,0.35,-0.1,-0.09,-0.08,-0.08,0.09,-0.04,-0.03,-0.01,-0.0
PRES PERF question,-0.14,0.25,0.1,-0.09,-0.08,0.12,-0.07,-0.04,-0.03,-0.01,-0.0
MOD need not,-0.34,0.25,0.1,0.11,-0.08,0.12,-0.07,-0.04,-0.03,-0.01,-0.0
MOD quest must,-0.34,0.1,0.15,-0.09,0.17,0.17,-0.07,-0.04,-0.03,-0.01,-0.0
MOD that be,-0.34,-0.15,-0.1,-0.09,0.25,-0.08,0.26,-0.04,0.31,-0.01,-0.0
PAST question,-0.01,0.18,0.24,-0.09,-0.08,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
MOD quest could,0.32,-0.15,-0.1,-0.09,0.25,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
FUT PROG,0.32,-0.15,-0.1,0.24,-0.08,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
FUT PERF,-0.34,0.35,-0.1,-0.09,-0.08,0.42,-0.07,-0.04,-0.03,-0.01,-0.0
JJ,-0.34,-0.15,-0.1,-0.09,-0.08,-0.08,0.93,-0.04,-0.03,-0.01,-0.0
PAST do-support,-0.34,0.85,-0.1,-0.09,-0.08,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
VB,-0.34,-0.15,-0.1,-0.09,-0.08,-0.08,0.93,-0.04,-0.03,-0.01,-0.0
