,yqtl,Ø,qtl,wqtl,impv,wayq,ptcp,infc,cohoF,jussF,infa
MOD shall ~ TO INF,-0.21,-0.62,0.11,1.89,0.12,-0.38,-0.2,2.75,0.0,0.0,0.0
PAST ~ PRES PERF,0.32,-0.39,2.45,-0.28,-0.75,0.72,-0.2,0.0,0.0,0.0,0.0
MOD may ~ TO INF,-0.07,-1.69,-1.15,-0.28,5.51,0.0,-0.2,0.0,4.51,0.0,0.0
MOD shall ~ MOD should,-2.05,0.18,0.65,-0.29,2.1,0.78,0.0,0.28,0.0,0.0,0.0
IMPV ~ MOD may,-1.04,-0.18,-0.45,0.13,2.18,0.19,-0.2,2.31,0.0,0.61,0.0
FUT ~ TO INF,0.07,-1.35,0.28,0.13,0.0,0.41,-0.2,0.83,1.38,0.0,0.0
MOD would ~ PAST,-1.69,2.17,-0.45,1.49,-0.78,0.84,-0.2,0.3,0.0,0.0,0.0
MOD would ~ PRES,0.69,-0.35,2.29,-0.59,-0.59,-0.2,0.27,0.0,0.0,0.0,0.0
FUT ~ IMPV,-0.0,0.49,-0.79,-0.59,1.56,0.55,0.0,0.0,0.0,0.0,0.0
MOD let ~ PRES,-0.55,-0.1,0.57,-0.6,0.0,0.57,1.45,0.39,0.66,0.0,0.0
PAST ~ PRES PART,-0.18,0.1,0.84,0.16,-0.4,1.16,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD let,0.08,-0.22,0.34,0.0,0.17,0.6,0.0,0.41,0.0,0.0,0.0
MOD shall ~ PRES PART,0.19,0.1,-0.15,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ TO INF,-0.81,1.65,0.0,-0.4,-0.4,0.67,0.32,1.15,0.0,0.0,0.0
MOD must ~ PRES,-0.65,1.38,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES PART,-0.0,-0.0,0.0,0.77,-0.2,0.0,0.36,0.0,0.76,0.0,0.0
MOD let ~ TO INF,-0.33,-0.11,-0.4,-0.41,2.13,0.0,0.0,0.0,4.49,0.0,0.0
PRES ~ PRES PROG,0.35,-0.84,0.18,0.0,0.0,0.78,0.0,0.0,0.78,0.0,0.0
MOD lest ~ MOD may,1.15,-0.26,-0.4,-0.41,0.0,0.0,0.38,0.0,0.78,0.85,0.0
MOD let ~ MOD shall,-0.0,-0.26,0.75,-0.2,0.0,0.3,0.4,0.53,0.0,0.0,0.0
FUT ~ PAST,-0.73,-0.26,0.75,2.19,-0.21,0.0,0.4,0.53,0.0,0.0,0.0
MOD shall ~ PAST,0.1,0.0,0.19,0.47,-0.21,0.0,0.0,0.0,0.0,0.91,0.0
MOD lest ~ PRES,-0.23,-0.67,-0.41,0.96,3.45,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD must,-2.84,0.48,0.0,-0.2,1.06,1.62,0.0,1.39,0.0,0.0,0.0
MOD should ~ MOD would,0.0,-0.13,0.82,-0.2,0.0,1.62,0.0,0.0,0.0,0.0,0.0
PAST ~ TO INF,-0.57,0.74,0.0,-0.21,-0.21,0.93,0.0,0.58,0.0,0.94,0.0
FUT ~ MOD should,-0.41,2.11,-0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.59
HAB used to ~ PAST,-0.11,0.13,-0.21,-0.21,0.0,0.99,2.19,0.0,0.0,0.0,0.0
MOD might,-0.66,-0.32,1.07,-0.0,0.0,1.92,0.0,0.64,0.0,0.0,0.0
IMPV ~ MOD can,-2.31,7.14,-0.21,-0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ MOD must,0.0,0.55,0.0,-0.21,0.23,0.0,0.0,0.0,0.93,0.0,0.0
MOD is to,-0.0,0.15,-0.21,0.23,0.75,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PAST PERF,-0.48,0.0,0.59,0.23,0.0,2.05,0.0,0.0,0.0,0.0,0.0
MOD was to ~ PAST,-0.3,0.92,0.22,0.0,0.0,1.22,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD must,0.0,0.37,0.22,0.0,0.29,0.0,0.0,0.0,0.0,1.09,0.0
MOD is to ~ MOD let,-0.3,0.0,0.0,0.0,0.83,1.22,0.0,0.72,0.0,0.0,0.0
MOD can ~ MOD should,-1.58,1.09,0.74,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD should,-1.58,-0.16,0.25,0.0,0.0,5.01,0.0,0.0,0.0,1.14,0.0
MOD let ~ PAST,0.14,-0.16,0.25,0.0,0.0,0.0,0.0,0.0,1.06,1.14,0.0
MOD can ~ MOD could,0.0,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ TO INF,-0.59,-0.44,0.84,0.0,1.9,0.0,0.0,0.82,0.0,0.0,0.0
IMPV ~ PAST,0.35,0.0,0.0,0.0,0.37,0.0,0.0,0.0,1.12,0.0,0.0
IMPV ~ PRES PART,0.93,-0.44,0.0,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD must,0.35,-0.44,0.84,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.0
MOD could ~ MOD would,-0.59,1.31,0.0,0.33,0.0,0.0,0.0,0.0,1.12,0.0,0.0
MOD lest,-0.0,0.18,0.0,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0
MOD might ~ MOD would,-0.59,0.72,0.29,0.0,0.0,0.55,0.0,0.82,0.0,0.0,0.0
IMPV ~ MOD should,-0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,2.74,0.0
PAST PERF,-0.59,-0.44,0.84,0.0,0.0,0.0,0.68,3.39,0.0,0.0,0.0
MOD should ~ MOD was to,-1.32,0.72,0.84,0.0,0.0,0.55,0.0,0.82,0.0,0.0,0.0
FUT ~ FUT going-to,-1.06,-0.46,0.96,0.0,0.42,1.56,0.0,0.88,0.0,0.0,0.0
PAST ~ PAST PROG,0.16,-0.46,0.34,0.38,0.0,0.61,0.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD may,0.0,0.0,0.34,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PART ~ TO INF,-0.38,0.0,0.34,1.07,0.0,0.0,0.0,0.88,0.0,0.0,0.0
MOD can ~ TO INF,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,1.26,0.0
MOD could ~ PAST,-0.38,0.0,0.96,0.0,0.0,1.56,0.0,0.0,0.0,0.0,0.0
MOD could ~ MOD might,-0.38,0.0,0.96,0.0,0.0,0.0,0.0,2.12,0.0,0.0,0.0
FUT ~ PRES PERF,-0.38,0.21,0.96,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0
MOD lest ~ MOD might,0.16,-0.46,0.96,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0
?VB ~ MOD let,-0.38,0.0,0.34,0.0,0.42,0.0,0.0,0.88,1.18,0.0,0.0
MOD may ~ PRES PART,0.0,-0.46,0.0,0.0,0.0,0.0,0.0,2.12,1.18,1.26,0.0
FUT going-to ~ MOD shall,-0.38,0.0,0.34,0.0,1.14,0.61,0.0,0.0,0.0,0.0,0.0
MOD shall ~ MOD would,-0.38,0.0,1.82,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD must,-0.0,0.5,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0
MOD can ~ PRES PART,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ TO INF,-0.79,1.11,0.39,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0
MOD was to,-0.79,0.5,0.39,0.45,0.0,0.0,0.0,0.95,0.0,0.0,0.0
MOD lest ~ TO INF,-0.18,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD let,-0.18,0.5,0.39,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ PRES PART,-0.0,-0.23,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0
MOD might ~ PAST,-0.18,0.0,2.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD might ~ MOD should,-0.18,0.0,0.0,0.0,0.0,0.68,0.0,2.29,0.0,0.0,0.0
MOD VB ~ MOD may,1.1,-0.23,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ PAST,0.0,-0.24,1.3,0.0,0.0,0.77,0.0,0.0,0.0,0.0,0.0
MOD VB ~ PRES,0.0,0.66,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD might ~ TO INF,-0.79,-0.24,1.3,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0
MOD should ~ PAST,0.19,-0.24,0.47,0.0,0.0,0.0,0.0,1.05,0.0,0.0,0.0
FUT ~ MOD is to,0.0,-0.0,0.0,0.52,0.0,0.0,0.0,1.05,0.0,0.0,0.0
HAB used to,-0.79,-0.24,0.0,0.52,0.0,1.93,0.0,1.05,0.0,0.0,0.0
PAST PERF ~ PRES,-0.79,1.42,0.0,0.0,0.0,0.0,0.0,1.05,0.0,0.0,0.0
?VB ~ PAST,0.0,-0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES PROG,-0.79,-0.24,0.0,0.0,2.77,0.0,0.9,0.0,0.0,0.0,0.0
IMPV ~ MOD lest,0.51,-0.24,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0
PRES PERF ~ TO INF,0.19,-0.24,0.47,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD might,-0.54,0.27,0.0,0.0,1.78,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ MOD must,-0.54,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.48,0.0,0.0
PAST PROG,-0.54,0.0,0.0,0.63,0.0,0.88,0.0,1.17,0.0,0.0,0.0
?VB,-0.54,0.0,0.57,0.0,0.0,0.88,0.0,1.17,0.0,0.0,0.0
MOD shall ~ PRES PERF,0.0,0.0,0.0,0.0,0.67,0.0,1.02,0.0,0.0,0.0,0.0
FUT PROG ~ PRES,0.25,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD that be,-0.54,0.27,0.0,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD need not ~ MOD shall,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ PRES PERF,0.0,0.27,0.0,0.0,0.0,0.88,0.0,0.0,0.0,0.0,0.0
MOD would ~ PRES PART,0.25,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ MOD should,-0.54,0.89,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ PRES PART,-0.54,0.27,0.0,0.0,0.0,2.22,0.0,0.0,0.0,0.0,0.0
MOD may ~ PAST,0.0,0.0,0.57,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ MOD might,-0.54,0.89,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PART ~ PRES PERF,0.0,0.0,0.57,0.0,0.0,0.0,1.02,0.0,0.0,0.0,0.0
MOD let ~ PRES PERF,0.0,0.27,0.0,0.0,0.0,0.88,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD would,-0.54,0.0,0.0,0.63,0.0,0.88,0.0,0.0,0.0,1.55,0.0
IMPV ~ MOD is to,-0.54,0.27,0.0,0.0,0.0,0.88,0.0,1.17,0.0,0.0,0.0
MOD lest ~ MOD would,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?VB ~ MOD must,-0.28,0.4,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0
?VB ~ MOD shall,-0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0
??VB ~ MOD let,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ MOD should,-0.28,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ PRES,-0.28,0.0,0.0,0.0,2.23,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD must,-0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ PRES PERF,-0.28,0.4,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD that be,-0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD that be,-0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PROG ~ PRES,-0.28,0.0,0.73,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ MOD should,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ MOD shall,-0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ TO INF,-0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD need not ~ PRES,-0.28,0.0,0.73,0.0,0.0,0.0,1.18,0.0,0.0,0.0,0.0
MOD could ~ TO INF,-0.28,0.0,0.73,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.0
PRES PROG,-0.28,0.4,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES do,-0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT PERF,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD quest must,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD quest must ~ MOD shall,0.0,0.0,0.0,0.0,0.0,1.34,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES shall,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ PRES PART,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?VB ~ IMPV,0.0,0.0,0.0,0.0,1.11,0.0,0.0,0.0,0.0,0.0,0.0
?VB ~ MOD lest,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD that be ~ TO INF,0.0,0.0,0.0,0.0,1.11,0.0,0.0,0.0,0.0,0.0,0.0
MOD was to ~ PRES,0.0,0.0,0.0,0.0,0.0,1.34,0.0,0.0,0.0,0.0,0.0
MOD would ~ PAST PERF,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD ~ PRES,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PAST PROG,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT PERF ~ PRES,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ FUT PROG,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES can,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PERF ~ PRES PROG,0.0,0.0,0.0,0.0,0.0,1.34,0.0,0.0,0.0,0.0,0.0
MOD must ~ TO INF,0.0,0.0,0.0,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT going-to ~ MOD is to,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PROG ~ PRES PART,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT PROG ~ MOD shall,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PART ~ PRES PROG,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT going-to ~ MOD lest,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD lest,0.0,0.0,0.0,0.0,1.11,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ PRES shall,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ MOD let,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ MOD shall,0.0,0.0,0.0,0.0,0.0,0.0,1.48,0.0,0.0,0.0,0.0
MOD VB ~ TO INF,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ PAST PERF,0.0,0.0,0.0,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD VB ~ MOD shall,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ PRES PERF,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD VB ~ MOD can,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JJ ~ PRES,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ PRES PERF,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD lest,0.0,0.0,0.0,0.0,1.11,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD should,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ PRES PROG,0.0,0.0,0.0,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD need not,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ MOD must,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ PRES PROG,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD might,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ VB,0.0,0.0,0.0,0.0,1.11,0.0,0.0,0.0,0.0,0.0,0.0
HAB used to ~ PRES PERF,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAB used to ~ PRES,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ MOD should,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAB used to ~ MOD would,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.95,0.0,0.0
MOD may ~ MOD would,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD might ~ PRES PERF,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES shall,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ MOD quest must,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ PRES PART,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ MOD that be,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
