clause_rela,prec_part,sum
SubAdv,_KJ_MN_W_W_,1
Main,_W_>P_>MNM_,1
Main,_L_B_,1
Main,_NC>=[_,1
Main,_MN_W_W_<D_,1
SubAdv,_KJ_GNB[_,1
Main,_L_W_L_,1
SubAdv,_KJ_KSP[_,1
Main,_L_PTX[_,1
SubAdv,_KJ_LM<N_,1
Main,_L_MJ_,1
Main,_L_>CR_,1
Main,_W_NYL[_,1
SubAdv,_KJ_L_HM_,1
Main,_LZW_,1
SubAdv,_KJ_MDW<_,1
Main,_LWL>_,1
Main,_LMH_ZH_MN_,1
SubAdv,_KJ_MN_>L_,1
SubAdv,_KJ_MN_W_,1
Main,_K_Z>T_W_K_Z>T_,1
Main,_W_B_B_B_B_,1
Main,_JD<[_,1
Main,_W_B_>LH_,1
Main,_KJ_>T_ZH_,1
Main,_H=_GM_<L_,1
Main,_H=_GLH[_,1
Main,_H=_CLX[_,1
SubAdv,_W_GM_W_,1
Main,_H=_>L_W_>L_,1
Main,_H=_K_,1
Main,_H=_>KL[_,1
Main,_JWM/_,1
Main,_K_B_,1
Main,_K_>LH_,1
SubAdv,_KJ_RB/_,1
SubAdv,_KJ_RQ_,1
Main,_KR<[_,1
Main,_KN_B_,1
SubAdv,_KJ_W_W_W_,1
Main,_KN/_,1
Main,_JRD[_,1
Main,_KJ_MN_,1
Main,_KJ_KH_,1
Main,_H=_GM_>L_,1
Main,_H=_GM_HLM_,1
Main,_H=_JKL[_,1
SubAdv,_W_GM_KJ_,1
SubArg,_MH_ZH_,1
SubMod,_<L_>CR_,1
SubMod,_>CR_KMW_,1
SubMod,_>CR_L_,1
Main,_>CM[_,1
Main,_>K_MN_,1
SubAdv,_W_KMW_,1
Main,_W_RJQM_,1
SubAdv,_LW_>KL[_,1
Main,_H=_L_L_,1
Main,_HJH[_,1
Main,_H=_YWM[_,1
Main,_H=_W_,1
Main,_H=_RJB[_,1
Main,_H=_NYL[_,1
Main,_H=_MWT[_,1
Main,_H=_M>S[_,1
SubAdv,_LWL>_W_,1
Main,_KJ_FN>[_,1
Main,_KJ_<TH_,1
SubAdv,_>P_KJ_,1
SubAdv,_KJ_XNM_,1
Main,_GM_B_HJ>_,1
SubAdv,_W_>M_MN_MN_,1
SubAdv,_W_>XR/_,1
Main,_B_MN_<L_,1
SubAdv,_W_GM_,1
Main,_GM_Z>T_MN_<M_,1
Main,_GM_W_W_,1
Main,_GM_W_RBH[_,1
Main,_GM_W_,1
Main,_GM_MN_MN_W_<D_W_L_W_,1
Main,_GM_B_HM_,1
SubAdv,_W_B_B_,1
Main,_GM_MN_>Z_,1
Main,_GM_MN_,1
Main,_B_W_B_W_,1
SubAdv,_MN_>L_,1
Main,_GM_KJ_,1
Main,_GM_CM_,1
SubAdv,_TXT/_KJ_,1
Main,_CW>/_,1
Main,_CDD[_,1
SubAdv,_W_<L_>CR_,1
Main,_GM_>T_HW>_W_>T_,1
SubAdv,_KN_,1
SubAdv,_K_C_,1
Main,_JWMM_,1
Main,_KJ_MH_,1
Main,_H=_<L_W_>L_,1
Main,_H=_>T_,1
Main,_GM_>TMWL/_GM_CLCWM/_,1
Main,_GM_>T_ZH_L_ZH_,1
Main,_GM_>T_GM_,1
SubAdv,_RQ_>CR_L_,1
SubAdv,_W_>M_K_,1
SubAdv,_MN_L_>CR_,1
Main,_GM_<D_HJ>_,1
Main,_CB<[_,1
SubAdv,_PN_,1
SubAdv,_W_>M_B_W_B_,1
Main,_CQR/_,1
SubAdv,_RB/_,1
Main,_>J_ZH_,1
SubArg,_LMH_,1
Main,_>K_<TH_,1
Main,_>K_JXDW_,1
Main,_>P_>L_W_,1
SubArg,_KJ_L_,1
SubArg,_>M_L_K_Z>T_,1
Main,_>M_B_,1
SubArg,_>M_,1
Main,_B>C[_,1
SubAdv,_W_LW_,1
Main,_B_HW>_>Z_,1
Main,_K_B_MN_,1
Main,_B_HM_B_,1
SubAdv,_W_TXT/_KJ_,1
Main,_B_HMH_,1
SubAdv,_XNM_,1
Main,_B_H=_,1
Main,_B_B_ZH_,1
Main,_B_B_W_L_,1
SubAdv,_ZWLH/_>T_L_,1
SubArg,_<D_KJ_,1
SubArg,_<L_>CR_,1
Main,_>T==_,1
SubArg,_KJ_>M_,1
SubArg,_H=_K_,1
Main,_>XR/_MJ_,1
Main,_W_BRWR/_,1
Main,_W_>XR/_W_,1
Main,_K_KN_,1
Main,_K_Z>T_,1
Main,_K_B_B_,1
Main,_>XR/_ZH_,1
Main,_>XR/_Z>T_,1
Main,_>XR/_W_>LH_,1
Main,_>XR/_KN_,1
SubArg,_GM_>CR_,1
SubArg,_>N_,1
SubArg,_>T_>CR_<DN_,1
SubArg,_>T_>CR_KBR/_,1
Main,_>W_H=_,1
SubArg,_B_MH_,1
Main,_>T_ZH_,1
Main,_>T_Z>T_,1
SubArg,_C_,1
Main,_B_>T_,1
Main,_B_>LH_,1
SubArg,_<L_H_,1
Main,_>L_ZH_,1
SubMod,_ZH_,1
Main,_<D_>CR_>M_,1
Main,_<D_<D_,1
SubMod,_B_,1
SubMod,_>T_>CR_,1
Main,_<WD[_,1
Main,_<WH[_,1
Main,_>MNH_,1
SubArg,_KJ_XNM_,1
SubMod,_W_MJ_,1
SubArg,_KMW_,1
Main,_>L===_,1
SubArg,_K_,1
Main,_>K_VRP[_,1
Main,_>K_RJQ/_,1
Main,_>K_QWM[_,1
Main,_B_L_B_,1
Main,_>K_MN_W_W_MN_,1
Main,_<D_MTJ_,1
SubMod,_W_K_>CR_,1
SubArg,_>CR_GM_,1
Main,_<RWM/_,1
Main,_BNH[_,1
SubArg,_>L_,1
Main,_B<D/_,1
SubArg,_KJ_MN_>T==_,1
SubArg,_KJ_W_,1
Main,_>MNM_,1
Main,_<TH_ZH_,1
SubMod,_C_B_,1
Main,_<M_B_,1
SubMod,_MN_>CR_,1
Main,_<M_,1
Main,_<L_Z>T_,1
Main,_<L_W_<L_,1
Main,_<L_W_,1
SubMod,_C_CM_,1
Main,_<L_KN_ZH_,1
Main,_<L_KN_<L_,1
SubMod,_L_,1
Main,_W_>T_W_>T_W_>T_W_>T_W_>T_,1
