esv_TAMsimp,PRES,PAST,PRES PART,FUT,PAST PROG,PRES PROG,PRES PERF,TO INF,PAST PERF,FUT going-to,MOD can,MOD may,MOD would,IMPV,MOD could,MOD is to,MOD must,MOD should,PAST PERF PROG,PRES PERF PROG,FUT PROG,MOD let,MOD was to,MOD shall,MOD might,MOD need not,HAB used to,PRES PROG keep,VB
MOD is to,-0.1,-0.18,-0.01,0.06,-0.05,-0.05,-0.02,0.1,-0.02,-0.01,-0.0,-0.0,0.06,-0.0,-0.0,0.19,-0.0,-0.0,-0.0,-0.0,0.06,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD could,-0.42,0.25,-0.06,-0.07,-0.05,-0.05,-0.02,-0.02,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,0.5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD may,-0.11,-0.18,-0.13,0.09,-0.05,-0.05,-0.02,-0.02,-0.02,-0.01,0.07,0.23,-0.0,0.23,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD should,-0.33,-0.18,-0.13,-0.07,-0.05,-0.05,-0.02,0.23,-0.02,-0.01,-0.0,-0.0,0.16,-0.0,-0.0,-0.0,-0.0,0.42,-0.0,-0.0,-0.0,-0.0,0.08,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV,-0.12,-0.08,-0.13,-0.07,-0.05,-0.05,-0.02,-0.02,-0.02,-0.01,-0.0,0.1,-0.0,0.5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can,-0.02,-0.18,-0.13,-0.07,-0.05,-0.05,-0.02,0.08,-0.02,-0.01,0.5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PERF PROG,-0.19,-0.18,-0.02,-0.07,-0.05,0.18,0.09,-0.02,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.33,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD would,-0.29,-0.18,-0.13,0.06,-0.05,0.08,-0.02,-0.02,-0.02,-0.01,-0.0,-0.0,0.5,-0.0,-0.0,-0.0,-0.0,0.12,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD was to,-0.42,-0.03,0.01,-0.07,0.23,-0.05,-0.02,0.26,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.14,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD let,-0.17,-0.18,-0.13,-0.07,-0.05,-0.05,-0.02,0.23,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD must,-0.42,-0.18,-0.13,0.6,-0.05,-0.05,-0.02,-0.02,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.33,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT going-to,-0.42,-0.18,0.37,0.43,-0.05,-0.05,-0.02,-0.02,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
VB,-0.42,0.32,-0.13,0.43,-0.05,-0.05,-0.02,-0.02,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PROG keep,0.08,-0.18,-0.13,-0.07,-0.05,0.45,-0.02,-0.02,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD might,-0.42,-0.18,-0.13,-0.07,-0.05,-0.05,-0.02,-0.02,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0
PAST PERF PROG,-0.42,-0.18,-0.13,-0.07,-0.05,-0.05,-0.02,-0.02,0.98,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HAB used to,-0.42,0.82,-0.13,-0.07,-0.05,-0.05,-0.02,-0.02,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD that VB,-0.42,-0.18,0.87,-0.07,-0.05,-0.05,-0.02,-0.02,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
