eng_TAMsimp,Ø,ptcp,wayq,yqtl,qtl,wqtl,impv,infc,jussF,infa,cohoF
MOD should ~ MOD would,-0.32,0.18,0.19,-0.14,-0.12,0.29,-0.04,-0.03,-0.0,-0.0,-0.0
MOD shall ~ TO INF,-0.32,-0.15,-0.15,0.19,-0.12,0.62,-0.04,-0.03,-0.0,-0.0,-0.0
PRES PERF PROG,-0.32,-0.15,-0.15,0.53,0.21,-0.04,-0.04,-0.03,-0.0,-0.0,-0.0
MOD may,0.02,-0.15,-0.15,-0.14,-0.12,-0.04,-0.04,0.3,0.33,-0.0,-0.0
MOD can ~ TO INF,0.02,-0.15,-0.15,0.19,0.21,-0.04,-0.04,-0.03,-0.0,-0.0,-0.0
PRES PART ~ PRES PERF,0.02,-0.15,-0.15,-0.14,0.21,-0.04,0.3,-0.03,-0.0,-0.0,-0.0
MOD is to,0.02,-0.15,-0.15,-0.14,-0.12,-0.04,-0.04,0.3,0.33,-0.0,-0.0
MOD was to ~ PAST,0.35,-0.15,0.19,-0.14,-0.12,-0.04,-0.04,-0.03,-0.0,-0.0,-0.0
MOD is to ~ PRES PART,-0.32,-0.15,-0.15,0.86,-0.12,-0.04,-0.04,-0.03,-0.0,-0.0,-0.0
MOD let ~ PRES,0.02,0.18,-0.15,0.19,-0.12,-0.04,-0.04,-0.03,-0.0,-0.0,-0.0
MOD was to ~ PAST PROG,0.18,0.35,-0.15,-0.14,-0.12,-0.04,-0.04,-0.03,-0.0,-0.0,-0.0
FUT PROG ~ PRES PART,0.18,-0.15,-0.15,-0.14,-0.12,0.46,-0.04,-0.03,-0.0,-0.0,-0.0
PAST PERF ~ PAST PERF PROG,-0.32,-0.15,0.35,-0.14,0.38,-0.04,-0.04,-0.03,-0.0,-0.0,-0.0
PAST PERF ~ PRES,0.68,-0.15,-0.15,-0.14,-0.12,-0.04,-0.04,-0.03,-0.0,-0.0,-0.0
MOD was to ~ TO INF,-0.32,0.35,0.35,-0.14,-0.12,-0.04,-0.04,-0.03,-0.0,-0.0,-0.0
PAST PERF ~ PRES PART,-0.32,-0.15,0.35,-0.14,0.38,-0.04,-0.04,-0.03,-0.0,-0.0,-0.0
PAST PERF PROG ~ PAST PROG,-0.32,-0.15,0.85,-0.14,-0.12,-0.04,-0.04,-0.03,-0.0,-0.0,-0.0
MOD may ~ PAST,-0.32,0.35,-0.15,0.36,-0.12,-0.04,-0.04,-0.03,-0.0,-0.0,-0.0
MOD must ~ PRES,0.18,-0.15,0.35,-0.14,-0.12,-0.04,-0.04,-0.03,-0.0,-0.0,-0.0
MOD must ~ MOD shall,-0.32,-0.15,0.85,-0.14,-0.12,-0.04,-0.04,-0.03,-0.0,-0.0,-0.0
MOD may ~ TO INF,-0.32,-0.15,-0.15,-0.14,-0.12,-0.04,-0.04,-0.03,1.0,-0.0,-0.0
PRES ~ PRES PROG keep,0.18,0.35,-0.15,-0.14,-0.12,-0.04,-0.04,-0.03,-0.0,-0.0,-0.0
MOD is to ~ TO INF,-0.32,-0.15,-0.15,-0.14,-0.12,0.96,-0.04,-0.03,-0.0,-0.0,-0.0
MOD can ~ PRES PART,-0.32,0.35,-0.15,-0.14,0.38,-0.04,-0.04,-0.03,-0.0,-0.0,-0.0
PRES PROG ~ TO INF,-0.32,0.35,-0.15,-0.14,0.38,-0.04,-0.04,-0.03,-0.0,-0.0,-0.0
FUT ~ PAST PROG,0.68,-0.15,-0.15,-0.14,-0.12,-0.04,-0.04,-0.03,-0.0,-0.0,-0.0
FUT ~ MOD may,0.18,0.35,-0.15,-0.14,-0.12,-0.04,-0.04,-0.03,-0.0,-0.0,-0.0
MOD let,-0.32,-0.15,-0.15,-0.14,0.38,-0.04,-0.04,-0.03,0.5,-0.0,-0.0
PAST ~ VB,-0.32,-0.15,-0.15,-0.14,0.88,-0.04,-0.04,-0.03,-0.0,-0.0,-0.0
PRES PART ~ PRES PERF PROG,-0.32,-0.15,-0.15,-0.14,-0.12,0.96,-0.04,-0.03,-0.0,-0.0,-0.0
PAST PROG ~ TO INF,-0.32,-0.15,-0.15,-0.14,0.88,-0.04,-0.04,-0.03,-0.0,-0.0,-0.0
PRES PERF ~ PRES PERF PROG,-0.32,-0.15,-0.15,-0.14,-0.12,-0.04,-0.04,0.97,-0.0,-0.0,-0.0
PRES PERF ~ TO INF,0.68,-0.15,-0.15,-0.14,-0.12,-0.04,-0.04,-0.03,-0.0,-0.0,-0.0
PRES PROG ~ PRES PROG keep,0.68,-0.15,-0.15,-0.14,-0.12,-0.04,-0.04,-0.03,-0.0,-0.0,-0.0
MOD shall ~ PRES PERF,-0.32,-0.15,-0.15,-0.14,0.88,-0.04,-0.04,-0.03,-0.0,-0.0,-0.0
MOD would ~ PRES PROG,-0.32,-0.15,-0.15,-0.14,0.88,-0.04,-0.04,-0.03,-0.0,-0.0,-0.0
HAB used to ~ PAST,-0.32,0.85,-0.15,-0.14,-0.12,-0.04,-0.04,-0.03,-0.0,-0.0,-0.0
MOD is to ~ MOD would,0.68,-0.15,-0.15,-0.14,-0.12,-0.04,-0.04,-0.03,-0.0,-0.0,-0.0
MOD could ~ PRES PART,0.68,-0.15,-0.15,-0.14,-0.12,-0.04,-0.04,-0.03,-0.0,-0.0,-0.0
MOD can ~ MOD may,-0.32,-0.15,-0.15,-0.14,-0.12,0.96,-0.04,-0.03,-0.0,-0.0,-0.0
IMPV ~ PRES PROG,0.68,-0.15,-0.15,-0.14,-0.12,-0.04,-0.04,-0.03,-0.0,-0.0,-0.0
IMPV ~ PAST,-0.32,-0.15,-0.15,-0.14,0.88,-0.04,-0.04,-0.03,-0.0,-0.0,-0.0
HAB used to ~ PAST PERF,-0.32,-0.15,0.85,-0.14,-0.12,-0.04,-0.04,-0.03,-0.0,-0.0,-0.0
FUT ~ VB,0.68,-0.15,-0.15,-0.14,-0.12,-0.04,-0.04,-0.03,-0.0,-0.0,-0.0
MOD would ~ PRES PERF,-0.32,-0.15,-0.15,-0.14,-0.12,-0.04,-0.04,-0.03,-0.0,1.0,-0.0
FUT ~ PAST,-0.32,-0.15,-0.15,-0.14,-0.12,-0.04,-0.04,-0.03,1.0,-0.0,-0.0
FUT ~ MOD would,-0.32,-0.15,-0.15,0.86,-0.12,-0.04,-0.04,-0.03,-0.0,-0.0,-0.0
FUT ~ MOD can,-0.32,-0.15,-0.15,0.86,-0.12,-0.04,-0.04,-0.03,-0.0,-0.0,-0.0
FUT ~ FUT PROG,-0.32,-0.15,-0.15,-0.14,-0.12,-0.04,0.96,-0.03,-0.0,-0.0,-0.0
FUT going-to ~ PRES PART,0.68,-0.15,-0.15,-0.14,-0.12,-0.04,-0.04,-0.03,-0.0,-0.0,-0.0
FUT PROG ~ PRES PROG,0.68,-0.15,-0.15,-0.14,-0.12,-0.04,-0.04,-0.03,-0.0,-0.0,-0.0
MOD let ~ TO INF,-0.32,-0.15,-0.15,-0.14,-0.12,-0.04,-0.04,-0.03,1.0,-0.0,-0.0
MOD may ~ PRES PART,-0.32,-0.15,-0.15,0.86,-0.12,-0.04,-0.04,-0.03,-0.0,-0.0,-0.0
MOD might,-0.32,-0.15,-0.15,-0.14,-0.12,-0.04,-0.04,0.97,-0.0,-0.0,-0.0
MOD must,0.68,-0.15,-0.15,-0.14,-0.12,-0.04,-0.04,-0.03,-0.0,-0.0,-0.0
MOD must ~ PRES PROG,-0.32,-0.15,0.85,-0.14,-0.12,-0.04,-0.04,-0.03,-0.0,-0.0,-0.0
MOD need not ~ TO INF,-0.32,-0.15,-0.15,0.86,-0.12,-0.04,-0.04,-0.03,-0.0,-0.0,-0.0
MOD shall,-0.32,-0.15,-0.15,-0.14,0.88,-0.04,-0.04,-0.03,-0.0,-0.0,-0.0
MOD shall ~ PAST,-0.32,0.85,-0.15,-0.14,-0.12,-0.04,-0.04,-0.03,-0.0,-0.0,-0.0
MOD shall ~ PRES PART,-0.32,0.85,-0.15,-0.14,-0.12,-0.04,-0.04,-0.03,-0.0,-0.0,-0.0
FUT PROG ~ MOD is to,0.68,-0.15,-0.15,-0.14,-0.12,-0.04,-0.04,-0.03,-0.0,-0.0,-0.0
MOD should ~ MOD was to,-0.32,-0.15,0.85,-0.14,-0.12,-0.04,-0.04,-0.03,-0.0,-0.0,-0.0
MOD should ~ PAST,-0.32,-0.15,0.85,-0.14,-0.12,-0.04,-0.04,-0.03,-0.0,-0.0,-0.0
MOD should ~ PRES,-0.32,-0.15,-0.15,-0.14,-0.12,-0.04,0.96,-0.03,-0.0,-0.0,-0.0
MOD should ~ PRES PERF,-0.32,-0.15,0.85,-0.14,-0.12,-0.04,-0.04,-0.03,-0.0,-0.0,-0.0
MOD that VB ~ PRES PART,-0.32,-0.15,-0.15,-0.14,-0.12,-0.04,-0.04,0.97,-0.0,-0.0,-0.0
MOD was to,0.68,-0.15,-0.15,-0.14,-0.12,-0.04,-0.04,-0.03,-0.0,-0.0,-0.0
MOD was to ~ PRES PART,-0.32,-0.15,-0.15,-0.14,-0.12,-0.04,-0.04,0.97,-0.0,-0.0,-0.0
TO INF ~ VB,-0.32,-0.15,-0.15,-0.14,-0.12,-0.04,-0.04,0.97,-0.0,-0.0,-0.0
